3M France,Infirmier,BAZIRE MARIE LAURE,20/06/2014,REPAS,€26,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BEHAR PATRICK,19/11/2013,HOSPITALITE,€29,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BLANCHARD BENOIT,14/02/2014,HOSPITALITE,€26,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BLANCHARD BENOIT,14/05/2014,HOSPITALITE,€25,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CASAUX DOMINIQUE,11/10/2013,HOSPITALITE,€38,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CHALUMEAU MAXIME,19/11/2013,HOSPITALITE,€29,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CHAMAYOU JACQUES,13/05/2014,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,EL GOHARY WALID,15/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HAUGUEL ALEXANDRE,13/05/2014,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HAUGUEL ALEXANDRE,25/03/2014,HOSPITALITE,€34,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JEAN EMMANUEL,25/03/2014,HOSPITALITE,€34,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEDAMOISEL LIONEL,11/10/2013,HOSPITALITE,€38,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEMERCIER MATHIEU,19/11/2013,HOSPITALITE,€29,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LE METEIL FRANCOIS,19/11/2013,HOSPITALITE,€29,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARCQ PATRICE,22/11/2013,HOSPITALITE,€17,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARRE DIDIER,12/12/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MINGAM STEPHANE,16/05/2014,HOSPITALITE,€40,,
BOIRON,Pharmacien,BOURDAIS VALERIE,09/12/2013,[REPAS],€16,,
BOIRON,Pharmacien,BOZEC ANTOINE,04/12/2013,[REPAS],€24,,
BOIRON,Pharmacien,BRUN SERGE,09/12/2013,[REPAS],€16,,
BOIRON,Pharmacien,BRUN VALERIE,09/12/2013,[REPAS],€16,,
BOIRON,Pharmacien,GUILAN MARION,19/11/2013,[REPAS],€21,,
BOIRON,Pharmacien,NEEL FABIENNE,06/05/2014,[REPAS],€21,,
BOIRON,Pharmacien,PONTHIEUX MARC,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAZILLE VIRGINIE,19/11/2013,[REPAS],€21,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENARD SANDRINE,12/12/2013,[AUTRE],€30,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COURTAUT AMELIE,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DESAVOYE SARAH,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DROCOURT MARIE CHRISTELLE,06/05/2014,[REPAS],€21,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FERNENT ELODIE,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GODEBOUT ELODIE,12/12/2013,[AUTRE],€30,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HADRAOUI NAIMA,19/11/2013,[REPAS],€21,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAMBERT CAROLINE,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LECOQ CHRISTEL,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEMEUR LAURINE,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE SCOUL ELODIE,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEVASSEUR VIRGINIE,09/12/2013,[REPAS],€16,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RENAULT CAROLINE,19/11/2013,[REPAS],€21,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSE CORINNE,19/11/2013,[REPAS],€21,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,UZUN CAMILE,09/12/2013,[REPAS],€16,,
BOSTON SCIENTIFIC SAS,Médecin,BEHAR PATRICK,03/07/2013,HEBERGEMENT,€103,,
BOSTON SCIENTIFIC SAS,Médecin,BEHAR PATRICK,03/07/2013,REPAS,€25,,
BOSTON SCIENTIFIC SAS,Médecin,BEHAR PATRICK,04/07/2013,REPAS,€46,,
BOSTON SCIENTIFIC SAS,Médecin,BOITET PHILIPPE,25/10/2013,REPAS,€36,,
BOSTON SCIENTIFIC SAS,Médecin,BOITET PHILIPPE,25/10/2013,HEBERGEMENT,€151,,
BOSTON SCIENTIFIC SAS,Médecin,BOITET PHILIPPE,18/06/2013,REPAS,€48,,
BOSTON SCIENTIFIC SAS,Médecin,GAILLARD ROMAIN,12/02/2014,REPAS,€59,,
BOSTON SCIENTIFIC SAS,Médecin,GAILLARD ROMAIN,23/01/2014,HEBERGEMENT,€199,,
BOSTON SCIENTIFIC SAS,Médecin,GAILLARD ROMAIN,23/01/2014,HEBERGEMENT,€204,,
BOSTON SCIENTIFIC SAS,Médecin,GAILLARD ROMAIN,23/01/2014,TRANSPORT,€118,,
BOSTON SCIENTIFIC SAS,Médecin,GAILLARD ROMAIN,23/01/2014,AUTRE : [INSCRIPTIONS],€606,,
BOSTON SCIENTIFIC SAS,Médecin,GAILLARD ROMAIN,24/01/2014,REPAS,€57,,
BOSTON SCIENTIFIC SAS,Médecin,GAILLARD ROMAIN,19/06/2013,REPAS,€42,,
BOSTON SCIENTIFIC SAS,Médecin,GAILLARD ROMAIN,04/02/2014,REPAS,€22,,
BOSTON SCIENTIFIC SAS,Médecin,LEGENDRE HUBERT,18/06/2013,REPAS,€48,,
BOSTON SCIENTIFIC SAS,Médecin,LESAULT PIERRE FRANÇOIS,10/04/2014,AUTRE : [INSCRIPTIONS],€620,,
BOSTON SCIENTIFIC SAS,Médecin,LESAULT PIERRE FRANÇOIS,10/04/2014,REPAS,€55,,
BOSTON SCIENTIFIC SAS,Médecin,LESAULT PIERRE FRANÇOIS,10/04/2014,REPAS,€55,,
BOSTON SCIENTIFIC SAS,Médecin,LESAULT PIERRE FRANÇOIS,03/07/2013,TRANSPORT,€310,,
BOSTON SCIENTIFIC SAS,Médecin,LESAULT PIERRE FRANÇOIS,03/07/2013,REPAS,€25,,
BOSTON SCIENTIFIC SAS,Médecin,LESAULT PIERRE FRANÇOIS,03/07/2013,HEBERGEMENT,€103,,
BOSTON SCIENTIFIC SAS,Médecin,ROBERT THIERRY,25/10/2013,HEBERGEMENT,€151,,
BOSTON SCIENTIFIC SAS,Médecin,ROBERT THIERRY,25/10/2013,REPAS,€36,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,17/01/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,13/02/2014,REPAS,€11,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,25/09/2013,REPAS,€40,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,26/11/2013,REPAS,€51,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,12/02/2014,REPAS,€59,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,04/02/2014,REPAS,€22,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,19/06/2013,REPAS,€42,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,01/08/2013,REPAS,€45,,
BOSTON SCIENTIFIC SAS,Médecin,ROSSI ANTOINE,21/05/2014,REPAS,€45,,
BRACCO IMAGING FRANCE,Médecin,MIGRAINE SYLVAIN,15/10/2013,AUTRE : [HOSPITALITE ; INSCRIPTION],€990,,
BRACCO IMAGING FRANCE,Médecin,MIGRAINE SYLVAIN,22/05/2014,AUTRE : [HOSPITALITE ; INSCRIPTION],€581,,
BRACCO IMAGING FRANCE,Médecin,MOLINAZZI PIERRE,31/03/2014,HOSPITALITE,"€1,174",,
BRACCO IMAGING FRANCE,Médecin,VASSEUR ROMAIN,13/06/2014,AUTRE : [HOSPITALITE ; INSCRIPTION],€895,,
BRISTOL-MYERS SQUIBB,Médecin,BEHAR PATRICK,18/03/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Médecin,CHALUMEAU MAXIME,18/03/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Médecin,GODET ALAIN,26/11/2013,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,LAPORTE FRANCOIS XAVIER,10/12/2013,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,LEDAMOISEL LIONEL,19/11/2013,Repas,€35,,
BRISTOL-MYERS SQUIBB,Médecin,LE GALLO CATHERINE,13/12/2013,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,LEMERCIER MATHIEU,18/03/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Médecin,LE METEIL FRANCOIS,18/03/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Médecin,LESAULT PIERRE FRANCOIS,18/03/2014,Repas,€25,,
BRISTOL-MYERS SQUIBB,Médecin,LOUEDIN CATHERINE,13/12/2013,Repas,€38,,
CAPRON PODOLOGIE,Pédicure-podologue,NICOD CAROLE,25/09/2013,CADEAUX,€10,,
CELGENE,Infirmier,BOCQUEL SOPHIE,03/12/2013,REPAS RÉUNION HOSPITALIÈRE,€22,,
CELGENE,Infirmier,DEMIER SOPHIE,03/12/2013,REPAS MANIFESTATION DE FORMATION,€22,,
CELGENE,Infirmier,MEMAIM ELODIE,03/12/2013,REPAS RÉUNION HOSPITALIÈRE,€22,,
CELGENE,Infirmier,MEREL ALEXANDRA,03/12/2013,REPAS RÉUNION HOSPITALIÈRE,€22,,
CELGENE,Infirmier,RAT EMILIE,03/12/2013,REPAS RÉUNION HOSPITALIÈRE,€22,,
CELGENE,Médecin,MORAN ANGEL,03/12/2013,REPAS RÉUNION HOSPITALIÈRE,€22,,
CELGENE,Médecin,PARIS ESTELLE,12/04/2014,REPAS MANIFESTATION DE FORMATION,€48,,
CELGENE,Médecin,PAVLOVITCH JEAN MARC,03/12/2013,REPAS RÉUNION HOSPITALIÈRE,€22,,
CEREPLAS,Médecin,KONTER MICHEL,03/12/2013,REPAS,€49,,
CHIESI SA,Médecin,BAXS GUILLAUME,14/01/2014,Repas,€53,,
CHIESI SA,Médecin,BAXS GUILLAUME,15/10/2013,Repas,€50,,
CHIESI SA,Médecin,CHAMAYOU JACQUES,15/10/2013,Repas,€50,,
CHIESI SA,Médecin,CHAMAYOU JACQUES,14/01/2014,Repas,€53,,
CHIESI SA,Médecin,GODET ALAIN,17/10/2013,Repas,€53,,
CHIESI SA,Médecin,HAUGUEL ALEXANDRE,15/10/2013,Repas,€50,,
CHIESI SA,Médecin,HAUGUEL ALEXANDRE,14/01/2014,Repas,€53,,
CHIESI SA,Médecin,JEAN EMMANUEL,15/10/2013,Repas,€50,,
CHIESI SA,Médecin,KARADUMAN OKTAY,14/01/2014,Repas,€53,,
CHIESI SA,Médecin,KARADUMAN OKTAY,15/10/2013,Repas,€50,,
CHIESI SA,Médecin,MINGAM STEPHANE,15/10/2013,Repas,€50,,
Codexial Dermatologie,Médecin,VERDIER-TRESCOL CLAIRE,05/12/2013,REPAS,€49,,
Conceptus SAS,Médecin,LE DIGABEL Jean-François,12/12/2013,HOSPITALITÉ,€58,,
CONGRES COLLOQUES CONVENTIONS,Médecin,MERRIEN JEAN FRANCOIS,24/05/2014,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Etudiant,GOUBERT MAEVA,08/04/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Médecin,FIRMIN DELPHINE,03/09/2013,AUTRE,€26,,
COSMETIQUE ACTIVE FRANCE,Médecin,VERDIER TRESCOL CLAIRE,03/09/2013,AUTRE,€26,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,QUILAN MARION,08/04/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEVEZIER MORGANE,08/04/2014,CADEAUX,€419,,
Covidien AG,Infirmier,DESCHAMPS JULIEN,11/07/2013,REPAS,€34,,
Covidien AG,Infirmier,DESCHAMPS JULIEN,26/09/2013,REPAS,€52,,
Covidien AG,Infirmier,MANDEVILLE HELENE,26/09/2013,REPAS,€52,,
Covidien AG,Infirmier,MANDEVILLE HELENE,11/07/2013,REPAS,€34,,
Covidien AG,Infirmier,PELLETIER JOSUE,11/07/2013,REPAS,€34,,
Covidien AG,Infirmier,PELLETIER JOSUE,26/09/2013,REPAS,€52,,
Covidien AG,Médecin,PAVLOVITCH ELEONORE,17/04/2013,TRANSPORT,€327,,
Covidien AG,Médecin,PAVLOVITCH ELEONORE,17/04/2013,TRANSPORT,€343,,
Covidien AG,Médecin,PAVLOVITCH ELEONORE,11/07/2013,REPAS,€34,,
Covidien AG,Médecin,PAVLOVITCH ELEONORE,17/04/2013,REPAS,€60,,
Covidien AG,Médecin,PAVLOVITCH ELEONORE,17/04/2013,HOTEL/HEBERGEMENT,€171,,
Covidien AG,Médecin,PAVLOVITCH ELEONORE,26/09/2013,REPAS,€52,,
Covidien AG,Médecin,PAVLOVITCH ELEONORE,17/04/2013,REPAS,€27,,
Covidien AG,Médecin,PAVLOVITCH ELEONORE,13/03/2013,HOTEL/HEBERGEMENT,€200,,
COVIDIEN FRANCE S.A.S.,Etablissement de santé,HOPITAL PRIVE DE L ESTUAIRE,11/07/2013,REPAS,€45,,
COVIDIEN FRANCE S.A.S.,Infirmier,LOUIS FLORENCE,06/02/2014,REPAS,€58,,
COVIDIEN FRANCE S.A.S.,Infirmier,MANDEVILLE HELENE,30/01/2014,REPAS,€47,,
COVIDIEN FRANCE S.A.S.,Infirmier,MANDEVILLE HELENE,26/09/2013,REPAS,€11,,
COVIDIEN FRANCE S.A.S.,Infirmier,MANDEVILLE HELENE,06/02/2014,REPAS,€58,,
COVIDIEN FRANCE S.A.S.,Infirmier,MENARD FLORENCE,06/02/2014,REPAS,€58,,
COVIDIEN FRANCE S.A.S.,Infirmier,TESNIERE CHRISTIENE,06/02/2014,REPAS,€58,,
COVIDIEN FRANCE S.A.S.,Infirmier,ZANTE GAELLE,06/02/2014,REPAS,€58,,
COVIDIEN FRANCE S.A.S.,Médecin,CHASSERANT PHILIPPE,30/01/2014,REPAS,€47,,
COVIDIEN FRANCE S.A.S.,Médecin,CHASSERANT PHILIPPE,26/09/2013,REPAS,€11,,
COVIDIEN FRANCE S.A.S.,Médecin,KRACHT MATTHIAS,06/02/2014,REPAS,€58,,
COVIDIEN FRANCE S.A.S.,Médecin,KRACHT MATTHIAS,30/01/2014,REPAS,€47,,
COVIDIEN FRANCE S.A.S.,Médecin,KRACHT MATTHIAS,26/09/2013,REPAS,€11,,
COVIDIEN FRANCE S.A.S.,Médecin,PAVLOVITCH ELEONORE,06/02/2014,REPAS,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,CASAUX DOMINIQUE,05/07/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUDIN ERIC,15/10/2013,Repas,€59,,
DAIICHI SANKYO FRANCE SAS,Médecin,GODET ALAIN,24/06/2014,Repas,€57,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEDAMOISEL LIONEL,04/04/2014,Repas,€41,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEDAMOISEL LIONEL,05/07/2013,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEDAMOISEL LIONEL,22/11/2013,Repas,€34,,
DAIICHI SANKYO FRANCE SAS,Médecin,MARRE DIDIER,15/10/2013,Repas,€59,,
DIASORIN SA,Technicien de laboratoire médical,ALBERT ANDRE,26/11/2013,DEMO XL,€66,,
DINNO SANTE,Médecin,CROCHEMORE Elise,07/03/2013,Déjeuner,€53,,
DJO France SAS,Masseur-kinésithérapeute,ABOUT ALAIN,08/10/2013,Repas,€35,,
DJO France SAS,Pharmacien,GOULET DAVID,27/06/2013,Repas,€17,,
DJO France SAS,Pharmacien,GOULET DAVID,08/10/2013,Repas,€35,,
DJO France SAS,Pharmacien,GOULET DAVID,15/03/2013,Repas,€20,,
DJO France SAS,Pharmacien,LEMAISTRE HELOISE,03/04/2014,Repas,€11,,
DJO France SAS,Pharmacien,LEROUGE MARJOLAINE,20/01/2014,Repas,€16,,
DJO France SAS,Pharmacien,PATOUREL AGNES,15/03/2013,Repas,€20,,
DJO France SAS,Pharmacien,PATOUREL AGNES,27/06/2013,Repas,€17,,
DJO France SAS,Pharmacien,SARRASIN RICHARD,15/03/2013,Repas,€20,,
DJO France SAS,Pharmacien,SARRASIN RICHARD,27/06/2013,Repas,€17,,
DJO France SAS,Pharmacien,TEYNIE LUDOVIC,26/03/2014,Repas,€20,,
DJO France SAS,Pharmacien,VANHAEZEBROUCK CHRISTOPHE,03/04/2014,Repas,€11,,
DJO France SAS,Pharmacien,VANHAEZEBROUCK Z,08/10/2013,Repas,€35,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAZILLE VIRGINIE,03/04/2014,Repas,€11,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRIAND MARIE-JOSE,26/03/2014,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COISY ALYSSON,15/03/2013,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COISY ALYSSON,27/06/2013,Repas,€17,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUPRAY ELOISE,03/04/2014,Repas,€11,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUVERGER JESSIE,27/06/2013,Repas,€17,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GROULSCHE KELLY,26/03/2014,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUERILLON LEONE,03/04/2014,Repas,€11,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HERVIEU ANNE-LISE,26/03/2014,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LETELLIER GAELLE,26/03/2014,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEVEZIER MORGANE,27/06/2013,Repas,€17,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RENAULT CAROLINE,26/03/2014,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RICHARD LUDIVINE,03/04/2014,Repas,€11,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSEE CORINNE,26/03/2014,Repas,€20,,
EFFIK,Médecin,COURAUD ARMELLE,22/03/2014,REPAS,€55,,
EFFIK,Médecin,POULAIN STEPHANIE,22/03/2014,REPAS,€55,,
EFFIK,Sage-femme,BARBIER STEPHANIE,03/12/2013,REPAS,€29,,
EFFIK,Sage-femme,COURAUD ARMELLE,03/12/2013,REPAS,€29,,
EISAI SAS,Infirmier,BAUDU CECILE,27/09/2013,REPAS,€18,,
EISAI SAS,Infirmier,BAUDU FREDERIQUE,27/09/2013,REPAS,€18,,
EISAI SAS,Infirmier,BOCQUEL SOPHIE,17/06/2014,REPAS,€23,,
EISAI SAS,Infirmier,DEBRIS SARAH,27/09/2013,REPAS,€18,,
EISAI SAS,Infirmier,DEMIER SOPHIE,26/11/2013,REPAS,€19,,
EISAI SAS,Infirmier,DEMIER SOPHIE,17/06/2014,REPAS,€23,,
EISAI SAS,Infirmier,DUPARC SOPHIE,17/06/2014,REPAS,€23,,
EISAI SAS,Infirmier,GIRARD MARIE ASTRID,26/11/2013,REPAS,€19,,
EISAI SAS,Infirmier,GIRARD MARIE ASTRID,27/09/2013,REPAS,€18,,
EISAI SAS,Infirmier,HAUCHECORNE CELINE,26/11/2013,REPAS,€19,,
EISAI SAS,Infirmier,MEREL ALEXANDRA,26/11/2013,REPAS,€19,,
EISAI SAS,Infirmier,RAT EMILIE,26/11/2013,REPAS,€19,,
EISAI SAS,Infirmier,VILLER LAURE,17/06/2014,REPAS,€23,,
EISAI SAS,Infirmier,VILLER LAURE,27/09/2013,REPAS,€18,,
EISAI SAS,Médecin,MORAN ANGEL,28/03/2014,REPAS,€44,,
EISAI SAS,Médecin,MORAN ANGEL,26/11/2013,REPAS,€19,,
EISAI SAS,Médecin,MORAN ANGEL,17/06/2014,REPAS,€23,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,26/11/2013,REPAS,€19,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,17/06/2014,REPAS,€23,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,13/11/2013,INSCRIPTION,€530,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,13/11/2013,REPAS,€49,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,14/11/2013,REPAS,€18,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,13/11/2013,TRANSPORT,€64,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,13/11/2013,TRANSPORT,€342,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,13/11/2013,REPAS,€60,,
EISAI SAS,Médecin,PAVLOVITCH JEAN MARC,13/11/2013,HÉBERGEMENT,€437,,
ENDOLOGIX INTERNATIONAL BV,Médecin,BOITET PHILIPPE,10/01/2014,REPAS,€25,,
ENDOLOGIX INTERNATIONAL BV,Médecin,GAILLARD ROMAIN,25/03/2014,REPAS,€13,,
ETHICON,Médecin,GUICHEBARON JEAN YVES,20/09/2013,TRANSPORT,€226,,
ETHICON,Médecin,GUICHEBARON JEAN YVES,20/09/2013,REPAS,€232,,
ETHICON,Médecin,GUICHEBARON JEAN YVES,20/09/2013,HEBERGEMENT,€841,,
ETHICON,Médecin,KRACHT MATTHIAS,19/03/2014,HEBERGEMENT,€122,,
ETHICON,Médecin,KRACHT MATTHIAS,19/03/2014,REPAS,€120,,
ETHICON,Médecin,KRACHT MATTHIAS,14/05/2013,REPAS,€19,,
ETHICON,Médecin,KRACHT MATTHIAS,19/09/2013,REPAS,€26,,
ETHICON,Médecin,PAVLOVITCH DE LA TOUR DU PIN ELEONORE,17/03/2014,TRANSPORT,€476,,
ETHICON,Médecin,PAVLOVITCH DE LA TOUR DU PIN ELEONORE,17/03/2014,HEBERGEMENT,€122,,
FERRING SAS,Médecin,ALLOUC HERVE,05/11/2013,Repas,€13,,
FERRING SAS,Médecin,ALLOUC HERVE,07/10/2013,Repas,€14,,
FERRING SAS,Médecin,ANTIPHON PATRICK,07/10/2013,Repas,€14,,
FERRING SAS,Médecin,MORAN ANGEL,20/05/2014,Repas,€23,,
FERRING SAS,Médecin,PAVLOVITCH JEAN MARC,03/02/2014,Repas,€23,,
FERRING SAS,Médecin,PAVLOVITCH JEAN MARC,07/10/2013,Repas,€14,,
FERRING SAS,Médecin,PAVLOVITCH JEAN MARC,05/11/2013,Repas,€13,,
FH ORTHOPEDICS,Médecin,COURAGE OLIVIER,11/05/2013,Repas,€45,,
FRESENIUS KABI FRANCE,Diététicien,FONTAINE ELODIE,26/03/2014,REPAS,€25,,
FRESENIUS KABI FRANCE,Diététicien,RIGAUDIERE EMELINE,26/03/2014,REPAS,€25,,
FRESENIUS KABI FRANCE,Infirmier,HERMENT DOMINIQUE,26/03/2014,REPAS,€25,,
FRESENIUS KABI FRANCE,Infirmier,MENARD FRANCOISE,26/03/2014,REPAS,€25,,
FRESENIUS KABI FRANCE,Infirmier,TESTON CORINNE,26/03/2014,REPAS,€25,,
FRESENIUS KABI FRANCE,Médecin,EUSTRATIADES PAILLARD CYRILLE,18/03/2014,AUTRE: STAFF,€29,,
FRESENIUS KABI FRANCE,Médecin,GOSGNACH CHASSERANT MARILYN,18/03/2014,AUTRE: STAFF,€29,,
FRESENIUS KABI FRANCE,Médecin,LE COCQ JEAN CLAUDE,18/03/2014,AUTRE: STAFF,€29,,
FRESENIUS KABI FRANCE,Médecin,LEFRANC FLORENT,18/03/2014,AUTRE: STAFF,€29,,
FRESENIUS KABI FRANCE,Médecin,PAVLOVITCH JEAN MARC,26/03/2014,REPAS,€25,,
FRESENIUS KABI FRANCE,Médecin,PLAT RICHARD,18/03/2014,AUTRE: STAFF,€29,,
FRESENIUS KABI FRANCE,Médecin,RIQUIER RICHARD,18/03/2014,AUTRE: STAFF,€29,,
FRESENIUS KABI FRANCE,Médecin,ROSE DANIEL,18/03/2014,AUTRE: STAFF,€29,,
FRESENIUS KABI FRANCE,Médecin,THEVENIN GILLES,18/03/2014,AUTRE: STAFF,€29,,
FRESENIUS KABI FRANCE,Médecin,TIT ARGHAD,18/03/2014,AUTRE: STAFF,€29,,
Fresenius Medical Care France S.A.S.,Diététicien,PREVOT SOPHIE,26/11/2013,TRANSPORT,€80,,
Fresenius Medical Care France S.A.S.,Diététicien,PREVOT SOPHIE,26/11/2013,REPAS,€57,,
Fresenius Medical Care France S.A.S.,Infirmier,BRUMENT VALERIE,21/11/2013,REPAS,€110,,
Fresenius Medical Care France S.A.S.,Infirmier,ETIENNE CHRISTELLE,21/11/2013,AUTRE : [JOURNEE ETUDE],€66,,
Fresenius Medical Care France S.A.S.,Infirmier,ETIENNE CHRISTELLE,21/11/2013,REPAS,€110,,
Fresenius Medical Care France S.A.S.,Infirmier,ETIENNE CHRISTELLE,21/11/2013,HEBERGEMENT,€182,,
Fresenius Medical Care France S.A.S.,Infirmier,LEROY JULIETTE,21/11/2013,REPAS,€62,,
Fresenius Medical Care France S.A.S.,Médecin,AMARIA RACHID,11/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Médecin,BARBIER STEPHANE,11/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Médecin,GEFFROY GUIBERTEAU SYLVIE,11/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Médecin,MARTIN STEPHANE JEAN,26/11/2013,TRANSPORT,€80,,
Fresenius Medical Care France S.A.S.,Médecin,MARTIN STEPHANE JEAN,11/04/2014,REPAS,€19,,
galderma international,Médecin,VERDIER TRESCOL CLAIRE,30/09/2013,Repas,€30,,
galderma international,Médecin,VERDIER TRESCOL CLAIRE,05/12/2013,Repas,€28,,
GAMBRO HOSPAL SAS,Infirmier,DRISSI NADIA,17/04/2014,REPAS,€60,,
GAMBRO HOSPAL SAS,Médecin,AMARIA RACHID,16/08/2013,REPAS,€10,,
GAMBRO HOSPAL SAS,Médecin,BARBIER STEPHANE,16/08/2013,REPAS,€10,,
GAMBRO HOSPAL SAS,Médecin,MARTIN STEPHANE,19/09/2013,TRANSPORT,€129,,
GAMBRO HOSPAL SAS,Médecin,MARTIN STEPHANE,19/09/2013,TRANSPORT,€109,,
GAMBRO HOSPAL SAS,Médecin,MARTIN STEPHANE,19/09/2013,REPAS,€113,,
GAMBRO HOSPAL SAS,Médecin,MARTIN STEPHANE,19/09/2013,HEBERGEMENT,€101,,
HEMOTECH,Médecin,AMARIA RACHID,25/10/2013,REPAS,€35,,
