3M France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEVISMES CHARLOTTE,19/11/2013,REPAS,€13,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE BRAS EMILIE,04/04/2014,Repas,€26,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LECLUSE PEGGY,27/03/2014,Repas,€12,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,YONNET SANDRINE,27/03/2014,Repas,€12,,
Carl Zeiss Meditec France,Médecin,BIJAOUI SAMUEL,10/05/2014,HEBERGEMENT,€205,,
Carl Zeiss Meditec France,Médecin,FLORES DENIS,10/05/2014,HEBERGEMENT,€410,,
Carl Zeiss Meditec France,Médecin,FLORES DENIS,05/10/2013,HOSPITALITE,€851,,
Carl Zeiss Meditec France,Médecin,HANOUN FRANCOIS,05/10/2013,HOSPITALITE,"€1,070",,
Carl Zeiss Meditec France,Médecin,ROURE ANTOINE,10/05/2014,HEBERGEMENT,€205,,
CELGENE,Infirmier,BACCA VIRGINIE,27/03/2014,REPAS RELATION NORMALE DE TRAVAIL,€41,,
CELGENE,Infirmier,BOUTONNET JOAN,15/11/2013,REPAS MANIFESTATION DE FORMATION,€106,,
CELGENE,Infirmier,BOUTONNET JOAN,15/11/2013,HEBERGEMENT,€100,,
CELGENE,Infirmier,DESTAILLATS EMMANUELLE,15/11/2013,REPAS MANIFESTATION DE FORMATION,€106,,
CELGENE,Infirmier,DESTAILLATS EMMANUELLE,15/11/2013,HEBERGEMENT,€100,,
CELGENE,Médecin,HATHROUBI CHOKRI,09/04/2014,REPAS RELATION NORMALE DE TRAVAIL,€27,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Médecin,BAUDIN GUILLAUME,04/09/2013,REPAS,€40,,
CENTRALE DES PEELINGS,Médecin,AGRATI FRANCILLON DOMINIQUE,11/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,AGRATI FRANCILLON DOMINIQUE,11/04/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,BENGHOZI GERARD,17/06/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,BENGHOZI GERARD,28/04/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,BENGHOZI GERARD,17/06/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,BENGHOZI GERARD,28/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,BENGHOZI GERARD,28/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,BOUAZIZ DAVID,25/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,BOUCQ DENIS,12/02/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,BOUCQ DENIS,12/02/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,BOUCQ DENIS,12/02/2014,cadeaux,€15,,
CENTRALE DES PEELINGS,Médecin,CAUJOLLE ISABELLE,23/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,CAUJOLLE ISABELLE,12/02/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,CAUJOLLE ISABELLE,05/05/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,CLAVE MICHELINE,02/06/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,DE RIVOYRE CATHERINE,14/05/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,DE RIVOYRE CATHERINE,01/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,FABIANI ISABELLE,23/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,FABIANI ISABELLE,10/02/2014,cadeaux,€15,,
CENTRALE DES PEELINGS,Médecin,FABIANI ISABELLE,23/01/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,FOUQUE PARACHINI LINDA,15/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,FREYCHET FABIENNE,15/04/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,FREYCHET FABIENNE,15/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,GARCIA HANEZ GHISLAINE,05/05/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,GARCIA HANEZ GHISLAINE,17/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,GARCIA HANEZ GHISLAINE,05/05/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,GEORGES ROBERT,05/03/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,GEORGES ROBERT,05/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,GIAUME VIOLAINE,17/06/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,GIAUME VIOLAINE,27/05/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,GIORDANO JEANLUC,06/06/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,GIORDANO JEANLUC,21/02/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,GRIMALDI MARTINE,27/05/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,GUIGUET CHRISTIAN,14/04/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,KLIFA CHOISY MARIE,20/06/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,KLIFA CHOISY MARIE,20/06/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,KLIFA CHOISY MARIE,20/06/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,KLIFA CHOISY MARIE,17/02/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,LARROUY JEANCLAUDE,17/06/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,LARROUY JEANCLAUDE,08/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,LARROUY JEANCLAUDE,08/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,LARROUY JEANCLAUDE,28/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,MANTOUX FREDERIC,13/01/2014,cadeaux,€15,,
CENTRALE DES PEELINGS,Médecin,MODSCHIEDLER THOMAS,24/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,MODSCHIEDLER THOMAS,24/01/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,MOREL MANDRINO PATRICIA,19/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,MOREL MANDRINO PATRICIA,19/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,NARAGHI ANTOINE,27/05/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,ODASSO GILBERT,07/05/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,ODASSO GILBERT,01/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,ODASSO GILBERT,01/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,24/06/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,28/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,01/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,01/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,01/04/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,08/01/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,08/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,08/01/2014,cadeaux,€15,,
CENTRALE DES PEELINGS,Médecin,OSTA ISMAT,28/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,PALMARO JEANCLAUDE,29/01/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,PALMARO JEANCLAUDE,29/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,PALMARO JEANCLAUDE,29/01/2014,cadeaux,€15,,
CENTRALE DES PEELINGS,Médecin,PALMARO JEANCLAUDE,29/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,RANALDI BERNARD,31/03/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,RANALDI BERNARD,31/03/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,REYNAUD VINTI DOMINIQUE,27/05/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,REYNAUD VINTI DOMINIQUE,11/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,REYNAUD VINTI DOMINIQUE,11/03/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,REYNAUD VINTI DOMINIQUE,27/05/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,ROSTAIN GILLES,05/03/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,ROSTAIN GILLES,05/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,ROSTAIN GILLES,05/03/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,ROSTAIN GILLES,05/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,ROSTAIN GILLES,29/01/2014,cadeaux,€21,,
CENTRALE DES PEELINGS,Médecin,ROSTAIN GILLES,23/04/2014,cadeaux,€13,,
CENTRALE DES PEELINGS,Médecin,ROSTAIN GILLES,23/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,ROSTAIN GILLES,29/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,SAUBIEZ LION CATHERINE,19/03/2014,cadeaux,€17,,
CHIESI SA,Médecin,ARFI THIERRY,03/12/2013,Repas,€61,,
CHIESI SA,Médecin,ARFI THIERRY,03/10/2013,Repas,€43,,
CHIESI SA,Médecin,BAGOT MARIE LAURE,28/01/2014,Repas,€53,,
CHIESI SA,Médecin,BAREL REMY,16/01/2014,Repas,€53,,
CHIESI SA,Médecin,BAREL REMY,11/10/2013,Repas,€34,,
CHIESI SA,Médecin,BAREL REMY,14/02/2014,Repas,€31,,
CHIESI SA,Médecin,BENZAKEN ATTIA LYNE,16/01/2014,Repas,€53,,
CHIESI SA,Médecin,BETTENDORF ALAIN,31/01/2014,Autre : INSCRIPTION,€200,,
CHIESI SA,Médecin,BETTENDORF ALAIN,31/01/2014,Transport,€168,,
CHIESI SA,Médecin,BETTENDORF ALAIN,03/12/2013,Repas,€61,,
CHIESI SA,Médecin,BETTENDORF ALAIN,16/04/2014,Repas,€50,,
CHIESI SA,Médecin,BETTENDORF ALAIN,07/11/2013,Repas,€31,,
CHIESI SA,Médecin,CASELLES DIDIER,28/01/2014,Repas,€53,,
CHIESI SA,Médecin,CORALLINI TEISSIER MARIE MADELEINE,16/01/2014,Repas,€53,,
CHIESI SA,Médecin,DAKNOU PATRICK,31/01/2014,Repas,€31,,
CHIESI SA,Médecin,DEURRIEUX GERARD,15/10/2013,Repas,€49,,
CHIESI SA,Médecin,DEURRIEUX GERARD,13/03/2014,Repas,€48,,
CHIESI SA,Médecin,DUFFAUD DAHAN MARTINE,06/11/2013,Repas,€53,,
CHIESI SA,Médecin,GORINI JEAN PIERRE,06/11/2013,Repas,€53,,
CHIESI SA,Médecin,HIPPOLYTE STEPHAN,16/01/2014,Repas,€53,,
CHIESI SA,Médecin,LEONARDI DOMINIQUE,13/03/2014,Repas,€48,,
CHIESI SA,Médecin,LUSTGARTEN GRILLOT VERONIQUE,15/10/2013,Repas,€49,,
CHIESI SA,Médecin,MAS DIDIER,03/12/2013,Repas,€61,,
CHIESI SA,Médecin,MAS DIDIER,09/12/2013,Repas,€53,,
CHIESI SA,Médecin,MAS DIDIER,18/03/2014,Repas,€41,,
CHIESI SA,Médecin,MAS DIDIER,20/11/2013,Repas,€50,,
CHIESI SA,Médecin,MAS DIDIER,23/09/2013,Repas,€38,,
CHIESI SA,Médecin,MORAND JEAN PIERRE,06/11/2013,Repas,€53,,
CHIESI SA,Médecin,NAVARRO ROUIMI RUTH,07/11/2013,Repas,€31,,
CHIESI SA,Médecin,PERADOTTO JEAN,15/10/2013,Repas,€49,,
CHIESI SA,Médecin,PERADOTTO JEAN,13/03/2014,Repas,€48,,
CHIESI SA,Médecin,PEREIRA CORTESE CECILE,03/12/2013,Repas,€23,,
CHIESI SA,Médecin,PIGEARIAS BERNARD,11/10/2013,Repas,€34,,
CHIESI SA,Médecin,PIGEARIAS BERNARD,14/02/2014,Repas,€31,,
CHIESI SA,Médecin,ROTH VINCENT,28/01/2014,Repas,€53,,
CHIESI SA,Médecin,SAUZE STEPHANIE,28/01/2014,Repas,€53,,
CHIESI SA,Médecin,THAON JEAN FRANCOIS,31/01/2014,Repas,€31,,
CHIESI SA,Médecin,VIGNY VERGINE ISABELLE,13/03/2014,Repas,€48,,
CHIESI SA,Médecin,VIGNY VERGINE ISABELLE,03/12/2013,Repas,€61,,
CHIESI SA,Médecin,VIGNY VERGINE ISABELLE,11/10/2013,Repas,€34,,
CHIESI SA,Médecin,VIGNY VERGINE ISABELLE,14/02/2014,Repas,€31,,
Cochlear France,Audioprothésiste,DOUILLY AUDREY,27/09/2013,TRANSPORT,€645,,
Cochlear France,Audioprothésiste,DOUILLY AUDREY,02/10/2013,HEBERGEMENT,€140,,
Cochlear France,Audioprothésiste,DOUILLY AUDREY,01/10/2013,REPAS,€48,,
colgate palmolive,Chirurgien-dentiste,ALI MOHAMED,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,ALI MOHAMED,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,ASSAYAG MARTINE,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,BAILET ROMAIN,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,BENSABAT MARC,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,BEZZINA MARIELLE,18/09/2013,REPAS,€36,,
colgate palmolive,Chirurgien-dentiste,BOURGEOIS LUCIANE,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,BRAKA JEAN MARC,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,BRAKA PIERRE,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,CARLIN PHILIPPE,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,CIRAVEGNA JEREMY,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,CLEMENT JULIEN,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,DELIS BENEDICTE,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,HAGAGE FRANCK,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,HOURS HERVE,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,JUVEN ANNIE,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,KAMOUN GILBERT,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,KHOCHMAN MAHER,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,LAROUSSE JEAN MICHEL,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,LEYMARIE SYLVAIN,04/10/2013,REPAS,€31,,
colgate palmolive,Chirurgien-dentiste,MARCIL GUILLAUME,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,MARIA PHILIPPE,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,MOURARET SYLVAIN,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,MOURARET SYLVAIN,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,REBIBO MICHEL,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,RENKIN PAUL,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,SAMUT ARNAUD,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,SCORTECCI GERARD,07/11/2013,REPAS,€15,,
colgate palmolive,Chirurgien-dentiste,SOUDIN JEAN MARC,07/11/2013,REPAS,€15,,
colgate palmolive,Etudiant,CHETRY JEAN PIERRE,07/11/2013,REPAS,€15,,
colgate palmolive,Etudiant,CHETRY JEAN PIERRE,07/11/2013,REPAS,€15,,
colgate palmolive,Etudiant,CHETRY JEAN PIERRE,07/11/2013,REPAS,€15,,
colgate palmolive,Etudiant,COULOT CYRILLE,07/11/2013,REPAS,€15,,
colgate palmolive,Etudiant,HATCHUEL MAXIME,07/11/2013,REPAS,€15,,
colgate palmolive,Etudiant,LEROUX GUILLAUME,07/11/2013,REPAS,€15,,
colgate palmolive,Etudiant,MILOUDI RADOUANE,07/11/2013,REPAS,€15,,
colgate palmolive,Etudiant,RICHARD CECILIA,07/11/2013,REPAS,€15,,
CONGRES COLLOQUES CONVENTIONS,Etudiant,CARANTA FLORE,01/02/2014,REPAS,€30,,
ConsuMed Research,Médecin,CASSUTO Elisabeth,12/06/2013,Autre : Indemnite,€130,,
ConsuMed Research,Médecin,MAGNE Nicolas,26/05/2014,Autre : Indemnite,€120,,
ConsuMed Research,Médecin,MAGNE Nicolas,29/07/2013,Autre : Indemnite,€110,,
ConsuMed Research,Médecin,MAGNE Nicolas,28/06/2013,Autre : Indemnite,€90,,
ConsuMed Research,Médecin,MAGNE Nicolas,17/12/2013,Autre : Indemnite,€160,,
ConsuMed Research,Médecin,SAMAK ValÃrie,30/08/2013,Autre : Indemnite,€20,,
Cook France SARL,Manipulateur d’électroradiologie médicale,ROSSI CYNTHIA,31/01/2014,REPAS,€70,,
Cook France SARL,Manipulateur d’électroradiologie médicale,ROSSI CYNTHIA,31/01/2014,REPAS,€70,,
Cook France SARL,Médecin,ANDREANI OLIVIER,25/03/2014,REPAS,€20,,
Cook France SARL,Médecin,BAUDIN GUILLAUME,04/06/2014,REPAS,€60,,
Cook France SARL,Médecin,BAUDIN GUILLAUME,31/01/2014,REPAS,€70,,
Cook France SARL,Médecin,CHEVALLIER PATRICK,04/06/2014,REPAS,€60,,
Cook France SARL,Médecin,CHEVALLIER PATRICK,31/01/2014,REPAS,€60,,
Cook France SARL,Médecin,MARQUETTE CHARLES-HUGO,01/02/2014,REPAS,€21,,
Cook France SARL,Médecin,PAQUIS PHILIPPE,25/03/2014,REPAS,€20,,
Cook France SARL,Médecin,PAQUIS PHILIPPE,25/03/2014,REPAS,€20,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,30/01/2014,REPAS,€65,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,30/01/2014,REPAS,€15,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,09/04/2014,REPAS,€14,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,16/01/2014,REPAS,€20,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,27/03/2014,REPAS,€20,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,09/04/2014,REPAS,€14,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,30/01/2014,REPAS,€15,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,30/01/2014,REPAS,€65,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,27/03/2014,REPAS,€20,,
Cook France SARL,Médecin,VANBIERVLIET GEOFFROY,30/01/2014,REPAS,€65,,
COOPERVISION SAS,Médecin,CARBONEL JEAN-CLAUDE,19/11/2013,REPAS,€60,,
COOPERVISION SAS,Médecin,CARBONNEL JEAN CLAUDE,27/05/2014,REPAS,€50,,
COOPERVISION SAS,Médecin,GRAMFORT CHRISTINE,19/11/2013,REPAS,€60,,
COOPERVISION SAS,Opticien-lunetier,LEVY JEREMI,13/05/2014,REPAS,€60,,
COOPERVISION SAS,Opticien-lunetier,LEVY JEREMY,22/10/2013,REPAS,€17,,
COOPERVISION SAS,Opticien-lunetier,MONTI SEBASTIEN,13/05/2014,REPAS,€60,,
COOPERVISION SAS,Opticien-lunetier,MONTI SEBASTIEN,22/10/2013,REPAS,€17,,
COOPERVISION SAS,Opticien-lunetier,PASCAL BARRE,22/10/2013,REPAS,€17,,
COOPERVISION SAS,Opticien-lunetier,PELLEGRINI RACHEL,13/05/2014,REPAS,€60,,
COOPERVISION SAS,Opticien-lunetier,PELLEGRINO RACHEL,22/10/2013,REPAS,€17,,
CORDIS,Infirmier,REZIG BILEL,25/09/2013,INSCRIPTION,€299,,
CORDIS,Infirmier,REZIG BILEL,21/08/2013,REPAS,€37,,
CORDIS,Infirmier,REZIG BILEL,25/09/2013,HEBERGEMENT,€356,,
CORDIS,Infirmier,REZIG BILEL,25/09/2013,TRANSPORT,€179,,
CORDIS,Médecin,THIRY MICHEL,25/09/2013,REPAS,€83,,
CORDIS,Médecin,THIRY MICHEL,25/09/2013,HEBERGEMENT,€92,,
CORDIS,Médecin,THIRY MICHEL,25/09/2013,TRANSPORT,€557,,
Covidien AG,Médecin,CHASTANET SYLVAIN,07/04/2013,REPAS,€86,,
Covidien AG,Médecin,PITTALUGA PAUL,07/04/2013,REPAS,€86,,
COVIDIEN FRANCE S.A.S.,Etablissement de santé,CHU DE NICE HOPITAL DE L ARCHET,31/10/2013,REPAS,€980,,
COVIDIEN FRANCE S.A.S.,Etablissement de santé,CTRE HOSPITALIER UNIVERSITAIRE DE NICE - HOPITAL PASTEUR,16/12/2013,REPAS,€43,,
COVIDIEN FRANCE S.A.S.,Médecin,IANNELLI ANTONIO,22/05/2014,REPAS,€39,,
COVIDIEN FRANCE S.A.S.,Médecin,SCHNECK ANNE-SOPHIE,31/10/2013,REPAS,€25,,
CROMA,Médecin,Franco Michel,10/06/2014,Restauration,€40,,
CROMA,Médecin,Garcia Hanez Ghislaine,01/02/2014,Restauration,€65,,
CROMA,Médecin,Garcia Hanez Ghislaine,02/04/2014,Restauration,€26,,
CROMA,Médecin,Grisot Christian,23/01/2014,Hospitalité,€246,,
CROMA,Médecin,Grisot Christian,13/03/2014,Déplacement,€254,,
CROMA,Médecin,Hanez Garcia Ghislaine,18/12/2013,Restauration,€40,,
CROMA,Médecin,Hanez Garcia Ghislaine,19/10/2013,Restauration,€25,,
CROMA,Médecin,Hanez Garcia Ghislaine,31/12/2013,Inscription,€680,,
CROMA,Médecin,Hanez Garcia Ghislaine,24/10/2013,Restauration,€31,,
CROMA,Médecin,Laborde Fyriel,07/02/2014,Restauration,€25,,
CROMA,Médecin,Laborde Fyriel,24/10/2013,Restauration,€25,,
CROMA,Médecin,Laborde Fyriel,26/06/2014,Restauration,€33,,
CROMA,Médecin,Leloire Philippe,10/06/2014,Restauration,€40,,
CROMA,Médecin,Mandrino Alain,07/02/2014,Restauration,€25,,
CROMA,Médecin,Palmaro Jean-Claude,12/05/2014,Déplacement,€243,,
CROMA,Médecin,Ranaldi Bernard,28/04/2014,Restauration,€39,,
CROMA,Médecin,Ranaldi Bertrand,31/03/2014,Restauration,€27,,
CROMA,Médecin,Saubiez Catherine,01/02/2014,Restauration,€65,,
CROMA,Médecin,Saubiez Lion Catherine,04/04/2014,Restauration,€35,,
Cyberonics SA,Médecin,Chivoret Nathalie,18/06/2014,REPAS,€13,,
Cyberonics SA,Médecin,Chivoret Nathalie,15/06/2014,REPAS,€33,,
DAIICHI SANKYO FRANCE SAS,Etudiant,SCHOUVER ELIE,30/01/2014,Repas,€36,,
DAIICHI SANKYO FRANCE SAS,Médecin,ADDA MICHEL,09/07/2013,Repas,€14,,
DAIICHI SANKYO FRANCE SAS,Médecin,AMAR DAVID,19/06/2014,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,ASSELIN BOCQUET CLAUDINE,28/01/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ASSELIN BOCQUET CLAUDINE,24/04/2014,Repas,€44,,
DAIICHI SANKYO FRANCE SAS,Médecin,BIAGIOTTI GUY,09/07/2013,Repas,€14,,
DAIICHI SANKYO FRANCE SAS,Médecin,BIAGIOTTI GUY,11/03/2014,Repas,€10,,
DAIICHI SANKYO FRANCE SAS,Médecin,BONNEMAISO ALAIN,07/03/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,DEURRIEUX GERARD,17/09/2013,Repas,€55,,
DAIICHI SANKYO FRANCE SAS,Médecin,DURAND PHILIPPE,07/09/2013,Hospitalité,€158,,
DAIICHI SANKYO FRANCE SAS,Médecin,DURAND PHILIPPE,07/09/2013,Repas,€92,,
DAIICHI SANKYO FRANCE SAS,Médecin,FERNEZ LIONEL,04/07/2013,Repas,€26,,
DAIICHI SANKYO FRANCE SAS,Médecin,FERNEZ LIONEL,23/09/2013,Repas,€29,,
DAIICHI SANKYO FRANCE SAS,Médecin,FREYCHET LAURENT,24/04/2014,Repas,€44,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUTHIER JACQUES,07/09/2013,Repas,€92,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUTHIER JACQUES,17/07/2013,Repas,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUTHIER JACQUES,07/09/2013,Repas,€92,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUTHIER JACQUES,23/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIACCHERO JOEL,03/09/2013,Repas,€15,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIACCHERO JOEL,03/10/2013,Repas,€14,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIACCHERO JOEL,06/03/2014,Repas,€13,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIACCHERO JOEL,10/03/2014,Repas,€33,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIACCHERO JOEL,14/02/2014,Repas,€22,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIACCHERO JOEL,27/01/2014,Repas,€12,,
DAIICHI SANKYO FRANCE SAS,Médecin,GUIRAN JEAN CHARLES,03/10/2013,Repas,€14,,
DAIICHI SANKYO FRANCE SAS,Médecin,GUIRAN JEAN CHARLES,06/03/2014,Repas,€13,,
DAIICHI SANKYO FRANCE SAS,Médecin,GUIRAN JEAN CHARLES,03/09/2013,Repas,€15,,
DAIICHI SANKYO FRANCE SAS,Médecin,GUIRAN JEAN CHARLES,14/02/2014,Repas,€22,,
DAIICHI SANKYO FRANCE SAS,Médecin,GUIRAN JEAN CHARLES,27/01/2014,Repas,€12,,
DAIICHI SANKYO FRANCE SAS,Médecin,HUGUES THOMAS,03/10/2013,Repas,€14,,
DAIICHI SANKYO FRANCE SAS,Médecin,HUGUES THOMAS,06/03/2014,Repas,€13,,
DAIICHI SANKYO FRANCE SAS,Médecin,HUGUES THOMAS,03/09/2013,Repas,€15,,
DAIICHI SANKYO FRANCE SAS,Médecin,JOLIVET THIERRY,09/10/2013,Repas,€28,,
DAIICHI SANKYO FRANCE SAS,Médecin,JOLIVET THIERRY,03/07/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,KALLE ROGER,27/01/2014,Repas,€12,,
DAIICHI SANKYO FRANCE SAS,Médecin,LODOVICI FRANCOIS,10/01/2014,Repas,€41,,
DAIICHI SANKYO FRANCE SAS,Médecin,LODOVICI FRANCOIS,12/07/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,LOZANO JEAN YVES,18/06/2014,Repas,€36,,
