3M France,Chirurgien-dentiste,GRATADOUR AGNES,06/02/2014,REPAS,€18,,
BIOTRONIK FRANCE SAS,Médecin,BARRAUD PASCAL,26/02/2014,REPAS,€22,,
BIOTRONIK FRANCE SAS,Médecin,MANSON LUC,21/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Médecin,PHILIPPOT FRANCOIS,20/07/2013,REPAS,€38,,
BIOTRONIK FRANCE SAS,Médecin,PHILIPPOT FRANCOIS,16/07/2013,REPAS,€24,,
BIOTRONIK FRANCE SAS,Médecin,PHILIPPOT FRANCOIS,22/01/2014,REPAS,€24,,
BIOTRONIK FRANCE SAS,Médecin,SCHANDRIN CHRISTIAN,16/07/2013,REPAS,€24,,
BIOTRONIK FRANCE SAS,Pharmacien,CROUZEIX MURIEL,21/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Pharmacien,MOPTY CELINE,21/01/2014,REPAS,€50,,
BIOTRONIK FRANCE SAS,Pharmacien,SOUILLAT XAVIER,21/01/2014,REPAS,€50,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ARVEUF GWENAELLE,10/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRUNEHAUT PETAUT MYRIAM,10/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRUNEHAUT PETAUT MYRIAM,17/07/2013,HOSPITALITE,€26,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRUNEHAUT PETAUT MYRIAM,27/03/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CHARDON CLAUDE,10/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GAUTHIER PIERRE,19/06/2013,HOSPITALITE,€494,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GBONON JEAN MARIE,10/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PETIT MICHEL,08/07/2013,HOSPITALITE,€28,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PETIT MICHEL,05/12/2013,HOSPITALITE,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PETIT MICHEL,10/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PETIT MICHEL,27/03/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PETIT MICHEL,16/01/2014,HOSPITALITE,"€1,177",,
BOEHRINGER INGELHEIM FRANCE,Médecin,RUDE BACHE MORGANE,12/12/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TARTIERE DIDIER,10/10/2013,HOSPITALITE,€55,,
BOIRON,Médecin,BALLAND ANNIE,09/10/2013,[REPAS],€44,,
BOIRON,Médecin,GANESCO MARIE HELENE,10/10/2013,[REPAS],€46,,
BOIRON,Médecin,JOUAVILLE NOEL FLORENCE,28/04/2014,[REPAS],€23,,
BOIRON,Médecin,JOUAVILLE-NOEL FLORENCE,28/04/2014,[REPAS],€23,,
BOIRON,Médecin,KIBLER MARIE-PAULE,04/04/2014,[REPAS],€27,,
BOIRON,Médecin,KIBLER MARIE-PAULE,15/05/2014,[REPAS],€53,,
BOIRON,Médecin,KIBLER MARIE-PAULE,04/04/2014,[REPAS],€27,,
BOIRON,Médecin,NIVET PIERRELINE,15/05/2014,[REPAS],€21,,
BOIRON,Médecin,POUZADOUX MARIE LAURE,20/02/2014,[REPAS],€47,,
BOIRON,Médecin,RAFFIER CATHERINE,10/10/2013,[REPAS],€46,,
BOIRON,Sage-femme,VILLET MARIE PIERRE,20/02/2014,[REPAS],€47,,
BOSTON SCIENTIFIC SAS,Médecin,BARRAUD PASCAL,03/01/2014,REPAS,€80,,
BOSTON SCIENTIFIC SAS,Médecin,BARRAUD PASCAL,21/11/2013,REPAS,€23,,
BOSTON SCIENTIFIC SAS,Médecin,LUNAUD BERNARD,31/03/2014,REPAS,€39,,
BOSTON SCIENTIFIC SAS,Médecin,LUNAUD BERNARD,02/04/2014,REPAS,€31,,
BOSTON SCIENTIFIC SAS,Médecin,LUNAUD BERNARD,04/04/2014,REPAS,€55,,
BOSTON SCIENTIFIC SAS,Médecin,PHILIPPOT FRANCOIS,03/01/2014,REPAS,€80,,
BOSTON SCIENTIFIC SAS,Médecin,PHILIPPOT FRANCOIS,30/05/2013,REPAS,€69,,
BOSTON SCIENTIFIC SAS,Médecin,PHILIPPOT FRANCOIS,19/12/2013,REPAS,€31,,
BOSTON SCIENTIFIC SAS,Médecin,PHILIPPOT FRANCOIS,20/02/2014,REPAS,€33,,
BOSTON SCIENTIFIC SAS,Médecin,SCHANDRIN CHRISTIAN,03/07/2013,REPAS,€25,,
BRISTOL-MYERS SQUIBB,Médecin,BONNEAU PATRICK,13/02/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,BRUNEHAUT PETAUT MYRIAM,18/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,CHARDON CLAUDE,13/02/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,FANGET JEAN YVES,15/10/2013,Repas,€36,,
BRISTOL-MYERS SQUIBB,Médecin,FANGET JEAN YVES,13/02/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,GBONON JEAN MARIE,18/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,GILARD JEAN MARC,13/02/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,HADDOU FABRICE,13/02/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,PETIT MICHEL,18/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,PETIT MICHEL,09/04/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,SCHWARTZ DOMINIQUE,15/10/2013,Repas,€36,,
CHIESI SA,Médecin,ARVEUF GWENAELLE,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,BONNEAU PATRICK,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,BONNEAU PATRICK,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,BRUNEHAUT PETAUT MYRIAM,03/10/2013,Repas,€47,,
CHIESI SA,Médecin,CARLA HERVE,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,CARLA HERVE,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,CHARDON CLAUDE,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,CHARDON CLAUDE,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,CHARTRON CORINNE,03/10/2013,Repas,€47,,
CHIESI SA,Médecin,DOLY JEAN BAPTISTE,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,DOLY KUCHCIK LUDIVINE,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,FANGET JEAN YVES,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,FANGET JEAN YVES,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,GILARD JEAN MARC,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,GILARD JEAN MARC,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,HADDOU FABRICE,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,HADDOU FABRICE,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,HAGER PATRICIA,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,HAGER PATRICIA,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,LEYENDECKER SYLVIE,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,LEYENDECKER SYLVIE,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,PELLISSIER MERLE GENEVIEVE,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,PERRIOT JEAN LOUIS,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,PONS PASCAL,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,PONS PASCAL,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,SEBAUX EDITH,17/10/2013,Repas,€20,,
CHIESI SA,Médecin,TARTIERE DIDIER,18/02/2014,Repas,€50,,
CHIESI SA,Médecin,TARTIERE DIDIER,17/12/2013,Repas,€48,,
CHIESI SA,Médecin,TIBOULET GUILLAUME,17/12/2013,Repas,€48,,
CHUGAI PHARMA FRANCE,Association professionnel de santé,CENTRE D ETUDES DES MALADIES DU SANG BENIGNES ET MALIGNES,10/11/2013,DONS,"€3,000",,
Conceptus SAS,Médecin,ACCOCEBERRY Marie,22/11/2013,HOSPITALITÉ,€14,,
Conceptus SAS,Médecin,BOTCHORICHVILI Revaz,22/11/2013,HOSPITALITÉ,€14,,
Conceptus SAS,Médecin,BOURDEL Nicolas,22/11/2013,HOSPITALITÉ,€14,,
Conceptus SAS,Médecin,CAMPAGNE-LOISEAU Sandrine,22/11/2013,HOSPITALITÉ,€14,,
Conceptus SAS,Médecin,CURINIER Sandra,22/11/2013,HOSPITALITÉ,€14,,
Conceptus SAS,Médecin,FOLINI Xavier,22/11/2013,HOSPITALITÉ,€14,,
Conceptus SAS,Médecin,GREMEAU Anne-Sophie,22/11/2013,HOSPITALITÉ,€14,,
Conceptus SAS,Médecin,HOULLE Céline,22/11/2013,HOSPITALITÉ,€14,,
Conceptus SAS,Médecin,ROSSI Amélie,22/11/2013,HOSPITALITÉ,€14,,
CONGRES COLLOQUES CONVENTIONS,Médecin,GILARD JEAN MARC,21/09/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,PASCAL PHILIPPE,21/09/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,PASCAL FURNESTIN GENEVIEVE,21/09/2013,REPAS,€30,,
COOPERVISION SAS,Opticien-lunetier,MAUDET EMILIE,07/03/2014,REPAS,€35,,
COOPERVISION SAS,Opticien-lunetier,PERIER VIRGINIE,11/07/2013,REPAS,€51,,
COOPERVISION SAS,Opticien-lunetier,SALERNO EMMANUEL,11/07/2013,REPAS,€51,,
COOPERVISION SAS,Opticien-lunetier,VACHAL ALEXIA,11/07/2013,REPAS,€51,,
COSMETIQUE ACTIVE FRANCE,Etudiant,BRUNET SOPHIE,20/02/2014,AUTRE: [MATERIEL],€150,,
COSMETIQUE ACTIVE FRANCE,Etudiant,GAUDRON SOPHIE,23/01/2014,REPAS,€13,,
COSMETIQUE ACTIVE FRANCE,Etudiant,GAUDRON SOPHIE,27/06/2013,AUTRE,€24,,
COSMETIQUE ACTIVE FRANCE,Etudiant,HASSAN AMR,10/01/2014,INSCRIPTION CONGRES,€120,,
COSMETIQUE ACTIVE FRANCE,Etudiant,JUGIEU ANGELIQUE,19/05/2014,REPAS,€40,,
COSMETIQUE ACTIVE FRANCE,Etudiant,JUGIEU ANGELIQUE,23/01/2014,REPAS,€40,,
COSMETIQUE ACTIVE FRANCE,Etudiant,LANOTE INES,28/01/2014,INSCRIPTION CONGRES,€150,,
COSMETIQUE ACTIVE FRANCE,Etudiant,MEYER AURORE,23/01/2014,REPAS,€13,,
COSMETIQUE ACTIVE FRANCE,Etudiant,MEYER AURORE,10/01/2014,INSCRIPTION CONGRES,€121,,
COSMETIQUE ACTIVE FRANCE,Médecin,FERRIER-LE-BOUEDEC MARIE CHRISTINE,12/12/2013,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Médecin,GOUYON ISABELLE,24/04/2014,VOYAGES D'AGREMENT,"€1,184",,
COSMETIQUE ACTIVE FRANCE,Médecin,LAMOTTE INES,12/12/2013,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Médecin,MANSARD SANDRINE,23/01/2014,REPAS,€13,,
COSMETIQUE ACTIVE FRANCE,Médecin,PIECH CHARLOTTE,23/01/2014,REPAS,€13,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,NIVAULT CARINE,23/01/2014,REPAS,€40,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,NIVAULT CARINE,19/05/2014,REPAS,€40,,
Covidien AG,Médecin,HILAL RACHID,10/12/2013,REPAS,€38,,
Covidien AG,Médecin,HILAL RACHID,11/12/2013,REPAS,€52,,
Covidien AG,Médecin,HILAL RACHID,10/12/2013,REPAS,€56,,
Covidien AG,Médecin,HILAL RACHID,10/12/2013,TRANSPORT,€304,,
Covidien AG,Médecin,HILAL RACHID,10/12/2013,HOTEL/HEBERGEMENT,€423,,
COVIDIEN FRANCE S.A.S.,Médecin,SABLONNIERE MICHEL,26/09/2013,REPAS,€36,,
DAIICHI SANKYO FRANCE SAS,Médecin,BALLAND ANNIE,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,BONNEAU PATRICK,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,CARLA HERVE,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHARDON CLAUDE,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHARTRON CORINNE,25/09/2013,Repas,€57,,
DAIICHI SANKYO FRANCE SAS,Médecin,DOLY JEAN BAPTISTE,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,FANGET JEAN YVES,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,GILARD JEAN MARC,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,HADDOU FABRICE,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,HAGER PATRICIA,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEYENDECKER SYLVIE,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,PELLISSIER MERLE GENEVIEVE,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,PETIT MICHEL,23/01/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,PETIT MICHEL,04/06/2014,Repas,€43,,
DAIICHI SANKYO FRANCE SAS,Médecin,PONS PASCAL,17/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,SCHWARTZ DOMINIQUE,22/05/2014,Repas,€28,,
DENTSPLY Implants,Chirurgien-dentiste,ENJOLRAS THIBAULT,16/12/2013,REPAS,€50,,
DEPUY France,Médecin,COTTALORDA francois,24/06/2014,REPAS,€85,,
DEPUY France,Médecin,COTTALORDA francois,24/06/2014,HEBERGEMENT,€249,,
DEPUY France,Médecin,COTTALORDA francois,24/06/2014,TRANSPORT,€452,,
DEPUY France,Médecin,COTTALORDA francois,30/01/2014,REPAS,€45,,
DIASORIN SA,Technicien de laboratoire médical,BESSON SEBASTIEN,03/06/2014,restauration,€49,,
DIASORIN SA,Technicien de laboratoire médical,BESSON SEBASTIEN,03/06/2014,restauration,€28,,
DIASORIN SA,Technicien de laboratoire médical,BESSON SEBASTIEN,04/06/2014,restauration,€34,,
DIASORIN SA,Technicien de laboratoire médical,Mackowiak Suzy,14/05/2014,restauration,€103,,
DJO France SAS,Pharmacien,BRANDE LUIS,26/06/2014,Repas,€10,,
EDWARDS LIFESCIENCES,Etudiant,BOUCHET PAMELA,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,BRUHAT CLEMENTINE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,DELARNE ANTOINE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,DELMAS JULIE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,GIRARD ANAIS,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,GRANDAURO NALOU,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,IMHOF ETIENNE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,PASIM JULIE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,PERRET SOPHIE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,REANGIS MARIE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Etudiant,VERNIANT JULIE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,BUISSSON LOUISE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,GARRA PIERRE HENRI,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,GAVUD PASCALE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,ISOARD JACQUES,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,JENTALON AMELIE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,LAGARRIGUE SOPHIE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,LOUBEYRE MARGAUX,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,PINON ROMAIN,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,RIBEIRO ELIANE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Infirmier,TOUILE NAJATE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Médecin,ARPAGOU GAUTHIER,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Médecin,BES ALEXIS,11/10/2013,REPAS,€25,,
EDWARDS LIFESCIENCES,Médecin,CAMOT SOPHIE,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Médecin,DE ROY BERTRAND,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Médecin,GOURBE FELIX,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Médecin,PEZET DENIS,24/04/2014,REPAS,€36,,
EDWARDS LIFESCIENCES,Médecin,SLIM KAREM,24/04/2014,REPAS,€36,,
EFFIK,Médecin,GANESCO MARIE HELENE,06/02/2014,REPAS,€55,,
EFFIK,Médecin,KIBLER MARIE PAULE,15/04/2014,REPAS,€55,,
EFFIK,Médecin,KIBLER MARIE PAULE,23/10/2013,REPAS,€50,,
EFFIK,Médecin,KIBLER MARIE PAULE,28/01/2014,REPAS,€55,,
EFFIK,Médecin,RAFFIER CATHERINE,05/09/2013,REPAS,€52,,
EFFIK,Médecin,ROBERT CHRISTIANE,20/02/2014,INSCRIPTION CONGRES,€120,,
EISAI SAS,Infirmier,PIRONY SANDRA,22/10/2013,REPAS,€16,,
ETHICON,Aide soignant,BAYLE CHANTAL,07/11/2013,REPAS,€60,,
ETHICON,Infirmier,CHAMPEYROUX LAURE,07/11/2013,HOSPITALITE,€60,,
ETHICON,Infirmier,MORDEFROID RÉGINE,26/09/2013,HOSPITALITE,€30,,
ETHICON,Infirmier,MORDEFROID RÉGINE,19/06/2014,REPAS,€60,,
ETHICON,Infirmier,MORDEFROID RÉGINE,17/10/2013,REPAS,€60,,
ETHICON,Infirmier,MORDEFROID RÉGINE,07/03/2014,REPAS,€49,,
ETHICON,Infirmier,MORDEFROID RÉGINE,11/12/2013,REPAS,€44,,
ETHICON,Infirmier,TEISSIER GUILLAUME,07/11/2013,HOSPITALITE,€60,,
ETHICON,Infirmier,TICHIT PATRICIA,07/11/2013,REPAS,€60,,
ETHICON,Médecin,COTTALORDA francois,11/04/2014,TRANSPORT,€392,,
ETHICON,Médecin,COTTALORDA francois,11/04/2014,REPAS,€70,,
ETHICON,Médecin,LAUTARD MICHEL,16/10/2013,REPAS,€60,,
ETHICON,Médecin,LAUTARD MICHEL,03/07/2013,REPAS,€60,,
ETHICON,Médecin,LOINTIER PATRICE,19/06/2014,REPAS,€60,,
ETHICON,Médecin,LOINTIER PATRICE,24/04/2013,REPAS,€60,,
ETHICON,Médecin,LOINTIER PATRICE,17/10/2013,REPAS,€60,,
ETHICON,Médecin,LOINTIER PATRICE,19/03/2013,REPAS,€51,,
ETHICON,Médecin,LOINTIER PATRICE,07/03/2014,REPAS,€49,,
ETHICON,Médecin,LOINTIER PATRICE,11/12/2013,REPAS,€44,,
EUSA PHARMA SAS,Etudiant,JOBE JUSTINE,14/01/2014,RESTAURATION,€16,,
EUSA PHARMA SAS,Etudiant,MARIDET SARAH,14/01/2014,RESTAURATION,€16,,
EUSA PHARMA SAS,Etudiant,PAGNAT MATHILDE,14/01/2014,RESTAURATION,€16,,
EUSA PHARMA SAS,Infirmier,USCLADE ALEXANDRE,14/01/2014,RESTAURATION,€16,,
EUSA PHARMA SAS,Médecin,ISFAN FLORENTINA,14/01/2014,RESTAURATION,€16,,
EUSA PHARMA SAS,Médecin,JOSÉ ERIC,14/01/2014,RESTAURATION,€16,,
EUSA PHARMA SAS,Médecin,KANOLD JUSTYNA,14/01/2014,RESTAURATION,€16,,
EUSA PHARMA SAS,Médecin,MERLIN ETIENNE,14/01/2014,RESTAURATION,€16,,
FERRING SAS,Médecin,ATGER MARC,26/06/2014,Repas,€22,,
FERRING SAS,Médecin,BOUCULAT FRANCOIS,17/04/2014,Repas,€60,,
FERRING SAS,Médecin,BOUCULAT FRANCOIS,04/02/2014,Repas,€15,,
FERRING SAS,Médecin,CRAMPON DELPHINE,19/05/2014,Repas,€60,,
FERRING SAS,Médecin,FRANCANNET PHILIPPE,26/06/2014,Repas,€22,,
FERRING SAS,Médecin,FRANCANNET PHILIPPE,10/02/2014,Repas,€22,,
FERRING SAS,Médecin,LEPRISE PHILIPPE,26/06/2014,Repas,€22,,
FERRING SAS,Médecin,LONG BERTRAND,26/06/2014,Repas,€22,,
FERRING SAS,Médecin,LUNAUD BERNARD,19/05/2014,Repas,€60,,
FERRING SAS,Médecin,MALKOUN NADIA,12/06/2014,Repas,€43,,
FERRING SAS,Médecin,MATHIEU STEPHANE,19/05/2014,Repas,€60,,
FERRING SAS,Médecin,PELISSIER ERIC,19/05/2014,Repas,€60,,
FERRING SAS,Médecin,RAOUX PHILIPPE,19/05/2014,Repas,€60,,
FERRING SAS,Médecin,ROCAS PIERRE,17/04/2014,Repas,€60,,
FERRING SAS,Médecin,SAVAREUX LAURENT,26/06/2014,Repas,€22,,
FRESENIUS KABI FRANCE,Infirmier,BERNE MARINA,19/03/2014,AUTRE: STAFF,€10,,
FRESENIUS KABI FRANCE,Infirmier,CHABRILLAT PATRICIA,19/03/2014,AUTRE: STAFF,€10,,
FRESENIUS KABI FRANCE,Infirmier,SARDA CAROLINE,16/04/2014,AUTRE: STAFF,€16,,
FRESENIUS KABI FRANCE,Médecin,LAUTARD MICHEL,21/11/2013,AUTRE : EPU,€25,,
FRESENIUS KABI FRANCE,Médecin,SABLONNIERE MICHEL,21/11/2013,AUTRE : EPU,€25,,
GAMBRO HOSPAL SAS,Infirmier,DA SILVA CHRISTINE,18/03/2014,HEBERGEMENT,€422,,
GAMBRO HOSPAL SAS,Infirmier,DA SILVA CHRISTINE,18/03/2014,HEBERGEMENT,€422,,
GAMBRO HOSPAL SAS,Infirmier,DA SILVA CHRISTINE,18/03/2014,TRANSPORT,€78,,
GAMBRO HOSPAL SAS,Infirmier,DA SILVA CHRISTINE,18/03/2014,REPAS,€20,,
GAMBRO HOSPAL SAS,Infirmier,DA SILVA CHRISTINE,19/03/2014,REPAS,€20,,
GAMBRO HOSPAL SAS,Médecin,KLISNICK ARNAUD,05/03/2014,REPAS,€27,,
GAMBRO HOSPAL SAS,Médecin,RANCE CHAPELLE NICOLE,06/03/2014,REPAS,€31,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,CAS CHURIE BERNADETTE,19/06/2014,REPAS,€60,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,KIBLER MARIE PAULE,25/02/2014,REPAS,€44,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,KIBLER MARIE PAULE,19/06/2014,REPAS,€60,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,KIBLER MARIE PAULE,05/12/2013,REPAS,€55,,
GE HEALTHCARE SAS,Médecin,CELLERIER PIERRE,02/10/2013,REPAS PROFESSIONNEL,€51,,
GE HEALTHCARE SAS,Médecin,CELLERIER PIERRE,14/11/2013,REPAS PROFESSIONNEL,€55,,
GE HEALTHCARE SAS,Médecin,CHOUZET STEPHANE,03/12/2013,REPAS PROFESSIONNEL,€60,,
GE HEALTHCARE SAS,Médecin,ISNARD ALAIN,25/02/2014,REPAS PROFESSIONNEL,€16,,
GE HEALTHCARE SAS,Médecin,ISNARD ALAIN,02/10/2013,REPAS PROFESSIONNEL,€51,,
GE HEALTHCARE SAS,Médecin,ISNARD ALAIN,14/11/2013,REPAS PROFESSIONNEL,€60,,
GE HEALTHCARE SAS,Médecin,ISNARD ALAIN,03/12/2013,REPAS PROFESSIONNEL,€55,,
GE HEALTHCARE SAS,Médecin,MISHELLANY HENRY,03/12/2013,REPAS PROFESSIONNEL,€55,,
GE HEALTHCARE SAS,Médecin,PETROU AGNES,03/12/2013,REPAS PROFESSIONNEL,€60,,
GE HEALTHCARE SAS,Médecin,PRIVAT CHRISTIAN,02/10/2013,REPAS PROFESSIONNEL,€51,,
GE HEALTHCARE SAS,Médecin,PRIVAT CHRISTIAN,14/11/2013,REPAS PROFESSIONNEL,€60,,
GE HEALTHCARE SAS,Médecin,TRAVADE ARMELLE,03/12/2013,REPAS PROFESSIONNEL,€60,,
GE HEALTHCARE SAS,Médecin,WEISS SABINE,03/12/2013,REPAS PROFESSIONNEL,€55,,
GILEAD SCIENCES,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHANSEAUME AMANDINE,27/02/2014,REPAS,€10,,
GUERBET France,Médecin,MICHEL-LETONTURIER MAGALIE,10/09/2013,REPAS,€53,,
GUERBET France,Médecin,WEISS SABINE,10/09/2013,REPAS,€53,,
HEMOTECH,Médecin,RANCE-CHAPELLE NICOLE,06/02/2014,REPAS,€31,,
horus pharma,Médecin,SABADEL A. Anne,11/07/2013,Repas,€44,,
horus pharma,Médecin,VESCHAMBRE CAVAROC MC. Marie claude,11/07/2013,Repas,€44,,
horus pharma,Médecin,VESCHAMBRE CAVAROC MC. Marie claude,17/04/2014,Repas,€54,,
ICOMED,Chirurgien-dentiste,ESPANET CORYNE,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,GENDRE PASCAL,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,GENDRE PASCAL,03/06/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,GUILLOT CATHERINE,26/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,GUILLOT CATHERINE,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,MOMEGE CYRILLE,02/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,MOMEGE CYRILLE,29/04/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,ROMANELLI HELENE,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,AVOUAC JULIEN,28/05/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,BALLAND ANNIE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOURBONNAIS BRIGITTE,08/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BRUNEHAUT PETAUT MYRIAM,07/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,BRUNEHAUT PETAUT MYRIAM,26/02/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,CANTIN PATRICE,20/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,CHAMBEFORT CATHERINE,27/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DELVAL LAURENT,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DENIS PIERRE,03/02/2014,Autre: [Enquête],€27,,
