ABBOTT FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TATTU CHARLOTTE,10/04/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLUMEY ERIC,19/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RAFFOUL NADIA,04/12/2013,REPAS,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RAFFOUL NADIA,11/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RAFFOUL NADIA,02/05/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RAFFOUL NADIA,20/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RAFFOUL NADIA,04/12/2013,REPAS,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND BROZZETTI BEATRICE,11/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND BROZZETTI BEATRICE,05/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND BROZZETTI BEATRICE,22/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND BROZZETTI BEATRICE,15/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND BROZZETTI BEATRICE,14/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND BROZZETTI BEATRICE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND BROZZETTI BEATRICE,11/04/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLET JEAN DANIEL,20/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,15/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,04/06/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,10/07/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,06/01/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,01/04/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,09/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,08/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,17/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,29/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,18/02/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,25/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,19/03/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TURBERGUE HENRI,18/04/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,DUMEL EDWIGE,22/05/2012,Hospitalité,€55,,
LABORATOIRES ALCON,Médecin,PLENEY MARTINE,22/04/2014,Repas,€60,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLEMENT VALÉRIE,10/04/2014,REPAS,€49,,
LABORATOIRES BOUCHARA - RECORDATI,Etudiant,LOUCHENE IMAN,13/03/2014,Repas,€41,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BOURGOGNE ERIC,10/04/2014,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DESBIEZ PHILIPPE,10/04/2014,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,TURBERGUE HENRI,05/11/2013,Repas,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,CHAMBERLIN ALAIN,13/03/2014,Repas,€41,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,IMBS JACQUES,02/06/2014,Repas,€13,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,PAIN SYLVIE,10/12/2013,Repas,€47,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,ZONTA SYLVIE,13/03/2014,Repas,€41,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ISABEY ADELINE,13/03/2014,Repas,€41,,
LABORATOIRES COLOPLAST,Infirmier,EMONNOT CHRISTINE,10/12/2013,Repas,€27,,
LABORATOIRES GENEVRIER,Médecin,HAGENMULLER ISABELLE,03/10/2013,REPAS,€30,,
Laboratoires Grünenthal SAS,Médecin,BOTELLA HENRI PIERRE,19/06/2014,REPAS,€36,,
Laboratoires Grünenthal SAS,Médecin,BOURGOGNE ERIC,19/06/2014,REPAS,€36,,
Laboratoires Grünenthal SAS,Médecin,DESBIEZ PHILIPPE,19/06/2014,REPAS,€36,,
Laboratoires Grünenthal SAS,Médecin,PALAMARCZUK JEAN CLAUDE,19/06/2014,REPAS,€36,,
Laboratoires Grünenthal SAS,Médecin,PLUMEY ERIC,13/03/2014,REPAS,€36,,
Laboratoires Grünenthal SAS,Médecin,TURBERGUE HENRI,20/02/2014,REPAS,€53,,
Laboratoires IPRAD PHARMA,Médecin,ROÏC ROSELYNE,21/01/2014,REPAS,€23,,
Laboratoires Leurquin Mediolanum,Médecin,BOURGOGNE ERIC,16/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,DESBIEZ PHILIPPE,22/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,DESBIEZ PHILIPPE,01/04/2014,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,DESBIEZ PHILIPPE,23/05/2014,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,ROLLAND BROZZETTI BEATRICE,28/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TURBERGUE HENRI,05/05/2014,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,TURBERGUE HENRI,11/12/2013,AUTRE,€15,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BOURGOGNE ERIC,31/01/2014,HOSPITALITE,€26,,
LABORATOIRES MAYOLY SPINDLER,Médecin,PLUMEY ERIC,17/06/2014,HOSPITALITE,€50,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,LAMBOEUF DELPHINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,SIMONIN JEANNE,01/12/2013,CADEAUX,€15,,
LABORATOIRES URGO,Infirmier,IMPINI Marlène,15/05/2014,Repas,€44,,
LABORATOIRES URGO,Infirmier,MONNIER Stéphanie,13/06/2014,Repas,€15,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE POURTIER PHARMACIE POURTIER,08/11/2013,REPAS,€19,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE POURTIER PHARMACIE POURTIER,08/11/2013,REPAS,€19,,
LEO Pharma,Médecin,BOTELLA HENRI PIERRE,13/03/2014,REPAS,€40,,
LEO Pharma,Médecin,DESBIEZ PHILIPPE,13/03/2014,REPAS,€40,,
LEO Pharma,Médecin,MORIN GENEVIEVE,03/04/2014,REPAS,€60,,
LEO Pharma,Médecin,MORIN GENEVIEVE,27/03/2013,HEBERGEMENT,€122,,
LEO Pharma,Médecin,MORIN GENEVIEVE,27/03/2013,AUTRE : INSCRIPTION,€240,,
LEO Pharma,Médecin,MORIN GENEVIEVE,25/10/2013,REPAS,€20,,
LEO Pharma,Médecin,PALAMARCZUK JEAN CLAUDE,13/03/2014,REPAS,€40,,
LEO Pharma,Médecin,PETIGNY MARYSE,03/04/2014,REPAS,€60,,
LEO Pharma,Médecin,PETIGNY MARYSE,27/03/2013,HEBERGEMENT,€325,,
LEO Pharma,Médecin,PETIGNY MARYSE,27/03/2013,AUTRE : INSCRIPTION,€240,,
LEO Pharma,Médecin,PLUMEY ERIC,13/02/2014,REPAS,€48,,
LEO Pharma,Médecin,PROVE STEPHANE,30/10/2013,REPAS,€15,,
LEO Pharma,Médecin,PROVE STEPHANE,17/02/2014,REPAS,€30,,
LES LABORATOIRES SERVIER,Médecin,BOTELLA HENRI PIERRE,07/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BOTELLA HENRI PIERRE,24/04/2014,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,BOURGOGNE ERIC,21/02/2014,Repas,€71,,
LES LABORATOIRES SERVIER,Médecin,BOURGOGNE ERIC,21/02/2014,Hébergement,€210,,
LES LABORATOIRES SERVIER,Médecin,BOURGOGNE ERIC,24/04/2014,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,BOURGOGNE ERIC,07/11/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,BOURGOGNE ERIC,07/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BOURGOGNE ERIC,07/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BOURGOGNE ERIC,24/04/2014,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,DAHMANI NASROUDINE,05/10/2013,Hébergement,€613,,
LES LABORATOIRES SERVIER,Médecin,DAHMANI NASROUDINE,05/10/2013,Autre : Inscription,€800,,
LES LABORATOIRES SERVIER,Médecin,DAHMANI NASROUDINE,05/10/2013,Repas,€98,,
LES LABORATOIRES SERVIER,Médecin,DAHMANI NASROUDINE,05/10/2013,Transport,€430,,
LES LABORATOIRES SERVIER,Médecin,DESBIEZ PHILIPPE,07/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DESBIEZ PHILIPPE,07/11/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,DESBIEZ PHILIPPE,24/04/2014,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,GEHIN CATHERINE,18/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,GEHIN CATHERINE,23/05/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PALAMARCZUK J-CLAUDE,07/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PALAMARCZUK J-CLAUDE,07/11/2013,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,PALAMARCZUK J-CLAUDE,24/04/2014,Repas,€40,,
LES LABORATOIRES SERVIER,Médecin,PLUMEY ERIC,19/09/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,PLUMEY ERIC,18/03/2014,Repas,€44,,
LES LABORATOIRES SERVIER,Médecin,ROLLAND-BROZZETTI BEATRICE,29/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,ROLLAND-BROZZETTI BEATRICE,18/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,TURBERGUE HENRI,14/01/2014,Repas,€53,,
LES LABORATOIRES SERVIER,Médecin,TURBERGUE HENRI,10/09/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,TURBERGUE HENRI,10/09/2013,Repas,€55,,
Lilly France SAS,Infirmier,COGNATA CHRISTINE,17/04/2014,REPAS,€61,,
Lilly France SAS,Médecin,BASCH MYRIAM,19/11/2013,REPAS,€19,,
Lilly France SAS,Médecin,BASCH MYRIAM,24/06/2014,REPAS,€12,,
Lilly France SAS,Médecin,BASCH MYRIAM,19/11/2013,REPAS,€19,,
Lilly France SAS,Médecin,GEHIN CATHERINE,22/11/2013,REPAS,€55,,
Lilly France SAS,Médecin,GEHIN CATHERINE,21/03/2014,REPAS,€55,,
Lilly France SAS,Médecin,GEHIN CATHERINE,20/09/2013,REPAS,€55,,
Lilly France SAS,Médecin,PLUMEY ERIC,08/10/2013,REPAS,€38,,
Lilly France SAS,Médecin,PLUMEY ERIC,08/10/2013,REPAS,€39,,
Lilly France SAS,Médecin,PLUMEY ERIC,07/11/2013,REPAS,€55,,
Lilly France SAS,Médecin,PLUMEY ERIC,23/01/2014,REPAS,€55,,
Lilly France SAS,Médecin,ROLLAND BROZZETTI BEATRICE,20/09/2013,REPAS,€55,,
Lilly France SAS,Médecin,ROLLAND BROZZETTI BEATRICE,21/03/2014,REPAS,€55,,
Lilly France SAS,Médecin,TURBERGUE HENRI,10/10/2013,REPAS,€55,,
Lilly France SAS,Médecin,TURBERGUE HENRI,26/09/2013,REPAS,€55,,
Lilly France SAS,Médecin,TURBERGUE HENRI,23/01/2014,REPAS,€55,,
Lilly France SAS,Médecin,TURBERGUE HENRI,11/02/2014,REPAS,€55,,
LUNDBECK SAS,Médecin,BOURGOGNE ERIC,24/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€40,,
LUNDBECK SAS,Médecin,DAHMANI NASROUDIN,17/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€33,,
LUNDBECK SAS,Médecin,PLUMEY ERIC,12/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€37,,
LUNDBECK SAS,Médecin,PLUMEY ERIC,03/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,PLUMEY ERIC,17/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,TURBERGUE HENRI,19/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
MEDA PHARMA,Médecin,ROLLAND BROZZETTI BEATRICE,27/05/2014,REPAS,€33,,
MEDEXACT,Médecin,BOURGOGNE ERIC,29/05/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,LOUVET GERARD,23/01/2014,Autre : [Restauration],€48,,
MENARINI FRANCE,Médecin,LOUVET GERARD,12/09/2013,AUTRE : RNT,€42,,
Molnlycke Health Care,Infirmier,MOUHOT MASSAINI VIRGINIE,15/01/2014,CADEAUX,€40,,
Molnlycke Health Care,Médecin,DESBIEZ PHILIPPE,26/09/2013,REPAS,€35,,
Molnlycke Health Care,Médecin,PALAMARCZUK JEAN CLAUDE,26/09/2013,REPAS,€35,,
MSD France,Médecin,BOTELLA HENRI PIERRE,10/10/2013,REPAS,€55,,
MSD France,Médecin,BOURGOGNE ERIC,10/10/2013,REPAS,€55,,
MSD France,Médecin,DESBIEZ PHILIPPE,10/10/2013,REPAS,€55,,
MSD France,Médecin,GEHIN CATHERINE,27/09/2013,REPAS,€58,,
MSD France,Médecin,GEHIN CATHERINE,25/10/2013,REPAS,€55,,
MSD France,Médecin,GEHIN CATHERINE,30/03/2012,REPAS,€55,,
MSD France,Médecin,GEHIN CATHERINE,07/02/2014,REPAS,€55,,
MSD France,Médecin,GEHIN CATHERINE,06/07/2012,REPAS,€55,,
MSD France,Médecin,HAGENMULLER ISABELLE,09/02/2012,REPAS,€55,,
MSD France,Médecin,LOUVET GERARD,14/06/2012,REPAS,€40,,
MSD France,Médecin,LOUVET GERARD,20/03/2014,REPAS,€34,,
MSD France,Médecin,LOUVET GERARD,22/05/2014,REPAS,€37,,
MSD France,Médecin,PALAMARCZUK JEAN CLAUDE,10/10/2013,REPAS,€55,,
MSD France,Médecin,PLUMEY ERIC,12/04/2014,REPAS,€40,,
MSD France,Médecin,PLUMEY ERIC,14/06/2013,HOSPITALITÉ,"€2,235",,
MSD France,Médecin,PLUMEY ERIC,05/09/2013,REPAS,€58,,
MSD France,Médecin,PLUMEY ERIC,30/01/2014,REPAS,€55,,
MSD France,Médecin,PLUMEY ERIC,06/02/2014,REPAS,€55,,
MSD France,Médecin,PLUMEY ERIC,07/06/2012,REPAS,€33,,
MSD France,Médecin,PLUMEY ERIC,12/07/2012,REPAS,€55,,
MSD France,Médecin,PLUMEY ERIC,03/05/2012,REPAS,€55,,
MSD France,Médecin,PLUMEY ERIC,24/06/2014,REPAS,€55,,
MSD France,Médecin,PLUMEY ERIC,11/04/2014,TRANSPORT,€145,,
MSD France,Médecin,PLUMEY ERIC,12/04/2014,REPAS,€60,,
MSD France,Médecin,PLUMEY ERIC,11/04/2014,HÉBERGEMENT,€290,,
MSD France,Médecin,PLUMEY ERIC,11/04/2014,REPAS,€40,,
MSD France,Médecin,ROLLAND BROZZETTI BEATRICE,22/03/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,ROLLAND BROZZETTI BEATRICE,27/09/2013,REPAS,€58,,
MSD France,Médecin,ROLLAND BROZZETTI BEATRICE,30/03/2012,REPAS,€55,,
MSD France,Médecin,ROLLAND BROZZETTI BEATRICE,07/02/2014,REPAS,€55,,
MSD France,Médecin,ROLLAND BROZZETTI BEATRICE,06/07/2012,REPAS,€55,,
MSD France,Médecin,ROLLAND BROZZETTI BEATRICE,25/10/2013,REPAS,€55,,
MSD France,Médecin,TURBERGUE HENRI,11/04/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,TURBERGUE HENRI,20/03/2012,REPAS,€55,,
MSD France,Médecin,TURBERGUE HENRI,13/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,TURBERGUE HENRI,25/03/2014,REPAS,€55,,
MSD France,Médecin,TURBERGUE HENRI,15/03/2013,REPAS,€37,,
MSD France,Médecin,TURBERGUE HENRI,22/10/2013,REPAS,€60,,
MUNDIPHARMA,Médecin,BOTELLA HENRI PIERRE,22/01/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,BOTELLA HENRI PIERRE,05/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,BOTELLA HENRI PIERRE,26/06/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
MUNDIPHARMA,Médecin,BOURGOGNE ERIC,22/01/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,BOURGOGNE ERIC,05/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,BOURGOGNE ERIC,26/06/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
MUNDIPHARMA,Médecin,DESBIEZ PHILIPPE,22/01/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,DESBIEZ PHILIPPE,05/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,GEHIN CATHERINE,06/12/2013,HOSPITALITE,€55,,
MUNDIPHARMA,Médecin,GEHIN CATHERINE,13/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,PALAMARCZUK JEAN CLAUDE,05/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,PLUMEY ERIC,21/03/2013,AUTRE : REPAS PROFESSIONNEL,€36,,
MUNDIPHARMA,Médecin,PLUMEY ERIC,20/11/2013,HOSPITALITE,€55,,
MUNDIPHARMA,Médecin,ROLLAND BROZZETTI BEATRICE,13/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,ROLLAND BROZZETTI BEATRICE,29/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
MUNDIPHARMA,Médecin,ROLLAND BROZZETTI BEATRICE,06/12/2013,HOSPITALITE,€55,,
MUNDIPHARMA,Médecin,TURBERGUE HENRI,22/04/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,TURBERGUE HENRI,05/12/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,TURBERGUE HENRI,18/07/2013,REPAS,€34,,
MUNDIPHARMA,Médecin,TURBERGUE HENRI,09/04/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
MUNDIPHARMA,Médecin,TURBERGUE HENRI,03/09/2013,HOSPITALITE,€55,,
NORGINE PHARMA,Médecin,MORIN MICHEL,10/06/2014,TRAITEUR,€15,,
NORGINE PHARMA,Médecin,MORIN MICHEL,19/09/2013,RESTAURATION,€33,,
NORGINE PHARMA,Médecin,STUDER JEAN MARIE,10/06/2014,TRAITEUR,€15,,
NORGINE PHARMA,Médecin,STUDER JEAN MARIE,19/09/2013,RESTAURATION,€33,,
NOVARTIS PHARMA SAS,Médecin,BOTELLA HENRI PIERRE,18/07/2013,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,BOTELLA HENRI PIERRE,14/03/2014,Repas,€47,,
NOVARTIS PHARMA SAS,Médecin,BOURGOGNE ERIC,05/06/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,BOURGOGNE ERIC,18/07/2013,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,DESBIEZ PHILIPPE,05/06/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,PALAMARCZUK JEAN CLAUDE,05/06/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,PLUMEY ERIC,15/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PLUMEY ERIC,05/06/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PLUMEY ERIC,10/10/2013,Repas,€46,,
NOVARTIS PHARMA SAS,Médecin,ROLLAND BROZZETTI BEATRICE,15/10/2013,Repas,€33,,
NOVARTIS PHARMA SAS,Médecin,TURBERGUE HENRI,04/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,TURBERGUE HENRI,03/04/2014,Repas,€28,,
NOVARTIS PHARMA SAS,Médecin,TURBERGUE HENRI,19/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,DESBIEZ PHILIPPE,02/07/2013,REPAS,€35,,
NOVO NORDISK,Médecin,PLUMEY ERIC,09/07/2013,REPAS,€60,,
NOVO NORDISK,Médecin,PLUMEY ERIC,09/01/2014,REPAS,€41,,
PFIZER SAS,Médecin,BOTELLA HENRI PIERRE,17/04/2014,REPAS,€56,,
PFIZER SAS,Médecin,BOURGOGNE ERIC,17/04/2014,REPAS,€56,,
PFIZER SAS,Médecin,DESBIEZ PHILIPPE,17/04/2014,REPAS,€56,,
PFIZER SAS,Médecin,GEHIN CATHERINE,04/04/2014,REPAS,€60,,
PFIZER SAS,Médecin,PALAMARCZUK JEAN CLAUDE,17/04/2014,REPAS,€56,,
PFIZER SAS,Médecin,PLUMEY ERIC,22/05/2014,REPAS,€57,,
PFIZER SAS,Médecin,PLUMEY ERIC,22/05/2014,REPAS,€57,,
PFIZER SAS,Médecin,ROLLAND BROZZETTI BEATRICE,04/04/2014,REPAS,€60,,
PFIZER SAS,Pharmacien,CHAMBERLIN ALAIN,18/10/2013,Repas,€42,,
PIERRE FABRE MEDICAMENT,Médecin,BOTELLA HENRI PIERRE,20/06/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,BOURGOGNE ERIC,20/06/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,DESBIEZ PHILIPPE,20/06/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,GEHIN CATHERINE,31/01/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,MORIN GENEVIEVE,06/02/2014,FRAIS DE DEPLACEMENT,€300,,
PIERRE FABRE MEDICAMENT,Médecin,MORIN GENEVIEVE,06/02/2014,INSCRIPTION,€190,,
PIERRE FABRE MEDICAMENT,Médecin,MORIN GENEVIEVE,13/12/2013,RESTAURATION,€45,,
PIERRE FABRE MEDICAMENT,Médecin,PALAMARCZUK JEAN CLAUDE,20/06/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,PLUMEY ERIC,10/09/2013,RESTAURATION,€55,,
PIERRE FABRE MEDICAMENT,Médecin,PLUMEY ERIC,05/04/2012,Frais de dÃƒÂ©placement,€500,,
PIERRE FABRE MEDICAMENT,Médecin,PLUMEY ERIC,15/03/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,PLUMEY ERIC,16/02/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,PLUMEY ERIC,10/06/2014,RESTAURATION,€55,,
PIERRE FABRE MEDICAMENT,Médecin,PLUMEY ERIC,27/03/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,PLUMEY ERIC,06/04/2012,Frais de dÃƒÂ©placement,€522,,
PIERRE FABRE MEDICAMENT,Médecin,PLUMEY ERIC,27/05/2014,RESTAURATION,€59,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,20/04/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,17/01/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,19/09/2013,HOSPITALITE SITES PIERRE FABRE,€35,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,27/05/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,12/04/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,27/05/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,19/09/2013,FRAIS DE DEPLACEMENT,€96,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,19/09/2013,HOSPITALITE SITES PIERRE FABRE,€35,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,17/01/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,19/09/2013,HOSPITALITE SITES PIERRE FABRE,€38,,
PIERRE FABRE MEDICAMENT,Médecin,TURBERGUE HENRI,12/04/2012,Restauration,€27,,
RB Pharmaceuticals France,Médecin,BOTELLA Henri pierre,05/09/2013,Repas,€35,,
RB Pharmaceuticals France,Médecin,BOURGOGNE Eric,05/09/2013,Repas,€35,,
RB Pharmaceuticals France,Médecin,DESBIEZ Philippe,05/09/2013,Repas,€35,,
RB Pharmaceuticals France,Médecin,PALAMARCZUK Jean claude,05/09/2013,Repas,€35,,
ROTTAPHARM SAS,Médecin,HAGENMULLER ISABELLE,09/12/2013,VISITE/GO-ON 25MG,€18,,
ROTTAPHARM SAS,Médecin,HAGENMULLER ISABELLE,19/07/2013,SOIREE,€57,,
SANOFI AVENTIS FRANCE,Médecin,BOTELLA HENRI PIERRE,19/06/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Médecin,DESBIEZ PHILIPPE,19/06/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Médecin,PLUMEY ERIC,20/05/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,CHAMBERLIN ALAIN,20/03/2014,Repas,€21,,
SANOFI PASTEUR MSD SNC,Médecin,TURBERGUE HENRI,20/03/2014,Repas,€37,,
SIEMENS AUDIOLOGIE,Audioprothésiste,BEAULE VIOLAINE,31/01/2014,AUTRE : [BOISSON],€21,,
SIEMENS AUDIOLOGIE,Audioprothésiste,CHANWANG ROMY,21/05/2014,REPAS,€19,,
STARKEY FRANCE,Médecin,LOUVET Gérard,26/09/2013,Hospitalité congrès,"€3,212",,
Takeda France,Médecin,GEHIN Catherine,24/01/2014,REPAS,€60,,
Takeda France,Médecin,ROLLAND BROZZETTI Beatrice,01/10/2013,REPAS,€31,,
Takeda France,Médecin,ROLLAND BROZZETTI Beatrice,24/01/2014,REPAS,€60,,
Takeda France,Médecin,TURBERGUE Henri,16/01/2014,REPAS,€60,,
Takeda France,Médecin,TURBERGUE Henri,11/03/2014,REPAS,€60,,
Takeda France,Médecin,VIDAL Philippe,05/12/2013,REPAS,€25,,
Takeda France,Pharmacien,POURTIER RODOLPHE,08/04/2014,Repas,€20,,
TEVA SANTE SAS,Médecin,BOTELLA HENRI PIERRE,05/12/2013,REPAS,€60,,
