3M France,Pharmacien,RAVENEAU EDDY,26/03/2014,REPAS,€36,,
ASTRAZENECA,Médecin,SALAVERRI MARTINE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SCHUE PATRICK,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SCHUE PATRICK,16/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,SCHUE PATRICK,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,VARSI NOELLE,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,VARSI NOELLE,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,VARSI NOELLE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,VAYRE FREDERIC,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,XAVIER PATRICK,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,XAVIER PATRICK,14/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,BEGUE NATHALIE,03/10/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,CHAVANEL CHRISTELLE,03/10/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,COURSELAUD GILBERT,03/10/2013,Repas,€57,,
AUDIOMEDI SAS,Audioprothésiste,LEGUEVACQUES MARIE,10/09/2013,REPAS,€14,,
AUDIOMEDI SAS,Audioprothésiste,LEGUEVACQUES REGIS,18/06/2014,REPAS,€50,,
AUDITION SANTE,Médecin,CHARISSOUX GEORGES,01/12/2013,CADEAUX,€18,,
AUDITION SANTE,Médecin,MICHEL LUCAS,01/12/2013,CADEAUX,€18,,
AUDITION SANTE,Médecin,ROLLAND ALAIN,01/12/2013,CADEAUX,€18,,
AUDITION SANTE,Médecin,ROLLAND ALAIN,01/12/2013,CADEAUX,€41,,
AUDITION SANTE,Médecin,SOULACROUP GILLES,01/12/2013,CADEAUX,€18,,
BARD FRANCE SAS,Médecin,DIEMONT FRANCK,25/01/2014,REPAS,€42,,
BARD FRANCE SAS,Médecin,EVENO CLAIRE,23/01/2014,TRANSPORT,€128,,
BARD FRANCE SAS,Médecin,EVENO CLAIRE,23/01/2014,HEBERGEMENT,€398,,
BARD FRANCE SAS,Médecin,EVENO CLAIRE,23/01/2014,INSCRIPTION,€400,,
BARD FRANCE SAS,Médecin,EVENO CLAIRE,24/01/2014,REPAS,€64,,
BARD FRANCE SAS,Médecin,EVENO CLAIRE,25/01/2014,REPAS,€42,,
Bayer HealthCare SAS,Médecin,BARBARA HELENE,19/06/2014,Hospitalité,€10,,
Bayer HealthCare SAS,Médecin,BARBARA HELENE,16/01/2014,Hospitalité,€10,,
Bayer HealthCare SAS,Médecin,BARBARA HELENE,25/04/2014,Hospitalité,€14,,
Bayer HealthCare SAS,Médecin,BARBARA HELENE,11/10/2013,Hospitalité,€150,,
Bayer HealthCare SAS,Médecin,BARBARA HELENE,16/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BARBARA HELENE,24/10/2013,Hospitalité,€14,,
Bayer HealthCare SAS,Médecin,BARBARA HELENE,18/02/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BILLOT CLAUDINE,16/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BOIVIN LAETITIA,18/04/2014,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,BOIVIN LAETITIA,10/03/2014,Hospitalité,€12,,
Bayer HealthCare SAS,Médecin,BOIVIN LAETITIA,16/05/2014,Hospitalité,€31,,
Bayer HealthCare SAS,Médecin,BROUSSEAUD FRANCOIS XAVIER,18/04/2014,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,BROUSSEAUD FRANCOIS XAVIER,24/01/2014,Hospitalité,€10,,
Bayer HealthCare SAS,Médecin,BROUSSEAUD FRANCOIS XAVIER,18/02/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BROUSSEAUD FRANCOIS XAVIER,16/05/2014,Hospitalité,€31,,
Bayer HealthCare SAS,Médecin,BROUSSEAUD FRANCOIS-XAVIER,18/07/2013,Hospitalité,€20,,
Bayer HealthCare SAS,Médecin,ESPALIAT ERIC,23/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,FRAYSSE JEAN BERNARD,13/03/2014,HOSPITALITE,€155,,
Bayer HealthCare SAS,Médecin,GAUTIER DOMINIQUE,16/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,GIRAUNIE SOULACROUP MARIE CHRISTINE,16/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,HENRY BRUNO,06/05/2014,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,LACROIX ALAIN,13/03/2014,HOSPITALITE,€280,,
Bayer HealthCare SAS,Médecin,LACROIX ALAIN,17/02/2014,HOSPITALITE,€846,,
Bayer HealthCare SAS,Médecin,LACROIX ALAIN,23/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LAPEYRE FRANCINE,21/05/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,LIOZON PATRICK,16/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LIOZON PATRICK,27/11/2013,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,MASDUPUY ALLEMAN ANNELISE,18/06/2013,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,MIANE BERTRAND,31/08/2013,Hospitalité,"€2,226",,
Bayer HealthCare SAS,Médecin,PELINARD LOUIS,16/05/2014,Hospitalité,€31,,
Bayer HealthCare SAS,Médecin,PELINARD LOUIS,18/02/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,POSTIL FRANCOIS ANNABEL,23/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,ROYER BERNARD,13/03/2014,Hospitalité,"€1,251",,
Bayer HealthCare SAS,Médecin,SCHUE PATRICK,15/01/2014,Hospitalité,€952,,
Bayer HealthCare SAS,Médecin,SCHUE PATRICK,23/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,SERVANTIE REMI,18/04/2014,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,SERVANTIE REMI,18/02/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,SERVANTIE REMI,24/01/2014,Hospitalité,€10,,
Bayer HealthCare SAS,Médecin,SERVANTIE REMI,11/10/2013,Hospitalité,€338,,
Bayer HealthCare SAS,Médecin,VAYRE FREDERIC,14/02/2014,HOSPITALITE,€500,,
Bayer HealthCare SAS,Orthoptiste,BOUTINAUD GAELLE,18/02/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Orthoptiste,LACAN HUGUES,18/02/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Orthoptiste,LAGUILLAUMIE PAULINE,18/02/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Orthoptiste,SALESSE ELEONORE,06/02/2014,Hospitalité,€13,,
BIOCODEX,Médecin,BERTHE PAUL,03/12/2013,REPAS,€50,,
BIOCODEX,Médecin,BOURZAT SANDRINE,18/06/2014,REPAS,€50,,
BIOCODEX,Médecin,MISSONNIER GILLES,18/06/2014,REPAS,€50,,
BIOGARAN,Etudiant,MARTY ALLAWINE,23/04/2014,REPAS,€35,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,18/11/2013,REPAS,€60,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,14/04/2014,REPAS,€30,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,24/01/2014,TRANSPORT,€135,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,24/01/2014,HEBERGEMENT,€185,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,24/01/2014,REPAS,€68,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,02/10/2013,REPAS,€120,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,02/10/2013,INSCRIPTION CONGRES,€470,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,05/12/2013,REPAS,€50,,
BIOGEN IDEC FRANCE,Médecin,CHAZOT FREDERIC,02/10/2013,TRANSPORT,"€1,034",,
BIOGEN IDEC FRANCE,Médecin,LUBEAU MICHEL,14/04/2014,REPAS,€30,,
bioMérieux,Médecin,MATTEI MATHIEU,15/02/2013,CADEAUX,€31,,
bioMérieux,Pharmacien,CHAMBON SERGE,20/03/2012,REPAS,€36,,
BIOMET,Médecin,ZHAMOUL FAOUZI,21/10/2013,HEBERGEMENT,€825,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CHARLIAGUET JEAN PIERRE,12/06/2013,HOSPITALITE,€700,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ESPALIAT ERIC,23/09/2013,HOSPITALITE,€51,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GELY GHISLAIN,21/03/2014,HOSPITALITE,€962,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GELY GHISLAIN,01/02/2014,HOSPITALITE,€19,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LACROIX ALAIN,23/09/2013,HOSPITALITE,€51,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MIANE BERTRAND,23/09/2013,HOSPITALITE,€51,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PORTE PATRICK,10/12/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,POSTIL FRANCOIS ANNABEL,23/09/2013,HOSPITALITE,€51,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROUVELOUP TRONCHE FRANCOISE,10/12/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROUVELOUP TRONCHE FRANCOISE,01/06/2013,HOSPITALITE,€257,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROYER BERNARD,10/12/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROYER BERNARD,01/06/2013,HOSPITALITE,€257,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SCHUE PATRICK,23/09/2013,HOSPITALITE,€51,,
BOEHRINGER INGELHEIM FRANCE,Médecin,XAVIER PATRICK,01/06/2013,HOSPITALITE,€257,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,BEAULIEU PHILIPPE,28/11/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,BEAULIEU PLANET FLORENCE,28/11/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,FERRAND SANDRINE,10/12/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,JUGIE EMELINE,28/11/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,KHADER HANANE,28/11/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,PASQUET ROCHE FRANCOISE,10/12/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DA SILVA NATHALIE,28/11/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAVERGNE ADELINE,28/11/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,NEYCENSAS GWENDOLINE,28/11/2013,HOSPITALITE,€48,,
BOIRON,Etudiant,BIOULOU CHARLINE,15/04/2014,[REPAS],€20,,
BOIRON,Etudiant,FRIITE LAURA,15/04/2014,[REPAS],€20,,
BOIRON,Etudiant,MASMAYOUX MARINE,15/04/2014,[REPAS],€20,,
BOIRON,Etudiant,PELLERY LAUREEN,14/11/2013,[REPAS],€18,,
BOIRON,Etudiant,TEIXEIRA LAURINE,19/11/2013,[REPAS],€34,,
BOIRON,Pharmacien,BOURRILLON OLIVIER,15/04/2014,[REPAS],€20,,
BOIRON,Pharmacien,FERRAND-CHAU SANDRINE,15/04/2014,[REPAS],€20,,
BOIRON,Pharmacien,JUGIE EMELINE,15/04/2014,[REPAS],€20,,
BOIRON,Pharmacien,SCHULLER FLORENCE,22/05/2014,[AUTRE],€30,,
BOIRON,Pharmacien,SEGUY BENOIT,15/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ANGER CHRISTINE,19/11/2013,[REPAS],€34,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DA SILVA VANESSA,15/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DECHANET ANNETTE,19/11/2013,[REPAS],€34,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FROIDEFOND JEAN PHILIPPE,15/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MADELAINE FLORENCE,15/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEJOINE MARIE,15/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PINARDEL HELENE,19/11/2013,[REPAS],€34,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SCHULLER FLORENCE,19/11/2013,[REPAS],€34,,
BOSTON SCIENTIFIC SAS,Infirmier,LAUVIE CELINE,14/04/2014,REPAS,€70,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,27/10/2013,REPAS,€69,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,28/10/2013,REPAS,€34,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,29/10/2013,REPAS,€84,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,14/11/2013,REPAS,€35,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,28/10/2013,REPAS,€34,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,27/10/2013,REPAS,€69,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,26/10/2013,TRANSPORT,"€1,326",,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,26/10/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,26/10/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,26/10/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,26/10/2013,REPAS,€59,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,26/10/2013,HEBERGEMENT,€254,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,26/10/2013,HEBERGEMENT,€254,,
BOSTON SCIENTIFIC SAS,Médecin,LACROIX ALAIN,26/10/2013,HEBERGEMENT,€254,,
BRISTOL-MYERS SQUIBB,Médecin,DUBOIS BRONNIMANN ANNE,12/12/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,ESPALIAT ERIC,11/03/2014,Repas,€56,,
BRISTOL-MYERS SQUIBB,Médecin,ESPALIAT ERIC,07/04/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,ESPALIAT ERIC,19/06/2014,Repas,€52,,
BRISTOL-MYERS SQUIBB,Médecin,LACROIX ALAIN,19/06/2014,Repas,€52,,
BRISTOL-MYERS SQUIBB,Médecin,LACROIX ALAIN,11/03/2014,Repas,€56,,
BRISTOL-MYERS SQUIBB,Médecin,LACROIX ALAIN,07/04/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LAPUYADE GERARD,12/12/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LAZUECH CHRISTIAN,12/12/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,MARTAILLE JEAN FRANCOIS,15/01/2014,Transport,€124,,
BRISTOL-MYERS SQUIBB,Médecin,MARTAILLE JEAN FRANCOIS,15/01/2014,Transport,€124,,
BRISTOL-MYERS SQUIBB,Médecin,MARTAILLE JEAN FRANCOIS,15/01/2014,Hébergement,€240,,
BRISTOL-MYERS SQUIBB,Médecin,MIANE BERTRAND,07/04/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,MIANE BERTRAND,19/06/2014,Repas,€52,,
BRISTOL-MYERS SQUIBB,Médecin,POPA LUCIANA,12/12/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,POSTIL FRANCOIS ANNABEL,11/03/2014,Repas,€56,,
BRISTOL-MYERS SQUIBB,Médecin,POSTIL FRANCOIS ANNABEL,19/06/2014,Repas,€52,,
BRISTOL-MYERS SQUIBB,Médecin,ROYER BERNARD,25/04/2014,Repas,€45,,
BRISTOL-MYERS SQUIBB,Médecin,SCHUE PATRICK,07/04/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,SCHUE PATRICK,19/06/2014,Repas,€52,,
C2F IMPLANTS,Médecin,HARISBOURE ALAIN,12/01/2014,REPAS,€68,,
C2F IMPLANTS,Médecin,HARISBOURE ALAIN,06/06/2014,REPAS,€21,,
C2F IMPLANTS,Médecin,HARISBOURE ALAIN,06/06/2014,REPAS,€62,,
C2F IMPLANTS,Médecin,HARISBOURE ALAIN,10/12/2013,REPAS,€77,,
C2F IMPLANTS,Médecin,HARISBOURE ALAIN,19/10/2013,REPAS,€89,,
C2F IMPLANTS,Médecin,HARISBOURE ALAIN,11/04/2014,REPAS,€55,,
C2F IMPLANTS,Médecin,HARISBOURE ISABELLE,19/10/2013,REPAS,€89,,
Carl Zeiss Meditec France,Médecin,BROUSSEAUD FRANCOIS XAVIER,09/10/2013,REPAS,€23,,
Carl Zeiss Meditec France,Médecin,SERVANTIE REMI,11/05/2014,REPAS,€42,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Médecin,BONOT GERARD,29/11/2013,REPAS,€71,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Médecin,FAURE JEAN PAUL,29/11/2013,REPAS,€71,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Médecin,FAURE JEAN-PAUL,31/01/2013,REPAS,€100,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Pharmacien,LARNAUDIE REGINE,05/06/2014,REPAS,€90,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Pharmacien,LARNAUDIE REGINE,03/06/2014,REPAS,€68,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Pharmacien,LARNAUDIE REGINE,03/06/2014,REPAS,€69,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Pharmacien,LARNAUDIE REGINE,20/05/2014,REPAS,€96,,
CELONOVA BIOSCIENCES OF EUROPE B.V,Pharmacien,LARNAUDIE REGINE,21/05/2014,HOSPITALITE,"€1,633",,
CONGRES COLLOQUES CONVENTIONS,Médecin,BODE EMERIC,19/10/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,CHEYROU DOMINIQUE,19/10/2013,REPAS,€30,,
Cook France SARL,Infirmier,PALACCIO VERONIQUE,20/03/2014,REPAS,€70,,
Cook France SARL,Infirmier,PALACCIO VERONIQUE,20/03/2014,REPAS,€70,,
Cook France SARL,Infirmier,PALACCIO VERONIQUE,28/05/2014,HEBERGEMENT,€216,,
Cook France SARL,Médecin,BOURZAT SANDRINE,14/11/2013,REPAS,€54,,
Cook France SARL,Médecin,LAOKPESSI AKLESSO,14/11/2013,REPAS,€54,,
COOPERVISION SAS,Opticien-lunetier,CHAMPAGNAC DENIS,10/09/2013,REPAS,€14,,
COOPERVISION SAS,Opticien-lunetier,CHAMPAGNAC ELISE,10/09/2013,REPAS,€14,,
Covidien AG,Médecin,ABITA JUVENAL,29/05/2013,REPAS,€60,,
Covidien AG,Médecin,ABITA JUVENAL,30/05/2013,REPAS,€60,,
Covidien AG,Médecin,ABITA JUVENAL,29/05/2013,REPAS,€60,,
Covidien AG,Médecin,ABITA JUVENAL,29/05/2013,TRANSPORT,€23,,
Covidien AG,Médecin,ABITA JUVENAL,29/05/2013,REPAS,€60,,
COVIDIEN FRANCE S.A.S.,Association professionnel de santé,ASSOCIATION DES UROLOGUES DE L HOPITAL DE BRIVE (A.D.U.H.B.),17/04/2014,DON,"€4,300",,
Cyberonics SA,Médecin,CHAZOT FREDERIC,24/10/2013,REPAS,€50,,
DAIICHI SANKYO FRANCE SAS,Médecin,MASDUPUY ALLEMAN ANNELISE,08/11/2013,Repas,€20,,
DAIICHI SANKYO FRANCE SAS,Médecin,PORTE PATRICK,05/10/2013,Hospitalite,€74,,
DAIICHI SANKYO FRANCE SAS,Médecin,PORTE PATRICK,05/10/2013,Repas,€110,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROUVELOUP TRONCHE FRANCOISE,06/09/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROYER BERNARD,06/09/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROYER BERNARD,13/12/2013,Repas,€25,,
DENTSPLY Implants,Chirurgien-dentiste,MACHAT FRANCOIS,12/09/2013,REPAS,€21,,
DENTSPLY Implants,Chirurgien-dentiste,PRZYBYLAK JEANPIERRE,28/11/2013,REPAS,€87,,
Dexter,Etablissement de santé,MUZERGUES  DOUSSAUD,07/01/2013,Cadeaux,€240,,
DIAGNOSTICA STAGO,Pharmacien,CHABAUD AURELIE,27/03/2014,REPAS,€18,,
DIAGNOSTICA STAGO,Pharmacien,FERAUT AXEL,27/03/2014,REPAS,€18,,
EDAP TMS France SAS,Médecin,ASSAF WILLIAM,20/12/2013,REPAS,€21,,
EDAP TMS France SAS,Médecin,ASSAF WILLIAM,20/12/2013,TRANSPORT,€307,,
EDAP TMS France SAS,Médecin,BOURNEL PASCAL,30/09/2013,TRANSPORT,€252,,
EDAP TMS France SAS,Médecin,MALLET RICHARD,29/08/2013,TRANSPORT,€131,,
EDAP TMS France SAS,Médecin,MALLET RICHARD,29/08/2013,TRANSPORT,€436,,
EDWARDS LIFESCIENCES,Médecin,BODINEAU AYMERIC,31/12/2013,REPAS,€55,,
EFFIK,Médecin,COLINET DE GRAEVE MARIE CLAUDE,13/01/2014,REPAS,€31,,
EFFIK,Médecin,COLINET DE GRAEVE MARIE CLAUDE,02/09/2013,REPAS,€40,,
Essilor,Opticien-lunetier,Castagnier Adrien,24/10/2013,Invitation à déjeuner / dîner,€21,,
Essilor,Opticien-lunetier,Frithman Mme,24/06/2013,Invitation a dejeuner ou diner,€26,,
Essilor,Opticien-lunetier,Frithman Mr,24/06/2013,Invitation a dejeuner ou diner,€26,,
Essilor,Opticien-lunetier,FRITHMANN MR ET MME,31/12/2013,Cadeau,€37,,
Essilor,Opticien-lunetier,Visini Loris,03/09/2013,Invitation à déjeuner / dîner,€13,,
Essilor,Opticien-lunetier,Visini Loris,19/12/2013,Invitation à déjeuner / dîner,€20,,
Essilor,Opticien-lunetier,Visini Sandrine,03/09/2013,Invitation à déjeuner / dîner,€13,,
Essilor,Opticien-lunetier,Visini Sandrine,19/12/2013,Invitation à déjeuner / dîner,€19,,
ETHICON,Médecin,BOURZAT Alain,15/05/2014,REPAS,€49,,
ETHICON,Médecin,BOURZAT Sandrine,15/05/2014,REPAS,€49,,
ETHICON,Médecin,COURTIOL Corinne,15/05/2014,REPAS,€49,,
ETHICON,Médecin,ESPALIAT ERIC,15/05/2014,REPAS,€49,,
ETHICON,Médecin,LACROIX ALAIN,15/05/2014,REPAS,€49,,
ETHICON,Médecin,MALLET RICHARD,15/05/2014,REPAS,€49,,
EUROPHTA,Médecin,PELINARD LOUIS,11/06/2014,REPAS,€19,,
FERRING SAS,Médecin,BOURZAT SANDRINE,23/12/2013,Autre [Inscription],€306,,
FERRING SAS,Médecin,MALLET RICHARD,13/09/2013,Repas,€25,,
Fresenius Medical Care France S.A.S.,Infirmier,DARNIS MARIE CHRISTINE,02/12/2013,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,DEFAYE MARIE NOELLE,02/12/2013,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,DOUYOR STEPHANIE,02/12/2013,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,DUPUY ELODIE,02/12/2013,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,LABREGERE JULIETTE,02/12/2013,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,OPENLANDER SANDRINE,02/12/2013,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,SOULIER ANNIE,02/12/2013,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Médecin,MANESCU MARIA,14/02/2014,TRANSPORT,"€1,488",,
Fresenius Medical Care France S.A.S.,Médecin,MANESCU MARIA,13/03/2014,TRANSPORT,€77,,
Fresenius Medical Care France S.A.S.,Médecin,MANESCU MARIA,13/03/2014,HEBERGEMENT,€237,,
Fresenius Medical Care France S.A.S.,Médecin,MANESCU MARIA,14/02/2014,HEBERGEMENT,€400,,
Fresenius Medical Care France S.A.S.,Médecin,MANESCU MARIA,14/02/2014,REPAS,€220,,
Fresenius Medical Care France S.A.S.,Médecin,MANESCU MARIA,02/12/2013,REPAS,€20,,
Fresenius Medical Care France S.A.S.,Médecin,MANESCU MARIA,13/03/2014,REPAS,€151,,
Fresenius Medical Care France S.A.S.,Médecin,POUX JEAN MICHEL,04/07/2013,TRANSPORT,€603,,
Fresenius Medical Care France S.A.S.,Médecin,POUX JEAN MICHEL,04/07/2013,REPAS,€30,,
Fresenius Medical Care France S.A.S.,Médecin,POUX JEAN MICHEL,20/09/2013,TRANSPORT,€579,,
Fresenius Medical Care France S.A.S.,Médecin,POUX JEAN MICHEL,20/09/2013,HEBERGEMENT,€120,,
Fresenius Medical Care France S.A.S.,Médecin,POUX JEAN MICHEL,20/09/2013,REPAS,€78,,
GaldermaQMed,Médecin,LABROUSSE JEAN LOUIS,12/02/2014,Repas,€16,,
Genzyme,Infirmier,BERLIAT SOPHIE,07/02/2014,Repas,€26,,
Genzyme,Infirmier,FAURE NICOLAS,07/02/2014,Repas,€26,,
Genzyme,Infirmier,VERLHAC MAGALI,07/02/2014,Repas,€26,,
Genzyme,Médecin,MAGHIA REMI,03/12/2013,"Hébergement, restauration, transport",€350,,
Genzyme,Médecin,MAGHIA REMI,03/12/2013,"Hébergement, restauration, transport",€162,,
Genzyme,Médecin,MAGHIA REMI,03/12/2013,"Hébergement, restauration, transport",€220,,
GLOBAL D,Chirurgien-dentiste,ANNON CHRISTOPHE,19/06/2014,REPAS,€51,,
GLOBAL D,Médecin,JARROSSON CHRISTOPHE,01/04/2014,REPAS,€19,,
GLocal Mind Inc,Médecin,BASPEYRE HENRI,15/05/2014,Invitations,€15,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LEGUEVACQUES REGIS,06/05/2014,Repas,€31,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LEGUEVACQUES REGIS,12/11/2013,Repas,€44,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LEGUEVACQUES REGIS,15/10/2013,Repas,€19,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LEGUEVAQUES REGIS,27/03/2014,Repas,€22,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LEGUEVAQUES REGIS,18/02/2014,Repas,€20,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,SPELLA PHILIPPE,29/11/2013,Repas,€18,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,SPELLA PHILIPPE,26/11/2013,Repas,€29,,
