Adept Field Solutions,Médecin,Gauliez Antoine,02/04/2014,INDEMNITE,€140,,
PIERRE FABRE MEDICAMENT,Médecin,PAILLEUX BERNARD,12/01/2012,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,RICHE FRANCOISE,19/11/2013,RESTAURATION,€45,,
PIERRE FABRE MEDICAMENT,Pharmacien,GARNIER STEPHANIE,25/04/2014,RESTAURATION,€22,,
PIERRE FABRE MEDICAMENT,Pharmacien,GARNIER STEPHANIE,08/03/2013,Restauration,€26,,
Prodition,Audioprothésiste,HUMEZ NICOLAS,19/03/2014,Repas,€23,,
RESEARCH NOW SAS,Médecin,leriche nathalie,20/09/2013,enquête,€19,,
ROCHE SAS,Médecin,KACIAF CHANTAL,15/05/2014,Repas,€25,,
ROTTAPHARM SAS,Médecin,GHEYSENS PASCAL,06/05/2014,DEJEUNER,€46,,
ROTTAPHARM SAS,Médecin,GHEYSENS PASCAL,04/06/2013,DEJEUNER,€45,,
SANOFI AVENTIS FRANCE,Médecin,COOREN GEOFFROY,13/03/2014,Repas,€34,,
SANOFI AVENTIS FRANCE,Médecin,GHEYSENS PASCAL,24/06/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Médecin,GHEYSENS PASCAL,14/01/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,MARGUETTAZ PATRICE,28/03/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,TIROT OLIVIER,13/09/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,VELUT XAVIER,25/03/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,VELUT XAVIER,05/11/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,CARLIN LAURA,16/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,DECOTTEGNIE LAURENCE,16/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,GARNIER STEPHANIE,06/09/2013,Restauration,€28,,
SANOFI AVENTIS FRANCE,Pharmacien,PLATEL MONIQUE,22/07/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LABOURE KRYSTEL,16/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOUCRIZ TALBI SABRINA,16/05/2014,Repas,€40,,
SHIRE France S.A.,Pharmacien,MO PLATEL,17/02/2014,Repas,€16,,
SHIRE France S.A.,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LELONG VALERIE,17/02/2014,Repas,€16,,
SIEMENS AUDIOLOGIE,Audioprothésiste,HUMEZ NICOLAS,04/04/2014,AUTRE : [CONGRES_2014],€45,,
SIEMENS AUDIOLOGIE,Audioprothésiste,HUMEZ NICOLAS,08/01/2014,AUTRE : [BOISSON],€21,,
SIEMENS AUDIOLOGIE,Audioprothésiste,HUMEZ NICOLAS,08/01/2014,REPAS,€26,,
Smith & Nephew S.A.S.,Médecin,GHEYSENS PASCAL,22/05/2014,REPAS,€40,,
STALLERGENES SA,Médecin,ROBBERECHT RIQUET MARIE-NOELLE,28/11/2013,REPAS,€60,,
Takeda France,Médecin,COOREN Geoffroy,22/05/2014,REPAS,€35,,
Takeda France,Médecin,GHEYSENS Pascal,08/10/2013,REPAS,€45,,
Takeda France,Médecin,GHEYSENS Pascal,25/02/2014,REPAS,€45,,
Takeda France,Médecin,MARGUETTAZ Patrice,15/04/2014,REPAS,€43,,
Takeda France,Médecin,MARGUETTAZ Patrice,22/10/2013,REPAS,€32,,
TEVA SANTE SAS,Médecin,MARGUETTAZ PATRICE,31/01/2014,REPAS,€58,,
THERABEL LUCIEN PHARMA,Médecin,GHEYSENS PASCAL,27/05/2014,REPAS,€40,,
THERABEL LUCIEN PHARMA,Médecin,GHEYSENS PASCAL,05/11/2013,REPAS,€43,,
THERABEL LUCIEN PHARMA,Médecin,MARGUETTAZ PATRICE,29/11/2013,REPAS,€38,,
THERABEL LUCIEN PHARMA,Médecin,MARGUETTAZ PATRICE,27/05/2014,REPAS,€40,,
THERABEL LUCIEN PHARMA,Médecin,MARGUETTAZ PATRICE,29/11/2013,REPAS,€38,,
