ABBOTT PRODUCTS SAS,Médecin,TRAN Jean philippe,19/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DERHI GATY,22/03/2013,Hospitalite,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DERHI GATY,28/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOFFMANN PATRICE,03/06/2013,Hospitalite,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE MEUNIER FLORENCE,29/05/2012,Hospitalité,€120,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANSOUR JEAN PIERRE,05/03/2012,Hospitalité,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOURARET NASCIMBENI MARGUERITE,29/05/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NEUILLY CYRIL,06/06/2013,Hospitalite,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TRAN JEAN PHILIPPE,12/06/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TRAN JEAN PHILIPPE,25/05/2012,Hospitalité,€47,,
Laboratoire Innothera,Pharmacien,PICHON EMILIE,08/11/2013,REPAS,€24,,
Laboratoire Innothera,Pharmacien,THERET DIDIER,08/11/2013,REPAS,€24,,
LABORATOIRE NOVEX PHARMA,Médecin,DENARNAUD JEAN,17/07/2013,Repas,€20,,
LABORATOIRES ALCON,Médecin,BENZACKEN LAURENT,11/04/2014,REPAS,€20,,
LABORATOIRES ALCON,Médecin,BENZAKEN LAURENT,24/01/2014,REPAS,€198,,
LABORATOIRES ALCON,Médecin,BENZAKEN LAURENT,24/01/2014,HEBERGEMENT,€175,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,HOFFMANN PATRICE,02/07/2013,Repas,€50,,
LABORATOIRES CONVATEC,Infirmier,MARTIN FREDERIQUE,26/09/2013,DINER,€42,,
LABORATOIRES CONVATEC,Infirmier,PAZOS MELANIE,26/09/2013,DINER,€42,,
Laboratoires CYCLOPHARMA,Manipulateur d’électroradiologie médicale,BERNASZUK X,17/05/2014,REPAS,€23,,
Laboratoires CYCLOPHARMA,Manipulateur d’électroradiologie médicale,BONELLO LAURENT,17/05/2014,REPAS,€23,,
Laboratoires Grünenthal SAS,Médecin,CHAARA MANSOUR,10/02/2014,REPAS,€18,,
Laboratoires Grünenthal SAS,Médecin,CHAARA MANSOUR,30/01/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,CHAARA MANSOUR,30/01/2014,REPAS,€19,,
Laboratoires IPRAD PHARMA,Médecin,CHOUQUET MARIE-CLAIRE,05/06/2014,REPAS,€63,,
LABORATOIRES MAYOLY SPINDLER,Médecin,KERNEVEZ PATRICK,07/03/2014,HOSPITALITE,€13,,
LABORATOIRES MAYOLY SPINDLER,Médecin,VERDURON ALAIN,07/03/2014,HOSPITALITE,€13,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,BOUREAU CATHERINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,GRYNBAUM MAURYCY,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,JOLY HERMENIER AGNES,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,LOUVEAU MARIE HELENE,01/12/2013,CADEAUX,€15,,
LEO Pharma,Médecin,TRAN JEAN PHILIPPE,09/04/2014,Repas,€29,,
LES LABORATOIRES SERVIER,Médecin,QUERIOZ-VIVIER CHRISTINE,04/10/2013,Hébergement,€506,,
LES LABORATOIRES SERVIER,Médecin,QUERIOZ-VIVIER CHRISTINE,04/10/2013,Repas,€130,,
LES LABORATOIRES SERVIER,Médecin,QUERIOZ-VIVIER CHRISTINE,04/10/2013,Transport,€250,,
LES LABORATOIRES SERVIER,Médecin,QUERIOZ-VIVIER CHRISTINE,17/12/2013,Repas,€36,,
LES LABORATOIRES SERVIER,Médecin,QUERIOZ-VIVIER CHRISTINE,08/04/2014,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,TRAN JEAN PHILIPPE,20/09/2013,Repas,€53,,
Lilly France SAS,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,06/02/2014,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€21,,
Lilly France SAS,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,23/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,DENARNAUD JEAN,25/09/2013,REPAS,€16,,
Lilly France SAS,Médecin,LECERF LUDOVIC,30/01/2014,REPAS,€59,,
LUNDBECK SAS,Médecin,TRAN JEAN PHILIPPE,05/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€50,,
LUNDBECK SAS,Médecin,TRAN JEAN PHILIPPE,15/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LVL MEDICAL PARIS ET NORD,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,23/09/2013,TRANSPORT,€168,,
LVL MEDICAL PARIS ET NORD,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,23/09/2013,INSCRIPTION,€550,,
LVL MEDICAL PARIS ET NORD,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,23/09/2013,HEBERGEMENT,€200,,
LVL MEDICAL PARIS ET NORD,Médecin,HARDY ANNE,29/12/2013,REPAS,€15,,
LVL MEDICAL PARIS ET NORD,Médecin,VUONG TU-KHANH,31/01/2014,REPAS,€37,,
MEDA PHARMA,Médecin,CHARBIT LIONEL,25/06/2014,REPAS,€54,,
MEDA PHARMA,Médecin,DENARNAUD JEAN,25/06/2014,REPAS,€54,,
MEDA PHARMA,Médecin,KIRILOVA DOBREVA EFROSSINIA,25/06/2014,REPAS,€54,,
MEDA PHARMA,Médecin,MANITRA NIRINA,25/06/2014,REPAS,€54,,
MEDA PHARMA,Médecin,MANSOUR JEAN PIERRE,25/06/2014,REPAS,€54,,
MEDA PHARMA,Médecin,THIOLLIER SYLVAIN,25/06/2014,REPAS,€54,,
MEDEXACT,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,20/11/2013,Autre: [Enquête],€12,,
MEDEXACT,Médecin,MANSOUR JEAN PIERRE,05/06/2014,Autre: [Enquête],€25,,
MEDEXACT,Médecin,MIDDLETON OLIVIER,21/05/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,TERBAOUI BESSAH NABILA,28/05/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,PINARD DOMINIQUE,19/11/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,TRAN JEAN PHILIPPE,07/03/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,TRAN JEAN PHILIPPE,06/02/2014,Autre : [Restauration],€49,,
MENARINI FRANCE,Médecin,TRAN JEAN PHILIPPE,11/10/2013,AUTRE : RNT,€54,,
MENARINI FRANCE,Médecin,TRAN JEAN PHILIPPE,04/12/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,TRAN JEAN PHILIPPE,14/02/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Médecin,TRAN JEAN PHILIPPE,21/11/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,TRAN JEAN PHILIPPE,01/10/2013,REPAS,€45,,
MERCK SERONO,Manipulateur d’électroradiologie médicale,LACHEHEB DJILLALI,09/12/2013,REPAS,€25,,
MERCK SERONO,Manipulateur d’électroradiologie médicale,LAUGAREIL PATRICK,09/12/2013,REPAS,€25,,
MERCK SERONO,Médecin,DENARNAUD JEAN,15/07/2013,REPAS,€24,,
MERCK SERONO,Médecin,DENARNAUD JEAN,07/04/2014,REPAS,€28,,
MERCK SERONO,Médecin,DENARNAUD JEAN,26/03/2014,REPAS,€25,,
MERCK SERONO,Médecin,MANSOUR JEAN PIERRE,01/07/2013,REPAS,€25,,
MERZ PHARMA France,Médecin,SALIBA DAVID,01/10/2013,Repas,€16,,
MERZ PHARMA France,Médecin,SALIBA DAVID,15/10/2013,Repas,€35,,
MERZ PHARMA France,Médecin,SALIBA DAVID,16/10/2013,Repas,€38,,
MSD France,Médecin,BEAL LEFEVRE CATHERINE,22/03/2012,REPAS,€20,,
MSD France,Médecin,BOUCHET CAROLE,28/03/2014,REPAS,€26,,
MSD France,Médecin,CHAPIRO MICHEL,19/01/2012,HOSPITALITE,€54,,
MSD France,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,14/05/2014,REPAS,€60,,
MSD France,Médecin,HANNOUN CHARLY,28/03/2014,REPAS,€26,,
MSD France,Médecin,KOSTER VIDAL MONIQUE,28/03/2014,REPAS,€26,,
MSD France,Médecin,LE MEUNIER JEAN MICHEL,13/03/2014,REPAS,€31,,
MSD France,Médecin,PINARD DOMINIQUE,28/03/2014,REPAS,€26,,
MSD France,Médecin,QUERIOZ VIVIER CHRISTINE,28/03/2014,REPAS,€26,,
MSD France,Médecin,TRAN JEAN PHILIPPE,24/09/2013,REPAS,€43,,
MSD France,Médecin,TRAN JEAN PHILIPPE,15/02/2012,HOSPITALITE,€41,,
NEOS,Médecin,PERETTI ANTOINE,11/12/2013,REPAS,€77,,
NEOS,Médecin,PERETTI ANTOINE,21/01/2014,AUTRE,€11,,
NEWCLIP TECHNICS,Médecin,MADI FAOUZI,04/06/2014,REPAS,€20,,
NIPRO FRANCE,Médecin,FUMERON CHRISTINE,10/10/2013,REPAS,€48,,
NORDIC PHARMA SAS,Médecin,MANITRA NIRINA,21/11/2013,Repas,€19,,
NORGINE PHARMA,Médecin,KERNEVEZ PATRICK,24/01/2014,RESTAURATION,€17,,
NORGINE PHARMA,Médecin,VERDURON ALAIN,24/01/2014,RESTAURATION,€17,,
NOVARTIS PHARMA SAS,Médecin,CAILLIE FREDERIC,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€20,,
NOVARTIS PHARMA SAS,Médecin,CHARBIT LIONEL,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€20,,
NOVARTIS PHARMA SAS,Médecin,DENARNAUD JEAN,03/12/2013,Autre : [Hospitalité Evenement Scientifique],€17,,
NOVARTIS PHARMA SAS,Médecin,DENARNAUD JEAN,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€20,,
NOVARTIS PHARMA SAS,Médecin,DENARNAUD JEAN,29/10/2013,Autre : [Hospitalité Evenement Scientifique],€16,,
NOVARTIS PHARMA SAS,Médecin,DENARNAUD JEAN,04/02/2014,Autre : [Participation Evenement Scientifique],€16,,
NOVARTIS PHARMA SAS,Médecin,KERNEVEZ PATRICK,14/05/2014,Autre : [Participation Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,LOGEAY OLIVIER,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€20,,
NOVARTIS PHARMA SAS,Médecin,MANSOUR JEAN PIERRE,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€20,,
NOVARTIS PHARMA SAS,Médecin,NATIVELLE DOMINIQUE,28/11/2013,Repas,€58,,
NOVARTIS PHARMA SAS,Médecin,QUERIOZ VIVIER CHRISTINE,11/03/2014,Repas,€37,,
NOVARTIS PHARMA SAS,Médecin,TORRAS PIERRE,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€20,,
NOVARTIS PHARMA SAS,Médecin,TRAN JEAN PHILIPPE,12/02/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,VERDURON ALAIN,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€20,,
NOVARTIS VACCINES AND DIAGNOSTICS SAS,Médecin,Benichou Joelle,07/11/2013,Repas,€49,,
NOVARTIS VACCINES AND DIAGNOSTICS SAS,Médecin,Benichou Lionel,07/11/2013,Repas,€49,,
NOVO NORDISK,Médecin,SOMJA LOUISE MARIE,11/03/2014,INSCRIPTION,€310,,
NOVO NORDISK,Médecin,TRAN JEAN PHILIPPE,23/07/2013,REPAS,€45,,
NOVO NORDISK,Médecin,TRAN JEAN PHILIPPE,12/11/2013,REPAS,€39,,
NOVO NORDISK,Médecin,TRAN JEAN PHILIPPE,02/04/2014,REPAS,€39,,
PECH CERCIAT,Médecin,Bourreau Catherine,02/09/2013,Autre : [ECHANTILLON],€20,,
PFIZER SAS,Infirmier,SAUMON CHRISTINE,31/05/2013,REPAS,€70,,
PFIZER SAS,Infirmier,SAUMON CHRISTINE,31/05/2013,REPAS,€70,,
PFIZER SAS,Médecin,HOFFMANN PATRICE,23/09/2013,Repas,€20,,
PFIZER SAS,Médecin,MANSOUR JEAN PIERRE,28/11/2013,REPAS,€60,,
PFIZER SAS,Médecin,MANSOUR JEAN PIERRE,10/09/2013,Repas,€13,,
PFIZER SAS,Médecin,MANSOUR JEAN PIERRE,25/06/2013,Repas,€18,,
PFIZER SAS,Médecin,TRAN Jean Philippe,28/11/2013,REPAS,€60,,
PFIZER SAS,Médecin,TRAN JEAN PHILIPPE,22/11/2013,Repas,€50,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,BENAYAD THY THUY TIEN,11/12/2013,RP,€48,,
PIERRE FABRE MEDICAMENT,Médecin,BEAL LEFEVRE CATHERINE,26/04/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,BEAL LEFEVRE CATHERINE,09/10/2013,HOSPITALITE SITES PIERRE FABRE,€122,,
PIERRE FABRE MEDICAMENT,Médecin,BEAL LEFEVRE CATHERINE,09/10/2013,HOSPITALITE SITES PIERRE FABRE,€81,,
PIERRE FABRE MEDICAMENT,Médecin,BEAL LEFEVRE CATHERINE,08/03/2012,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,BEAL LEFEVRE CATHERINE,09/10/2013,HOSPITALITE SITES PIERRE FABRE,€38,,
PIERRE FABRE MEDICAMENT,Médecin,BURCKLE NOEL,27/06/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DAHAN MICKAEL,06/12/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,DAHAN MICKAEL,13/11/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,DELAUNAY ALAIN,01/02/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DELAUNAY ALAIN,14/06/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,DELAUNAY ALAIN,18/10/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,DELAUNAY ALAIN,20/01/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DELAUNAY ALAIN,15/03/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,DELAUNAY ALAIN,06/07/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,DENARNAUD JEAN,14/03/2013,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,HANNOUN CHARLY,18/10/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,HANNOUN SYLVIE,18/10/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,HOFFMANN PATRICE,16/04/2013,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,HOFFMANN PATRICE,13/11/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,HOFFMANN PATRICE,21/06/2013,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,HOFFMANN PATRICE,21/02/2013,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Médecin,HOFFMANN PATRICE,06/12/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,KOSTER VIDAL MONIQUE,05/01/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MADI FAOUZI,16/10/2012,Restauration,€24,,
PIERRE FABRE MEDICAMENT,Médecin,MANSOUR JEAN PIERRE,04/10/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,MATHIEU MARC,18/10/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,QUERIOZ VIVIER CHRISTINE,14/02/2013,HÃƒÂ©bergement,€141,,
PIERRE FABRE MEDICAMENT,Médecin,QUERIOZ VIVIER CHRISTINE,14/02/2013,Frais de dÃƒÂ©placement,€341,,
PIERRE FABRE MEDICAMENT,Médecin,QUERIOZ VIVIER CHRISTINE,14/02/2013,Frais de dÃƒÂ©placement,€82,,
PIERRE FABRE MEDICAMENT,Médecin,QUERIOZ VIVIER CHRISTINE,19/11/2013,RESTAURATION,€23,,
PIERRE FABRE MEDICAMENT,Médecin,QUERIOZ VIVIER CHRISTINE,14/02/2013,HospitalitÃƒÂ©,€161,,
PIERRE FABRE MEDICAMENT,Médecin,QUERIOZ VIVIER CHRISTINE,13/11/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,ROBIN PIERRE,18/10/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,16/10/2013,RESTAURATION,€37,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,11/04/2013,HospitalitÃƒÂ©,€159,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,19/02/2013,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,11/04/2013,HÃƒÂ©bergement,€73,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,06/06/2014,RESTAURATION,€35,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,11/04/2013,Frais de dÃƒÂ©placement,€73,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,11/04/2013,Frais de dÃƒÂ©placement,€164,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,20/06/2014,RESTAURATION,€54,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,29/02/2012,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,12/10/2012,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,TRAN JEAN PHILIPPE,22/05/2012,Restauration,€44,,
PIERRE FABRE MEDICAMENT,Pharmacien,BASQUE JEAN LUC,05/06/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Pharmacien,BASQUE JEAN LUC,16/10/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Pharmacien,LAVAUD ISABELLE,05/06/2012,Restauration,€50,,
RESMED SAS,Médecin,MANSOUR JEAN-PIERRE,31/03/2014,Repas,€17,,
ROCHE DIAGNOSTICS FRANCE,Médecin,SOMJA LOUISE MARIE,29/11/2013,REPAS,€53,,
ROCHE DIAGNOSTICS FRANCE,Médecin,SOMJA LOUISE MARIE,29/11/2013,AUTRE : INSCRIPTION,€210,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,HUGOT MARIE,07/04/2014,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,HUGOT PIERRE HENRI,07/04/2014,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,ROGER ANNE,07/04/2014,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LINO MONIQUE,07/04/2014,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOMBA SABDRINE,07/04/2014,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PUMA LAURA,07/04/2014,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SACI KAMEL,07/04/2014,REPAS,€23,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ZIANI MYRIAM,07/04/2014,REPAS,€23,,
ROCHE SAS,Infirmier,BUISSON PIETRI CAROLINE,24/06/2014,Repas,€16,,
ROCHE SAS,Infirmier,LANSIAU MARIANNE,24/06/2014,Repas,€16,,
ROCHE SAS,Médecin,DENARNAUD JEAN,26/04/2013,Transport,€231,,
ROCHE SAS,Médecin,DENARNAUD JEAN,02/08/2013,Repas,€21,,
ROCHE SAS,Médecin,DENARNAUD JEAN,07/10/2013,Repas,€16,,
ROCHE SAS,Médecin,DENARNAUD JEAN,06/02/2014,Repas,€55,,
ROCHE SAS,Médecin,DENARNAUD JEAN,10/03/2014,Repas,€16,,
ROCHE SAS,Médecin,DENARNAUD JEAN,26/04/2013,Restauration,€55,,
ROCHE SAS,Médecin,DENARNAUD JEAN,02/08/2013,Repas,€21,,
ROCHE SAS,Médecin,DENARNAUD JEAN,26/04/2013,Restauration,€60,,
ROCHE SAS,Médecin,DENARNAUD JEAN,26/04/2013,Hébergement,€230,,
ROCHE SAS,Médecin,DENARNAUD JEAN,26/04/2013,Transport,€231,,
ROCHE SAS,Médecin,DENARNAUD JEAN,27/04/2013,Restauration,€10,,
ROCHE SAS,Médecin,DENARNAUD JEAN,27/04/2013,Transport,€20,,
ROCHE SAS,Médecin,DENARNAUD JEAN,25/10/2013,Transport,€295,,
ROCHE SAS,Médecin,DENARNAUD JEAN,27/04/2013,Restauration,€60,,
ROCHE SAS,Médecin,DENARNAUD JEAN,07/10/2013,Repas,€16,,
ROCHE SAS,Médecin,DENARNAUD JEAN,25/10/2013,Hébergement,€230,,
ROCHE SAS,Médecin,DENARNAUD JEAN,27/04/2013,Restauration,€55,,
ROCHE SAS,Médecin,DENARNAUD JEAN,26/04/2013,Restauration,€10,,
ROCHE SAS,Médecin,DENARNAUD JEAN,26/04/2013,Transport,€20,,
ROCHE SAS,Médecin,DENARNAUD JEAN,17/03/2014,Repas,€16,,
ROCHE SAS,Médecin,DENARNAUD JEAN,26/10/2013,Hébergement,€230,,
ROCHE SAS,Médecin,DENARNAUD JEAN,27/04/2013,Hébergement,€230,,
ROCHE SAS,Médecin,DENARNAUD JEAN,06/02/2014,Repas,€55,,
ROCHE SAS,Médecin,DENARNAUD JEAN,09/10/2013,Repas,€23,,
ROCHE SAS,Médecin,FUMERON CHRISTINE,10/10/2013,Repas,€57,,
ROCHE SAS,Médecin,FUMERON CHRISTINE,09/10/2013,Hébergement,€215,,
ROCHE SAS,Médecin,FUMERON CHRISTINE,10/10/2013,Repas,€57,,
ROCHE SAS,Médecin,FUMERON CHRISTINE,08/10/2013,Inscription,€180,,
ROCHE SAS,Médecin,FUMERON CHRISTINE,08/10/2013,Hébergement,€215,,
ROCHE SAS,Médecin,FUMERON CHRISTINE,25/03/2014,Repas,€60,,
ROCHE SAS,Médecin,FUMERON CHRISTINE,09/10/2013,Repas,€54,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,25/10/2013,Hébergement,€230,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,25/10/2013,Transport,€295,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,25/10/2013,Transport,€109,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,26/04/2013,Restauration,€10,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,08/10/2013,Repas,€23,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,06/02/2014,Repas,€55,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,20/09/2013,Repas,€55,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,20/09/2013,Repas,€60,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,20/09/2013,Repas,€11,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,20/09/2013,Transport,€19,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,21/09/2013,Repas,€55,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,21/09/2013,Repas,€10,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,27/04/2013,Hébergement,€230,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,27/04/2013,Restauration,€60,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,26/04/2013,Restauration,€55,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,26/04/2013,Transport,€20,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,26/04/2013,Restauration,€10,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,26/04/2013,Restauration,€10,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,21/09/2013,Repas,€10,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,21/09/2013,Repas,€55,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,20/09/2013,Transport,€19,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,20/09/2013,Repas,€11,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,20/09/2013,Repas,€60,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,20/09/2013,Repas,€55,,
ROCHE SAS,Médecin,MANSOUR JEAN PIERRE,06/02/2014,Repas,€55,,
ROCHE SAS,Médecin,STAMBOULI DALILA,24/06/2014,Repas,€16,,
ROCHE SAS,Pharmacien,SY AMINATA,24/06/2014,Repas,€16,,
SAMSUNG ELECTRONICS FRANCE,Médecin,BREITTMAYER FREDERICK,24/06/2014,REPAS,€55,,
SANDOZ,Médecin,BANAYAN SORAYA,04/03/2014,REPAS,€16,,
SANDOZ,Médecin,LACHACHI MOHAMED FAWZI,19/02/2014,REPAS,€28,,
SANDOZ,Médecin,LAUGAREIL PATRICK,19/02/2014,REPAS,€28,,
SANDOZ,Médecin,LOGEAY OLIVIER,04/03/2014,REPAS,€16,,
SANDOZ,Médecin,MANSOUR JEAN-PIERRE,04/03/2014,REPAS,€16,,
SANDOZ,Médecin,MANSOUR JEAN-PIERRE,19/02/2014,REPAS,€28,,
SANDOZ,Médecin,MANSOUR JEAN-PIERRE,19/02/2014,REPAS,€28,,
SANDOZ,Médecin,SITBON DIDIER,04/03/2014,REPAS,€16,,
SANDOZ,Médecin,TORRAS PIERRE,04/03/2014,REPAS,€16,,
SANOFI AVENTIS FRANCE,Médecin,CAILLIE FREDERIC,30/04/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,CHARBIT LIONEL,30/04/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,CHEMLAL NAJATE,27/03/2014,Repas,€52,,
SANOFI AVENTIS FRANCE,Médecin,COMBES MOUKHOVSKY MARIE EMMANUELLE,25/03/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,DENARNAUD JEAN,17/06/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,DI MANNO ANAELLE,10/09/2013,Restauration,€13,,
SANOFI AVENTIS FRANCE,Médecin,HAMON DOMINIQUE,14/11/2013,Restauration,€35,,
SANOFI AVENTIS FRANCE,Médecin,HANNOUN CHARLY,27/03/2014,Repas,€52,,
SANOFI AVENTIS FRANCE,Médecin,HOFFMANN PATRICE,16/09/2013,Restauration,€20,,
SANOFI AVENTIS FRANCE,Médecin,LE MEUNIER JEAN MICHEL,12/06/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,LE MEUNIER JEAN MICHEL,27/03/2014,Repas,€52,,
SANOFI AVENTIS FRANCE,Médecin,MANSOUR JEAN PIERRE,30/04/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,MANSOUR JEAN PIERRE,28/01/2014,Repas,€30,,
SANOFI AVENTIS FRANCE,Médecin,MATHIEU MARC,14/11/2013,Restauration,€35,,
SANOFI AVENTIS FRANCE,Médecin,MATHIEU MARC,27/03/2014,Repas,€52,,
