3M France,Chirurgien-dentiste,SAULUE PAUL,18/01/2014,REPAS,€50,,
Bayer HealthCare SAS,Pharmacien,MARTZ ALBERT CAROLINE,17/12/2013,Hospitalité,€54,,
Bayer HealthCare SAS,Pharmacien,SAUCAZ LARAME ANNE-MARIE,17/12/2013,Hospitalité,€54,,
Bayer HealthCare SAS,Pharmacien,TREMON CORINNE,17/12/2013,Hospitalité,€54,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BORIE IDIRA,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CANTEGREL CHRISTELLE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COUVRAT EMILIE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELAGE BRIGITTE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DE LA MAISONNEUVE FABIENNE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HARON LOLITA,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LABAJ CHRISTELLE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MILHAVET SANDRINE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PAULHE DELPHINE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RIBO SEBASTIEN,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SUBIRADE NATHALIE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VECCHI SYLVIE,29/04/2014,REPAS,€15,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ZEHROUNI AICHA,29/04/2014,REPAS,€15,,
B.BRAUN MEDICAL SAS,Médecin,TISSANDIER PHILIPPE,28/03/2014,REPAS,€10,,
BIOGARAN,Pharmacien,BONNET DENIS,16/09/2013,AUTRE : FORMATION ESSEC,€837,,
BIOGARAN,Pharmacien,BONNET Nathalie,31/03/2014,AUTRE : FORMATION ESSEC,€837,,
BIOGARAN,Pharmacien,CORNIER LAURENCE,26/09/2013,REPAS,€35,,
BIOGARAN,Pharmacien,SAUCAZ-LARAMÉ Anne-Marie,02/06/2014,AUTRE : FORMATION ESSEC,"€1,310",,
BIOGARAN,Pharmacien,TREMON CORINNE,26/09/2013,REPAS,€35,,
BIOGEN IDEC FRANCE,Médecin,LARRIEU JEAN LOUIS,04/12/2013,REPAS,€57,,
BIOGEN IDEC FRANCE,Médecin,LARRIEU JEAN LOUIS,18/06/2014,REPAS,€60,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,17/04/2014,REPAS,€41,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,17/06/2014,REPAS,€46,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,22/05/2014,REPAS,€17,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,17/10/2013,TRANSPORT,€417,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,17/10/2013,REPAS,€76,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,24/10/2013,REPAS,€46,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,18/10/2013,REPAS,€37,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,20/01/2014,REPAS,€53,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,18/06/2014,REPAS,€60,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,15/01/2014,REPAS,€59,,
BIOGEN IDEC FRANCE,Médecin,PEDESPAN BERNARD,04/12/2013,REPAS,€57,,
bioMérieux,Pharmacien,MARIOTTI PHILIPPE,10/01/2014,TRANSPORT,€252,,
bioMérieux,Pharmacien,MARIOTTI PHILIPPE,10/01/2014,HEBERGEMENT,€121,,
bioMérieux,Pharmacien,MARIOTTI PHILIPPE,10/01/2014,REPAS,€80,,
Biosensors France SAS,Médecin,Armengaud Jean,18/01/2014,Repas,€66,,
Biosensors France SAS,Médecin,Armengaud Jean,24/06/2014,Repas,€19,,
Biosensors France SAS,Médecin,Armengaud Jean,04/02/2014,Repas,€35,,
Biosensors France SAS,Médecin,Armengaud Jean,14/01/2014,Transport,€790,,
Biosensors France SAS,Médecin,Armengaud Jean,14/01/2014,Repas,€16,,
Biosensors France SAS,Médecin,Armengaud Jean,24/06/2014,Repas,€19,,
Biosensors France SAS,Médecin,Armengaud Jean,18/01/2014,Repas,€66,,
Biosensors France SAS,Médecin,Armengaud Jean,18/01/2014,Transport,€790,,
Biosensors France SAS,Médecin,Armengaud Jean,14/01/2014,Transport,€790,,
Biosensors France SAS,Médecin,Armengaud Jean,15/01/2014,Hébergement,€245,,
Biosensors France SAS,Médecin,Armengaud Jean,16/10/2013,Repas,€37,,
Biosensors France SAS,Médecin,Armengaud Jean,27/08/2013,Repas,€16,,
Biosensors France SAS,Médecin,Armengaud Jean,16/01/2014,Autre : [inscription],€635,,
Biosensors France SAS,Médecin,Armengaud Jean,17/01/2014,Repas,€57,,
Biosensors France SAS,Médecin,Armengaud Jean,16/01/2014,Repas,€74,,
Biosensors France SAS,Médecin,Armengaud Jean,04/02/2014,Repas,€35,,
Biosensors France SAS,Médecin,Armengaud Jean,13/05/2014,Repas,€38,,
Biosensors France SAS,Médecin,Armengaud Jean,16/01/2014,Hébergement,€245,,
Biosensors France SAS,Médecin,Armengaud Jean,17/01/2014,Repas,€19,,
Biosensors France SAS,Médecin,Armengaud Jean,20/02/2014,Repas,€18,,
Biosensors France SAS,Médecin,Armengaud Jean,15/01/2014,Repas,€60,,
Biosensors France SAS,Médecin,Armengaud Jean,17/01/2014,Hébergement,€245,,
Biosensors France SAS,Médecin,Colin Patrice,09/10/2013,Transport,€259,,
Biosensors France SAS,Médecin,Colin Patrice,09/10/2013,Autre : [inscription],€740,,
Biosensors France SAS,Médecin,Colin Patrice,10/10/2013,Hébergement,€237,,
Biosensors France SAS,Médecin,Colin Patrice,09/10/2013,Transport,€259,,
Biosensors France SAS,Médecin,Colin Patrice,11/10/2013,Transport,€259,,
Biosensors France SAS,Médecin,Fournier Pierre,05/12/2013,Hébergement,€210,,
Biosensors France SAS,Médecin,Fournier Pierre,04/12/2013,Transport,€259,,
Biosensors France SAS,Médecin,Fournier Pierre,04/12/2013,Autre : [inscription],€960,,
Biosensors France SAS,Médecin,Fournier Pierre,04/12/2013,Hébergement,€210,,
Biosensors France SAS,Médecin,Fournier Pierre,06/12/2013,Transport,€259,,
BIOTRONIK FRANCE SAS,Aide soignant,GLORIS KARINE,06/12/2013,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,BOUBBADARA KHADIJA,06/12/2013,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,GRAS MAGALI,22/06/2014,HEBERGEMENT,€167,,
BIOTRONIK FRANCE SAS,Infirmier,GRAS MAGALI,22/06/2014,AUTRE:[INSCRIPTION],€250,,
BIOTRONIK FRANCE SAS,Infirmier,LARROZE ISABELLE,13/06/2014,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,MINGOT LUDOVIC,13/06/2014,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,ROUSSEL CATHY,06/12/2013,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,SAMINADIN SOLENE,13/06/2014,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,SOL SEBASTIEN,06/12/2013,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,VOLPATO CELINE,13/06/2014,REPAS,€11,,
BIOTRONIK FRANCE SAS,Infirmier,VOLPATO CELINE,06/12/2013,REPAS,€11,,
BIOTRONIK FRANCE SAS,Médecin,ARMENGAUD JEAN,13/06/2014,REPAS,€11,,
BIOTRONIK FRANCE SAS,Médecin,ARMENGAUD JEAN,13/06/2014,REPAS,€11,,
BIOTRONIK FRANCE SAS,Médecin,ARMENGAUD JEAN,11/10/2013,REPAS,€27,,
BIOTRONIK FRANCE SAS,Médecin,ARMENGAUD JEAN,29/07/2013,REPAS,€45,,
BIOTRONIK FRANCE SAS,Médecin,ARMENGAUD JEAN,04/12/2013,REPAS,€49,,
BIOTRONIK FRANCE SAS,Médecin,GARBE JEAN FRANCOIS,12/03/2014,REPAS,€43,,
BIOTRONIK FRANCE SAS,Médecin,GARBE JEAN-FRANCOIS,06/12/2013,REPAS,€35,,
BIOTRONIK FRANCE SAS,Médecin,GARBE JEAN-FRANCOIS,11/09/2013,REPAS,€51,,
BIOTRONIK FRANCE SAS,Médecin,GARBE JEAN-FRANCOIS,04/10/2013,REPAS,€52,,
BIOTRONIK FRANCE SAS,Médecin,GARBE JEAN-FRANCOIS,05/12/2013,REPAS,€53,,
BIOTRONIK FRANCE SAS,Médecin,LEUNG ANDRE,13/06/2014,REPAS,€11,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BERNARD OLIVIER,06/03/2014,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CUVILLIER XAVIER,06/03/2014,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DENISI ROCCO,16/04/2014,HOSPITALITE,€16,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FIATTE PHILIPPE,06/03/2014,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JUANICO ROLLIN SANDRINE,01/06/2013,HOSPITALITE,€257,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARAUD LUC,16/04/2014,HOSPITALITE,€16,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARAUD LUC,16/01/2014,HOSPITALITE,€947,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MERCIER YVES,20/11/2013,HOSPITALITE,€60,,
BOIRON,Médecin,MARTIN THEVENOT MONIQUE,07/02/2014,[REPAS],€38,,
BOIRON,Médecin,MARTIN THEVENOT MONIQUE,06/06/2014,[REPAS],€24,,
BOIRON,Médecin,PILIN FABRE DOMINIQUE,09/04/2014,[REPAS],€45,,
BOIRON,Médecin,PILIN FABRE DOMINIQUE,09/04/2014,[REPAS],€45,,
BOIRON,Médecin,PILIN FABRE DOMINIQUE,06/11/2013,[REPAS],€37,,
BOIRON,Médecin,PILIN-FABRE DOMINIQUE,01/07/2013,[AUTRE],€69,,
BOIRON,Médecin,SEVERAC PASCAL,18/06/2014,[REPAS],€35,,
BOIRON,Pharmacien,DUSSILLOLS CORINE,03/04/2014,[REPAS],€28,,
BOIRON,Pharmacien,DUSSILLOLS CORINE,03/04/2014,[REPAS],€28,,
BOIRON,Pharmacien,LAGUNA JOELLE,14/11/2013,[REPAS],€25,,
BOIRON,Pharmacien,PUJOL FLORENCE,14/11/2013,[REPAS],€25,,
BOIRON,Pharmacien,SEGUY MARIE-CHRISTINE,14/11/2013,[REPAS],€25,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHENOUNA LAETITIA,14/11/2013,[REPAS],€25,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DETURCK NATHALIE,03/04/2014,[REPAS],€28,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DETURCK NATHALIE,03/04/2014,[REPAS],€28,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DIEUMEGARD MARINE,14/11/2013,[REPAS],€25,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEROCH VERONIQUE,03/04/2014,[REPAS],€28,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEROCH VERONIQUE,03/04/2014,[REPAS],€28,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SAFFORES DOMINIQUE,14/11/2013,[REPAS],€25,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SOLIVERES ARMAND,14/11/2013,[REPAS],€25,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SURE STEPHANIE,14/11/2013,[REPAS],€25,,
BOSTON SCIENTIFIC SAS,Infirmier,BOUBADDARA KHADIJA,19/12/2013,REPAS,€54,,
BOSTON SCIENTIFIC SAS,Infirmier,BOUBBADARA KHADIJA,06/11/2013,REPAS,€58,,
BOSTON SCIENTIFIC SAS,Infirmier,GAURE CAROLE,23/06/2013,TRANSPORT,€305,,
BOSTON SCIENTIFIC SAS,Infirmier,GAURE CAROLE,23/06/2013,HEBERGEMENT,€163,,
BOSTON SCIENTIFIC SAS,Infirmier,GAURE CAROLE,23/06/2013,HEBERGEMENT,€163,,
BOSTON SCIENTIFIC SAS,Infirmier,GAURE CAROLE,23/06/2013,AUTRE : [INSCRIPTIONS],€200,,
BOSTON SCIENTIFIC SAS,Infirmier,GAURE CAROLE,24/06/2013,REPAS,€63,,
BOSTON SCIENTIFIC SAS,Infirmier,GAUTHIER FLORENCE,16/05/2014,REPAS,€33,,
BOSTON SCIENTIFIC SAS,Infirmier,GINCHELOT DANIELLE,20/06/2013,REPAS,€53,,
BOSTON SCIENTIFIC SAS,Infirmier,LAPORTE CLAUDINE,16/05/2014,REPAS,€33,,
BOSTON SCIENTIFIC SAS,Infirmier,LAPORTE CLAUDINE,10/01/2014,REPAS,€28,,
BOSTON SCIENTIFIC SAS,Infirmier,ROUSSEL KATY,06/11/2013,REPAS,€58,,
BOSTON SCIENTIFIC SAS,Infirmier,ROUSSEL KATY,19/12/2013,REPAS,€54,,
BOSTON SCIENTIFIC SAS,Infirmier,SAMINADIN SOLENE,06/11/2013,REPAS,€58,,
BOSTON SCIENTIFIC SAS,Infirmier,SAMINADIN SOLENE,20/06/2013,REPAS,€53,,
BOSTON SCIENTIFIC SAS,Infirmier,SAMINADIN SOLENE,19/12/2013,REPAS,€54,,
BOSTON SCIENTIFIC SAS,Infirmier,SOL SEBASTIEN,06/11/2013,REPAS,€58,,
BOSTON SCIENTIFIC SAS,Infirmier,SOL SEBASTIEN,19/12/2013,REPAS,€54,,
BOSTON SCIENTIFIC SAS,Infirmier,TEIXEIRA OLIVIER,10/01/2014,REPAS,€28,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,04/12/2013,TRANSPORT,€128,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,10/04/2014,AUTRE : [INSCRIPTIONS],€620,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,14/12/2013,REPAS,€47,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,10/04/2014,AUTRE : [INSCRIPTIONS],€620,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,10/04/2014,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,10/04/2014,REPAS,€55,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,04/12/2013,TRANSPORT,€128,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,04/12/2013,HEBERGEMENT,€252,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,04/12/2013,AUTRE : [INSCRIPTIONS],€884,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,04/12/2013,HEBERGEMENT,€252,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,04/12/2013,TRANSPORT,€512,,
BOSTON SCIENTIFIC SAS,Médecin,ARMENGAUD JEAN,06/11/2013,REPAS,€58,,
BOSTON SCIENTIFIC SAS,Médecin,CAZALS BRICE,13/06/2013,HEBERGEMENT,€193,,
BOSTON SCIENTIFIC SAS,Médecin,CAZALS JEAN-BRICE,13/06/2013,REPAS,€37,,
BOSTON SCIENTIFIC SAS,Médecin,COLIN PATRICE,19/12/2013,REPAS,€54,,
BOSTON SCIENTIFIC SAS,Médecin,COLIN PATRICE,22/04/2014,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,CONSTANS REMY,22/04/2014,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,CONSTANS REMY,20/02/2014,REPAS,€44,,
BOSTON SCIENTIFIC SAS,Médecin,CONSTANS REMY,07/11/2013,REPAS,€32,,
BOSTON SCIENTIFIC SAS,Médecin,CONSTANS REMY,15/04/2014,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,CONSTANS REMY,15/05/2013,REPAS,€41,,
BOSTON SCIENTIFIC SAS,Médecin,DIAB FADI,01/10/2013,REPAS,€33,,
BOSTON SCIENTIFIC SAS,Médecin,HIRECHE HASSIBA,17/04/2014,REPAS,€24,,
BOSTON SCIENTIFIC SAS,Médecin,HIRECHE HASSIBA,16/05/2014,REPAS,€33,,
BOSTON SCIENTIFIC SAS,Médecin,HIRECHE HASSIBA,25/02/2014,REPAS,€23,,
BOSTON SCIENTIFIC SAS,Médecin,HIRECHE HASSIBA,28/03/2014,REPAS,€29,,
BOSTON SCIENTIFIC SAS,Médecin,LAFFORT PATRICK,03/03/2014,REPAS,€42,,
BOSTON SCIENTIFIC SAS,Médecin,MARAUD LUC,03/03/2014,REPAS,€42,,
BOSTON SCIENTIFIC SAS,Médecin,MOKRANI OMAR,30/05/2013,REPAS,€65,,
BOSTON SCIENTIFIC SAS,Médecin,MOUYSSET BERNARD,15/04/2014,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,MOUYSSET BERNARD,22/04/2014,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,SEILLAN SÉBASTIEN,14/11/2013,REPAS,€25,,
BOSTON SCIENTIFIC SAS,Médecin,VEYRET ALAIN,03/07/2013,REPAS,€27,,
BOSTON SCIENTIFIC SAS,Médecin,VEYRET ALAIN,03/07/2013,REPAS,€11,,
BOSTON SCIENTIFIC SAS,Médecin,VEYRET ALAIN,02/07/2013,REPAS,€50,,
BOSTON SCIENTIFIC SAS,Médecin,VEYRET ALAIN,21/02/2014,REPAS,€21,,
BOSTON SCIENTIFIC SAS,Médecin,VEYRET ALAIN,22/06/2013,REPAS,€54,,
BOSTON SCIENTIFIC SAS,Pharmacien,SEMAOUN REMY,16/05/2014,REPAS,€33,,
BRACCO IMAGING FRANCE,Médecin,CASTEL JEAN CLAUDE,21/11/2013,REPAS,€29,,
BRISTOL-MYERS SQUIBB,Médecin,ARAGON SERGE,17/12/2013,Repas,€52,,
BRISTOL-MYERS SQUIBB,Médecin,BOYER PIERRE LUC,18/10/2013,Repas,€31,,
BRISTOL-MYERS SQUIBB,Médecin,BOYER PIERRE LUC,12/06/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,BOYER PIERRE LUC,18/10/2013,Repas,€31,,
BRISTOL-MYERS SQUIBB,Médecin,BRUGEL GERARD,06/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CHAABAN IMAD EDDINE,24/06/2014,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,CHAABAN IMAD EDDINE,18/10/2013,Repas,€31,,
BRISTOL-MYERS SQUIBB,Médecin,CHABOUSSOU JEAN PIERRE,12/06/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,CHABOUSSOU JEAN PIERRE,19/12/2013,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,CHELLIER MARC,12/06/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,CHELLIER MARC,19/12/2013,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,CHELLIER MARC,19/07/2013,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,CHELLIER MARC,15/11/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,DENISI ROCCO,29/11/2013,Repas,€35,,
BRISTOL-MYERS SQUIBB,Médecin,FAUCHEUX JEAN MARC,10/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GATT HUBERT,12/06/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,GATT HUBERT,19/07/2013,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,HERMAN ANDRE,15/11/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,HIRESCH HASSIBA,12/06/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,HIRESCH HASSIBA,10/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,HIRESCH HASSIBA,21/03/2014,Repas,€26,,
BRISTOL-MYERS SQUIBB,Médecin,KFOURY ZEID,28/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,LACOURT GUILLAUME,24/06/2014,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,MERCIER YVES,06/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,PAGES MARC,28/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,PAOLINI BRUNO,18/10/2013,Repas,€31,,
BRISTOL-MYERS SQUIBB,Pharmacien,DE QUILLACQ MARIE ODILE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,DONNEFORT BERNARD,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,DONNEFORT BERNARD,06/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Pharmacien,DUSSILLOLS CORINE,10/04/2014,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,LADRAT PAUL,10/04/2014,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,LAMBERT CHARLOTTE,10/04/2014,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,POMMERET CHRISTINE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,TREVISAN VALERIE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,TREVISAN VALERIE,06/03/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ALBERT LAURE,10/04/2014,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BADAN GILLES,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DETURCK NATHALIE,10/04/2014,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FALGUIERES LAETITIA,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUITON SANDRINE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAGADEC ISABELLE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARCINKOWSKI STEPHANIE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PRION PAULINE,14/11/2013,Repas,€44,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BALDAN Gille,01/10/2013,Repas,€19,,
BSN-RADIANTE SAS,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,SAINT-MARC Hélène,04/10/2013,Repas,€14,,
cardipulse,Médecin,HIRECHE HASSIBA,22/04/2014,REPAS,€21,,
cardipulse,Médecin,HIRECHE HASSIBA,19/02/2014,REPAS,€19,,
Carl Zeiss Meditec France,Médecin,CHEVALIER JEROME,23/07/2013,REPAS,€45,,
CELGENE,Pharmacien,LARTIGUE FRANCOISE,10/09/2013,REPAS REUNION HOSPITALIERE,€21,,
CHIESI SA,Médecin,CHABOUSSOU JEAN PIERRE,28/11/2013,Repas,€53,,
CHIESI SA,Médecin,JUANICO ROLLIN SANDRINE,31/01/2014,Hébergement,€259,,
CHIESI SA,Médecin,JUANICO ROLLIN SANDRINE,31/01/2014,Transport,€145,,
CHIESI SA,Médecin,JUANICO ROLLIN SANDRINE,31/01/2014,Repas,€119,,
CHIESI SA,Médecin,JUANICO ROLLIN SANDRINE,31/01/2014,Autre : INSCRIPTION,€200,,
CHIESI SA,Médecin,JUANICO ROLLIN SANDRINE,01/02/2014,Repas,€19,,
CHIESI SA,Médecin,PIGEAUD PHILIPPE,10/10/2013,Repas,€53,,
chris eyes,Médecin,DARIE MICHEL,07/01/2014,AUTRE : [VIENNOISERIES],€13,,
CHUGAI PHARMA FRANCE,Association professionnel de santé,ASSOCIATION CANCEROLOGIE AGENAISE LIBERALE LE CANAL,10/11/2013,DONS,"€4,000",,
CHUGAI PHARMA FRANCE,Médecin,BERNARD OLIVIER,19/09/2013,REPAS,€37,,
colgate palmolive,Chirurgien-dentiste,CONEJERO CHRISTINE,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,DUFOURG ALEXIS,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,GRANDATY MARIE CLAUDE,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,LAGAYE EMMANUELLE,04/02/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,BOYER CECILE,08/03/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,CASTERAS GUY,08/03/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DUGAST LAURENT,08/03/2014,REPAS,€30,,
Cook France SARL,Médecin,GARBE JEAN-FRANCOIS,19/09/2013,REPAS,€16,,
Cook France SARL,Médecin,GARBE JEAN-FRANCOIS,17/09/2013,REPAS,€21,,
Cook France SARL,Médecin,GARBE JEAN-FRANCOIS,17/09/2013,REPAS,€15,,
Cook France SARL,Médecin,GARBE JEAN-FRANCOIS,12/09/2013,REPAS,€14,,
Cook France SARL,Médecin,GARBE JEAN-FRANCOIS,19/08/2013,REPAS,€22,,
Cook France SARL,Médecin,GARBE JEAN-FRANCOIS,25/06/2013,REPAS,€17,,
Cook France SARL,Médecin,GUERLIN ANTOINE,25/09/2013,REPAS,€21,,
Cook France SARL,Médecin,GUERLIN ANTOINE,25/09/2013,REPAS,€17,,
Cook France SARL,Médecin,GUERLIN ANTOINE,18/09/2013,REPAS,€14,,
COSMETIQUE ACTIVE FRANCE,Médecin,FERRANDO POINGT MARY FLORENCE,19/04/2014,VOYAGES D'AGREMENT,"€1,184",,
COSMETIQUE ACTIVE FRANCE,Médecin,LAMEY BERTRAND,30/06/2014,REPAS,€19,,
COSMETIQUE ACTIVE FRANCE,Médecin,LAMEY BERTRAND,05/05/2014,VOYAGES D'AGREMENT,"€1,184",,
COSMETIQUE ACTIVE FRANCE,Médecin,POIZAC PASCALE,10/04/2014,AUTRE: [DERMOSCOPIE],€30,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEROCH VÉRONIQUE,05/12/2013,HOSPITALITE,€133,,
COVIDIEN FRANCE S.A.S.,Association professionnel de santé,VASCULAIRES SUD OUEST PRIVES (V.S.O.P.),26/06/2014,DON,"€4,500",,
CROMA,Médecin,Darie Michel,12/05/2014,Déplacement et hospitalité,"€2,000",,
