3M France,Pharmacien,PERRIN LACOUR JEANNE,19/09/2013,REPAS,€30,,
Schulke France SARL,Chirurgien-dentiste,BOURLET GILLES,29/11/2013,offre ADF,€70,,
SIEMENS AUDIOLOGIE,Audioprothésiste,CONSTANT PIERRE,08/01/2014,AUTRE : [BOISSON],€21,,
SIEMENS AUDIOLOGIE,Audioprothésiste,CONSTANT PIERRE,04/04/2014,AUTRE : [CONGRES_2014],€45,,
STARKEY FRANCE,Audioprothésiste,CONSTANT PIERRE,10/10/2013,REPAS,€44,,
Takeda France,Infirmier,GOUIT VALLON MURIELLE,15/03/2014,Hébergement,€73,,
Takeda France,Infirmier,GOUIT VALLON MURIELLE,14/03/2014,Repas,€108,,
Takeda France,Médecin,VAUDEY Roland,06/02/2014,REPAS,€60,,
Takeda France,Médecin,VAUDEY Roland,08/04/2014,REPAS,€60,,
TEVA SANTE SAS,Médecin,CARTIER JEAN CHARLES,27/02/2014,REPAS,€45,,
TEVA SANTE SAS,Médecin,MENUDET JEAN LOUP,27/02/2014,REPAS,€45,,
TEVA SANTE SAS,Médecin,TOURNIER MICHEL,27/02/2014,REPAS,€45,,
TEVA SANTE SAS,Pharmacien,WARIN JEANNE,27/02/2014,REPAS,€45,,
THUASNE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOYER CAROLINE,22/04/2014,REPAS,€34,,
ZYDUS FRANCE,Pharmacien,SEIGNOBOS BERNARD,11/07/2013,REPAS,€356,,
