AbbVie,Médecin,DESURMONT PHILIPPE,04/02/2014,REPAS,€32,,
colgate palmolive,Chirurgien-dentiste,BARROSO ETELVINA,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,DELAUNOY CHRISTIAN,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,GUILLOU ELLEN MARIE,15/04/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,GUILLOU ELLEN MARIE,22/05/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,JELONKIEWICZ YANNICK,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,VANDEVELDE MARC ANTOINE,04/02/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DUFLOS ODILE,25/01/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,FAYEULLE JULIEN,25/01/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,FRYS SIX MARIE LAURE,25/01/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,HENNION HUBERT,25/01/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,LEBRUN PHILIPPE,25/01/2014,REPAS,€30,,
COOPERVISION SAS,Médecin,GALLANT PAUL,24/09/2013,REPAS,€60,,
COSMETIQUE ACTIVE FRANCE,Etudiant,ETUDIANTE ETUDIANTE,01/04/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Médecin,CIBOT VALERIE,03/10/2013,AUTRE,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,CIBOT VALERIE,03/10/2013,AUTRE,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,CIBOT VALERIE,03/10/2013,AUTRE,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,DELESALLE FRANCK,08/10/2013,AUTRE,€17,,
COSMETIQUE ACTIVE FRANCE,Médecin,GRELIAK ANNA,12/12/2013,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Médecin,PANNEQUIN CATHERINE,06/05/2014,AUTRE: [RP],€72,,
COSMETIQUE ACTIVE FRANCE,Médecin,PANNEQUIN CATHERINE,03/10/2013,AUTRE,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,PANNEQUIN CATHERINE,03/10/2013,AUTRE,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,PANNEQUIN CATHERINE,06/05/2014,AUTRE: [RP],€72,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,PICOT LOUISE,23/01/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,PICOT LOUISE,01/04/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,RZEPKA ANNE SOPHIE,20/05/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,VANKEMMEL VALERIE,23/01/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,VERRIER CATHERINE,20/05/2014,REPAS,€23,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOUQUET YVES,12/10/2013,Repas,€100,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOUQUET YVES,12/10/2013,Hospitalité,€144,,
DAIICHI SANKYO FRANCE SAS,Médecin,POISSONNIER GEORGES,08/10/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,POISSONNIER GEORGES,12/10/2013,Hospitalité,€144,,
DAIICHI SANKYO FRANCE SAS,Médecin,POISSONNIER GEORGES,12/10/2013,Repas,€100,,
DAIICHI SANKYO FRANCE SAS,Médecin,POISSONNIER GEORGES,19/11/2013,Repas,€27,,
DAIICHI SANKYO FRANCE SAS,Médecin,PORICHE FREDERIC,01/10/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,WESTCOTT SALOMON CATHERINE,08/10/2013,Repas,€45,,
DENTSPLY FRANCE,Chirurgien-dentiste,HARY FRANCOIS,21/11/2013,REPAS,€14,,
DJO France SAS,Pharmacien,CRETEUR PHILIPPE,02/05/2014,Repas,€32,,
EFFIK,Médecin,DELESALLE FRANCK,08/04/2014,REPAS,€53,,
ETHICON,Médecin,GALLANT PAUL,14/11/2013,REPAS,€60,,
ETHICON,Médecin,MENSIER ERIC,10/04/2014,HEBERGEMENT,€156,,
ETHICON,Médecin,MENSIER ERIC,10/04/2014,REPAS,€96,,
ETHICON,Médecin,MENSIER ERIC,10/04/2014,TRANSPORT,€547,,
ETHICON,Médecin,PUECH LEROY VIRGINIE,09/12/2013,REPAS,€45,,
ETHICON,Opticien-lunetier,PLATEAUX JEAN CHRISTOPHE,17/03/2014,TRANSPORT,€125,,
ETHICON,Opticien-lunetier,PLATEAUX JEAN CHRISTOPHE,17/03/2014,REPAS,€19,,
EUROPHTA,Médecin,PUEHC LEROY VIRGINIE,15/04/2014,HOSPITALITE,€667,,
EXACTECH FRANCE SAS,Médecin,BAUDSON HUBERT,04/04/2014,Repas,€69,,
EXACTECH FRANCE SAS,Médecin,BAUDSON HUBERT,03/04/2014,Transport,€172,,
FH ORTHOPEDICS,Médecin,LE RUE OLIVIER,30/11/2012,HEBERGEMENT,€210,,
FRESENIUS KABI FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,IGLESIAS PAULINE,19/11/2013,REPAS,€43,,
galderma international,Médecin,FONTAINE THIERRY,20/03/2014,Repas,€45,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,LECLERCQ SFEZ MONELLE,21/11/2013,REPAS,€53,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,VANLERBERGHE DERVAUX KARINE,21/11/2013,REPAS,€53,,
GE HEALTHCARE SAS,Médecin,TCHOKONTE MAGLOIRE,18/10/2013,Hospitalité Congrès Symposium,€152,,
GE HEALTHCARE SAS,Médecin,TCHOKONTE MAGLOIRE,18/10/2013,Hospitalité Congrès Symposium,€348,,
GE Medical Systems SCS,Médecin,TCHOKONTE WELADJI MAGLOIRE,29/11/2013,REPAS PROFESSIONNEL,€32,,
GIBAUD,Pharmacien,CRETEUR PHILIPPE,25/02/2014,Repas,€36,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LELEU OPHELIE,28/04/2014,Repas,€14,,
GUERBET France,Médecin,BEAUGUITTE ARNAUD,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,BEAUGUITTE ARNAUD,28/11/2013,TRANSPORT,€80,,
GUERBET France,Médecin,BEAUGUITTE ARNAUD,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,DURETZ PATRICK,28/11/2013,TRANSPORT,€80,,
GUERBET France,Médecin,DURETZ PATRICK,28/11/2013,AUTRE : PACKAGE,"€2,795",,
GUERBET France,Médecin,DURETZ PATRICK,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,LIESSE ANNE,28/11/2013,AUTRE : PACKAGE,"€2,795",,
GUERBET France,Médecin,LIESSE ANNE,19/12/2013,REPAS,€55,,
GUERBET France,Médecin,LIESSE ANNE,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,LIESSE ANNE,28/11/2013,TRANSPORT,€48,,
horus pharma,Médecin,DUPARC Adeline,12/06/2014,Repas,€55,,
horus pharma,Médecin,GALANT PAUL,05/06/2014,Repas,€40,,
ICARE,Infirmier,CARPENTIER SOPHIE,19/05/2014,Autre,€60,,
ICOMED,Chirurgien-dentiste,CUVILLIER BRUNO,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,DAO DUC,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,DELAUNOY CHRISTIAN,17/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,JELONKIEWICZ YANNICK,05/06/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,JELONKIEWICZ BARROSO ETELVINA,05/06/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,LABRIFFE JEAN LUC,14/04/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,LEPERS JEAN PHILIPPE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,LEPERS VALERIE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,LEPERS VALERIE,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BEHAGUE DANIEL,11/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,BEHAGUE DANIEL,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOUQUET YVES,27/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,CHASTAN LEFEBVRE FABIENNE,22/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COCHETEUX PHILIPPE,26/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COCHETEUX PHILIPPE,16/06/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,DAUBRESSE PATRICK,10/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DELATTRE ARNAUD,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DELESALLE FRANCK,14/05/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,DELESALLE FRANCK,15/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DUPARC ADELINE,18/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,FONTAINE THIERRY,13/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,FONTAINE THIERRY,07/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GALLANT PAUL,14/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GENTINA THIBAUT,19/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HANUS THIERRY,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HANUS THIERRY,22/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,HOUCKE PHILIPPE,14/05/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,HOUCKE PHILIPPE,05/06/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,KENIG CLAUDE,17/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,KOZAK JEROME,26/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,KOZAK JEROME,06/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,LAMBLIN DEGROS CATHERINE,25/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LE RUE OLIVIER,07/08/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,LEYS CATHERINE,23/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,MARX JACQUES,25/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PANNEQUIN CATHERINE,21/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,PANNEQUIN CATHERINE,13/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,POISSONNIER GEORGES,24/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PORICHE FREDERIC,24/02/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,PORICHE FREDERIC,29/01/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,RENVOISE VINCART MARIE,09/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,RENVOISE VINCART MARIE,17/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,ROSENBLATT RAPHAEL,06/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,ROUSSEAUX MATHIEU,07/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,ROUSSEAUX MATHIEU,06/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,WESTCOTT SALOMON CATHERINE,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,LICETTE BRUNO,23/04/2013,Autre: [Enquête],€19,,
IPSEN PHARMA,Médecin,HANUS THIERRY,20/05/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,PORICHE FREDERIC,17/04/2014,REPAS,€27,,
JANSSEN-CILAG,Médecin,BOUQUET YVES,17/10/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,KOENIG PHILIPPE,09/04/2013,REPAS,€30,,
JANSSEN-CILAG,Médecin,KOZAK JEROME,02/07/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,KOZAK JEROME,17/10/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,PANNEQUIN CATHERINE,22/10/2013,REPAS,€53,,
JANSSEN-CILAG,Médecin,PETIT DOMINIQUE,02/07/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,POISSONNIER GEORGES,17/10/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,PORICHE FREDERIC,17/10/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,PORICHE FREDERIC,09/04/2013,REPAS,€30,,
JANSSEN-CILAG,Médecin,WESTCOTT SALOMON CATHERINE,14/06/2013,REPAS,€29,,
KARL STORZ ENDOSCOPIE FRANCE SAS,Médecin,LERUE Olivier,04/07/2013,repas,€66,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,BOUTROY PATRICE,08/11/2012,Cadeaux,€144,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,DESBORDES GUY,08/11/2012,Cadeaux,€144,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,HARY François,05/01/2012,Autre,"€1,000",,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,JELONKIEWICZ YANNICK,08/03/2012,Cadeaux,€144,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,LIPKA XAVIER,08/11/2012,Cadeaux,€864,,
LABORATOIRE DES GRANIONS,Médecin,DEBONNE MATTHIEU,26/03/2014,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Masseur-kinésithérapeute,HUGUES GAUCHEZ,13/03/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEHAGUE DANIEL,12/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUQUET YVES,17/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUQUET YVES,02/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUQUET YVES,01/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUQUET YVES,28/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUQUET YVES,12/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBONNE MATTHIEU,06/07/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBONNE MATTHIEU,28/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBONNE MATTHIEU,06/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBONNE MATTHIEU,25/10/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELESALLE FRANCK,25/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE THIERRY,21/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GENTINA THIBAUT,31/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG PHILIPPE,16/01/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG PHILIPPE,13/06/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG PHILIPPE,06/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG PHILIPPE,16/05/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG PHILIPPE,29/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG PHILIPPE,16/03/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOENIG PHILIPPE,24/10/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOZAK JEROME,26/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOZAK JEROME,21/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOZAK JEROME,21/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOZAK JEROME,17/09/2013,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOZAK JEROME,01/10/2013,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEBRUN PHILIPPE,03/04/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEBRUN PHILIPPE,26/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEYS CATHERINE,21/02/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT DOMINIQUE,21/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT DOMINIQUE,26/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT DOMINIQUE,19/06/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT DOMINIQUE,05/02/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT DOMINIQUE,01/10/2013,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT DOMINIQUE,17/09/2013,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT DOMINIQUE,21/03/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,01/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,09/04/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,02/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,17/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,26/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,31/01/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,12/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,17/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,29/10/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POISSONNIER GEORGES,12/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TAREL JEAN LUC,12/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANLERBERGHE DERVAUX KARINE,17/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WESTCOTT SALOMON CATHERINE,21/02/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WESTCOTT SALOMON CATHERINE,11/03/2014,REPAS,€37,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE CRETEUR,14/01/2014,CADEAUX,€12,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DE LA MARQUE,15/01/2014,CADEAUX,€12,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DE L HIPPODROME,13/01/2014,CADEAUX,€12,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE LICETTE,20/01/2014,CADEAUX,€12,,
Laboratoire Innothera,Pharmacien,LICETTE BRUNO,04/06/2014,REPAS,€42,,
Laboratoire Innothera,Pharmacien,RZEPKA ANNE-SOPHIE,12/02/2014,REPAS,€27,,
Laboratoire Innothera,Pharmacien,VANHEEGHE BERTRAND,04/06/2014,REPAS,€42,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRION CHARLOTTE,12/02/2014,REPAS,€27,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARCHAL CAMILLE,12/02/2014,REPAS,€27,,
LABORATOIRE JALDES,Médecin,Caron Paul-Marie,03/07/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Cibot Valérie,10/12/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Leys Catherine,01/08/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE MENE ET MOY,Médecin,FONTAINE THIERRY,23/10/2013,cadeaux,€18,,
LABORATOIRE MENE ET MOY,Médecin,FONTAINE THIERRY,23/10/2013,cadeaux,€18,,
LABORATOIRE MENE ET MOY,Médecin,FONTAINE THIERRY,18/09/2013,cadeaux,€27,,
LABORATOIRES ALCON,Médecin,GALLANT PAUL,16/11/2013,HEBERGEMENT,€220,,
LABORATOIRES ALCON,Médecin,GALLANT PAUL,16/11/2013,REPAS,€180,,
LABORATOIRES ALCON,Médecin,GALLANT PAUL,16/11/2013,TRANSPORT,€221,,
Laboratoires ARKOPHARMA,Pharmacien,LECOQ ALICIA,15/04/2014,REPAS,€50,,
Laboratoires BESINS INTERNATIONAL,Médecin,LECLERCQ SFEZ Monelle,22/05/2013,Repas,€45,,
Laboratoires BESINS INTERNATIONAL,Médecin,VANLERBERGHE DERVAUX Karine,05/09/2013,Repas,€17,,
Laboratoires BESINS INTERNATIONAL,Médecin,VANLERBERGHE DERVAUX Karine,22/03/2013,Repas,€31,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BURETTE LEFEBVRE FREDERIQUE,11/07/2013,Repas,€16,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CAYET PIERRE,24/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,KOENIG PHILIPPE,18/07/2013,Repas,€40,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,KOENIG PHILIPPE,06/02/2014,Repas,€58,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PORICHE FREDERIC,24/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PORICHE FREDERIC,21/05/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,WESTCOTT SALOMON CATHERINE,24/09/2013,Repas,€27,,
LABORATOIRES COLOPLAST,Médecin,KOZAK JEROME,28/01/2014,Repas,€36,,
LABORATOIRES COLOPLAST,Médecin,PETIT DOMINIQUE,28/01/2014,Repas,€36,,
LABORATOIRES COLOPLAST,Pharmacien,REGNAULT XAVIER,05/12/2013,Repas,€22,,
LABORATOIRES CONVATEC,Infirmier,DEBREU PASCALINE,23/07/2013,DEJEUNER,€25,,
LABORATOIRES CONVATEC,Infirmier,DECHERF INGRID,19/11/2013,DINER,€42,,
LABORATOIRES CONVATEC,Infirmier,DELDICQUE NELLY,19/11/2013,DINER,€42,,
LABORATOIRES CONVATEC,Infirmier,DUSAUSSOY FABIENNE,19/11/2013,DINER,€42,,
LABORATOIRES CONVATEC,Infirmier,JANQUIN JULIE,19/11/2013,DINER,€42,,
LABORATOIRES CONVATEC,Infirmier,MICCOLI-ONIDA MARIA,19/11/2013,DINER,€42,,
LABORATOIRES CONVATEC,Infirmier,REDJEM NASSERA,19/11/2013,DINER,€42,,
LABORATOIRES CONVATEC,Infirmier,REDJEM NASSERA,28/02/2014,REPAS,€21,,
Laboratoires Expanscience,Médecin,PORICHE FREDERIC,26/09/2013,Repas,€29,,
Laboratoires Expanscience,Médecin,PORICHE FREDERIC,26/09/2013,Repas,€29,,
LABORATOIRES GENEVRIER,Médecin,PANNEQUIN CATHERINE,13/03/2014,REPAS,€45,,
LABORATOIRES GENEVRIER,Médecin,PUECH IVANA,13/03/2014,REPAS,€45,,
Laboratoires Grünenthal SAS,Médecin,PETIT DOMINIQUE,26/09/2013,REPAS,€55,,
Laboratoires IPRAD PHARMA,Médecin,LECLERCQ-SFEZ MONELLE,19/09/2013,REPAS,€25,,
Laboratoires IPRAD PHARMA,Médecin,VANLEBERGHE KARINE,19/09/2013,REPAS,€25,,
Laboratoires Leurquin Mediolanum,Médecin,BARETY FREDERIC,09/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,POISSONNIER GEORGES,30/01/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PORICHE FREDERIC,09/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PRUDHOMME PASCAL,14/04/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PRUDHOMME PASCAL,12/02/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PRUDHOMME PASCAL,29/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PUECH LEROY VIRGINIE,20/09/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PUECH LEROY VIRGINIE,03/04/2014,AUTRE,€34,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DESURMONT PHILIPPE,10/01/2014,HOSPITALITE,€41,,
LABORATOIRES MAYOLY SPINDLER,Médecin,HOUCKE PHILIPPE,10/01/2014,HOSPITALITE,€41,,
LABORATOIRES MAYOLY SPINDLER,Médecin,VAILLANT ERIC,10/01/2014,HOSPITALITE,€41,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,CIBOT VALERIE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,FONTAINE THIERRY,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LEVEAUX LAURENCE,13/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LEVEAUX LAURENCE,19/06/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MASURE MATHIEU,21/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ZOTTO MASSIMO,13/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ZOTTO MASSIMO,22/04/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,GUILLAUMA DANG VAN TRUC CHRISTIANE,01/12/2013,CADEAUX,€15,,
Laboratoires SVR France,Médecin,DUPARK ADELINE,14/05/2014,REPAS,€56,,
Laboratoires SVR France,Médecin,FONTAINE THIERRY,14/05/2014,REPAS,€56,,
Laboratoires THEA,Médecin,GALLANT PAUL,05/12/2013,REPAS,€38,,
Laboratoires THEA,Médecin,PUECH LEROY VIRGINIE,28/11/2013,REPAS,€55,,
LDR Médical,Infirmier,NOTEBAERT PIERRE,11/03/2014,REPAS,€36,,
LDR Médical,Infirmier,NOTEBAERT PIERRE,01/10/2013,REPAS,€32,,
LDR Médical,Médecin,SLEIMAN MOHAMED,25/06/2014,HEBERGEMENT,€145,,
LDR Médical,Médecin,SLEIMAN MOHAMED,01/10/2013,REPAS,€32,,
LDR Médical,Médecin,SLEIMAN MOHAMED,26/06/2014,REPAS,€20,,
LDR Médical,Médecin,SLEIMAN MOHAMED,25/06/2014,HEBERGEMENT,€145,,
