3M France,Chirurgien-dentiste,CAUCHY DAVID,30/01/2014,REPAS,€28,,
JANSSEN-CILAG,Infirmier,KOTERBA IRENE,28/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,LECLERCQ FRANCOIS,24/01/2014,REPAS,€30,,
JANSSEN-CILAG,Infirmier,LECLERCQ FRANCOIS,28/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,LECLERCQ FRANCOIS,12/04/2013,REPAS,€80,,
JANSSEN-CILAG,Infirmier,LE MAIRE MARJORIE,08/02/2013,REPAS,€26,,
JANSSEN-CILAG,Infirmier,MENES MARIE CATHERINE,05/02/2013,REPAS,€48,,
JANSSEN-CILAG,Infirmier,POTIER AUDREY,22/05/2013,REPAS,€27,,
JANSSEN-CILAG,Infirmier,ROUSSEEU CHRISTELLE,28/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,SOHLA ISABELLE,23/05/2014,REPAS,€29,,
JANSSEN-CILAG,Infirmier,VIL NATHALIE,24/01/2014,REPAS,€30,,
JANSSEN-CILAG,Infirmier,VIL NATHALIE,28/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,WIDIEZ CATHERINE,23/05/2014,REPAS,€29,,
JANSSEN-CILAG,Infirmier,WIDIEZ CATHERINE,08/02/2013,REPAS,€26,,
JANSSEN-CILAG,Infirmier,WYART ISABELLE,08/02/2013,REPAS,€26,,
JANSSEN-CILAG,Infirmier,WYART ISABELLE,23/05/2014,REPAS,€29,,
JANSSEN-CILAG,Médecin,BERNARD JEAN CHARLES,27/02/2014,REPAS,€37,,
JANSSEN-CILAG,Médecin,MALDONATO SAVERIO,07/02/2013,REPAS,€45,,
JANSSEN-CILAG,Médecin,MARTIN SERGE,27/02/2014,REPAS,€37,,
JANSSEN-CILAG,Médecin,TRINH ESTELLE,21/05/2013,REPAS,€25,,
JANSSEN-CILAG,Médecin,TRINH ESTELLE,14/02/2013,REPAS,€17,,
JANSSEN-CILAG,Médecin,TRINH ESTELLE,21/03/2013,REPAS,€17,,
JANSSEN-CILAG,Médecin,TRINH ESTELLE,11/06/2013,REPAS,€20,,
JANSSEN-CILAG,Médecin,TRINH ESTELLE,28/01/2013,REPAS,€15,,
JANSSEN-CILAG,Médecin,TRINH ESTELLE,19/09/2013,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,GIN CLEMENT,07/11/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,11/02/2014,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,10/09/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,24/09/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,23/01/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,17/06/2014,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,25/03/2014,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,16/04/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,19/03/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,19/06/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANDRIOLO PHILIPPE,03/01/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AUBREE YVELINE,17/01/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD JEAN CHARLES,28/11/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD JEAN CHARLES,18/07/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD JEAN CHARLES,20/02/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD JEAN CHARLES,18/07/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD JEAN CHARLES,28/11/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD JEAN CHARLES,16/05/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD JEAN CHARLES,14/03/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD JEAN CHARLES,16/01/2014,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHEVALON BERNARD,01/02/2013,Inscription,€220,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHEVALON BERNARD,13/12/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DA ROCHA GUILLAUME,22/11/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DA ROCHA GUILLAUME,15/01/2013,Hospitalite,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DA ROCHA GUILLAUME,26/11/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,19/03/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,11/04/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,23/01/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,11/02/2014,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,31/01/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,17/12/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,22/11/2013,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,10/09/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,03/01/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,03/01/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,16/04/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,18/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,09/04/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,19/03/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,11/04/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBEUGNY ALAIN,17/06/2014,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,22/11/2013,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,17/12/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,05/11/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,10/09/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,23/01/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,24/09/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,27/03/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,19/06/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,16/03/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,19/03/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,09/04/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,16/04/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEHEDIN HUGUES,17/06/2014,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIERS ANNE SOPHIE,26/11/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIERS ANNE SOPHIE,21/02/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIERS ANNE SOPHIE,04/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIERS ANNE SOPHIE,22/11/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRAS MARC,15/01/2013,Hospitalite,€400,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRAS MARC,15/01/2013,Transport,€207,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MALDONATO SAVERIO,04/10/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MALDONATO SAVERIO,30/05/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MALDONATO SAVERIO,21/06/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN SERGE,18/07/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN SERGE,19/06/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN SERGE,04/10/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN SERGE,19/04/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN SERGE,20/02/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN SERGE,16/05/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTIN SERGE,28/11/2013,REPAS,€53,,
Laboratoire Innothera,Autres types de personne morale,SELARL U PHARMACIE LACINA U,01/01/2014,CADEAUX,€20,,
LABORATOIRES ALCON,Médecin,DECLERCK REGIS,01/04/2014,Repas,€55,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CREPIN BRIGITTE,18/02/2014,REPAS,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEBAVELAERE CHRISTINE,16/01/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEBEUGNY ALAIN,18/10/2013,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEBEUGNY ALAIN,12/12/2013,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEHEDIN HUGUES,18/10/2013,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MARBOEUF Philippe,15/04/2014,AUTRE : FRAIS D'INCRIPTION,"€1,020",,
LABORATOIRES COLOPLAST,Médecin,ANDRIOLO PHILIPPE,10/12/2013,Repas,€33,,
LABORATOIRES COLOPLAST,Médecin,DEBEUGNY ALAIN,14/03/2014,Repas,€42,,
LABORATOIRES COLOPLAST,Médecin,DEBEUGNY ALAIN,10/12/2013,Repas,€33,,
LABORATOIRES COLOPLAST,Médecin,DEHEDIN HUGUES,20/12/2013,Repas,€60,,
LABORATOIRES CONVATEC,Infirmier,CHOQUET ALEXANDRE,20/03/2014,REPAS,€41,,
LABORATOIRES CONVATEC,Infirmier,DAPVRIL LAURENCE,24/04/2014,REPAS,€36,,
LABORATOIRES CONVATEC,Infirmier,DAPVRIL LAURENCE,04/06/2014,REPAS,€31,,
LABORATOIRES CONVATEC,Infirmier,DAPVRIL LAURENCE,29/01/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Infirmier,DAPVRIL LAURENCE,10/10/2013,DEJEUNER,€35,,
LABORATOIRES CONVATEC,Infirmier,DAPVRIL LAURENCE,06/11/2013,DEJEUNER,€34,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,24/06/2014,REPAS,€29,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,20/09/2013,DEJEUNER,€15,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,10/09/2013,DEJEUNER,€35,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,26/11/2013,DEJEUNER,€14,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,29/11/2013,DEJEUNER,€11,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,04/06/2014,REPAS,€31,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,29/01/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,24/06/2014,REPAS,€29,,
LABORATOIRES CONVATEC,Infirmier,DERUELLE DOMINIQUE,20/09/2013,DEJEUNER,€15,,
LABORATOIRES CONVATEC,Infirmier,PRUELLE DOMINIQUE,30/07/2013,DEJEUNER,€36,,
LABORATOIRES CONVATEC,Médecin,JABLONSKI WITOLD,02/04/2014,REPAS,€29,,
LABORATOIRES GENEVRIER,Médecin,WAEYTENS DANIEL,13/03/2014,REPAS,€45,,
Laboratoires Grünenthal SAS,Médecin,ANDRIOLO PHILIPPE,18/03/2014,REPAS,€30,,
Laboratoires Grünenthal SAS,Médecin,BERNARD JEAN CHARLES,17/10/2013,REPAS,€32,,
Laboratoires Grünenthal SAS,Médecin,BERNARD JEAN CHARLES,09/01/2014,REPAS,€37,,
Laboratoires Grünenthal SAS,Médecin,DA ROCHA GUILLAUME,19/11/2013,REPAS,€26,,
Laboratoires Grünenthal SAS,Médecin,DEBEUGNY ALAIN,13/06/2014,REPAS,€28,,
Laboratoires Grünenthal SAS,Médecin,DEBEUGNY ALAIN,18/03/2014,REPAS,€30,,
Laboratoires Grünenthal SAS,Médecin,DIERS ANNE SOPHIE,19/11/2013,REPAS,€26,,
Laboratoires Grünenthal SAS,Médecin,MARTIN SERGE,09/01/2014,REPAS,€37,,
Laboratoires Leurquin Mediolanum,Médecin,KOJFER ALAIN,28/10/2013,AUTRE,€15,,
Laboratoires Lohmann & Rauscher,Infirmier,CUISSET LAURENCE,19/06/2014,REPAS,€20,,
Laboratoires Lohmann & Rauscher,Infirmier,LAZRAK NADIA,19/06/2014,REPAS,€20,,
Laboratoires Lohmann & Rauscher,Infirmier,ROGALA MATHIEU,19/06/2014,REPAS,€20,,
Laboratoires THEA,Médecin,BEUVRY BADGUERAHANIAN ANNE,28/11/2013,REPAS,€55,,
Laboratoires TONIPHARM SARL,Médecin,Desruelles Michel,19/07/2013,déjeuner,€30,,
LABORATOIRES URGO,Infirmier,CLARISSE Roland,19/03/2014,Repas,€28,,
LABORATOIRES URGO,Infirmier,HENNEBIQUE Anne,27/03/2014,Repas,€27,,
LABORATOIRES URGO,Infirmier,NOWAK Marielle,27/03/2014,Repas,€27,,
LABORATOIRES URGO,Médecin,DESRUELLES Michel,07/03/2014,Repas,€19,,
LEO Pharma,Médecin,BERNARD JEAN CHARLES,20/03/2014,REPAS,€39,,
LEO Pharma,Médecin,BIGOS SYLVIE,11/04/2013,REPAS,€51,,
LEO Pharma,Médecin,DEBEUGNY ALAIN,11/04/2013,REPAS,€51,,
LEO Pharma,Médecin,JABLONSKI WITOLD,04/09/2013,REPAS,€17,,
LEO Pharma,Médecin,JABLONSKI WITOLD,07/03/2014,REPAS,€22,,
LEO Pharma,Médecin,JABLONSKI WITOLD,06/12/2013,REPAS,€35,,
LEO Pharma,Médecin,MARTIN SERGE,20/03/2014,REPAS,€39,,
LEO Pharma,Médecin,WAEYTENS DANIEL,09/01/2014,REPAS,€48,,
LEO Pharma,Médecin,WAEYTENS DANIEL,22/05/2014,REPAS,€39,,
LEO Pharma,Médecin,WAEYTENS DANIEL,23/01/2014,REPAS,€41,,
LES LABORATOIRES SERVIER,Médecin,ANDRIOLO PHILIPPE,10/06/2014,Repas,€49,,
LES LABORATOIRES SERVIER,Médecin,BAHRI KAOUTARE,14/05/2014,Repas,€18,,
LES LABORATOIRES SERVIER,Médecin,BELVA VALERIE,15/05/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,BERNARD JEAN CHARLES,30/08/2013,Repas,€34,,
LES LABORATOIRES SERVIER,Médecin,BERNARD JEAN CHARLES,05/12/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,BROSSARD MARION,14/05/2014,Repas,€18,,
LES LABORATOIRES SERVIER,Médecin,CARPENTIER LAURENT,11/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CARPENTIER LAURENT,17/04/2014,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,DAOUDI SAID,11/10/2013,Repas,€70,,
LES LABORATOIRES SERVIER,Médecin,DAOUDI SAID,12/04/2014,Repas,€101,,
LES LABORATOIRES SERVIER,Médecin,DAOUDI SAID,12/04/2014,Hébergement,€117,,
LES LABORATOIRES SERVIER,Médecin,DAOUDI SAID,11/10/2013,Transport,€100,,
LES LABORATOIRES SERVIER,Médecin,DAOUDI SAID,06/02/2014,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,DEBEUGNY ALAIN,20/09/2013,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,DEBEUGNY ALAIN,30/08/2013,Repas,€34,,
LES LABORATOIRES SERVIER,Médecin,DEBEUGNY ALAIN,11/10/2013,Repas,€35,,
LES LABORATOIRES SERVIER,Médecin,DEBEUGNY ALAIN,10/06/2014,Repas,€49,,
LES LABORATOIRES SERVIER,Médecin,DEHEDIN HUGUES,11/10/2013,Repas,€35,,
LES LABORATOIRES SERVIER,Médecin,DEHEDIN HUGUES,20/09/2013,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,DIEUX CHRISTOPHE,07/12/2013,Repas,€110,,
LES LABORATOIRES SERVIER,Médecin,DIEUX CHRISTOPHE,07/12/2013,Hébergement,€162,,
LES LABORATOIRES SERVIER,Médecin,HOBER CHRISTINE,18/10/2013,Repas,€24,,
LES LABORATOIRES SERVIER,Médecin,MALBRANQUE GREGORY,17/04/2014,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,MARBOEUF PHILIPPE,11/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MARTIN SERGE,10/06/2014,Repas,€49,,
LES LABORATOIRES SERVIER,Médecin,RIEHL VALENTINE,15/05/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,RIEHL VALENTINE,22/01/2014,Autre : Inscription,€350,,
LES LABORATOIRES SERVIER,Médecin,RIEHL VALENTINE,15/05/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,RIEHL VALENTINE,22/01/2014,Hébergement,€480,,
LES LABORATOIRES SERVIER,Médecin,TERKI MAGHNIA,18/10/2013,Repas,€24,,
Lilly France SAS,Médecin,GRANDAMME CHRISTIAN,10/04/2014,REPAS,€23,,
Lilly France SAS,Médecin,GRANDAMME CHRISTIAN,12/09/2013,REPAS,€23,,
LUNDBECK SAS,Médecin,TRINH ESTELLE,16/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
MEDA PHARMA,Médecin,DEBEUGNY ALAIN,27/06/2014,REPAS,€33,,
MEDA PHARMA,Médecin,JABLONSKI WITOLD,31/01/2014,REPAS,€23,,
MEDEXACT,Médecin,BERNARD JEAN CHARLES,10/06/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,WAEYTENS DANIEL,11/03/2013,Autre: [Enquête],€19,,
MEDTRONIC France S.A.S,Médecin,GOMMEAUX ANTOINE,06/06/2014,HEBERGEMENT,€166,,
MEDTRONIC France S.A.S,Médecin,GOMMEAUX ANTOINE,05/06/2014,HEBERGEMENT,€166,,
MEDTRONIC France S.A.S,Médecin,GOMMEAUX ANTOINE,05/06/2014,INSCRIPTION,€939,,
MEDTRONIC France S.A.S,Médecin,GOMMEAUX ANTOINE,05/06/2014,TRANSPORT,"€4,311",,
MEDTRONIC France S.A.S,Médecin,GOMMEAUX ANTOINE,07/06/2014,HEBERGEMENT,€166,,
MEDTRONIC France S.A.S,Médecin,LECORNET EMILIE,23/11/2013,REPAS,€55,,
MEDTRONIC France S.A.S,Médecin,SOCHALA CHRISTIAN,26/09/2013,HOSPITALITE,€50,,
MENARINI FRANCE,Médecin,DEBEUGNY ALAIN,28/06/2013,AUTRE : RNT,€38,,
MENARINI FRANCE,Médecin,DIERS ANNE SOPHIE,17/10/2013,AUTRE : RNT,€54,,
MENARINI FRANCE,Médecin,GOMMEAUX ANTOINE,27/09/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,MARBOEUF PHILIPPE,13/06/2014,Hébergement,€604,,
MENARINI FRANCE,Médecin,MARBOEUF PHILIPPE,25/07/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,MARBOEUF PHILIPPE,13/06/2014,Autre : [Restauration],€68,,
MENARINI FRANCE,Médecin,MARBOEUF PHILIPPE,13/06/2014,Autre : [Inscription],€640,,
MENARINI FRANCE,Médecin,MARBOEUF PHILIPPE,13/06/2014,Transport,€768,,
MENARINI FRANCE,Médecin,Marboeuf PHILIPPE,15/10/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,MARBOEUF PHILIPPE,17/10/2013,AUTRE : RNT,€54,,
MENARINI FRANCE,Pharmacien,SELLE ISABELLE,18/10/2013,REPAS,€30,,
MENARINI FRANCE,Pharmacien,VERTRAY JACQUES,18/10/2013,REPAS,€30,,
Molnlycke Health Care,Médecin,ANDRIOLO PHILIPPE,14/01/2014,REPAS,€33,,
Molnlycke Health Care,Médecin,DEBEUGNY ALAIN,18/04/2014,REPAS,€30,,
Molnlycke Health Care,Médecin,DEBEUGNY ALAIN,15/11/2013,REPAS,€29,,
Molnlycke Health Care,Médecin,DEBEUGNY ALAIN,14/01/2014,REPAS,€33,,
Molnlycke Health Care,Médecin,DEHEDIN HUGUES,15/11/2013,REPAS,€29,,
Molnlycke Health Care,Médecin,DEHEDIN HUGUES,14/01/2014,REPAS,€33,,
MSD France,Médecin,ANDRIOLO PHILIPPE,06/09/2012,HOSPITALITE,€56,,
MSD France,Médecin,ANDRIOLO PHILIPPE,14/02/2012,REPAS,€35,,
MSD France,Médecin,ANDRIOLO PHILIPPE,22/06/2012,REPAS,€31,,
MSD France,Médecin,BERNARD JEAN CHARLES,06/09/2012,HOSPITALITE,€56,,
MSD France,Médecin,BERNARD JEAN CHARLES,06/09/2012,HOSPITALITE,€56,,
MSD France,Médecin,BERNARD JEAN CHARLES,12/07/2012,REPAS,€24,,
MSD France,Médecin,BERNARD JEAN CHARLES,19/03/2013,HOSPITALITÉ,€56,,
MSD France,Médecin,CARPENTIER LAURENT,16/01/2014,TRANSPORT,€119,,
MSD France,Médecin,CARPENTIER LAURENT,15/05/2014,REPAS,€55,,
MSD France,Médecin,CARPENTIER LAURENT,15/01/2014,INSCRIPTION,€311,,
MSD France,Médecin,CARPENTIER LAURENT,28/06/2012,HOSPITALITE,€55,,
MSD France,Médecin,CARPENTIER LAURENT,05/04/2012,REPAS,€67,,
MSD France,Médecin,CARPENTIER LAURENT,21/05/2013,HOSPITALITÉ,€28,,
MSD France,Médecin,CARPENTIER LAURENT,10/12/2013,REPAS,€30,,
MSD France,Médecin,DEBEUGNY ALAIN,14/02/2012,REPAS,€35,,
MSD France,Médecin,DEBEUGNY ALAIN,06/09/2012,HOSPITALITE,€56,,
MSD France,Médecin,DEBEUGNY ALAIN,15/06/2012,HOSPITALITE,€36,,
MSD France,Médecin,DEBEUGNY ALAIN,25/03/2014,REPAS,€56,,
MSD France,Médecin,DEBEUGNY ALAIN,14/06/2013,HOSPITALITÉ,"€2,203",,
MSD France,Médecin,DEBEUGNY ALAIN,20/06/2012,REPAS,€50,,
MSD France,Médecin,DEBEUGNY ALAIN,14/11/2013,REPAS,€33,,
MSD France,Médecin,DEBEUGNY ALAIN,09/02/2012,HOSPITALITE,€38,,
MSD France,Médecin,DEBEUGNY ALAIN,22/06/2012,REPAS,€31,,
MSD France,Médecin,DECARPIGNY PATRICE,06/09/2012,HOSPITALITE,€56,,
MSD France,Médecin,DECLERCK REGIS,12/04/2012,REPAS,€53,,
MSD France,Médecin,DEHEDIN HUGUES,06/09/2012,HOSPITALITE,€56,,
MSD France,Médecin,DEHEDIN HUGUES,14/02/2012,REPAS,€35,,
MSD France,Médecin,DEHEDIN HUGUES,22/06/2012,REPAS,€31,,
MSD France,Médecin,DEHEDIN HUGUES,15/06/2012,HOSPITALITE,€36,,
MSD France,Médecin,GRANDAMME CHRISTIAN,23/02/2012,HOSPITALITE,€25,,
MSD France,Médecin,GRAS EMMANUEL,10/12/2013,REPAS,€30,,
MSD France,Médecin,GRAS EMMANUEL,21/05/2013,HOSPITALITÉ,€28,,
MSD France,Médecin,HENRY ISABELLE,11/06/2014,REPAS,€55,,
MSD France,Médecin,MAREK XAVIER,06/09/2012,HOSPITALITE,€56,,
MSD France,Médecin,VANHOOVE JEAN PIERRE,15/05/2012,REPAS,€16,,
MSD France,Pharmacien,BRAZIER FRANCOIS,02/10/2013,REPAS,€20,,
MUNDIPHARMA,Médecin,ANDRIOLO PHILIPPE,03/12/2013,REPAS,€37,,
MUNDIPHARMA,Médecin,ANDRIOLO PHILIPPE,08/04/2014,REPAS,€31,,
MUNDIPHARMA,Médecin,DEBEUGNY ALAIN,03/12/2013,REPAS,€37,,
MUNDIPHARMA,Médecin,DEBEUGNY ALAIN,21/02/2014,REPAS,€32,,
MUNDIPHARMA,Médecin,DEBEUGNY ALAIN,08/04/2014,REPAS,€31,,
MUNDIPHARMA,Médecin,DEBEUGNY ALAIN,21/05/2013,AUTRE : REPAS PROFESSIONNEL,€28,,
MUNDIPHARMA,Médecin,DEHEDIN HUGUES,21/05/2013,AUTRE : REPAS PROFESSIONNEL,€28,,
MUNDIPHARMA,Médecin,DEHEDIN HUGUES,03/12/2013,REPAS,€37,,
MUNDIPHARMA,Médecin,DEHEDIN HUGUES,21/05/2013,AUTRE : REPAS PROFESSIONNEL,€28,,
MUNDIPHARMA,Médecin,GRANDAMME CHRISTIAN,27/03/2014,REPAS,€20,,
NIPRO FRANCE,Pharmacien,BEREAU-ANTHUNE SANDRA,31/07/2013,REPAS,€22,,
NOVARTIS PHARMA SAS,Médecin,ANDRIOLO PHILIPPE,18/02/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,ANDRIOLO PHILIPPE,02/07/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,DA ROCHA GUILLAUME,20/05/2014,Repas,€35,,
NOVARTIS PHARMA SAS,Médecin,DEBEUGNY ALAIN,08/10/2013,Repas,€47,,
NOVARTIS PHARMA SAS,Médecin,DEBEUGNY ALAIN,02/07/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,DEBEUGNY ALAIN,18/02/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,DECARPIGNY PATRICE,25/09/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,DECLERCK REGIS,14/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,DEHEDIN HUGUES,08/10/2013,Repas,€47,,
