3S ORTHO,Médecin,AKHARAS CHAOUKI,20/10/2013,REPAS,€64,,
colgate palmolive,Chirurgien-dentiste,BRUGIERE MARIE CHRISTINE,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,CZESNAR HERBAUT FABIOLA,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,JOUANET FLORENCE,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,MERITET SYLVIE,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,MEYMANDI NEJAD BRUNO,05/03/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,BORDAT MARIE HELENE,19/10/2013,REPAS,€30,,
Cook France SARL,Infirmier,CHARPENTIER MAURICETTE,03/04/2014,AUTRE: FRAIS D INSCRIPTION,€320,,
COSMETIQUE ACTIVE FRANCE,Médecin,BALLANGER MICHELE,10/04/2014,AUTRE: [DERMOSCOPIE],€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BRUGEAT LAETITIA,20/03/2014,REPAS,€53,,
CSL BEHRING SA,Médecin,RAYNAUD SYLVIE,07/05/2014,Hébergement,€10,,
DAIICHI SANKYO FRANCE SAS,Médecin,ATTIOGBE JOSEPH,19/09/2013,Repas,€59,,
DAIICHI SANKYO FRANCE SAS,Médecin,BENFREHA KHALED,23/11/2013,Repas,€41,,
DAIICHI SANKYO FRANCE SAS,Médecin,BORDAT MARIE HELENE,21/11/2013,Repas,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,BRILLET GEORGES,21/11/2013,Repas,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,DA SILVA JEAN PAUL,21/11/2013,Repas,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,FAUGUET JEAN LUC,19/09/2013,Repas,€59,,
DAIICHI SANKYO FRANCE SAS,Médecin,FLAMANT PATRICK,17/09/2013,Repas,€23,,
DAIICHI SANKYO FRANCE SAS,Médecin,FRADET AURELIE,25/09/2013,Repas,€50,,
DAIICHI SANKYO FRANCE SAS,Médecin,GRELLAUD RODIER ANNE,28/09/2013,Hospitalité,€250,,
DAIICHI SANKYO FRANCE SAS,Médecin,GRELLAUD RODIER ANNE,17/09/2013,Repas,€23,,
DAIICHI SANKYO FRANCE SAS,Médecin,GUILLEMAIN AGBAKOU FRANCOISE,17/09/2013,Repas,€23,,
DAIICHI SANKYO FRANCE SAS,Médecin,KELLER THIERRY,17/09/2013,Repas,€23,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEPEE ALAIN,19/09/2013,Repas,€59,,
DAIICHI SANKYO FRANCE SAS,Médecin,MOREAU YVES,14/09/2013,Repas,€28,,
DAIICHI SANKYO FRANCE SAS,Médecin,PHILIPPE LAURENCE,17/09/2013,Repas,€23,,
DAIICHI SANKYO FRANCE SAS,Médecin,RIPOLL JEAN MICHEL,21/11/2013,Repas,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,SOUBRA ABDUL RAHMAN,19/09/2013,Repas,€59,,
DAIICHI SANKYO FRANCE SAS,Médecin,TATARENKO JEAN MICHEL,21/11/2013,Repas,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,VIEL PATRICK,19/09/2013,Repas,€59,,
DAIICHI SANKYO FRANCE SAS,Médecin,VILLALONGA BERNARD,19/09/2013,Repas,€59,,
DINNO SANTE,Association professionnel de santé,Association Castelroussine de Professionnels de Santé,04/04/2013,Don monétaire,€150,,
DINNO SANTE,Infirmier,BARROIS PASCALE,12/03/2014,Repas,€28,,
DINNO SANTE,Infirmier,FOURNAISE CHARLOTTE,12/03/2014,Repas,€28,,
DINNO SANTE,Infirmier,GRILLON LAURENCE,12/03/2014,Repas,€28,,
DINNO SANTE,Infirmier,RABANY JESSICA,12/03/2014,Repas,€28,,
DINNO SANTE,Infirmier,REBEYROL AUDREY,12/03/2014,Repas,€28,,
DINNO SANTE,Médecin,BENKETIRA ABDELKADER,12/03/2014,Repas,€28,,
DINNO SANTE,Médecin,LECOMTE DENIS,24/01/2014,Repas,€15,,
DINNO SANTE,Médecin,LECOMTE DENIS,12/03/2014,Repas,€28,,
EFFIK,Médecin,HURTES CHRISTINE,17/06/2014,REPAS,€20,,
EFFIK,Médecin,HURTES CHRISTINE,27/01/2014,REPAS,€26,,
EFFIK,Médecin,HURTES CHRISTINE,05/02/2014,REPAS,€46,,
EFFIK,Médecin,KERVELLA JULIEN NELLY,27/01/2014,REPAS,€26,,
EFFIK,Médecin,KERVELLA JULIEN NELLY,17/06/2014,REPAS,€20,,
EFFIK,Médecin,KERVELLA JULIEN NELLY,14/02/2014,REPAS,€20,,
EFFIK,Médecin,LAVIGNAC MOREAU MARIE PASCALE,19/03/2014,HEBERGEMENT 1 NUIT,€150,,
EFFIK,Médecin,LAVIGNAC MOREAU MARIE PASCALE,19/03/2014,TRANSPORT,€99,,
ETHICON,Infirmier,BOURROUX OLIVIER,11/12/2013,REPAS,€36,,
ETHICON,Infirmier,JOLIVET Nathalie,11/12/2013,REPAS,€36,,
ETHICON,Médecin,MARTIN CHARLES HENRI,25/11/2013,REPAS,€17,,
ETHICON,Médecin,MARTIN CHARLES HENRI,18/12/2013,REPAS,€50,,
ETHICON,Médecin,MARTIN CHARLES HENRI,29/10/2013,REPAS,€60,,
ETHICON,Médecin,MURGU CAESAR,30/06/2014,HEBERGEMENT,€190,,
ETHICON,Médecin,MURGU CAESAR,30/06/2014,TRANSPORT,€456,,
ETHICON,Médecin,MURGU CAESAR,30/06/2014,REPAS,€127,,
ETHICON,Médecin,REZK KINAN,18/12/2013,REPAS,€50,,
ETHICON,Médecin,RUFFET KEVIN,18/12/2013,REPAS,€50,,
ETHICON,Opticien-lunetier,PONDARRE SYLVIE,18/02/2014,REPAS,€26,,
Fresenius Medical Care France S.A.S.,Infirmier,BERTHIER EVELYNE,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Infirmier,CAMUSAT BRIGITTE,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Infirmier,COUILLAUD VERONIQUE,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Infirmier,GERARD JUSTINE,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Infirmier,GILLET GAELLE,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Infirmier,LEMERCIER MICHELE,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Infirmier,LEXTENAN MAGALIE,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Médecin,AMMAR NAJI,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Médecin,BRILLET GEORGES,07/11/2013,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Médecin,TESTOU DIDIER,07/11/2013,REPAS,€14,,
galderma international,Médecin,GODEFROY OLIVIER,21/11/2013,Repas,€29,,
galderma international,Médecin,GODEFROY OLIVIER,17/02/2014,Hospitalité,€380,,
galderma international,Médecin,MEUNIER YVES,24/02/2014,Hospitalité,€380,,
galderma international,Médecin,SCHUCHT GUY,21/11/2013,Repas,€29,,
GaldermaQMed,Médecin,SCHUCHT GUY,14/02/2014,Autre,€73,,
GaldermaQMed,Médecin,SCHUCHT GUY,14/02/2014,Hospitalité,€36,,
GAMBRO HOSPAL SAS,Infirmier,AUBRUN SANDRA,13/05/2014,REPAS,€28,,
GAMBRO HOSPAL SAS,Infirmier,MARCAIS AIMEE,13/05/2014,REPAS,€28,,
GAMBRO HOSPAL SAS,Infirmier,MARTIN AURORE,13/05/2014,REPAS,€28,,
GAMBRO HOSPAL SAS,Infirmier,MERIGLIER AMANDINE,13/05/2014,REPAS,€28,,
GAMBRO HOSPAL SAS,Infirmier,MOULINS CINDY,13/05/2014,REPAS,€28,,
GAMBRO HOSPAL SAS,Infirmier,PRATIER CLAIRE,13/05/2014,REPAS,€28,,
GAMIDA,Médecin,KALADJI CHRISTOPHE,22/05/2014,TRANSPORT,€824,,
GAMIDA,Médecin,KALADJI CHRISTOPHE,22/05/2014,HEBERGEMENT,€120,,
GAMIDA,Médecin,KALADJI CHRISTOPHE,22/05/2014,REPAS,€135,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,HURTES CHRISTINE,28/03/2014,REPAS,€20,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,KERVELLA JULIEN NELLY,28/03/2014,REPAS,€20,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,LAVIGNAC MOREAU MARIE PASCALE,24/09/2013,REPAS,€38,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,OLLIER JEAN LOUIS,19/12/2013,REPAS,€12,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,DESCOUX VALERIE,18/12/2013,REPAS PROFESSIONNEL,€10,,
GE Medical Systems SCS,Médecin,CASTAING OLIVIER,04/02/2014,REPAS PROFESSIONNEL,€29,,
GE Medical Systems SCS,Médecin,HADJ HAFSI MESSAOUD,27/06/2013,REPAS PROFESSIONNEL,€29,,
GE Medical Systems SCS,Médecin,SOUNNI AHMED,27/06/2013,REPAS PROFESSIONNEL,€29,,
GE Medical Systems SCS,Médecin,SOUSTELLE MARC,10/10/2013,REPAS PROFESSIONNEL,€15,,
GE Medical Systems SCS,Médecin,SOUSTELLE MARC,25/09/2013,REPAS PROFESSIONNEL,€17,,
GE Medical Systems SCS,Médecin,SOUSTELLE MARC,09/07/2013,REPAS PROFESSIONNEL,€17,,
GE Medical Systems SCS,Médecin,SOUSTELLE MARC,18/09/2013,REPAS PROFESSIONNEL,€18,,
GE Medical Systems SCS,Médecin,SOUSTELLE MARC,10/10/2013,REPAS PROFESSIONNEL,€15,,
Genzyme,Médecin,BEDIOU CHRISTOPHE,10/12/2013,"Hébergement, restauration, transport",€48,,
Genzyme,Médecin,BORDAT MARIE HELENE,10/12/2013,"Hébergement, restauration, transport",€48,,
Genzyme,Médecin,BROUSSE LIONEL,10/12/2013,"Hébergement, restauration, transport",€48,,
Genzyme,Médecin,BROUSSE PIERRE HENRY,10/12/2013,"Hébergement, restauration, transport",€48,,
Genzyme,Médecin,MOREAU YVES,10/12/2013,"Hébergement, restauration, transport",€48,,
Genzyme,Médecin,RIPOLL JEAN MICHEL,10/12/2013,"Hébergement, restauration, transport",€48,,
GIE DIALYSE SERVICES,Médecin,BRILLET Georges,12/12/2013,Parking,€12,,
GIE DIALYSE SERVICES,Médecin,BRILLET Georges,12/12/2013,"Frais kilométriques, essence, péages",€317,,
GIE DIALYSE SERVICES,Médecin,BRILLET Georges,11/12/2013,Repas,€46,,
GIE DIALYSE SERVICES,Médecin,BRILLET Georges,11/12/2013,Hôtel,€131,,
GIE DIALYSE SERVICES,Médecin,BRILLET Georges,03/10/2013,"Frais kilométriques, essence, péage",€503,,
GIE DIALYSE SERVICES,Médecin,BRILLET Georges,02/10/2013,Hôtel,€129,,
GIE DIALYSE SERVICES,Médecin,BRILLET Georges,02/10/2013,Repas,€70,,
GIE DIALYSE SERVICES,Médecin,BRILLET Georges,03/10/2013,Repas,€39,,
GIE DIALYSE SERVICES,Pharmacien,BARE Odile,25/11/2013,Repas,€22,,
GIE DIALYSE SERVICES,Pharmacien,BARE Odile,04/12/2013,Repas,€30,,
GIE DIALYSE SERVICES,Pharmacien,BARE Odile,03/12/2013,Repas,€39,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,THERET JULIEN,11/10/2013,Dons de matériel,€105,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,THERET JULIEN,29/01/2014,Repas,€24,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,THERET JULIEN,11/10/2013,Dons de matériel,€105,,
GUERBET France,Médecin,HADJ-HAFSI MESSAOUD,30/09/2013,HEBERGEMENT,€860,,
GUERBET France,Médecin,HADJ-HAFSI MESSAOUD,30/09/2013,TRANSPORT,€200,,
GUERBET France,Médecin,MORIN HERVE,30/09/2013,HEBERGEMENT,€430,,
GUERBET France,Médecin,SOUNNI AHMED,30/09/2013,HEBERGEMENT,€430,,
GUERBET France,Médecin,SOUSTELLE MARC,30/09/2013,HEBERGEMENT,€430,,
Health Advances,Médecin,Nallet Philippe,21/02/2014,Phone consult,€220,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,ROUSSEAUX GUILLAUME,29/01/2014,REPAS,€13,,
HOLLISTER FRANCE Incorporated,Infirmier,MORO RAMOS ANA,30/01/2014,REPAS,€42,,
ICOMED,Chirurgien-dentiste,CLARISSE BEATRICE,29/04/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,COLOMBO PHILIPPE,02/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,COLOMBO PHILIPPE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,DERRIEN MARC,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,DUVAL JEAN DENIS,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,JULIEN JEAN PHILIPPE,09/07/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,RAMON OLIVIER,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,AMMAR NAJI,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ATTIOGBE JOSEPH,18/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BAUM ALBERT,18/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,BEDIOU CHRISTOPHE,13/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,BEDIOU CHRISTOPHE,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,BENIZRI ANDRE,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BENIZRI ANDRE,21/01/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,BERTROU JACQUES,18/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,BOUZIDI LAHCEN,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOUZIDI LAHCEN,09/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,BRILLET GEORGES,15/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BROUSSE LIONEL,20/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,BROUSSE LIONEL,07/01/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,BROUSSE PIERRE HENRY,16/01/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,CAZES PIERRE YVES,05/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHANDON GERARD,16/05/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,CHAUVET FABIENNE,27/01/2014,Autre: [Enquête],€18,,
ICOMED,Médecin,COTINEAU JEAN,24/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COTTET ANNE,20/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,COTTET ANNE,07/02/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,DA SILVA JEAN PAUL,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DA SILVA JEAN PAUL,23/01/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,DAUPHIN MARC,26/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DENANOT HUBERT,27/05/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,DENANOT HUBERT,27/05/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,DIGUET FRANCOIS,18/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DIGUET FRANCOIS,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FAIVRE JEAN ALBIN,05/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,FAUGUET JEAN LUC,06/01/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,FAUGUET JEAN LUC,17/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,FERRON JEAN JACQUES,05/07/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,GERVAIS DANIEL,29/05/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,GIARD THIERRY,27/06/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,GODEFROY OLIVIER,13/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,GODEFROY OLIVIER,12/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GUILLEMAIN AGBAKOU FRANCOISE,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HURTES CHRISTINE,29/01/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,HURTES CHRISTINE,13/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,KASSIANOFF ALAIN,21/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,KASSIANOFF ALAIN,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,KERVELLA JULIEN NELLY,24/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,KOCAK ERCAN,31/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LEPEE ALAIN,12/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LEPEE ALAIN,02/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LUNEAU FABRICE,28/05/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,LUNEAU FABRICE,20/05/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MALET LOUIS,16/05/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,MEUNIER YVES,19/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MIGNE PATRICK,27/06/2014,Autre: [Enquête],€10,,
ICOMED,Médecin,OLSINA JACQUES,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PENET CLAUDE,13/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,PENET CLAUDE,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,RIPOLL JEAN MICHEL,27/11/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,SCHUCHT GUY,06/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,SCHUCHT GUY,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,THERET CHAPELOT EVELYNE,27/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,THERET CHAPELOT EVELYNE,03/02/2014,Autre: [Enquête],€25,,
ICOMED,Pharmacien,FAGEON MARIE AGNES,03/06/2014,Autre: [Enquête],€27,,
ICOMED,Pharmacien,FAGEON MARIE AGNES,18/06/2014,Autre: [Enquête],€16,,
ICOMED,Pharmacien,JOUVE CECILE,30/08/2013,Autre: [Enquête],€11,,
ICOMED,Pharmacien,JOUVE CECILE,23/04/2013,Autre: [Enquête],€19,,
ICOMED,Pharmacien,JOUVE CECILE,03/06/2014,Autre: [Enquête],€27,,
ICOMED,Pharmacien,PILLIOT CAROLE,18/06/2014,Autre: [Enquête],€16,,
ICOMED,Pharmacien,PILLIOT CAROLE,03/06/2014,Autre: [Enquête],€27,,
InterMune France SAS,Médecin,CHAUVIN VERON ODILE,10/04/2014,REPAS,€60,,
InterMune France SAS,Médecin,HADJ HAFSI MESSAOUD,10/04/2014,REPAS,€60,,
InterMune France SAS,Médecin,NSENGIYUMNA ARTHEMON,10/04/2014,REPAS,€60,,
InterMune France SAS,Médecin,SANDULACHE VALENTINA,10/04/2014,REPAS,€60,,
InterMune France SAS,Médecin,SOUNNI AHMED,10/04/2014,REPAS,€60,,
InterMune France SAS,Médecin,SOUSTELLE MARC,10/04/2014,REPAS,€60,,
ISIS ATLANTIQUE,Etablissement de santé,COMMUNAUTÉ HOSPITALIÈRE DE TERRITOIRE DE L'INDRE (C.H.T. 36),06/12/2012,Invitations,€426,,
ISIS ATLANTIQUE,Médecin,CHAUVIN ODILE,30/04/2014,Hospitalité,"€5,228",,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,03/02/2013,Hospitalité,"€1,563",,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,06/03/2014,Invitations,€25,,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,13/01/2014,Repas,€15,,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,03/02/2013,Transport,€130,,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,23/11/2012,Inscription,€275,,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,15/03/2012,Invitations,€42,,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,31/01/2013,Transport,€130,,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,02/02/2013,Inscription,€220,,
ISIS ATLANTIQUE,Médecin,COTTE LAURENT,23/11/2012,Hospitalité,€569,,
ISIS ATLANTIQUE,Médecin,LAMOTTE FLORENCE,14/03/2014,Hospitalité,€211,,
JANSSEN-CILAG,Etudiant,TERRACHER CELINE,23/04/2013,REPAS,€20,,
JANSSEN-CILAG,Médecin,BORDAT MARIE HELENE,06/06/2013,REPAS,€19,,
JANSSEN-CILAG,Médecin,CHAUVET FABIENNE,24/01/2014,INSCRIPTION,€347,,
JANSSEN-CILAG,Médecin,COTTET ANNE,25/07/2013,REPAS,€19,,
JANSSEN-CILAG,Médecin,DIGUET FRANCOIS,06/06/2013,REPAS,€19,,
JANSSEN-CILAG,Médecin,MEUNIER YVES,18/10/2013,REPAS,€21,,
JANSSEN-CILAG,Médecin,PHILIPPE LAURENCE,01/02/2013,REPAS,€12,,
JANSSEN-CILAG,Médecin,RIPOLL JEAN  MICHEL,06/06/2013,REPAS,€19,,
JANSSEN-CILAG,Médecin,TATARENKO JEAN MICHEL,01/02/2013,REPAS,€12,,
LABCATAL,Médecin,PHILIPPE LAURENCE,13/06/2014,REPAS,€14,,
LABCATAL,Médecin,TATARENKO JEAN MICHEL,13/06/2014,REPAS,€14,,
laboratoire BAUSCH&LOMB,Opticien-lunetier,PONDARRE SYLVIE,28/03/2014,REPAS,€13,,
laboratoire BAUSCH&LOMB,Opticien-lunetier,PONDARRE SYLVIE,25/09/2013,REPAS,€13,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,GERARD INES,15/11/2013,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATARD MURIEL,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATARD MURIEL,27/11/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATARD MURIEL,05/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATARD MURIEL,30/01/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,25/06/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,25/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,19/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,10/02/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,19/01/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,17/01/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEDIOU CHRISTOPHE,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERTROU JACQUES,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERTROU JACQUES,17/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERTROU JACQUES,04/07/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERTROU JACQUES,15/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERTROU JACQUES,16/04/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,05/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,19/01/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,21/05/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,07/06/2012,Hospitalité,€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,05/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE HELENE,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE-HELENE,28/05/2012,Hospitalité,€362,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE-HELENE,28/05/2012,Transport,€88,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORDAT MARIE-HELENE,28/05/2012,Inscription,€90,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROUSSE PIERRE HENRI,17/01/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROUSSE PIERRE HENRY,30/01/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARPENTIER MICHEL,02/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAUVIN VERON ODILE,27/11/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTTET ANNE,16/04/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTTET ANNE,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTTET ANNE,19/01/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTTET ANNE,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTTET ANNE,15/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTTET ANNE,17/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTTET ANNE,04/07/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DA SILVA JEAN PAUL,10/02/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DA SILVA JEAN PAUL,13/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DA SILVA JEAN PAUL,05/12/2013,REPAS,€50,,
