3M France,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,YEDIOU LAZHAR,26/11/2013,REPAS,€17,,
Essilor,Opticien-lunetier,Santarelli Julien,24/10/2013,Invitation à déjeuner / dîner,€54,,
Essilor,Opticien-lunetier,Sappey Hélène,10/10/2013,Invitation à déjeuner / dîner,€23,,
Essilor,Opticien-lunetier,Seyve Madame,11/10/2013,Invitation à déjeuner / dîner,€23,,
Essilor,Opticien-lunetier,Seyve Monsieur,11/10/2013,Invitation à déjeuner / dîner,€24,,
Essilor,Opticien-lunetier,Tressalet Freddy,24/10/2013,Invitation à déjeuner / dîner,€54,,
Essilor,Opticien-lunetier,Vincent Fanny,13/11/2013,Invitation à déjeuner / dîner,€108,,
ETHICON,Médecin,AZARIAN VALANEJAD MARYAM,11/04/2014,REPAS,€19,,
ETHICON,Médecin,AZRAN ALAIN,08/07/2013,REPAS,€50,,
ETHICON,Médecin,BERTHEMY PELLET SYLVIE,08/07/2013,REPAS,€32,,
ETHICON,Médecin,DE MARLIAVE HUGUES,18/06/2014,REPAS,€50,,
ETHICON,Médecin,DUPUY SIMON,18/06/2014,REPAS,€50,,
ETHICON,Médecin,GRANGER PHILIPPE,18/06/2014,REPAS,€50,,
ETHICON,Médecin,JARRAND GHISLAINE,20/09/2013,TRANSPORT,€123,,
ETHICON,Médecin,JARRAND GHISLAINE,20/09/2013,REPAS,€232,,
ETHICON,Médecin,JARRAND GHISLAINE,20/09/2013,HEBERGEMENT,€370,,
ETHICON,Médecin,LE BLOND EVELYNE,05/03/2014,REPAS,€42,,
ETHICON,Médecin,LE BLOND EVELYNE,20/09/2013,HEBERGEMENT,€185,,
ETHICON,Médecin,LE BLOND EVELYNE,10/07/2013,REPAS,€25,,
ETHICON,Médecin,LE BLOND EVELYNE,20/09/2013,HEBERGEMENT,€185,,
ETHICON,Médecin,LE BLOND EVELYNE,20/09/2013,TRANSPORT,€288,,
ETHICON,Médecin,PORTAL CATHERINE,08/07/2013,REPAS,€50,,
ETHICON,Médecin,STEIDEL Jérome,14/11/2013,REPAS,€30,,
ETHICON,Pharmacien,FILISETTI VIRGINIE,18/11/2013,REPAS,€44,,
ETHICON,Pharmacien,FILISETTI VIRGINIE,08/10/2013,INSCRIPTION,€250,,
ETHICON,Pharmacien,FILISETTI VIRGINIE,18/11/2013,HEBERGEMENT,€103,,
ETHICON,Pharmacien,SONJON VIRGINIE,03/10/2013,REPAS,€38,,
EUROFINS OPTIMED,Autres types de personne morale,CENTRE D'IMAGERIE MEDICALE GUSTAVE RIVET,10/07/2013,AUTRE : [HONORAIRES],€57,,
EUROFINS OPTIMED,Autres types de personne morale,CENTRE D'IMAGERIE MEDICALE GUSTAVE RIVET,10/10/2013,AUTRE : [HONORAIRES],€37,,
EUROFINS OPTIMED,Autres types de personne morale,CENTRE D'IMAGERIE MEDICALE GUSTAVE RIVET,10/10/2013,AUTRE : [HONORAIRES],€57,,
EUROFINS OPTIMED,Autres types de personne morale,CENTRE D'IMAGERIE MEDICALE GUSTAVE RIVET,22/04/2014,EXAMEN,€57,,
EUROFINS OPTIMED,Autres types de personne morale,GROUPE CLINIQUE DU MAIL,10/09/2013,AUTRE : [EXAMEN],€57,,
EUROFINS OPTIMED,Médecin,BUREAU DU COLOMBIER PATRICE,16/07/2013,AUTRE : [HONORAIRES],€2,850,,
EUROFINS OPTIMED,Médecin,STEIDEL JEROME,25/09/2013,AUTRE : [HONORAIRES],€437,,
EUROFINS OPTIMED,Médecin,STEIDEL Marie,26/06/2013,AUTRE : [HONORAIRES],€10,080,,
EUROPHTA,Médecin,BENYAMIN JEAN JACQUES,11/04/2014,REPAS,€20,,
EUROPHTA,Médecin,BERTHEMY PELLET SYLVIE,05/12/2013,REPAS,€53,,
EUROPHTA,Médecin,MENGER DOMINIQUE,11/04/2014,REPAS,€20,,
EUROPHTA,Médecin,MENGER DOMINIQUE,05/12/2013,REPAS,€53,,
EUROPHTA,Médecin,MENGER DOMINIQUE,13/05/2014,REPAS,€15,,
EUROPHTA,Médecin,PORTAL CATHERINE,21/10/2013,REPAS,€47,,
EUROPHTA,Médecin,PORTAL CATHERINE,18/04/2014,REPAS,€45,,
FCI SAS,Médecin,ALBINET PIERRE,10/09/2013,TRANSPORT,€500,,
FCI SAS,Médecin,MASELLA JEAN-JACQUES,01/10/2013,REPAS,€15,,
FCI SAS,Médecin,ROGE ARNAUD,01/10/2013,REPAS,€15,,
FCI SAS,Médecin,VAREILLES MARC,01/10/2013,REPAS,€15,,
FERRING SAS,Médecin,BOURBON PIERRE,18/03/2014,Repas,€34,,
FERRING SAS,Médecin,BUREAU DU COLOMBIER PATRICE,19/06/2014,Repas,€55,,
FERRING SAS,Médecin,DENTANT LIONEL,19/06/2014,Repas,€55,,
FERRING SAS,Médecin,DENTANT LIONEL,18/03/2014,Repas,€34,,
FERRING SAS,Médecin,FARAH VILLAR CORINNE,02/12/2013,Repas,€14,,
FERRING SAS,Médecin,GUEDDAH NASSAR,16/01/2014,Repas,€34,,
FERRING SAS,Médecin,KEZACHIAN GILLES,19/06/2014,Repas,€55,,
FERRING SAS,Médecin,KEZACHIAN GILLES,18/03/2014,Repas,€34,,
FERRING SAS,Médecin,LAROUSSI CHABERT NADIA,18/03/2014,Repas,€34,,
FERRING SAS,Médecin,ROUSSEAU EMMANUEL,19/06/2014,Repas,€55,,
FERRING SAS,Médecin,SAGE JEAN CLEMENT,25/09/2013,Hébergement,€386,,
FERRING SAS,Médecin,SAGE JEAN CLEMENT,25/09/2013,Autre [Inscription],€350,,
FERRING SAS,Médecin,SAGE JEAN CLEMENT,25/09/2013,Hébergement,€386,,
FERRING SAS,Médecin,SCHNEIDER MARC,07/07/2013,Autre [Inscription],€225,,
FERRING SAS,Médecin,SCHNEIDER MARC,07/07/2013,Repas,€123,,
FERRING SAS,Médecin,SCHNEIDER MARC,07/07/2013,Hébergement,€750,,
FERRING SAS,Médecin,SCHNEIDER MARC,07/07/2013,Transport,€682,,
FERRING SAS,Médecin,WAREMBOURG EVELYNE,17/01/2014,Repas,€19,,
FH ORTHOPEDICS,Médecin,BESSON CHRISTOPHE,22/05/2014,TRANSPORT,€217,,
FH ORTHOPEDICS,Médecin,BESSON CHRISTOPHE,22/05/2014,HEBERGEMENT,€151,,
FH ORTHOPEDICS,Médecin,BESSON CHRISTOPHE,23/05/2014,Autre : [INSCRIPTION],€299,,
FH ORTHOPEDICS,Médecin,BESSON CHRISTOPHE,22/05/2014,REPAS,€48,,
FRESENIUS KABI FRANCE,Médecin,BRU OLIVIER,07/11/2013,REPAS,€38,,
Fresenius Medical Care France S.A.S.,Médecin,KUENTZ FRANCOIS,04/12/2013,TRANSPORT,€140,,
Fresenius Medical Care France S.A.S.,Médecin,KUENTZ FRANCOIS,17/03/2014,REPAS,€30,,
Fresenius Medical Care France S.A.S.,Médecin,KUENTZ FRANCOIS,12/12/2013,REPAS,€27,,
Fresenius Medical Care France S.A.S.,Médecin,KUENTZ FRANCOIS,11/03/2014,REPAS,€60,,
Fresenius Medical Care France S.A.S.,Médecin,KUENTZ FRANCOIS,30/09/2013,REPAS,€17,,
Fresenius Medical Care France S.A.S.,Médecin,KUENTZ FRANCOIS,03/02/2014,REPAS,€24,,
Fresenius Medical Care France S.A.S.,Médecin,KUENTZ FRANCOIS,04/12/2013,REPAS,€62,,
Fresenius Medical Care France S.A.S.,Médecin,MINGAT NADEGE,17/03/2014,REPAS,€30,,
Fresenius Medical Care France S.A.S.,Médecin,MINGAT NADEGE,07/10/2013,REPAS,€28,,
Fresenius Medical Care France S.A.S.,Médecin,MINGAT NADEGE,17/03/2014,REPAS,€30,,
Fresenius Medical Care France S.A.S.,Médecin,MINGAT NADEGE,30/09/2013,REPAS,€17,,
Fresenius Medical Care France S.A.S.,Médecin,MINGAT NADEGE,30/06/2014,REPAS,€21,,
Fresenius Medical Care France S.A.S.,Médecin,MINGAT NADEGE,07/10/2013,REPAS,€28,,
Fresenius Medical Care France S.A.S.,Médecin,VERNIN GUILLAUME,30/06/2014,REPAS,€21,,
Fresenius Medical Care France S.A.S.,Médecin,VERNIN GUILLAUME,30/09/2013,REPAS,€17,,
Fresenius Medical Care France S.A.S.,Médecin,VERNIN GUILLAUME,07/04/2014,REPAS,€25,,
Fresenius Medical Care France S.A.S.,Médecin,VERNIN GUILLAUME,07/10/2013,REPAS,€28,,
Fresenius Medical Care France S.A.S.,Médecin,VERNIN GUILLAUME,03/04/2014,REPAS,€33,,
Fresenius Medical Care France S.A.S.,Médecin,VERNIN GUILLAUME,30/09/2013,REPAS,€17,,
Fresenius Medical Care France S.A.S.,Médecin,VERNIN GUILLAUME,03/02/2014,REPAS,€24,,
Fresenius Medical Care France S.A.S.,Médecin,VERNIN GUILLAUME,17/03/2014,REPAS,€30,,
FUJIFILM Medical Systems France,Médecin,BARBIER FRANCOIS,13/05/2014,REPAS,€18,,
FUJIFILM Medical Systems France,Médecin,BARBIER SYLVIE,13/05/2014,REPAS,€18,,
FUJIFILM Medical Systems France,Médecin,BIBOLLET - RUCHE CATHERINE,28/01/2014,REPAS,€14,,
FUJIFILM Medical Systems France,Médecin,KERN GILLES,17/12/2013,REPAS,€16,,
FUJIFILM Medical Systems France,Médecin,TOURNEGROS JEAN MICHEL,28/01/2014,REPAS,€14,,
galderma international,Médecin,COSSALTER VERONIQUE,17/04/2014,Repas,€50,,
galderma international,Médecin,FAUVAGE LISE,17/04/2014,Repas,€50,,
galderma international,Médecin,HONARMAND MAHCHID,17/04/2014,Repas,€50,,
galderma international,Médecin,KUENTZ PHILIPPE,17/04/2014,Repas,€100,,
galderma international,Médecin,KUENTZ PHILIPPE,17/04/2014,Repas,€50,,
galderma international,Médecin,LELTE JEAN PIERRE,17/04/2014,Repas,€50,,
galderma international,Médecin,SARAZIN ANNE,17/04/2014,Repas,€50,,
galderma international,Médecin,TSAN PIERRE,17/04/2014,Repas,€50,,
galderma international,Médecin,WOLF FRANCOISE,17/04/2014,Repas,€50,,
GaldermaQMed,Médecin,BERGER GAUCHIER FRANCOISE,12/04/2014,Repas,€42,,
GaldermaQMed,Médecin,PERRILLAT AMEDE YVON,24/10/2013,Repas,€38,,
GaldermaQMed,Médecin,PERRILLAT AMEDE YVON,20/03/2014,Repas,€82,,
GaldermaQMed,Médecin,PERRILLAT AMEDE YVON,12/12/2013,Repas,€43,,
GaldermaQMed,Médecin,PERRILLAT AMEDE YVON,16/01/2014,Hospitalité,€36,,
GaldermaQMed,Médecin,PERRILLAT AMEDE YVON,10/09/2013,Repas,€40,,
GaldermaQMed,Médecin,PERRILLAT AMEDE YVON,16/01/2014,Autre,€72,,
GaldermaQMed,Médecin,RATEL ELISABETH,12/04/2014,Repas,€42,,
GaldermaQMed,Médecin,RAVINET MICHEL,08/10/2013,Repas,€16,,
GAMBRO HOSPAL SAS,Etudiant,BIGUET AURE ELISE,03/06/2014,REPAS,€38,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,ARNOULD DRISS LILIA,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,BIJAOUI SYLVIE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,BUTNARIU DOUTE ANTONELA,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,CALAS ODILE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,DELORME VIRGINIE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,DI TORO NADIA,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,DUPONT GABRIELLE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,EMERY LAURE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,GUILLORY SYLVIE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,GUILLORY SYLVIE,28/01/2014,REPAS,€23,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,MARRY RODOT BERRYL,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,OPOIX ELIZABETH,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,POLLAK MARTINE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,SAGE JEAN CLEMENT,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,SCHNEIDER MARC,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,TERRASSE CATHERINE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,VERRY ANNE,04/02/2014,REPAS,€39,,
GE HEALTHCARE SAS,Manipulateur d’électroradiologie médicale,BONNET DOMINIQUE,03/12/2013,REPAS PROFESSIONNEL,€56,,
GE HEALTHCARE SAS,Médecin,GALLAZZINI CREPIN CELINE,04/09/2013,Hospitalité Congrès Symposium,€107,,
GE HEALTHCARE SAS,Médecin,SAUVEE MATHILDE,04/12/2013,REPAS PROFESSIONNEL,€23,,
GEISTLICH PHARMA FRANCE,Chirurgien-dentiste,BUATOIS HERVE,09/10/2013,REPAS,€21,,
GE Medical Systems SCS,Médecin,ALTHUSER MARC,26/10/2013,REPAS PROFESSIONNEL,€17,,
GE Medical Systems SCS,Médecin,ALTHUZER MARC,26/10/2013,REPAS PROFESSIONNEL,€19,,
GE Medical Systems SCS,Médecin,ROY PIERRE ALAIN,26/09/2013,REPAS PROFESSIONNEL,€26,,
Genzyme,Médecin,STEIDEL JEROME,24/09/2013,Hébergement, restauration, transport,€48,,
Genzyme,Médecin,STEIDEL JEROME,23/09/2013,Hébergement, restauration, transport,€57,,
Genzyme,Médecin,WOLF MARIANNE,21/03/2014,Inscription,€200,,
Genzyme,Médecin,WOLF MARIANNE,21/03/2014,Hébergement,€110,,
Genzyme,Médecin,WOLF MARIANNE,21/03/2014,Repas,€27,,
Genzyme,Médecin,WOLF MARIANNE,21/03/2014,Transport,€294,,
GIBAUD,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,ENSALOUDJI HAMID,03/03/2014,Repas,€19,,
GIBAUD,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,ENSALOUDJI HAMID,20/03/2014,Repas,€20,,
GIBAUD,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,PUEL CYRIL,20/03/2014,Repas,€20,,
GIBAUD,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,PUEL CYRIL,03/03/2014,Repas,€19,,
GIBAUD,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,YEDIOU LAZAR,03/03/2014,Repas,€19,,
GILEAD SCIENCES,Médecin,BANGUID EVELINE,31/01/2014,REPAS,€60,,
GILEAD SCIENCES,Médecin,CAZABAN SOPHIE,20/03/2014,REPAS,€23,,
GILEAD SCIENCES,Médecin,CAZABAN SOPHIE,09/10/2013,REPAS,€50,,
GILEAD SCIENCES,Médecin,GODEFROY ANNE,20/03/2014,REPAS,€25,,
GILEAD SCIENCES,Médecin,PELLOTIER GUINARD EVE,17/12/2013,REPAS,€18,,
GILEAD SCIENCES,Médecin,PELLOTIER GUINARD EVE,27/02/2014,REPAS,€21,,
GILEAD SCIENCES,Médecin,PELLOTIER GUINARD EVE,09/10/2013,REPAS,€50,,
GILEAD SCIENCES,Médecin,PELLOTIER GUINARD EVE,31/01/2014,REPAS,€60,,
GILEAD SCIENCES,Médecin,PELLOTIER GUINARD EVE,14/04/2014,REPAS,€32,,
GILEAD SCIENCES,Médecin,PELLOTIER GUINARD EVE,31/01/2014,REPAS,€60,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Chirurgien-dentiste,BREUNEVAL FREDERIC,06/05/2014,REPAS,€46,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Chirurgien-dentiste,DR OTTINO ELIETTE,28/05/2013,Hospitalite,€33,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Chirurgien-dentiste,FAIVRE ANNE,11/06/2013,Hospitalite,€32,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Chirurgien-dentiste,LUPO NADIA,26/06/2014,REPAS,€48,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Chirurgien-dentiste,TARTULIER NICOLAS,28/05/2013,Hospitalite,€33,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Chirurgien-dentiste,VERNAY VINCENT,14/06/2013,Hospitalite,€35,,
GLOBAL D,Chirurgien-dentiste,ANDEOL HUBERT,21/01/2014,REPAS,€31,,
GLOBAL D,Chirurgien-dentiste,BOUCHET HERVE,19/02/2013,REPAS,€15,,
GLOBAL D,Chirurgien-dentiste,BOUCHET HERVE,17/01/2013,REPAS,€22,,
GLOBAL D,Chirurgien-dentiste,BOUCHET HERVE,28/02/2013,REPAS,€23,,
GLOBAL D,Chirurgien-dentiste,CATHERINE FREDERIC,17/02/2014,REPAS,€17,,
GLOBAL D,Chirurgien-dentiste,CATHERINE FREDERIC,19/06/2014,REPAS,€47,,
GLOBAL D,Chirurgien-dentiste,LAGUILHOMIE ALAIN,06/02/2014,REPAS,€24,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,BOUGET BERTRAND,17/04/2014,Repas,€34,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,BOUGET BERTRAND,22/05/2014,Autre : Hospitalité,€1,629,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,BROCARD CHRISTIAN,05/06/2014,Repas,€39,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,BRUNS EUDES,17/04/2014,Repas,€34,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,ECOIFFIER CAMILLE,05/06/2014,Repas,€39,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,HAEBERLE JULIEN,05/06/2014,Repas,€39,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,HELFENBEIN CLAIRE,17/04/2014,Repas,€34,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,HUGUET YOHAN,17/04/2014,Repas,€34,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,NENEJIAN TALINE,05/06/2014,Repas,€39,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,OLLIER LESLIE,18/02/2014,Repas,€11,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,OUALID JONATHAN,17/04/2014,Repas,€34,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,SERGENT OLIVIER,17/04/2014,Repas,€34,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,TOZZOLI FLORIANNE,17/04/2014,Repas,€34,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,TROUILLET GLADYS,17/04/2014,Repas,€34,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,UGNON FLEURY FABIEN,17/04/2014,Repas,€34,,
GN OTOMETRICS,Audioprothésiste,BROCARD CHRISTIAN,21/05/2014,Repas,€37,,
GRIFOLS France,Pharmacien,FRAIGNE PHILIPPE,24/06/2014,REPAS,€27,,
GRIFOLS France,Pharmacien,FRAIGNE PHILIPPE,01/04/2012,REPAS,€42,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,MORO AMANDINE,07/12/2013,REPAS,€35,,
HOLLISTER FRANCE Incorporated,Association usager de santé,ASSISTANCE STOMISES UROLOGIE CONSEILS ECOUTE,30/10/2013,DONS DE FONCTIONNEMENT,€100,,
HOLLISTER FRANCE Incorporated,Association usager de santé,ASSOCIATION FRANCAISE D INFORMATION ET D AIDE AUX STOMISES IAS NORD DAUPHINE,08/11/2013,DONS DE FONCTIONNEMENT,€100,,
horus pharma,Médecin,BERTHEMY PELLET Sylvie,27/11/2013,Repas,€50,,
horus pharma,Médecin,BERTHEMY PELLET S. Sylvie,25/02/2014,Repas,€55,,
horus pharma,Médecin,BRU M. Marc,20/12/2013,Repas,€32,,
horus pharma,Médecin,GENIN I. Isabelle,25/02/2014,Repas,€55,,
horus pharma,Médecin,GENIN I. Isabelle,27/11/2013,Repas,€50,,
horus pharma,Médecin,GENIN I. Isabelle,27/11/2013,Repas,€50,,
horus pharma,Médecin,JARRAND G. Ghislaine,27/11/2013,Repas,€50,,
horus pharma,Médecin,JARRAND G. Ghislaine,27/11/2013,Repas,€50,,
horus pharma,Médecin,LE BLOND E. Evelyne,27/11/2013,Repas,€50,,
horus pharma,Médecin,LEGOUPIL C. Christine,27/11/2013,Repas,€50,,
horus pharma,Médecin,LEGOUPIL C. Christine,27/11/2013,Repas,€50,,
horus pharma,Médecin,MASELLA JJ. Jean jacques,20/12/2013,Repas,€32,,
horus pharma,Médecin,OPREA CG. Cristina georgiana,27/11/2013,Repas,€50,,
horus pharma,Médecin,PERESSE D. Denis,25/02/2014,Repas,€55,,
horus pharma,Médecin,PERESSE D. Denis,27/11/2013,Repas,€50,,
horus pharma,Médecin,PERESSE D. Denis,27/11/2013,Repas,€50,,
horus pharma,Médecin,SERRA TOSIO F. Francoise,27/11/2013,Repas,€50,,
horus pharma,Médecin,SERRA TOSIO F. Francoise,27/11/2013,Repas,€50,,
horus pharma,Médecin,VAREILLES M. Marc,20/12/2013,Repas,€32,,
HOSPIRA FRANCE,Médecin,GRANGER VICTOIRE,21/11/2013,HOSPITALITE,€262,,
HOSPIRA FRANCE,Médecin,GRANGER VICTOIRE,21/11/2013,HOSPITALITE,€262,,
HOSPIRA FRANCE,Médecin,REBISCHUNG CHRISTINE,11/12/2013,HOSPITALITE,€203,,
HOSPIRA FRANCE,Médecin,REBISCHUNG CHRISTINE,11/12/2013,HOSPITALITE,€203,,
HOSPIRA FRANCE,Pharmacien,SONJON VIRGINIE,27/02/2014,HOSPITALITE,€124,,
HOYA Surgical Optics GmbH,Etudiant,COSTE NICOLAS,06/11/2013,Repas,€15,,
HOYA Surgical Optics GmbH,Médecin,DECOUR FABIENNE,10/05/2014,Hébergement,€450,,
HOYA Surgical Optics GmbH,Médecin,DRUELLE AGNES,09/05/2014,Hébergement,€450,,
ICOMED,Chirurgien-dentiste,BEAU AGNES,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,BERTRAND EISLER MARTINE,23/06/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,BERTRAND EISLER MARTINE,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,BOUCHET HERVE,03/06/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,BRUHIERE DAVID MARIE HELENE,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,DAVID PIERRE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,DAVID PIERRE,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,ELKAIM GILLES,17/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,GABEAUD DANIEL,06/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,GABEAUD DANIEL,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,GAGNIERE DAVID,24/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,GINOUX ISABELLE,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,JOUD FERRAIT CAROLE,24/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,NOVET THIBAUT,16/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,REYMOND CAMILLE,23/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,RIONDET PHILIPPE,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,ROUX CHRISTINE,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,ROUX CHRISTINE,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,VIVIN JEAN,24/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,YALICHEFF SACHA,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,YERETZIAN CHRISTIAN,05/06/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,YERETZIAN CHRISTIAN,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,AMALRIC MARIANNE,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,AMALRIC MARIANNE,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ANDERSON THIBERT PASCALE,27/03/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,ANDERSON THIBERT PASCALE,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ARNOULD DRISS LILIA,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,AUDAY FRANCK THIERRY,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,AUROUZE JACQUES,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,AVEZOU FRANCOIS CLAUDE,13/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,AVEZOU FRANCOIS CLAUDE,26/02/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,AZOULAY ALAIN,08/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BAQUE BERNARD,02/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BAQUE BERNARD,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BARBE LAURE,13/05/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,BEEKER ANNE,30/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BEHRENDT JAN,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BEHRENDT JAN,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BEN SAIDANE HOUDA,06/11/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,BEN SAIDANE HOUDA,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BENYAMIN JEAN JACQUES,15/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERGER GAUCHIER FRANCOISE,17/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,BERGER GAUCHIER FRANCOISE,13/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BERNAL DESCOUR FABIENNE,13/05/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,BERNARD FRANCOIS,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,BERNERON OLIVIER,24/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,BERNERON OLIVIER,11/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERTHEMY PELLET SYLVIE,21/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERTRAND CHRISTOPHE,12/06/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BERTRAND CLAUDE,06/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,BERTRAND SANDRINE,24/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERTRAND SANDRINE,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BESSON CHRISTOPHE,27/06/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,BESSON CHRISTOPHE,07/08/2013,Autre: [Enquête],€26,,
