AMGEN SAS,Médecin,TREBAOL RONAN,18/03/2014,REPAS REUNION,€44,,
NOVARTIS PHARMA SAS,Médecin,BOUCHENEB SANDRINE,23/01/2014,Hébergement,€138,,
NOVARTIS PHARMA SAS,Médecin,BOUCHENEB SANDRINE,13/11/2013,Autre : [Hospitalité Evenement Scientifique],€19,,
NOVARTIS PHARMA SAS,Médecin,CORNEC GWENOLE,05/11/2013,Autre : [Hospitalité Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Médecin,HAZIF THOMAS CYRIL,05/11/2013,Autre : [Hospitalité Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Médecin,HAZIF THOMAS CYRIL,21/10/2013,Repas,€29,,
NOVARTIS PHARMA SAS,Médecin,LENNON VALERIE,13/11/2013,Autre : [Hospitalité Evenement Scientifique],€19,,
NOVARTIS PHARMA SAS,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,POLARD MONIQUE,23/01/2014,Transport,€944,,
NOVARTIS PHARMA SAS,Médecin,POLARD MONIQUE,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,POLARD MONIQUE,13/11/2013,Autre : [Hospitalité Evenement Scientifique],€19,,
NOVARTIS PHARMA SAS,Médecin,POLARD MONIQUE,23/01/2014,Hébergement,€138,,
NUTRICIA Nutrition Clinique,Diététicien,MESGUEN JEANINE,27/02/2014,Repas,€35,,
Otsuka Pharmaceutical France SAS,Médecin,CHAUVEL Arnaud,10/10/2013,RESTAURATION,€60,,
Otsuka Pharmaceutical France SAS,Médecin,CHAUVEL ARNAUD,13/02/2014,Repas,€23,,
Otsuka Pharmaceutical France SAS,Médecin,CONAN Pierre,08/11/2013,RESTAURATION,€39,,
Otsuka Pharmaceutical France SAS,Médecin,COZIC JEAN YVES,29/01/2014,Repas,€43,,
Otsuka Pharmaceutical France SAS,Médecin,DUBOIS LUC,26/06/2014,Repas,€33,,
Otsuka Pharmaceutical France SAS,Médecin,DUBOIS LUC,13/02/2014,Repas,€23,,
Otsuka Pharmaceutical France SAS,Médecin,GRINER ABRAHAM VERONIQUE,28/05/2014,Repas,€32,,
Otsuka Pharmaceutical France SAS,Médecin,HAZIF THOMAS CYRIL,28/05/2014,Repas,€32,,
Otsuka Pharmaceutical France SAS,Médecin,HAZIF THOMAS Cyril,20/11/2013,RESTAURATION,€28,,
Otsuka Pharmaceutical France SAS,Médecin,HAZIF THOMAS Cyril,01/10/2013,RESTAURATION,€20,,
Otsuka Pharmaceutical France SAS,Médecin,HAZIF THOMAS CYRIL,18/03/2014,Repas,€28,,
Otsuka Pharmaceutical France SAS,Médecin,KERMORGANT Patrick,19/09/2013,RESTAURATION,€60,,
Otsuka Pharmaceutical France SAS,Médecin,WALTER MICHEL,21/11/2013,TRANSPORT,€244,,
Otsuka Pharmaceutical France SAS,Médecin,WALTER Michel,24/05/2014,REPAS,€50,,
Otsuka Pharmaceutical France SAS,Médecin,WALTER Michel,04/04/2014,Transport,€244,,
Otsuka Pharmaceutical France SAS,Médecin,WALTER MICHEL,05/11/2013,RESTAURATION,€40,,
Otsuka Pharmaceutical France SAS,Médecin,WALTER Michel,24/03/2014,Repas,€36,,
Otsuka Pharmaceutical France SAS,Médecin,WALTER MICHEL,10/06/2014,Repas,€17,,
Otsuka Pharmaceutical France SAS,Médecin,WESTPHALE MARIE,21/03/2014,Repas,€28,,
PHILIPS FRANCE,Masseur-kinésithérapeute,ROUILLON Joelle ,17/09/2013,REPAS,€35,,
PIERRE FABRE MEDICAMENT,Médecin,GRALL OLIVIER,16/10/2013,HOSPITALITE SITES PIERRE FABRE,€86,,
PIERRE FABRE MEDICAMENT,Médecin,GRALL OLIVIER,16/10/2013,FRAIS DE DEPLACEMENT,€91,,
PIERRE FABRE MEDICAMENT,Médecin,GRALL OLIVIER,16/10/2013,HOSPITALITE SITES PIERRE FABRE,€40,,
PIERRE FABRE MEDICAMENT,Médecin,GRALL OLIVIER,16/10/2013,HOSPITALITE SITES PIERRE FABRE,€40,,
PIERRE FABRE MEDICAMENT,Médecin,GRALL OLIVIER,16/10/2013,HOSPITALITE SITES PIERRE FABRE,€86,,
PIERRE FABRE MEDICAMENT,Médecin,JEZEQUEL FLORENCE,25/06/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,29/03/2013,Restauration,€16,,
PIERRE FABRE MEDICAMENT,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,25/06/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,MAHE JEAN YVES,07/06/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,PRIGENT ORIANE,27/06/2013,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Médecin,VIDELO ARMELLE,25/06/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,VOURC H GREGORY,13/02/2014,RESTAURATION,€52,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PRIGENT ORIANE,14/11/2012,Restauration,€17,,
RB Pharmaceuticals France,Médecin,BODENEZ Pierre,27/03/2014,Repas,€55,,
RB Pharmaceuticals France,Médecin,BODENEZ Pierre,15/05/2014,Repas,€40,,
RB Pharmaceuticals France,Médecin,BODENEZ Pierre,05/12/2013,Repas,€60,,
SANOFI AVENTIS FRANCE,Médecin,VOURC H GREGORY,20/02/2014,Repas,€41,,
SANOFI AVENTIS FRANCE,Pharmacien,DAY JEAN PHILIPPE,19/03/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,QUEOURON SYLVIE,01/10/2013,Restauration,€49,,
SHIRE France S.A.,Médecin,BOTBOL MICHEL,04/04/2014,Transport,€98,,
SHIRE France S.A.,Médecin,BOTBOL MICHEL,04/04/2014,Repas,€24,,
Takeda France,Médecin,MAHE Jean yves,07/11/2013,REPAS,€27,,
TEVA SANTE SAS,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,17/01/2014,REPAS,€44,,
Zimmer Dental SAS,Chirurgien-dentiste,GESTIN CAROLINE,20/11/2013,REPAS,€39,,
Zimmer Dental SAS,Chirurgien-dentiste,GESTIN CAROLINE,24/04/2014,repas,€19,,
Zimmer Dental SAS,Chirurgien-dentiste,HOLLEBEQUE-GESTIN CAROLINE,22/05/2014,REPAS,€24,,
