3M France,Chirurgien-dentiste,GUIBERT PIERRE PHILIPPE,01/07/2013,REPAS,€26,,
LEO Pharma,Médecin,BENICHOU LUC,24/03/2014,Repas,€39,,
LEO Pharma,Médecin,MELKA ROBERT,24/03/2014,Repas,€39,,
LEO Pharma,Médecin,ROFE SOTO ELISABETH,24/03/2014,Repas,€39,,
LES LABORATOIRES SERVIER,Etudiant,BOUTON JEAN FRANCOIS,11/10/2013,Repas,€70,,
LES LABORATOIRES SERVIER,Médecin,ALBALADEJO ROSIANE,16/05/2014,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,ALBALADEJO ROSIANE,23/05/2014,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,ALBALADEJO ROSIANE,21/02/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,ALBALADEJO ROSIANE,20/06/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,ALBALADEJO ROSIANE,21/02/2014,Transport,€598,,
LES LABORATOIRES SERVIER,Médecin,ALBALADEJO ROSIANE,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,ALBALADEJO ROSIANE,21/02/2014,Hébergement,€210,,
LES LABORATOIRES SERVIER,Médecin,BEAUCOUSIN MARIE CHRISTINE,22/01/2014,Autre : Inscription,€350,,
LES LABORATOIRES SERVIER,Médecin,BENICHOU LUC,23/05/2014,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,BENICHOU LUC,20/06/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,D'AVIAU GUY,16/05/2014,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,DEMAZURE ERIC,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,DEMAZURE ERIC,21/02/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,DEMAZURE ERIC,21/02/2014,Transport,€640,,
LES LABORATOIRES SERVIER,Médecin,DEMAZURE ERIC,21/02/2014,Hébergement,€210,,
LES LABORATOIRES SERVIER,Médecin,DEMAZURE ERIC,23/05/2014,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,DEMAZURE ERIC,12/10/2013,Repas,€275,,
LES LABORATOIRES SERVIER,Médecin,KICHELEWSKI SYLVAIN,20/06/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,MELKA ROBERT,20/06/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,MELKA ROBERT,23/05/2014,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,ROFE-SOTTO ELISABETH,20/06/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,ROFE-SOTTO ELISABETH,23/05/2014,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,ROFE-SOTTO ELISABETH,16/05/2014,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,ROUSSE-MEURIC FLORENCE,23/05/2014,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,ROUSSE-MEURIC FLORENCE,16/05/2014,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,ROUSSE-MEURIC FLORENCE,20/06/2014,Repas,€42,,
LES LABORATOIRES SERVIER,Médecin,ROUSSE-MEURIC FLORENCE,21/02/2014,Transport,€650,,
LES LABORATOIRES SERVIER,Médecin,ROUSSE-MEURIC FLORENCE,21/02/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,ROUSSE-MEURIC FLORENCE,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,ROUSSE-MEURIC FLORENCE,21/02/2014,Hébergement,€210,,
Lilly France SAS,Infirmier,BOUCHAREB NORA,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,BOUCHAREB NORA,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,CAILLY ISABELLE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,CAILLY ISABELLE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,ETENDARD GHISLAINE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,ETENDARD GHISLAINE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,HALFOND CATHERINE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,HALFOND CATHERINE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,HILLAIRE VERONIQUE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,HILLAIRE VERONIQUE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,MULAS MICHELE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,MULAS MICHELE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,TETARD NATHALIE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,TETARD NATHALIE,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,THOME MARC,30/01/2014,REPAS,€21,,
Lilly France SAS,Infirmier,THOME MARC,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,BEAUCOUSIN MARIE CHRISTINE,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,BEAUCOUSIN MARIE CHRISTINE,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,DESMARQUET JEAN,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,DESMARQUET JEAN,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,GIBOIN CHRISTINE,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,GIBOIN CHRISTINE,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,MENHOUK CHRISTOPHE,30/01/2014,REPAS,€57,,
Lilly France SAS,Médecin,PETIAU EMMANUELLE,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,PETIAU EMMANUELLE,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,SALEH DOURED,30/01/2014,REPAS,€21,,
Lilly France SAS,Médecin,SALEH DOURED,30/01/2014,REPAS,€21,,
LION / SENECA FRANCE AUDIO,Médecin,ROUDAIRE MARIE-LAURE,01/12/2013,CADEAUX,€17,,
LUNDBECK SAS,Médecin,BENICHOU LUC,20/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€35,,
LUNDBECK SAS,Médecin,MELKA ROBERT,20/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€35,,
LUNDBECK SAS,Médecin,ROFE SOTTO ELISABETH,20/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€35,,
LUNDBECK SAS,Médecin,SALFATI MICHEL,17/06/2014,AUTRE : FRAIS D HOSPITALITE / RP,€11,,
LUNDBECK SAS,Médecin,SALFATI MICHEL,17/06/2014,AUTRE : FRAIS D HOSPITALITE / RP,€11,,
MEDEXACT,Médecin,COHEN ANDRE,03/06/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,HAYEM MARIE JOSEE,05/06/2013,Autre: [Enquête],€20,,
MEDEXACT,Médecin,TRAN PHAT DAT,21/05/2013,Autre: [Enquête],€16,,
MEDITOR,Médecin,KOLKO ANNE,05/11/2013,HEBERGEMENT,"€1,297",,
MEDITOR,Médecin,KOLKO ANNE,07/11/2013,REPAS,€48,,
MEDITOR,Médecin,KOLKO ANNE,08/11/2013,REPAS,€52,,
MEDITOR,Médecin,KOLKO ANNE,06/11/2013,REPAS,€28,,
MEDITOR,Médecin,KOLKO ANNE,05/11/2013,TRANSPORT,€857,,
MEDITOR,Médecin,KOLKO ANNE,05/11/2013,REPAS,€25,,
MEDITOR,Médecin,MOLINA VIRGINIA,03/02/2014,REPAS,€38,,
MEDITOR,Médecin,MOLINA VIRGINIA,05/11/2013,TRANSPORT,€857,,
MEDITOR,Médecin,MOLINA VIRGINIA,23/12/2013,REPAS,€43,,
MEDITOR,Médecin,MOLINA VIRGINIA,23/01/2014,REPAS,€57,,
MEDITOR,Médecin,MOLINA VIRGINIA,10/10/2013,REPAS,€48,,
MEDITOR,Médecin,MOLINA VIRGINIA,02/09/2013,REPAS,€40,,
MEDITOR,Médecin,MOLINA VIRGINIA,08/11/2013,REPAS,€52,,
MEDITOR,Médecin,MOLINA VIRGINIA,30/10/2013,REPAS,€22,,
MEDITOR,Médecin,MOLINA VIRGINIA,08/11/2013,REPAS,€52,,
MEDITOR,Médecin,MOLINA VIRGINIA,02/09/2013,REPAS,€40,,
MEDITOR,Médecin,MOLINA VIRGINIA,03/02/2014,REPAS,€38,,
MEDITOR,Médecin,MOLINA VIRGINIA,10/10/2013,REPAS,€48,,
MEDITOR,Médecin,MOLINA VIRGINIA,05/11/2013,HEBERGEMENT,"€1,314",,
MEDITOR,Médecin,MOLINA VIRGINIA,25/01/2013,REPAS,€43,,
MEDITOR,Médecin,MOLINA VIRGINIA,01/06/2014,REPAS,€65,,
MEDITOR,Médecin,MOLINA VIRGINIA,23/12/2013,REPAS,€43,,
MEDITOR,Médecin,MOLINA VIRGINIA,23/01/2014,REPAS,€55,,
MEDITOR,Médecin,MOLINA VIRGINIA,11/07/2013,REPAS,€44,,
MENARINI FRANCE,Médecin,ALBALADEJO MARING ROSIANE,27/09/2013,AUTRE : RNT,€40,,
MENARINI FRANCE,Médecin,BENICHOU LUC,20/12/2013,AUTRE : RNT,€38,,
MENARINI FRANCE,Médecin,COHEN ANDRE,27/03/2014,Autre : [Restauration],€60,,
MENARINI FRANCE,Médecin,COHEN ANDRE,23/01/2014,Autre : [Restauration],€48,,
MENARINI FRANCE,Médecin,DEMAZURE ERIC,20/12/2013,AUTRE : RNT,€38,,
MENARINI FRANCE,Médecin,MELKA ROBERT,13/02/2014,Autre : [Restauration],€55,,
MENARINI FRANCE,Médecin,MELKA ROBERT,24/09/2013,AUTRE : RNT,€55,,
MENARINI FRANCE,Médecin,MELKA ROBERT,20/12/2013,AUTRE : RNT,€38,,
MENARINI FRANCE,Médecin,ROFE SOTTO ELISABETH,20/12/2013,AUTRE : RNT,€38,,
MENARINI FRANCE,Médecin,ROUDAIRE MARIE LAURE,23/01/2014,Autre : [Restauration],€48,,
MENARINI FRANCE,Médecin,ROUDAIRE MARIE LAURE,27/03/2014,Autre : [Restauration],€60,,
MENARINI FRANCE,Médecin,ROUSSE MEURIC FLORENCE,27/09/2013,AUTRE : RNT,€40,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,15/06/2012,REPAS,€36,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,12/10/2012,REPAS,€38,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,21/02/2012,REPAS,€38,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,04/02/2014,REPAS,€36,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,21/06/2013,REPAS,€34,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,25/10/2013,REPAS,€40,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,25/04/2014,TRANSPORT,€336,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,26/04/2014,REPAS,€60,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,26/04/2014,REPAS,€40,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,25/04/2014,HÉBERGEMENT,€290,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,25/04/2014,REPAS,€40,,
MSD France,Médecin,ALBALADEJO MARING ROSIANE,14/04/2014,REPAS,€33,,
MSD France,Médecin,BENICHOU LUC,28/09/2012,REPAS,€39,,
MSD France,Médecin,BENICHOU LUC,27/09/2013,REPAS,€56,,
MSD France,Médecin,BENICHOU LUC,14/04/2014,REPAS,€33,,
MSD France,Médecin,BENICHOU LUC,15/04/2013,HOSPITALITÉ,€38,,
MSD France,Médecin,BENICHOU LUC,13/01/2014,REPAS,€38,,
MSD France,Médecin,CHEVALIER THIERRY,10/03/2014,REPAS,€21,,
MSD France,Médecin,KICHELEWSKI SYLVAIN,13/01/2014,REPAS,€38,,
MSD France,Médecin,MELKA ROBERT,13/01/2014,REPAS,€38,,
MSD France,Médecin,MELKA ROBERT,27/09/2013,REPAS,€56,,
MSD France,Médecin,MELKA ROBERT,15/04/2013,HOSPITALITE,€38,,
MSD France,Médecin,MELKA ROBERT,14/04/2014,REPAS,€33,,
MSD France,Médecin,MELKA ROBERT,31/01/2012,HOSPITALITE,€60,,
MSD France,Médecin,MENHOUK CHRISTOPHE,07/11/2013,REPAS,€60,,
MSD France,Médecin,MENHOUK CHRISTOPHE,06/03/2014,REPAS,€60,,
MSD France,Médecin,MENHOUK CHRISTOPHE,17/12/2013,REPAS,€60,,
MSD France,Médecin,MENHOUK CHRISTOPHE,25/02/2014,REPAS,€51,,
MSD France,Médecin,MENHOUK CHRISTOPHE,11/07/2013,REPAS,€55,,
MSD France,Médecin,MENHOUK CHRISTOPHE,20/06/2014,REPAS,€25,,
MSD France,Médecin,ROFE SOTTO ELISABETH,13/01/2014,REPAS,€38,,
MSD France,Médecin,ROFE SOTTO ELISABETH,27/09/2013,REPAS,€56,,
MSD France,Médecin,ROFE SOTTO ELISABETH,15/04/2013,HOSPITALITÉ,€38,,
MSD France,Médecin,ROFE SOTTO ELISABETH,14/04/2014,REPAS,€33,,
MSD France,Médecin,ROFE SOTTO ELISABETH,28/09/2012,REPAS,€39,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,04/02/2014,REPAS,€36,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,12/10/2012,REPAS,€38,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,15/06/2012,REPAS,€36,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,21/02/2012,REPAS,€38,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,21/06/2013,REPAS,€34,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,14/04/2014,REPAS,€33,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,25/04/2014,REPAS,€40,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,25/04/2014,TRANSPORT,€388,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,26/04/2014,REPAS,€40,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,25/04/2014,HÉBERGEMENT,€290,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,26/04/2014,REPAS,€60,,
MSD France,Médecin,ROUSSE MEURIC FLORENCE,25/10/2013,REPAS,€40,,
MSD France,Médecin,SABLONG BENOIT,12/04/2012,HOSPITALITE,€60,,
MYLAN SAS,Pharmacien,BARNAUD MARC,24/09/2013,REPAS,€47,,
MYLAN SAS,Pharmacien,ETCHEVERRY CORINNE,24/09/2013,REPAS,€47,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUCLENAT ELUITA,24/09/2013,REPAS,€47,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MERCY STEVEN,24/09/2013,REPAS,€47,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MERCY THOMAS,24/09/2013,REPAS,€47,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PITKIAYE JOHAN,24/09/2013,REPAS,€47,,
NOBEL BIOCARE FRANCE SAS,Chirurgien-dentiste,GUIBERT PIERRE PHILIPPE,04/07/2013,REPAS,€25,,
NOVARTIS PHARMA SAS,Médecin,ALBALADEJO MARING ROSIANE,11/04/2014,Repas,€41,,
NOVARTIS PHARMA SAS,Médecin,BENICHOU LUC,25/07/2013,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,BENICHOU LUC,31/03/2014,Repas,€38,,
NOVARTIS PHARMA SAS,Médecin,BENICHOU LUC,31/01/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,CHOUQUET ALAIN,25/10/2013,Autre : [Inscription Evenement Scientifique],€920,,
NOVARTIS PHARMA SAS,Médecin,CHOUQUET ALAIN,27/11/2013,Repas,€60,,
NOVARTIS PHARMA SAS,Médecin,CHOUQUET ALAIN,25/10/2013,Hébergement,€310,,
NOVARTIS PHARMA SAS,Médecin,DEMAZURE ERIC,25/07/2013,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,MELKA ROBERT,31/03/2014,Repas,€38,,
NOVARTIS PHARMA SAS,Médecin,MELKA ROBERT,31/01/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,ROFE SOTTO ELISABETH,25/07/2013,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,ROFE SOTTO ELISABETH,31/03/2014,Repas,€38,,
NOVARTIS PHARMA SAS,Médecin,ROFE SOTTO ELISABETH,31/01/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,ROUSSE MEURIC FLORENCE,11/04/2014,Repas,€41,,
NOVARTIS VACCINES AND DIAGNOSTICS SAS,Médecin,Darbois Daniele,07/11/2013,Repas,€49,,
NOVO NORDISK,Médecin,BENICHOU LUC,17/03/2014,REPAS,€57,,
NOVO NORDISK,Médecin,MELKA ROBERT,17/03/2014,REPAS,€57,,
NOVO NORDISK,Médecin,ROFE SOTTO ELISABETH,17/03/2014,REPAS,€57,,
OCP REPARTITION,Pharmacien,NET SETHY,07/04/2014,REPAS,€30,,
Otsuka Pharmaceutical France SAS,Médecin,COUVERTURE Lea,26/11/2013,RESTAURATION,€30,,
Otsuka Pharmaceutical France SAS,Médecin,COUVERTURE Lea,09/09/2013,RESTAURATION,€25,,
Otsuka Pharmaceutical France SAS,Médecin,DESMARQUET JEAN,16/06/2014,Repas,€21,,
Otsuka Pharmaceutical France SAS,Médecin,ERNOUF Thibaud,09/09/2013,RESTAURATION,€25,,
Otsuka Pharmaceutical France SAS,Médecin,ERNOUF Thibaud,09/09/2013,RESTAURATION,€25,,
Otsuka Pharmaceutical France SAS,Médecin,PAYEN DE LA GARANDERIE Jerome,26/11/2013,RESTAURATION,€30,,
Otsuka Pharmaceutical France SAS,Médecin,PETIAU Emmanuelle,26/11/2013,RESTAURATION,€30,,
Otsuka Pharmaceutical France SAS,Médecin,ROSILIO Anaelle,26/11/2013,RESTAURATION,€30,,
Otsuka Pharmaceutical France SAS,Médecin,ROSILIO Anaelle,09/09/2013,RESTAURATION,€25,,
Otsuka Pharmaceutical France SAS,Médecin,SAADANE YASSINE MOHAMMED,16/06/2014,Repas,€21,,
Otsuka Pharmaceutical France SAS,Médecin,SAADANE YASSINE MOHAMMED,22/05/2014,Repas,€21,,
Otsuka Pharmaceutical France SAS,Médecin,SALEH DOURED,22/05/2014,Repas,€21,,
Otsuka Pharmaceutical France SAS,Médecin,SALEH DOURED,16/06/2014,Repas,€21,,
Otsuka Pharmaceutical France SAS,Médecin,WIEVIORKA Emma,19/12/2013,RESTAURATION,€22,,
Otsuka Pharmaceutical France SAS,Médecin,WIEVIORKA Emma,26/11/2013,RESTAURATION,€30,,
PFIZER SAS,Médecin,AZRIA CLAUDE,12/03/2014,REPAS,€19,,
PFIZER SAS,Médecin,BENICHOU LUC,07/04/2014,REPAS,€25,,
PFIZER SAS,Médecin,CHENA SAMIA,09/04/2014,REPAS,€59,,
PFIZER SAS,Médecin,ELANDALOUSSI BECHERKI,11/10/2013,Repas,€10,,
PFIZER SAS,Médecin,MELKA ROBERT,07/04/2014,REPAS,€25,,
PFIZER SAS,Médecin,PARTOUCHE HENRI,02/04/2013,HOSPITALITE,"€1,453",,
PFIZER SAS,Médecin,ROFE SOTTO ELISABETH,07/04/2014,REPAS,€25,,
PFIZER SAS,Pharmacien,DURAND LABRUNIE DOMINIQUE,13/02/2014,REPAS,€27,,
PFIZER SAS,Pharmacien,DURAND LABRUNIE DOMINIQUE,13/02/2014,REPAS,€27,,
PHADIA SAS,Médecin,ELANDALOUSSI BECHERKI,05/09/2013,FRAIS DE REPAS,€26,,
PIERRE FABRE MEDICAMENT,Médecin,ALBALADEJO MARING ROSIANE,12/02/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,ALBALADEJO MARING ROSIANE,25/06/2012,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,ALBALADEJO MARING ROSIANE,05/12/2013,RESTAURATION,€49,,
PIERRE FABRE MEDICAMENT,Médecin,ALBALADEJO MARING ROSIANE,18/10/2012,Restauration,€49,,
PIERRE FABRE MEDICAMENT,Médecin,ALBALADEJO MARING ROSIANE,24/06/2014,RESTAURATION,€52,,
PIERRE FABRE MEDICAMENT,Médecin,ALBALADEJO MARING ROSIANE,25/06/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,BENAMOUT GRIMBERT MARIE PAULE,03/07/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,BENICHOU LUC,30/01/2013,Restauration,€54,,
PIERRE FABRE MEDICAMENT,Médecin,BENICHOU LUC,04/09/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Médecin,BENICHOU LUC,19/09/2012,Restauration,€15,,
PIERRE FABRE MEDICAMENT,Médecin,BENICHOU LUC,06/03/2013,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,BENICHOU LUC,07/03/2012,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Médecin,BENICHOU LUC,04/12/2013,RESTAURATION,€49,,
PIERRE FABRE MEDICAMENT,Médecin,COHEN ANDRE,12/06/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,COHEN ANDRE,22/11/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,ETIENNE ANAHI LAURE,02/04/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,KICHELEWSKI SYLVAIN,07/05/2013,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,KICHELEWSKI SYLVAIN,04/09/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Médecin,KICHELEWSKI SYLVAIN,12/06/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,KICHELEWSKI SYLVAIN,07/05/2013,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,KICHELEWSKI SYLVAIN,12/06/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,KICHELEWSKI SYLVAIN,07/03/2012,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Médecin,KICHELEWSKI SYLVAIN,04/09/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Médecin,MELKA ROBERT,22/11/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,MELKA ROBERT,19/09/2012,Restauration,€15,,
PIERRE FABRE MEDICAMENT,Médecin,MELKA ROBERT,07/03/2012,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Médecin,MELKA ROBERT,04/12/2013,RESTAURATION,€49,,
PIERRE FABRE MEDICAMENT,Médecin,MELKA ROBERT,12/06/2013,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,MELKA ROBERT,07/05/2013,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,MELKA ROBERT,30/01/2013,Restauration,€54,,
PIERRE FABRE MEDICAMENT,Médecin,MELKA ROBERT,04/09/2013,RESTAURATION,€42,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSE MEURIC FLORENCE,25/06/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSE MEURIC FLORENCE,18/10/2012,Restauration,€49,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSE MEURIC FLORENCE,05/12/2013,RESTAURATION,€49,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSE MEURIC FLORENCE,24/06/2014,RESTAURATION,€52,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSE MEURIC FLORENCE,12/02/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,ROUSSE MEURIC FLORENCE,25/06/2012,Restauration,€10,,
PROCTER & GAMBLE FRANCE,Chirurgien-dentiste,GUIBERT Pierre philippe,10/04/2014,REPAS,€93,,
Prodition,Audioprothésiste,LY LYDI,25/09/2013,Repas,€18,,
PRODUITS DENTAIRES PIERRE ROLLAND,Autres types de personne morale,CMS SAINT OUEN,29/11/2012,HOSPITALITE,€102,,
RANBAXY PHARMACIE GENERIQUES,Pharmacien,FERMON monique,29/03/2014,Repas,€34,,
RESEARCH NOW SAS,Médecin,ELANDALOUSSI BECHERKI,27/11/2013,enquête,€19,,
ROCHE SAS,Infirmier,BANGELE BENEDICTE,02/04/2014,Repas,€60,,
ROCHE SAS,Infirmier,BANGELE BENEDICTE,03/04/2014,Repas,€25,,
ROCHE SAS,Infirmier,BAS NATHALIE,02/04/2014,Repas,€60,,
ROCHE SAS,Infirmier,BAS NATHALIE,03/04/2014,Repas,€25,,
ROCHE SAS,Infirmier,BIET ROSELYNE,03/04/2014,Repas,€25,,
ROCHE SAS,Infirmier,BIET ROSELYNE,02/04/2014,Repas,€60,,
ROCHE SAS,Infirmier,EKOLLO LOTTIN MARGUERITE,02/04/2014,Repas,€60,,
ROCHE SAS,Infirmier,EKOLLO LOTTIN MARGUERITE,03/04/2014,Repas,€25,,
ROCHE SAS,Infirmier,OLLIVIER CAROLINE,03/04/2014,Repas,€25,,
ROCHE SAS,Infirmier,OLLIVIER CAROLINE,02/04/2014,Repas,€60,,
ROCHE SAS,Infirmier,PARMENTIER FRANCOISE,03/04/2014,Repas,€25,,
ROCHE SAS,Infirmier,PARMENTIER FRANCOISE,02/04/2014,Repas,€60,,
ROCHE SAS,Infirmier,PATTE JEAN CLAUDE,03/04/2014,Repas,€25,,
ROCHE SAS,Infirmier,PATTE JEAN CLAUDE,02/04/2014,Repas,€60,,
ROCHE SAS,Médecin,URENA TORRES PABLO ANTONIO,13/06/2013,Restauration,€60,,
SAMSUNG ELECTRONICS FRANCE,Médecin,COHEN ALBERT,24/06/2014,REPAS,€55,,
SANDOZ,Pharmacien,NET SETHY,05/06/2014,REPAS,€60,,
SANOFI AVENTIS FRANCE,Médecin,ALBALADEJO MARING ROSIANE,17/01/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,ALBALADEJO MARING ROSIANE,02/07/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,BENICHOU LUC,06/06/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,BENICHOU LUC,05/02/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Médecin,BENICHOU LUC,23/09/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,BENICHOU LUC,11/04/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,KICHELEWSKI SYLVAIN,11/04/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,MELKA ROBERT,11/04/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,MELKA ROBERT,06/06/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,MELKA ROBERT,05/02/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Médecin,MELKA ROBERT,23/09/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,RAVIER MAXIME,02/07/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,ROFE SOTTO ELISABETH,11/04/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,ROFE SOTTO ELISABETH,23/09/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,ROFE SOTTO ELISABETH,06/06/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,ROFE SOTTO ELISABETH,17/01/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,ROUSSE MEURIC FLORENCE,02/07/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,ROUSSE MEURIC FLORENCE,17/01/2014,Repas,€40,,
SHIRE France S.A.,Médecin,MOLINA VIRGINIA,27/09/2013,Repas,€32,,
