3M France,Chirurgien-dentiste,TREMONT DOMINIQUE,07/10/2013,REPAS,€35,,
horus pharma,Médecin,FERRON ABRAHAM,19/06/2014,Repas,€55,,
horus pharma,Médecin,LEONARD OLIVIER,19/06/2014,Repas,€55,,
horus pharma,Médecin,LEONARD O. Olivier,09/10/2013,Repas,€54,,
horus pharma,Médecin,METZQUER C. Caroline,09/04/2014,Repas,€55,,
horus pharma,Médecin,SCHAUER P. Philippe,09/04/2014,Repas,€55,,
horus pharma,Médecin,torget jose louis,19/06/2014,Repas,€55,,
horus pharma,Médecin,TORGUET JL. Jose luis,09/10/2013,Repas,€54,,
horus pharma,Médecin,TORGUET JL. Jose luis,09/04/2014,Repas,€55,,
ICOMED,Chirurgien-dentiste,CANET NACHER CHRISTINE,23/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,PRAULT ALINE,04/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,AOUIZERATE FRANK,06/06/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,BOUCHUT PIERRE,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,CALIOT PHILIPPE,27/06/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,CALIOT PHILIPPE,16/05/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,CAYLA PIERRE,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,CAYLA PIERRE,28/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,CIPRIANO BRUNOT CLAIRE,06/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,CIPRIANO BRUNOT CLAIRE,17/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,COMTE PASCAL,07/08/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DE BIDERAN MARIE,15/05/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DE BUHAN BERNADETTE,20/01/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,DUPRAZ DESCHAMPS MARIANNE,02/05/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LE MOINE JEAN JACQUES,05/06/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LEONARD OLIVIER,23/04/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LEVESQUE MARTIN GENEVIEVE,18/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LEVESQUE MARTIN GENEVIEVE,29/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MARCAILLOU LUC,17/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,NADAL FRANCOIS,15/04/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,NADAL FRANCOIS,21/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,SCHAUER PHILIPPE,05/06/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,SERRA BERNARD,06/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,TORGUET JOSE LUIS,31/05/2013,Autre: [Enquête],€30,,
InterMune France SAS,Association professionnel de santé,APPSO,23/12/2013,CONVENTION DE DONS,"€1,000",,
InterMune France SAS,Médecin,BOISSERIE-LACROIX VINCENT,31/01/2014,HEBERGEMENT,€264,,
InterMune France SAS,Médecin,BOISSERIE-LACROIX VINCENT,31/01/2014,TRANSPORT,€372,,
InterMune France SAS,Médecin,BOISSERIE-LACROIX VINCENT,31/01/2014,AUTRE,€240,,
InterMune France SAS,Médecin,BOISSERIE-LACROIX VINCENT,31/01/2014,REPAS,€54,,
InterMune France SAS,Médecin,PELLET FRANCOIS,22/05/2014,REPAS,€30,,
InterMune France SAS,Médecin,PELLET FRANÇOIS,07/05/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,AGUEDO MELANIE,11/02/2014,REPAS,€47,,
IPSEN PHARMA,Médecin,BERANGER PHILIPPE,29/08/2013,REPAS,€50,,
IPSEN PHARMA,Médecin,DUCOS FRANCOIS,15/10/2013,REPAS,€47,,
IPSEN PHARMA,Médecin,DUCOS FRANCOIS,11/02/2014,REPAS,€47,,
IPSEN PHARMA,Médecin,LEDUC XAVIER,15/10/2013,REPAS,€47,,
IPSEN PHARMA,Médecin,LEDUC XAVIER,11/02/2014,REPAS,€47,,
IPSEN PHARMA,Médecin,NEUFFER HERMANN,15/10/2013,REPAS,€47,,
IPSEN PHARMA,Médecin,NEUFFER HERMANN,15/10/2013,REPAS,€47,,
IPSEN PHARMA,Médecin,ROCCA PAUL HENRY,11/02/2014,REPAS,€47,,
IPSEN PHARMA,Médecin,ROCCA PAUL HENRY,15/10/2013,REPAS,€47,,
IPSEN PHARMA,Médecin,SERRA BERNARD,27/03/2014,REPAS,€49,,
JANSSEN-CILAG,Etudiant,DE LARY DE LATOUR HUBERT,30/05/2013,REPAS,€28,,
JANSSEN-CILAG,Infirmier,BAZAS BRIGITTE,03/04/2014,REPAS,€15,,
JANSSEN-CILAG,Infirmier,CROQUET SANDRINE,03/04/2014,REPAS,€15,,
JANSSEN-CILAG,Infirmier,DARRIVERE ISABELLE,03/04/2014,REPAS,€15,,
JANSSEN-CILAG,Infirmier,MONTAGUT LAURENE,03/04/2014,REPAS,€15,,
JANSSEN-CILAG,Médecin,AGUEDO MELANIE,30/05/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,CORDIER ROGER,06/06/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,DUCOS FRANCOIS,30/05/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,FERRE DUENAS MONIQUE,03/04/2014,REPAS,€15,,
JANSSEN-CILAG,Médecin,LEDUC XAVIER,30/05/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,LEDUC XAVIER,16/05/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,NEUFFER HERMANN,30/05/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,ROCCA PAUL HENRY,16/05/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,ROCCA PAUL HENRY,30/05/2013,REPAS,€28,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,CALLUAUD PIERRE,25/07/2012,Cadeaux,€144,,
laboratoire BAUSCH&LOMB,Médecin,AOUIZERATE FRANK,19/03/2014,REPAS,€22,,
laboratoire BAUSCH&LOMB,Médecin,AOUIZERATE FRANK,04/09/2013,REPAS,€23,,
laboratoire BAUSCH&LOMB,Médecin,AOUIZERATE FRANK,12/06/2013,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AGUEDO MELANIE,25/10/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AGUEDO MELANIE,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,09/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,25/06/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,12/04/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,02/04/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,02/06/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,13/06/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,19/11/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,10/10/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,25/01/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,15/05/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,24/06/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISSERIE LACROIX VINCENT,09/11/2012,Hospitalité,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CALIOT PHILIPPE,04/07/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CALIOT PHILIPPE,08/11/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CALIOT PHILIPPE,08/03/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CALIOT PHILIPPE,17/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CALIOT PHILIPPE,19/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUCOS FRANCOIS,25/10/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUCOS FRANCOIS,04/01/2013,Hospitalite,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUCOS FRANCOIS,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUCOS FRANCOIS,23/05/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,10/10/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,11/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,11/09/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,14/06/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,22/04/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,25/01/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,15/05/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,04/04/2014,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,04/02/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,12/04/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FALQUE LAURENT,25/05/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEDUC XAVIER,31/08/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEDUC XAVIER,04/01/2013,Hospitalite,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEDUC XAVIER,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEDUC XAVIER,20/08/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEDUC XAVIER,04/01/2013,Hospitalite,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCAILLOU LUC,10/10/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCAILLOU LUC,06/02/2014,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCAILLOU LUC,11/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCAILLOU LUC,14/06/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCAILLOU LUC,12/04/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCAILLOU LUC,16/05/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCAILLOU LUC,25/01/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,26/07/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,15/05/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,10/10/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,20/09/2013,HEBERGEMENT,€176,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,20/09/2013,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,04/02/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,21/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,05/04/2014,REPAS,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,05/04/2014,REPAS,€71,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,19/11/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,09/11/2012,Hospitalité,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,09/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,28/09/2012,Hospitalité,€411,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,25/01/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,10/10/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,26/07/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,01/09/2012,Inscription,€550,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,13/06/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,24/03/2013,Hospitalite,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,02/04/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,12/04/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,23/03/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,04/04/2014,HEBERGEMENT,€162,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,05/04/2014,HEBERGEMENT,€162,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,21/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,04/04/2014,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,22/09/2013,REPAS,€66,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,20/09/2013,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,21/09/2013,HEBERGEMENT,€176,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,20/09/2013,HEBERGEMENT,€176,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,15/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,05/04/2014,REPAS,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELLET FRANCOIS,20/09/2013,HEBERGEMENT,€176,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROCCA PAUL HENRY,31/08/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROCCA PAUL HENRY,23/01/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROCCA PAUL HENRY,25/10/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SERRA BERNARD,14/06/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,PRADIE LESTRADE M LAURE,23/01/2012,Hospitalité,€32,,
LABORATOIRE JALDES,Médecin,Aguedo Mélanie,21/11/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Boucher Pauline,27/11/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Lambert Audrey,20/09/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Perrein Jean-Bernard,22/11/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE MENE ET MOY,Médecin,BOUSSAULT PIERRE,13/09/2013,cadeaux,€27,,
LABORATOIRE MENE ET MOY,Médecin,LAMBERT AUDREY,16/06/2014,cadeaux,€23,,
LABORATOIRE MENE ET MOY,Médecin,LAMBERT AUDREY,16/06/2014,cadeaux,€27,,
LABORATOIRE MENE ET MOY,Médecin,LAMBERT AUDREY,16/06/2014,cadeaux,€23,,
LABORATOIRES ALCON,Médecin,BOUCHUT PIERRE,06/02/2014,REPAS,€57,,
LABORATOIRES ALCON,Médecin,BOUCHUT PIERRE,25/04/2014,TRANSPORT,€948,,
LABORATOIRES ALCON,Médecin,BOUCHUT PIERRE,25/04/2014,HEBERGEMENT,€925,,
LABORATOIRES ALCON,Médecin,BOUCHUT PIERRE,24/01/2014,REPAS,€198,,
LABORATOIRES ALCON,Médecin,BOUCHUT PIERRE,24/01/2014,HEBERGEMENT,€175,,
LABORATOIRES ALCON,Médecin,BOUCHUT PIERRE,24/01/2014,TRANSPORT,€563,,
LABORATOIRES ALCON,Médecin,BOUCHUT PIERRE,24/01/2014,HEBERGEMENT,€175,,
LABORATOIRES ALCON,Médecin,COMTE PASCAL,23/05/2014,Repas,€62,,
LABORATOIRES ALCON,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,23/05/2014,Repas,€62,,
LABORATOIRES ALCON,Médecin,DELIGNAT LAVAUD MARIE-SYLVIE,20/03/2014,REPAS,€40,,
LABORATOIRES ALCON,Médecin,GIRY JEAN ALCIDE,23/05/2014,Repas,€62,,
LABORATOIRES ALCON,Médecin,METZQUER CAROLINE,23/05/2014,Repas,€62,,
LABORATOIRES ALCON,Médecin,SCHAUER PHILIPPE,23/05/2014,Repas,€62,,
Laboratoires ARKOPHARMA,Pharmacien,BOUQUET AURORE,20/05/2014,REPAS,€51,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,AGUEDO MELANIE,26/06/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,AGUEDO MELANIE,05/11/2013,Repas,€20,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BERANGER PHILIPPE,11/03/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BERANGER PHILIPPE,17/06/2014,Repas,€54,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DUCOS FRANCOIS,26/06/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DUCOS FRANCOIS,05/11/2013,Repas,€20,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,HOARAU ANNIE,29/04/2014,Repas,€26,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,HOARAU ANNIE,05/12/2013,Repas,€18,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LEDUC XAVIER,05/11/2013,Repas,€20,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LEDUC XAVIER,26/06/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,NEUFFER HERMANN,05/11/2013,Repas,€20,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ROCCA PAUL HENRY,05/11/2013,Repas,€20,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ROCCA PAUL HENRY,26/06/2014,Repas,€24,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SERRA BERNARD,17/06/2014,Repas,€54,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SERRA BERNARD,15/05/2014,Repas,€60,,
Laboratoires Doliage,Médecin,AOUIZERATE FRANK,13/12/2013,REPAS,€14,,
Laboratoires Doliage,Médecin,BERNARD ARNAUD,13/12/2013,REPAS,€14,,
Laboratoires Doliage,Médecin,BOUCHUT PIERRE,13/12/2013,REPAS,€14,,
Laboratoires Doliage,Médecin,BOUCHUT PIERRE,05/12/2013,REPAS,€50,,
Laboratoires Doliage,Médecin,COMTE PASCAL,05/12/2013,REPAS,€50,,
Laboratoires Doliage,Médecin,COMTE PASCAL,13/12/2013,REPAS,€14,,
Laboratoires Doliage,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,05/12/2013,REPAS,€50,,
Laboratoires Doliage,Médecin,FERRON ABRAHAM,13/12/2013,REPAS,€14,,
Laboratoires Doliage,Médecin,METZQUER CAROLINE,13/12/2013,REPAS,€14,,
Laboratoires Doliage,Médecin,SCHAUER PHILIPPE,13/12/2013,REPAS,€14,,
Laboratoires Doliage,Médecin,TORGUET JOSE LUIS,05/12/2013,REPAS,€50,,
Laboratoires Grünenthal SAS,Médecin,CAYLA PIERRE,27/02/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,CAYLA PIERRE,17/10/2013,REPAS,€48,,
Laboratoires Leurquin Mediolanum,Médecin,SERRA BERNARD,11/02/2014,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,RAINAUD SIMON SOPHIE,01/12/2013,CADEAUX,€15,,
Laboratoires THEA,Médecin,BERNARD ARNAUD,26/09/2013,AUTRE,€476,,
Laboratoires THEA,Médecin,BERNARD ARNAUD,26/09/2013,HOSPITALITE,"€1,660",,
Laboratoires THEA,Médecin,FERRON ABRAHAM-PAUL,03/12/2013,REPAS,€53,,
Laboratoires THEA,Médecin,GIRY JEAN ALCIDE,06/02/2014,REPAS,€57,,
Laboratoires THEA,Orthoptiste,ALLEMONE DANIEL,28/01/2014,REPAS,€41,,
LABORATOIRES URGO,Médecin,AGUEDO Mélanie,14/01/2014,Repas,€27,,
LABORATOIRES URGO,Médecin,DUCAS François,14/01/2014,Repas,€27,,
LABORATOIRES URGO,Médecin,LEDUC Xavier,14/01/2014,Repas,€27,,
LABORATOIRES URGO,Médecin,ROCCA Paul Henry,14/01/2014,Repas,€27,,
LABORATOIRE TETRA MEDICAL,Pharmacien,TEILLAC VALERIE,25/07/2013,REPAS,€14,,
LES LABORATOIRES SERVIER,Médecin,DE FRITSCH ALBAN,13/05/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,SERRA BERNARD,22/05/2014,Repas,€60,,
Lilly France SAS,Médecin,CAYLA PIERRE,13/10/2013,HÉBERGEMENT,€181,,
Lilly France SAS,Médecin,CAYLA PIERRE,30/10/2013,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€231,,
Lilly France SAS,Médecin,CAYLA PIERRE,13/10/2013,REPAS,€200,,
Lilly France SAS,Médecin,DUCOS FRANCOIS,28/11/2013,REPAS,€20,,
Lilly France SAS,Médecin,DUCOS FRANCOIS,22/05/2014,REPAS,€21,,
Lilly France SAS,Médecin,DUCOS FRANCOIS,28/11/2013,REPAS,€19,,
Lilly France SAS,Médecin,LEDUC XAVIER,28/11/2013,REPAS,€19,,
Lilly France SAS,Médecin,LEDUC XAVIER,28/11/2013,REPAS,€20,,
Lilly France SAS,Médecin,LEDUC XAVIER,22/05/2014,REPAS,€21,,
Lilly France SAS,Médecin,NEUFFER HERMANN,22/05/2014,REPAS,€21,,
Lilly France SAS,Médecin,ROCCA PAUL HENRY,28/11/2013,REPAS,€19,,
Lilly France SAS,Médecin,ROCCA PAUL HENRY,28/11/2013,REPAS,€20,,
Lilly France SAS,Médecin,ROCCA PAUL HENRY,22/05/2014,REPAS,€21,,
LUNDBECK SAS,Médecin,AGUEDO MELANIE,05/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€30,,
LUNDBECK SAS,Médecin,BROSSIER MICHEL,12/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€16,,
LUNDBECK SAS,Médecin,DUCOS FRANCOIS,05/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€30,,
LUNDBECK SAS,Médecin,LEDUC XAVIER,05/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€30,,
LUNDBECK SAS,Médecin,NEUFFER HERMANN,05/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€30,,
LUNDBECK SAS,Médecin,ROCCA PAUL HENRY,05/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€30,,
LVL MEDICAL SUD OUEST,Médecin,CALIOT PHILIPPE,26/06/2014,REPAS,€40,,
MEDA PHARMA,Association professionnel de santé,ADRHOSO,17/12/2013,DONS DE FONCTIONNEMENT,"€1,500",,
MEDEXACT,Médecin,COPPIN MURIELLE,17/06/2013,Autre: [Enquête],€16,,
MEDTRONIC France S.A.S,Médecin,MINIFIE-GIRARD CATHERINE,05/06/2014,HEBERGEMENT,€220,,
MEDTRONIC France S.A.S,Médecin,MINIFIE-GIRARD CATHERINE,05/06/2014,TRANSPORT,€260,,
MEDTRONIC France S.A.S,Médecin,MINIFIE-GIRARD CATHERINE,06/06/2014,REPAS,€14,,
MEDTRONIC France S.A.S,Médecin,MINIFIE-GIRARD CATHERINE,05/06/2014,REPAS,€14,,
MEDTRONIC France S.A.S,Médecin,MINIFIE-GIRARD CATHERINE,05/06/2014,INSCRIPTION,€450,,
MENARINI FRANCE,Médecin,AGUEDO MELANIE,08/10/2013,AUTRE : RNT,€24,,
MENARINI FRANCE,Médecin,CAYLA PIERRE,02/07/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,CAYLA PIERRE,24/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,DUCOS FRANCOIS,08/10/2013,AUTRE : RNT,€24,,
MENARINI FRANCE,Médecin,LEDUC XAVIER,08/10/2013,AUTRE : RNT,€24,,
MENARINI FRANCE,Médecin,NADAL FRANCOIS,20/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,NEUFFER HERMANN,08/10/2013,AUTRE : RNT,€24,,
MENARINI FRANCE,Médecin,ROCCA PAUL HENRY,08/10/2013,AUTRE : RNT,€24,,
MERCK SERONO,Médecin,RAINAUD SIMON SOPHIE,03/10/2013,HÉBERGEMENT,€80,,
MERCK SERONO,Médecin,RAINAUD SIMON SOPHIE,03/10/2013,INVITATIONS,€195,,
MERCK SERONO,Médecin,RAINAUD SIMON SOPHIE,03/10/2013,HÉBERGEMENT,€80,,
MERCK SERONO,Médecin,RAINAUD SIMON SOPHIE,03/10/2013,HÉBERGEMENT,€80,,
Molnlycke Health Care,Infirmier,ARLAUT SANDRINE,12/06/2014,REPAS,€12,,
Molnlycke Health Care,Infirmier,JUTAU ANNE CHRISTINE,12/06/2014,REPAS,€12,,
Molnlycke Health Care,Infirmier,SIMON RICHARD,12/06/2014,REPAS,€12,,
Molnlycke Health Care,Pharmacien,DELERM ISABELLE,12/06/2014,REPAS,€12,,
Molnlycke Health Care,Pharmacien,MONSAINT CORINNE,12/06/2014,REPAS,€12,,
MSD France,Médecin,BOISSERIE LACROIX VINCENT,07/11/2013,REPAS,€54,,
MSD France,Médecin,BOISSERIE LACROIX VINCENT,14/11/2013,HOSPITALITÉ,€570,,
MSD France,Médecin,BOISSERIE LACROIX VINCENT,07/02/2014,REPAS,€36,,
MSD France,Médecin,BOISSERIE LACROIX VINCENT,11/06/2012,REPAS,€40,,
MSD France,Médecin,CADE PATRICK,30/06/2014,REPAS,€16,,
MSD France,Médecin,CADE PATRICK,27/11/2012,REPAS,€40,,
MSD France,Médecin,CADE PATRICK,30/06/2014,REPAS,€16,,
