AbbVie,Médecin,HOULZET GUY,17/06/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERTELOOT CAROLINE,31/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CERDAC ALINA,07/11/2013,REPAS,€16,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CREGNIOT MUYS CAROLINE,05/06/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DACQUIGNY BAUDE LAETITIA,22/05/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DACQUIGNY BAUDE LAETITIA,24/05/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DACQUIGNY BAUDE LAETITIA,22/05/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEKLUNDER PIERRE YVES,12/04/2012,Hospitalité,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELOT JEAN FRANCOIS,19/12/2013,REPAS,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELOT JEAN FRANCOIS,21/03/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUFOSSE LUDOVIC,22/11/2013,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUFOSSE LUDOVIC,24/05/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLUY OLIVIER,22/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLUY OLIVIER,22/05/2014,HEBERGEMENT,€200,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLUY OLIVIER,22/05/2014,TRANSPORT,€324,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLUY OLIVIER,22/05/2014,TRANSPORT,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLUY OLIVIER,22/05/2014,INSCRIPTION,€248,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLUY OLIVIER,23/05/2014,HEBERGEMENT,€200,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HEIM JACQUES,04/10/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HERLEM MUSSCHOOT AURELIE,22/11/2013,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,IBOUANGA FLORENT,02/05/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,IBOUANGA FLORENT,05/12/2013,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,IBOUANGA FLORENT,13/09/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,IBOUANGA FLORENT,19/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KARIMO AMER,13/12/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KARIMO AMER,06/10/2012,Transport,€254,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KARIMO AMER,16/03/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KARIMO AMER,01/02/2013,Inscription,€180,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KHODR ZIAD,29/08/2012,Inscription,€550,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KHODR ZIAD,29/08/2012,Transport,€211,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KHODR ZIAD,05/06/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANDEL-NANSOT ALICE,31/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAUWERIER CHRISTOPHE,16/03/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONTREUIL GHISLAIN,05/12/2013,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONTREUIL GHISLAIN,04/10/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONTREUIL GHISLAIN,13/09/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONTREUIL GHISLAIN,02/05/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOTTEAU CHRISTIAN,20/02/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELERIN MAES SYLVIE,12/04/2012,Hospitalité,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAN HOUCKE GERARD,12/04/2012,Hospitalité,€54,,
LABORATOIRE JALDES,Médecin,Croenen Francis,16/07/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE NOVEX PHARMA,Médecin,CHALTIN MARIE,04/04/2013,Autre : [ INSCRIPTION ],€800,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DELOT JEAN FRANCOIS,11/04/2014,Repas,€23,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LEROY MARTINE,11/04/2014,Repas,€23,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,RITAINE ROLAND,11/04/2014,Repas,€23,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SARASY FRANCOIS,11/04/2014,Repas,€23,,
LABORATOIRES COLOPLAST,Infirmier,BRIOT VIRGINIE,19/01/2014,Autre : Inscription,€90,,
LABORATOIRES COLOPLAST,Infirmier,BRIOT VIRGINIE,19/01/2014,Transport,€80,,
LABORATOIRES COLOPLAST,Infirmier,BRIOT VIRGINIE,19/01/2014,Hébergement,€165,,
LABORATOIRES COLOPLAST,Infirmier,BRIOT VIRGINIE,19/01/2014,Hébergement,€165,,
LABORATOIRES COLOPLAST,Infirmier,LEGRAIN DOMINIQUE,12/05/2014,Repas,€14,,
LABORATOIRES COLOPLAST,Médecin,NOISETTE LOUIS,12/05/2014,Repas,€14,,
LABORATOIRES COLOPLAST,Médecin,RIBEIRO CHRISTOPHE,12/05/2014,Repas,€14,,
LABORATOIRES CONVATEC,Infirmier,RYCKELYNCK SYLVIE,15/11/2013,RESTAURATION,€28,,
Laboratoires Grünenthal SAS,Médecin,DEKLUNDER PIERRE YVES,06/05/2014,REPAS,€55,,
LABORATOIRES MAYOLY SPINDLER,Médecin,AL GHOSSAINI Najib,30/05/2014,HEBERGEMENT,€230,,
LABORATOIRES MAYOLY SPINDLER,Médecin,AL GHOSSAINI Najib,30/05/2014,TRANSPORT,€130,,
LABORATOIRES MAYOLY SPINDLER,Médecin,AL GHOSSAINI Najib,30/05/2014,HOSPITALITE,€70,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,M BAREK MAJID,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,NOTTEAU CHRISTIAN,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,BAL KATHY,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,GERNEZ FABIENNE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,HARDY ANTOINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,MAILLARD AMELIE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,PANFIL DELPHINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,ROBIN EILEEN,01/12/2013,CADEAUX,€15,,
LEO Pharma,Infirmier,BEAUCHAMP MYRIAM,20/06/2013,REPAS,€14,,
LEO Pharma,Infirmier,DUBERNARD CORINNE,20/06/2013,REPAS,€14,,
LEO Pharma,Infirmier,FEVRIER MARTINE,20/06/2013,REPAS,€14,,
LEO Pharma,Médecin,CAPELLE MONNOT CLAIRE,20/06/2013,REPAS,€14,,
LEO Pharma,Médecin,MONNOT HENRY,20/06/2013,REPAS,€14,,
LES LABORATOIRES SERVIER,Médecin,SCHIETTECATTE JEAN,05/12/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,SCHIETTECATTE JEAN,06/02/2014,Repas,€56,,
LFB BIOMEDICAMENTS,Médecin,AL GHOSSAINI NAJIB,14/03/2014,Transport,€91,,
LFB BIOMEDICAMENTS,Médecin,AL GHOSSAINI NAJIB,14/03/2014,Autre,€210,,
LFB BIOMEDICAMENTS,Pharmacien,LECLERCQ DEVILLERS FLORENCE,16/01/2014,Hébergement,€141,,
LFB BIOMEDICAMENTS,Pharmacien,LECLERCQ DEVILLERS FLORENCE,17/01/2014,Repas,€64,,
LFB BIOMEDICAMENTS,Pharmacien,LECLERCQ DEVILLERS FLORENCE,16/01/2014,Transport,€464,,
LFB BIOMEDICAMENTS,Pharmacien,LECLERCQ DEVILLERS FLORENCE,16/01/2014,Repas,€122,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,24/01/2014,TRANSPORT,€69,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,24/01/2014,HÉBERGEMENT,€215,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,23/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,24/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,23/01/2014,TRANSPORT,€11,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,05/10/2013,AUTRE : [INSCRIPTION CONGRÈS SCIENTIFIQUE],€400,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,05/10/2013,AUTRE : [INSCRIPTION CONGRÈS SCIENTIFIQUE],€400,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,05/10/2013,TRANSPORT,€69,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,05/10/2013,HÉBERGEMENT,€630,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,02/10/2013,TRANSPORT,€69,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,23/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,24/01/2014,HÉBERGEMENT,€215,,
Lilly France SAS,Médecin,AHMAD HASSAN RIMA,23/01/2014,TRANSPORT,€69,,
Lilly France SAS,Médecin,BONNET MATHILDE,26/09/2013,REPAS,€50,,
Lilly France SAS,Médecin,COUTURIER CHRISTOPHE,17/07/2013,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€28,,
Lilly France SAS,Médecin,DUCROCQ VINCENT,04/10/2013,REPAS,€24,,
Lilly France SAS,Médecin,DUCROCQ VINCENT,04/10/2013,REPAS,€24,,
Lilly France SAS,Médecin,IBOUANGA FLORENT,14/02/2014,REPAS,€18,,
Lilly France SAS,Médecin,IBOUANGA FLORENT,14/02/2014,REPAS,€18,,
Lilly France SAS,Médecin,KARIMO AMER,04/04/2014,REPAS,€56,,
Lilly France SAS,Médecin,KARIMO AMER,04/04/2014,REPAS,€10,,
Lilly France SAS,Médecin,KARIMO AMER,04/04/2014,HÉBERGEMENT,€168,,
Lilly France SAS,Médecin,KARIMO AMER,03/04/2014,REPAS,€46,,
Lilly France SAS,Médecin,KARIMO AMER,04/04/2014,REPAS,€10,,
Lilly France SAS,Médecin,KHODR ZIAD,21/05/2014,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€229,,
Lilly France SAS,Médecin,KHODR ZIAD,17/07/2013,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€370,,
Lilly France SAS,Médecin,KHODR ZIAD,05/12/2013,AUTRE : [INSCRIPTION CONGRÈS SCIENTIFIQUE],€280,,
Lilly France SAS,Médecin,KHODR ZIAD,04/04/2014,AUTRE : [INSCRIPTION CONGRÈS SCIENTIFIQUE],€330,,
Lilly France SAS,Médecin,KHODR ZIAD,21/05/2014,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€229,,
Lilly France SAS,Médecin,KHODR ZIAD,04/04/2014,TRANSPORT,€16,,
Lilly France SAS,Médecin,KHODR ZIAD,29/01/2014,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€60,,
Lilly France SAS,Médecin,KHODR ZIAD,04/04/2014,HÉBERGEMENT,€408,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,14/02/2014,REPAS,€18,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,23/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,24/01/2014,TRANSPORT,€92,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,24/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,23/01/2014,REPAS,€60,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,23/01/2014,TRANSPORT,€11,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,24/01/2014,HÉBERGEMENT,€215,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,23/01/2014,TRANSPORT,€92,,
Lilly France SAS,Médecin,MONTREUIL GHISLAIN,14/02/2014,REPAS,€18,,
Lilly France SAS,Médecin,VAN HOUCKE GERARD,07/11/2013,REPAS,€60,,
Lilly France SAS,Pharmacien,FLANDRIN LAURENCE,11/12/2013,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€60,,
Lilly France SAS,Pharmacien,FLANDRIN LAURENCE,04/10/2013,AUTRE : [INSCRIPTION CONGRÈS SCIENTIFIQUE],€360,,
Lilly France SAS,Pharmacien,FLANDRIN LAURENCE,04/10/2013,TRANSPORT,€20,,
Lilly France SAS,Pharmacien,FLANDRIN LAURENCE,04/10/2013,HÉBERGEMENT,€180,,
LUNDBECK SAS,Médecin,DELOT JEAN FRANCOIS,01/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€46,,
LUNDBECK SAS,Médecin,DERVITE VAUSSOUE FREDERIQUE,01/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€46,,
LUNDBECK SAS,Médecin,LEROY MARTINE,01/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€46,,
LUNDBECK SAS,Médecin,RITAINE ROLAND,01/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€46,,
LUNDBECK SAS,Médecin,SARASY FRANCOIS,01/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€46,,
LUNDBECK SAS,Médecin,SARASY FRANCOIS,19/03/2014,AUTRE : HOSPITALITE,€983,,
MEDEXACT,Médecin,CAPELLE MONNOT CLAIRE,05/07/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,HERAIL THIERRY,30/04/2013,Autre: [Enquête],€30,,
MEDEXACT,Médecin,IBOUANGA FLORENT,05/07/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,KARIMO AMER,11/07/2013,Autre: [Enquête],€26,,
MEDEXACT,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,11/03/2013,Autre: [Enquête],€26,,
MEDEXACT,Médecin,MONTREUIL GHISLAIN,05/12/2013,Autre: [Enquête],€14,,
MEDTRONIC France S.A.S,Médecin,GUETTARI RABBAH,22/11/2013,REPAS,€30,,
MEDTRONIC France S.A.S,Médecin,GUETTARI RABBAH,16/01/2014,REPAS,€59,,
MENARINI FRANCE,Médecin,DEKLUNDER PIERRE YVES,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,DEKLUNDER PIERRE YVES,24/05/2014,Hébergement,€127,,
MENARINI FRANCE,Médecin,KECHTBAN MOHAMAD,04/03/2014,Autre : [Restauration],€37,,
MENARINI FRANCE,Médecin,KECHTBAN MOHAMAD,07/10/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,NKANA DAVID HERVE,07/10/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,NKANA TEMATIO DAVID HERVE,04/03/2014,Autre : [Restauration],€37,,
MERCK SERONO,Médecin,FERTE DELBENDE CLAIRE,27/03/2014,REPAS,€16,,
MERCK SERONO,Médecin,FERTE DELBENDE CLAIRE,24/10/2013,REPAS,€53,,
MERCK SERONO,Médecin,FERTE DELBENDE CLAIRE,20/06/2014,REPAS,€50,,
MERCK SERONO,Médecin,FERTE DELBENDE CLAIRE,20/06/2014,REPAS,€12,,
MERCK SERONO,Médecin,LEURENT BRUNO,03/09/2013,REPAS,€42,,
MERCK SERONO,Médecin,MONTREUIL GHISLAIN,28/09/2013,REPAS,€46,,
MSD France,Infirmier,BEAUCHAMP MYRIAM,29/04/2014,REPAS,€28,,
MSD France,Infirmier,CARON PATRICIA,28/06/2012,REPAS,€20,,
MSD France,Infirmier,DECOBERT MICHAEL,14/05/2013,REPAS,€28,,
MSD France,Médecin,AHMAD HASSAN RIMA,20/02/2014,REPAS,€58,,
MSD France,Médecin,AHMAD HASSAN RIMA,13/02/2014,REPAS,€60,,
MSD France,Médecin,AHMAD HASSAN RIMA,13/02/2014,TRANSPORT,€202,,
MSD France,Médecin,AHMAD HASSAN RIMA,12/02/2014,HÉBERGEMENT,€378,,
MSD France,Médecin,AHMAD HASSAN RIMA,11/03/2014,TRANSPORT,€194,,
MSD France,Médecin,AHMAD HASSAN RIMA,13/02/2014,INSCRIPTION,€335,,
MSD France,Médecin,AHMAD HASSAN RIMA,11/03/2014,INSCRIPTION,€310,,
MSD France,Médecin,AHMAD HASSAN RIMA,12/03/2014,REPAS,€58,,
MSD France,Médecin,AHMAD HASSAN RIMA,13/03/2014,REPAS,€60,,
MSD France,Médecin,AHMAD HASSAN RIMA,11/03/2014,HÉBERGEMENT,€690,,
MSD France,Médecin,AL GHOSSAINI NAJIB,29/04/2014,REPAS,€28,,
MSD France,Médecin,AL GHOSSAINI NAJIB,25/06/2014,INSCRIPTION,€715,,
MSD France,Médecin,AL GHOSSAINI NAJIB,29/04/2014,REPAS,€28,,
MSD France,Médecin,BIGO ANNE SOPHIE,08/03/2013,REPAS,€27,,
MSD France,Médecin,BOILEAU ANTOINE,15/10/2013,REPAS,€55,,
MSD France,Médecin,BOULANGER PHILIPPE,27/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,BRULLARD BENOIT,01/06/2013,HOSPITALITÉ,€52,,
MSD France,Médecin,CACCIAPALLE FLAVIEN,29/04/2014,REPAS,€28,,
MSD France,Médecin,CANOEN PASCAL,03/07/2013,REPAS,€21,,
MSD France,Médecin,CAPELLE MONNOT CLAIRE,26/06/2013,HOSPITALITÉ,"€1,799",,
MSD France,Médecin,CAPELLE MONNOT CLAIRE,14/05/2013,REPAS,€28,,
MSD France,Médecin,CAPPE MATHILDE,26/09/2013,REPAS,€21,,
MSD France,Médecin,CAUCHIE MAXIME,01/06/2012,HOSPITALITE,€53,,
MSD France,Médecin,CAUCHIE MAXIME,22/11/2013,REPAS,€55,,
MSD France,Médecin,CHANTREL GAUTHIER,25/03/2014,REPAS,€56,,
MSD France,Médecin,CHIVORET SEBASTIEN,27/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,COCHE CAROLINE,05/12/2013,REPAS,€20,,
MSD France,Médecin,DACQUIGNY BAUDE LAETITIA,26/09/2013,REPAS,€21,,
MSD France,Médecin,DACQUIGNY BAUDE LAETITIA,11/04/2013,HOSPITALITÉ,€31,,
MSD France,Médecin,DACQUIGNY BAUDE LAETITIA,31/01/2012,REPAS,€17,,
MSD France,Médecin,DACQUIGNY BAUDE LAETITIA,05/12/2013,REPAS,€20,,
MSD France,Médecin,DEHAENE CHLOE,28/02/2012,REPAS,€18,,
MSD France,Médecin,DEKLUNDER PIERRE YVES,24/01/2014,REPAS,€38,,
MSD France,Médecin,DEKLUNDER PIERRE YVES,11/10/2012,REPAS,€58,,
MSD France,Médecin,DEKLUNDER PIERRE YVES,13/03/2014,REPAS,€39,,
MSD France,Médecin,DEKLUNDER PIERRE YVES,10/05/2012,REPAS,€60,,
MSD France,Médecin,DEKLUNDER PIERRE YVES,13/03/2012,HOSPITALITE,€55,,
MSD France,Médecin,DEKLUNDER PIERRE YVES,26/06/2012,REPAS,€60,,
MSD France,Médecin,DELESALLE ANNE SOPHIE,22/05/2014,REPAS,€30,,
MSD France,Médecin,DELESALLE ANNE SOPHIE,11/05/2012,REPAS,€29,,
MSD France,Médecin,D HOINE PATRICK,09/06/2012,HOSPITALITE,€59,,
MSD France,Médecin,DIARRA DAOUDA,18/12/2013,TRANSPORT,€106,,
MSD France,Médecin,DIARRA DAOUDA,18/12/2013,INSCRIPTION,€650,,
MSD France,Médecin,DILLIES NATACHA,09/02/2012,REPAS,€15,,
MSD France,Médecin,DJAZET CLAIRE,19/03/2014,INSCRIPTION,€474,,
MSD France,Médecin,DJAZET CLAIRE,18/10/2013,REPAS,€26,,
MSD France,Médecin,DUCROCQ VINCENT,22/05/2013,HOSPITALITÉ,€16,,
MSD France,Médecin,EFTEKHARI HASSANLOUI SASAN,07/06/2012,REPAS,€51,,
MSD France,Médecin,FERTE DELBENDE CLAIRE,04/07/2013,REPAS,€30,,
MSD France,Médecin,FERTE DELBENDE CLAIRE,01/04/2014,REPAS,€63,,
MSD France,Médecin,FERTE DELBENDE CLAIRE,24/05/2012,HOSPITALITE,€50,,
MSD France,Médecin,FERTE DELBENDE CLAIRE,24/05/2012,HOSPITALITE,€50,,
MSD France,Médecin,FERTE DELBENDE CLAIRE,01/04/2014,REPAS,€63,,
MSD France,Médecin,FERTE DELBENDE CLAIRE,04/07/2013,REPAS,€30,,
MSD France,Médecin,FLANDRIN MARIE ANGE,11/04/2013,HOSPITALITÉ,€31,,
MSD France,Médecin,FLIPO SOPHIE,15/05/2012,REPAS,€16,,
MSD France,Médecin,FOUR GWLADYS,06/03/2014,REPAS,€35,,
MSD France,Médecin,GILLET ALINE,17/05/2013,REPAS,€20,,
MSD France,Médecin,GRAFF DRUANT CAROLINE,14/05/2013,REPAS,€28,,
MSD France,Médecin,GUETTARI RABBAH,31/01/2012,REPAS,€17,,
MSD France,Médecin,GUILLUY OLIVIER,13/03/2012,HOSPITALITE,€55,,
MSD France,Médecin,HENDRYCKS ANTHONY,05/12/2013,REPAS,€20,,
MSD France,Médecin,HOFF JULIE,25/03/2014,REPAS,€56,,
MSD France,Médecin,HUYART DOMINIQUE,05/12/2013,REPAS,€20,,
MSD France,Médecin,IBOUANGA FLORENT,04/02/2014,REPAS,€55,,
MSD France,Médecin,IBOUANGA FLORENT,21/05/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,IBOUANGA FLORENT,27/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,IBOUANGA FLORENT,11/04/2013,HOSPITALITÉ,€31,,
MSD France,Médecin,IBOUANGA FLORENT,14/05/2013,REPAS,€28,,
MSD France,Médecin,IBOUANGA FLORENT,31/01/2012,REPAS,€17,,
MSD France,Médecin,IBOUANGA FLORENT,26/09/2013,REPAS,€21,,
MSD France,Médecin,IOOS EMMANUELLE,15/10/2013,REPAS,€50,,
MSD France,Médecin,ISMAEL NATHALIE,09/02/2012,REPAS,€15,,
MSD France,Médecin,JOUET EMILIE,14/10/2013,REPAS,€14,,
MSD France,Médecin,JOURDAIN CAMILLE,26/09/2013,REPAS,€21,,
MSD France,Médecin,KLOUDA AURORE,21/02/2014,REPAS,€25,,
MSD France,Médecin,KOURDANE NAWEL,21/05/2012,REPAS,€24,,
MSD France,Médecin,LE BOT NICOLAS,21/02/2014,REPAS,€25,,
MSD France,Médecin,LE BOT NICOLAS,11/04/2013,HOSPITALITÉ,€31,,
MSD France,Médecin,LEFEBVRE YANN,21/02/2014,REPAS,€25,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,05/03/2013,REPAS,€39,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,06/12/2013,INSCRIPTION,€450,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,17/04/2014,REPAS,€47,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,06/12/2013,HOSPITALITÉ,€123,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,07/01/2014,REPAS,€29,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,20/03/2014,HÉBERGEMENT,€440,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,20/03/2014,TRANSPORT,€136,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,18/09/2012,REPAS,€20,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,01/02/2013,REPAS,€18,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,27/08/2013,REPAS,€23,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,04/04/2014,REPAS,€21,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,27/08/2013,REPAS,€23,,
MSD France,Médecin,LEROY DOUCY MARYVONNE,04/04/2014,REPAS,€21,,
MSD France,Médecin,LEURENT BRUNO,29/04/2014,REPAS,€28,,
MSD France,Médecin,LEURENT BRUNO,14/11/2013,INSCRIPTION,€450,,
MSD France,Médecin,MALEFOU BOLONGO MIREILLE,09/04/2014,REPAS,€55,,
MSD France,Médecin,MALEFOU BOLONGO MIREILLE,05/12/2013,REPAS,€20,,
MSD France,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,05/12/2013,REPAS,€20,,
MSD France,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,31/01/2012,REPAS,€17,,
MSD France,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,11/04/2013,HOSPITALITÉ,€31,,
MSD France,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,12/06/2013,HOSPITALITÉ,€495,,
MSD France,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,09/06/2012,HOSPITALITE,€59,,
MSD France,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,26/09/2013,REPAS,€21,,
MSD France,Médecin,MEPLON CLAIRE,17/09/2013,REPAS,€60,,
MSD France,Médecin,MERLIER JULIE,11/04/2013,HOSPITALITE,€31,,
MSD France,Médecin,MEURILLON SOPHIE,27/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,MONNOT HENRY,29/04/2014,REPAS,€28,,
MSD France,Médecin,MONTREUIL GHISLAIN,26/06/2012,REPAS,€60,,
MSD France,Médecin,MONTREUIL GHISLAIN,07/06/2012,REPAS,€51,,
MSD France,Médecin,MONTREUIL GHISLAIN,15/05/2014,REPAS,€55,,
MSD France,Médecin,MONTREUIL GHISLAIN,26/09/2013,REPAS,€21,,
MSD France,Médecin,MONTREUIL GHISLAIN,11/04/2013,HOSPITALITÉ,€31,,
MSD France,Médecin,MOREAU DELPHINE,11/04/2013,HOSPITALITÉ,€31,,
MSD France,Médecin,PELERIN MAES SYLVIE,10/05/2012,REPAS,€60,,
MSD France,Médecin,READ JOANNA,27/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,ROBART PLAYEZ ELODIE,30/05/2013,HOSPITALITE,€52,,
MSD France,Médecin,ROBART PLAYEZ ELODIE,15/10/2013,REPAS,€50,,
MSD France,Médecin,ROBART PLAYEZ ELODIE,11/10/2012,HOSPITALITE,€55,,
MSD France,Médecin,SANOUSSI GOUNA AFIWAVI,13/03/2012,HOSPITALITE,€55,,
MSD France,Médecin,SANOUSSI GOUNA AFIWAVI,09/02/2012,REPAS,€15,,
MSD France,Médecin,TANCREZ MARIE,25/03/2014,REPAS,€56,,
MSD France,Médecin,VAN HOUCKE GERARD,11/10/2012,REPAS,€58,,
MSD France,Médecin,VANLERBERGHE RUDY,27/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,VANLERBERGHE RUDY,07/06/2012,REPAS,€51,,
MSD France,Médecin,ZIECIK ADRIANA,11/04/2013,HOSPITALITÉ,€31,,
MSD France,Pharmacien,FLANDRIN LAURENCE,14/05/2013,REPAS,€28,,
