3M France,Chirurgien-dentiste,BAILLY THOMAS,29/10/2013,REPAS,€47,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RAMIANDRASOA EUGENE,30/04/2013,HOSPITALITE,€35,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TOURE IDRISSA,10/12/2013,HOSPITALITE,€38,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ZEMMOURA MOURAD,28/11/2013,HOSPITALITE,€53,,
BOIRON,Médecin,NURIT DOMINIQUE,28/11/2013,[REPAS],€50,,
BRACCO IMAGING FRANCE,Médecin,BISET JEAN MARIE,13/05/2014,REPAS,€23,,
BRISTOL-MYERS SQUIBB,Médecin,ALLART JEAN MAURICE,03/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,BEN ROMDHANE BOUTHEINA,03/06/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,DURAND MANJARD FREDERIQUE,03/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,HOOCK JACQUES,03/06/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,JEAN MICHEL VIRON PATRICIA,03/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,LA TORRE IRAM,12/03/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,LEFEVRE CHRISTOPHE,04/03/2014,Repas,€48,,
BRISTOL-MYERS SQUIBB,Médecin,LEFEVRE CHRISTOPHE,03/10/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LEFEVRE CHRISTOPHE,26/09/2013,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,MANIUC LILIANA,03/06/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,MIMOUN ALBERT,03/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,PACAN RADOSLAW,03/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,PERRIN FRANCOIS,03/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,PINSON MICHEL,03/06/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,TOURE IDRISSA,07/04/2014,Repas,€34,,
BRISTOL-MYERS SQUIBB,Sage-femme,DUROCHER JENNIFER,03/06/2014,Repas,€38,,
Carl Zeiss Meditec France,Médecin,CHAUVIN PHILIPPE,19/10/2013,INVITATIONS,€66,,
Carl Zeiss Meditec France,Médecin,CHEVREAU LIONEL,20/11/2013,REPAS,€26,,
Carl Zeiss Meditec France,Médecin,CHEVREAUD LIONEL,23/06/2014,REPAS,€35,,
Carl Zeiss Meditec France,Médecin,CHEVREAUD LIONEL,19/10/2013,INVITATIONS,€66,,
Carl Zeiss Meditec France,Médecin,CHEVREAUD LIONEL,08/01/2014,REPAS,€30,,
Carl Zeiss Meditec France,Médecin,CHEVREAUD LIONEL,19/02/2014,REPAS,€25,,
CELGENE,Infirmier,BARRAT SYLVIE,08/01/2014,REPAS REUNION HOSPITALIERE,€28,,
CELGENE,Infirmier,BARRAT SYLVIE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,CAVRE SEVERINE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,COUSIN JOCELYNE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,COUSIN JOCELYNE,06/06/2014,REPAS REUNION SCIENTIFIQUE,€80,,
CELGENE,Infirmier,COUSIN JOCELYNE,06/06/2014,TRANSPORT,€62,,
CELGENE,Infirmier,COUSIN JOCELYNE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,FLAVIGNARD SYLVIE,08/01/2014,REPAS REUNION HOSPITALIERE,€28,,
CELGENE,Infirmier,FLAVIGNARD SYLVIE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,JALAIN GENEVIEVE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,LEBAS VALÉRIE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,LEROY MARTINE,08/01/2014,REPAS REUNION HOSPITALIERE,€28,,
CELGENE,Infirmier,LEROY MARTINE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,LEROY SANDRA,08/01/2014,REPAS REUNION HOSPITALIERE,€28,,
CELGENE,Infirmier,MINOST ISABELLE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Infirmier,MINOST ISABELLE,08/01/2014,REPAS REUNION HOSPITALIERE,€28,,
CELGENE,Médecin,ANDRIAMIHAJA HONORAT,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Médecin,PARAISO DESIRE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Médecin,PARAISO DESIRE,06/06/2014,HEBERGEMENT,€230,,
CELGENE,Médecin,PARAISO DESIRE,06/06/2014,TRANSPORT,€39,,
CELGENE,Médecin,PARAISO DESIRE,06/06/2014,REPAS REUNION SCIENTIFIQUE,€80,,
CELGENE,Médecin,PARAISO DESIRE,08/01/2014,REPAS REUNION HOSPITALIERE,€28,,
CELGENE,Médecin,VILAIN CHRISTIAN,08/01/2014,REPAS REUNION HOSPITALIERE,€28,,
CELGENE,Médecin,VILAIN CHRISTIAN,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Pharmacien,DROUARD STEPHANE,02/04/2014,REPAS REUNION HOSPITALIERE,€26,,
CELGENE,Pharmacien,FEVRE FELIX,08/01/2014,REPAS REUNION HOSPITALIERE,€28,,
Cepheid Europe SAS,Médecin,Mentz Frank,21/03/2013,Hébergement,€150,,
CHIESI SA,Médecin,DE OLIVEIRA JOSE,17/02/2014,Repas,€28,,
CHUGAI PHARMA FRANCE,Association professionnel de santé,ASSOCIATION MARIE CURIE DE CANCEROLOGIE DE MONTARGIS,10/12/2013,DONS,"€15,000",,
CHUGAI PHARMA FRANCE,Infirmier,MAGNIN NICOLE,25/06/2013,TRANSPORT,€108,,
CHUGAI PHARMA FRANCE,Infirmier,MAGNIN NICOLE,25/06/2013,TRANSPORT,€13,,
CHUGAI PHARMA FRANCE,Infirmier,MAGNIN NICOLE,25/06/2013,REPAS,€27,,
CHUGAI PHARMA FRANCE,Médecin,LACH MACIEJ,01/10/2013,REPAS,€14,,
colgate palmolive,Chirurgien-dentiste,LAURENCE ROBIN BERLAND,02/01/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,NATHAN PATRICE,02/01/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,CHARLES JEAN FRANCOIS,15/03/2014,REPAS,€40,,
COOPERVISION SAS,Opticien-lunetier,AILLET DAMIEN,11/02/2014,REPAS,€58,,
COOPERVISION SAS,Opticien-lunetier,ERBATI NOUR,11/02/2014,REPAS,€58,,
COOPERVISION SAS,Opticien-lunetier,GILLET THIERRY,11/02/2014,REPAS,€58,,
COOPERVISION SAS,Opticien-lunetier,LONGUET SYLVESTRE,11/02/2014,REPAS,€58,,
COOPERVISION SAS,Opticien-lunetier,PINTO JOEL,11/02/2014,REPAS,€58,,
COOPERVISION SAS,Opticien-lunetier,PROFFIT ANNE CAROLINE,11/02/2014,REPAS,€58,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLEMENT NATHALIE,10/12/2013,HOSPITALITE,€65,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JULIA DEBORAH,10/12/2013,HOSPITALITE,€65,,
CRISTALENS SA,Médecin,CHEVREAUD Lionel,02/04/2014,Hospitalité,"€2,550",,
CRISTALENS SA,Médecin,CHEVREAUD Lionel,28/10/2013,Repas,€11,,
DAIICHI SANKYO FRANCE SAS,Médecin,BENIA KAMEL,05/12/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,CATHALA PATRICK,28/09/2013,Hospitalité,€250,,
DAIICHI SANKYO FRANCE SAS,Médecin,DURAND MANJARD FREDERIQUE,05/12/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,MEDDAH DJAMEL,10/01/2014,Repas,€21,,
DAIICHI SANKYO FRANCE SAS,Médecin,MIMOUN ALBERT,05/12/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,PERRIN FRANCOIS,05/12/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ZEMMOURA MOURAD,05/12/2013,Repas,€45,,
DENTSPLY Implants,Chirurgien-dentiste,DENISE ALAIN,26/09/2013,REPAS,€71,,
DENTSPLY Implants,Chirurgien-dentiste,GOZE PIERRE-EMMANUEL,26/09/2013,REPAS,€71,,
DIAGNOSTICA STAGO,Médecin,MENTZ FRANCK,12/02/2014,REPAS,€31,,
DIAGNOSTICA STAGO,Médecin,MENTZ FRANCK,24/07/2013,REPAS,€30,,
DINNO SANTE,Association professionnel de santé,ASSOCIATION AFEMN,09/01/2014,Dons de fonctionnement,"€1,000",,
DINNO SANTE,Association professionnel de santé,"Association pour la Formation Endocrinologique, Métabolique et Nutritionnelle de l'agglomération Montargeoise",29/05/2012,Don monétaire,"€1,300",,
DINNO SANTE,Association professionnel de santé,"Association pour la Formation Endocrinologique, Métabolique et Nutritionnelle de l'agglomération Montargeoise",17/04/2012,Don monétaire,"€1,000",,
DINNO SANTE,Infirmier,GILET Catherine,28/03/2013,Société Française de Diabétologie : Diner 1 jour,€60,,
DINNO SANTE,Infirmier,GILET Catherine,29/03/2013,Société Française de Diabétologie : Inscription,€300,,
DINNO SANTE,Infirmier,GILET Catherine,29/03/2013,Société Française de Diabétologie : Hébergement 3 nuits,€417,,
DINNO SANTE,Infirmier,GILET CATHERINE,17/12/2013,DEJEUNER,€67,,
DINNO SANTE,Infirmier,GILET Catherine,29/03/2013,Société Française de Diabétologie : Inscription,€300,,
DINNO SANTE,Médecin,LAGARDE Fabrice,10/02/2012,ATTD : Inscription,€375,,
DINNO SANTE,Médecin,LAGARDE FABRICE,06/02/2014,Repas,€43,,
DINNO SANTE,Médecin,LAGARDE FABRICE,02/02/2014,Transport,€183,,
DINNO SANTE,Médecin,LAGARDE FABRICE,02/02/2014,Hébergement,€360,,
DINNO SANTE,Médecin,LAGARDE FABRICE,02/02/2014,Inscription,€430,,
DINNO SANTE,Médecin,LAGARDE Fabrice,02/03/2013,ATTD Paris : Transport,€39,,
DINNO SANTE,Médecin,LAGARDE Fabrice,02/03/2013,ATTD Paris : Inscription,€375,,
DINNO SANTE,Médecin,LAGARDE Fabrice,02/03/2013,ATTD Paris : Hébergement 3 nuits,€555,,
DINNO SANTE,Médecin,LAGARDE Fabrice,10/02/2012,Formation SEPPIA: Hébergement,€570,,
DJO France SAS,Masseur-kinésithérapeute,MARTINEZ RICHARD,04/04/2014,Repas,€35,,
EFFIK,Médecin,CHANU BULA BRIGITTE,01/04/2014,REPAS,€48,,
EFFIK,Médecin,LEROUX HERVE,01/04/2014,REPAS,€48,,
EFFIK,Médecin,YACOUB WILLIAM,01/04/2014,REPAS,€48,,
ELIA MEDICAL PARIS OUEST,Médecin,DAHER MALEK,16/06/2014,RESTAURATION,€70,,
ELIA MEDICAL PARIS OUEST,Médecin,TARHINI ZIAD,16/06/2014,RESTAURATION,€70,,
ESAOTE Medical,Médecin,ALLART Jean-Maurice,20/03/2014,REPAS,€46,,
Essilor,Opticien-lunetier,LONGUET Sylvestre,15/02/2013,Invitation a dejeuner ou diner,€264,,
EUROPHTA,Médecin,CHAUVIN PHILIPPE,28/04/2014,REPAS,€18,,
EUROPHTA,Médecin,CHEVREAUD LIONEL,28/04/2014,REPAS,€18,,
EUROPHTA,Médecin,OUBRAHAM MEBROUKINE HASSIBA,14/03/2014,REPAS,€55,,
EXACTECH FRANCE SAS,Médecin,HUBERT LAURENT,03/04/2014,Transport,€110,,
EXACTECH FRANCE SAS,Médecin,HUBERT LAURENT,03/04/2014,Transport,€20,,
FERRING SAS,Infirmier,CONSTANT SANDRINE,11/10/2013,Repas,€24,,
FERRING SAS,Infirmier,GIRAUDEL AUDE,11/10/2013,Repas,€24,,
FERRING SAS,Infirmier,GOUX EMILIE,11/10/2013,Repas,€24,,
FERRING SAS,Infirmier,HOUY CLAUDETTE,11/10/2013,Repas,€24,,
FERRING SAS,Infirmier,PROVOST RACHEL,11/10/2013,Repas,€24,,
FERRING SAS,Médecin,AGOUTE ERIC,11/10/2013,Repas,€24,,
FERRING SAS,Médecin,AGOUTE ERIC,03/04/2014,Repas,€25,,
FERRING SAS,Médecin,AZIZ JOUAN,11/10/2013,Repas,€24,,
FERRING SAS,Médecin,EL BRAKS ROLAND,11/10/2013,Repas,€24,,
FERRING SAS,Médecin,HOOCK JACQUES,17/10/2013,Repas,€11,,
FERRING SAS,Médecin,POPA RADU,11/10/2013,Repas,€24,,
FH ORTHOPEDICS,Médecin,MEUNIER BERTRAND,13/11/2012,Repas,€14,,
FH ORTHOPEDICS,Médecin,MEUNIER BERTRAND,13/11/2012,Repas,€38,,
FRESENIUS KABI FRANCE,Médecin,EL BRAKS ROLAND,29/10/2013,REPAS,€22,,
Fresenius Medical Care France S.A.S.,Infirmier,AGUPAR KATIA,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,ARCHAUX ALEXANDRA,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,BALLAIS STEPHANIE,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,BOUVIER LAURA,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,CARNIEL MOUNA,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,CHEWEN ELISABETH,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,EZERWINSKI FLORENCE,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,FEURE AURELIEN,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,GAMBLIN YANIQUE,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,GRAEFF MARJOLAINE,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,HUET SOILINE,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,LESEURE CATHERINE,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,VIALIS ALEXANDRA,07/05/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Médecin,COSTEL GHANIA,07/05/2014,REPAS,€19,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,GOMBAULT SANDRA,24/03/2014,REPAS PROFESSIONNEL,€46,,
GE Medical Systems SCS,Manipulateur d’électroradiologie médicale,MAROLLES NADINE,24/03/2014,REPAS PROFESSIONNEL,€46,,
GE Medical Systems SCS,Médecin,ARAKELIAN PASCAL,16/04/2014,REPAS PROFESSIONNEL,€27,,
GE Medical Systems SCS,Médecin,CAILLET HUBERT,16/04/2014,REPAS PROFESSIONNEL,€27,,
GE Medical Systems SCS,Médecin,CLAVEYROLLES MARC,01/04/2014,REPAS PROFESSIONNEL,€41,,
GIE DIALYSE SERVICES,Médecin,AMARA Brahim,03/10/2013,Repas,€39,,
GIE DIALYSE SERVICES,Médecin,AMARA Brahim,03/10/2013,Avion,€445,,
GIE DIALYSE SERVICES,Médecin,COSTEL Ghania,03/07/2013,Repas,€25,,
GIE DIALYSE SERVICES,Pharmacien,KELLER Michel,19/12/2013,Repas,€42,,
GIE DIALYSE SERVICES,Pharmacien,KELLER Michel,26/11/2013,Repas,€38,,
GILEAD SCIENCES,Infirmier,ORTIZ SANDRINE,24/01/2014,REPAS,€19,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,05/09/2013,REPAS,€18,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,10/04/2014,REPAS,€79,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,13/03/2014,REPAS,€18,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,16/01/2014,REPAS,€16,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,24/09/2013,REPAS,€22,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,16/10/2013,INSCRIPTION,€620,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,16/10/2013,REPAS,€200,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,16/10/2013,HEBERGEMENT,€790,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,16/10/2013,TRANSPORT,€304,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,30/01/2014,REPAS,€19,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,24/10/2013,REPAS,€23,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,19/09/2013,REPAS,€82,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,05/06/2014,REPAS,€17,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,24/04/2014,REPAS,€31,,
GILEAD SCIENCES,Médecin,LA TORRE IRAM,10/02/2014,REPAS,€71,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,ELOUAREK SOFIANE,17/12/2013,Repas,€28,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,ELOUAREK SOFIANE,02/06/2014,Repas,€29,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LUISETTI JULIEN,18/10/2013,Repas,€50,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LUISETTI JULIEN,12/06/2013,Repas,€29,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,OLIVIER CHRISTOPHE,25/02/2014,Repas,€19,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,POIROT SEBASTIEN,03/06/2014,Repas,€20,,
GUERBET France,Manipulateur d’électroradiologie médicale,MAROLLES NADINE,28/11/2013,AUTRE : PACKAGE,"€2,740",,
GUERBET France,Manipulateur d’électroradiologie médicale,MAROLLES NADINE,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Manipulateur d’électroradiologie médicale,MAROLLES NADINE,28/11/2013,TRANSPORT,€50,,
GUERBET France,Manipulateur d’électroradiologie médicale,MAROLLES NADINE,28/11/2013,HEBERGEMENT,€90,,
GUERBET France,Manipulateur d’électroradiologie médicale,PINEAU CELINE,05/04/2014,AUTRE : ASSURANCE TRANSPORT,€11,,
GUERBET France,Manipulateur d’électroradiologie médicale,PINEAU CELINE,05/04/2014,TRANSPORT,€218,,
GUERBET France,Manipulateur d’électroradiologie médicale,PINEAU CELINE,05/04/2014,HEBERGEMENT,€150,,
GUERBET France,Manipulateur d’électroradiologie médicale,PINEAU CELINE,05/04/2014,HEBERGEMENT,€153,,
GUERBET France,Manipulateur d’électroradiologie médicale,TORRES AURELIE,05/04/2014,TRANSPORT,€218,,
GUERBET France,Manipulateur d’électroradiologie médicale,TORRES AURELIE,05/04/2014,AUTRE : ASSURANCE TRANSPORT,€11,,
GUERBET France,Manipulateur d’électroradiologie médicale,TORRES AURELIE,05/04/2014,HEBERGEMENT,€153,,
GUERBET France,Manipulateur d’électroradiologie médicale,TOUPANCE STEPHANIE,05/04/2014,HEBERGEMENT,€153,,
GUERBET France,Manipulateur d’électroradiologie médicale,TOUPANCE STEPHANIE,05/04/2014,AUTRE : ASSURANCE TRANSPORT,€11,,
GUERBET France,Manipulateur d’électroradiologie médicale,TOUPANCE STEPHANIE,05/04/2014,TRANSPORT,€218,,
GUERBET France,Manipulateur d’électroradiologie médicale,TOUPANCE STEPHANIE,05/04/2014,HEBERGEMENT,€150,,
GUERBET France,Manipulateur d’électroradiologie médicale,YVORRA MARTINE,28/11/2013,AUTRE : PACKAGE,"€1,345",,
GUERBET France,Manipulateur d’électroradiologie médicale,YVORRA MARTINE,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Manipulateur d’électroradiologie médicale,YVORRA MARTINE,28/11/2013,HEBERGEMENT,€10,,
GUERBET France,Manipulateur d’électroradiologie médicale,YVORRA MARTINE,28/11/2013,AUTRE : PACKAGE,"€1,345",,
GUERBET France,Médecin,BAYOU EL HADI,06/03/2014,HEBERGEMENT,"€1,431",,
GUERBET France,Médecin,CLAVEYROLLES MARC,28/11/2013,AUTRE : PACKAGE,"€2,740",,
GUERBET France,Médecin,CLAVEYROLLES MARC,28/11/2013,AUTRE : ASSURANCE,€10,,
HD MEDICAL,Association professionnel de santé,ASSOCIATION,05/09/2013,DON DE FONCTIONNEMENT,€400,,
HD MEDICAL,Association professionnel de santé,ASSOCIATION DE CANCEROLOGIE MONTARGIS,25/04/2014,DON DE FONCTIONNEMENT,€500,,
HD MEDICAL,Association professionnel de santé,ASSOCIATION DIABETE MONTARGIS,14/04/2014,DON DE FONCTIONNEMENT,€170,,
HD MEDICAL,Association professionnel de santé,ASSOCIATION MARIE CURIE DE CANCEROLOGIE DE MONTRAGIS,19/05/2014,DON DE FONCTIONNEMENT,€500,,
HOLOGIC,Pharmacien,Mentz Franck,20/03/2014,Repas de midi (relations normales de travail),€39,,
ICOMED,Chirurgien-dentiste,AGI RENAUD MICHELE,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,GOZE PIERRE EMMANUEL,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,LANCEREAU BLANCHET CATHERINE,22/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,PICARD GILLES,24/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,AKAD SEMRA,06/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,ANDRIAMIHAJA HONORAT,28/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ASKOUL WAHEED,25/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ASKOUL WAHEED,27/05/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BEDDA UNAL SAIDA,02/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BENAICHA TAYEB,22/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BEN ROMDHANE BOUTHEINA,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BEN ROMDHANE BOUTHEINA,29/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BIENFAIT BERNARD,05/07/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,BREMONT JEAN LUC,24/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,CARNE PIERRE,13/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CATHALA PATRICK,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CATHALA PATRICK,31/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,CHAUVIN PHILIPPE,03/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHEMIN LIUBOV,26/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,CHEMIN LIUBOV,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHEVREAUD LIONEL,23/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CONDY DIDIER,08/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CONDY DIDIER,20/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,CONDY FRANCOISE,08/10/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,DUPRE JEAN MICHEL,25/09/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,DURGET PHILIPPE,06/03/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,EL BRAKS ROLAND,20/05/2014,Autre: [Enquête],€28,,
ICOMED,Médecin,ESSAKO GEORGES,28/05/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,FITOUSSI GERARD,04/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,FOURNIER BERNARD,29/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,FOURNIER BERNARD,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GRUSS RICHARD,24/09/2013,Autre: [Enquête],€15,,
ICOMED,Médecin,HADDY MOHAMED HAMID,28/05/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,HADDY MOHAMED HAMID,23/06/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,HANSEN PATRICK,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HERNANDEZ MORIN NELLY,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HERNANDEZ MORIN NELLY,13/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,KAMOUN MAHDI,28/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,KHALDI MOHAMED HABIB,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,KOUSSA HASSIB,01/02/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,KOUSSA HASSIB,26/02/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,LAGARDE FABRICE,13/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,LATIF ZEITER AHMAD,19/09/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,LEGUEUL JEAN CLAUDE,23/04/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LEGUEUL JEAN CLAUDE,12/06/2014,Autre: [Enquête],€28,,
ICOMED,Médecin,LEGUEUL JEAN CLAUDE,18/12/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,LE MOIZAN BENOIT,14/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LE MOIZAN BENOIT,20/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,LEROUX HERVE,12/03/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,LEROUX HERVE,06/02/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,LHUILLIER PAUL,06/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,MABROUK ALI,06/02/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,MABROUK ALI,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MANIUC VALERIU,05/07/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,MASSIOT FRANCOIS,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MBIELEU BLAISE,25/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MIMOUN ALBERT,06/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MIMOUN ALBERT,16/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,NICOLA NAWAL,25/09/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,NYAMKOS JEAN PIERRE,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PERRIN FRANCOIS,10/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,PERRIN FRANCOIS,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,POPA RADU,27/05/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,POPA RADU,21/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,RAMILITIANA JORO,17/02/2014,Autre: [Enquête],€10,,
ICOMED,Médecin,RAMILITIANA PRISCA,27/01/2014,Autre: [Enquête],€13,,
ICOMED,Médecin,ROUMANI JAWAD,19/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SALAMON MAROUN,28/05/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,SWAR ABDULRAHMAN,19/09/2013,Autre: [Enquête],€30,,
