3M France,Chirurgien-dentiste,KODJIKIAN SANDRINE,10/04/2014,REPAS,€68,,
BOSTON SCIENTIFIC SAS,Médecin,PETIT LUC,11/12/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,SENELLART FRANCOIS,27/03/2014,REPAS,€61,,
BRISTOL-MYERS SQUIBB,Médecin,BRAZIER REMY,01/04/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,BRAZIER REMY,11/02/2014,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,BRUN FRANCOIS,13/12/2013,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,BRUN FRANCOIS,08/10/2013,Repas,€39,,
BRISTOL-MYERS SQUIBB,Médecin,CANE ARIANA,11/02/2014,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,CANE ARIANA,01/04/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,CESAR PIERRE,09/07/2013,Repas,€28,,
BRISTOL-MYERS SQUIBB,Médecin,CHAN THIERRY,08/11/2013,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,DESSAINT JEAN MARIE,10/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,DREYFUS XAVIER,23/04/2014,Repas,€52,,
BRISTOL-MYERS SQUIBB,Médecin,DREYFUS XAVIER,11/02/2014,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,DREYFUS XAVIER,01/04/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,FINE COUETIL ERIKA,11/02/2014,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,FINE COUETIL ERIKA,01/04/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,LOMPRE CHANTAL,20/12/2013,Repas,€20,,
BRISTOL-MYERS SQUIBB,Médecin,PETIT LUC,01/04/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,PETIT LUC,11/02/2014,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,RENAULT FREDERIC,09/07/2013,Repas,€28,,
BRISTOL-MYERS SQUIBB,Médecin,SENELLART FRANCOIS,10/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,SENELLART FRANCOIS,11/02/2014,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,SENELLART FRANCOIS,01/04/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Pharmacien,RAMOS GILLES,17/06/2014,Repas,€31,,
CENTRALE DES PEELINGS,Médecin,BERTHOD FRANCOISE,29/01/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,CLEMENT PHILIPPE,07/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,DELBAERE MARION,11/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,DELBAERE MARION,11/10/2013,cadeaux,€17,,
CHIESI SA,Médecin,BRUN FRANCOIS,01/04/2014,Repas,€53,,
CHIESI SA,Médecin,CAUSSE JEAN RENE,01/10/2013,Repas,€37,,
CHIESI SA,Médecin,CHAN THIERRY,01/04/2014,Repas,€53,,
CHIESI SA,Médecin,CHION JEAN LUC,17/10/2013,Repas,€53,,
CHIESI SA,Médecin,DIAB SAMIA,16/12/2013,Repas,€32,,
CHIESI SA,Médecin,GARREL ERIC,26/11/2013,Repas,€56,,
CHIESI SA,Médecin,GARREL ERIC,01/04/2014,Repas,€53,,
CHIESI SA,Médecin,GIREY RANNAUD JANIE,16/12/2013,Repas,€32,,
CHIESI SA,Médecin,GOURGUE PHILIPPE,01/10/2013,Repas,€37,,
CHIESI SA,Médecin,JACOB MARIE CHRISTINE,19/03/2014,Repas,€53,,
CHIESI SA,Médecin,JEANJEAN CLAUDE,16/12/2013,Repas,€32,,
CHIESI SA,Médecin,KUENTZ ROUSSEAUX MARTINE,16/12/2013,Repas,€32,,
CHIESI SA,Médecin,MANEGLIA HERVE,19/03/2014,Repas,€53,,
CHIESI SA,Médecin,PLAINDOUX AGNES,16/12/2013,Repas,€32,,
CHIESI SA,Médecin,YEM TARANTINI A MARIE,19/03/2014,Repas,€53,,
CHUGAI PHARMA FRANCE,Médecin,LELONG CORINNE,10/12/2013,REPAS,€44,,
CHUGAI PHARMA FRANCE,Médecin,RAZAKABOAY MURIEL,01/10/2013,REPAS,€44,,
colgate palmolive,Chirurgien-dentiste,LAGARDE CRYSTELE,04/02/2014,Dons de materiel,€16,,
COOPERVISION SAS,Médecin,LOMBARD MARIE CLAIRE,21/05/2014,REPAS,€60,,
COOPERVISION SAS,Médecin,TOUBOUL JEAN,21/05/2014,REPAS,€60,,
COSMETIQUE ACTIVE FRANCE,Médecin,JAMET ALAIN,22/04/2014,AUTRE: [FORMATION],€50,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,FOUILLET SUZANNE,22/04/2014,REPAS,€26,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,FOUILLET SUZANNE,17/04/2014,REPAS,€26,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,FOUILLET SUZANNE,29/01/2014,REPAS,€26,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,GENTET CLAUDINE,17/04/2014,REPAS,€26,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,GENTET CLAUDINE,29/01/2014,REPAS,€26,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,GENTET CLAUDINE,22/04/2014,REPAS,€26,,
COVIDIEN FRANCE S.A.S.,Association professionnel de santé,ASSOCIATION GRENOBLOISE DES INTERNES ET JEUNES CHEFS DE CHIRURGIE LAPAROSCOPIQUE (AGICCL),07/08/2013,DON,"€1,500",,
DAIICHI SANKYO FRANCE SAS,Médecin,BONNET PATRICK,20/06/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,BRUN FRANCOIS,05/06/2014,Repas,€31,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHAN THIERRY,09/10/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHAN THIERRY,13/05/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHAN THIERRY,13/05/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHAN THIERRY,26/02/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,FRANKO BENOIT,03/04/2014,Repas,€24,,
DAIICHI SANKYO FRANCE SAS,Médecin,FRANKO BENOIT,04/07/2013,Repas,€41,,
DAIICHI SANKYO FRANCE SAS,Médecin,GARREL ERIC,13/11/2013,Repas,€35,,
DAIICHI SANKYO FRANCE SAS,Médecin,GARREL ERIC,01/10/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,GARREL ERIC,09/10/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,GARREL ERIC,13/05/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,GENELOT SYLVIE,04/04/2014,Repas,€32,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIRARD PHILIPPE,04/04/2014,Repas,€32,,
DAIICHI SANKYO FRANCE SAS,Médecin,KAUFMAN ALAIN,13/05/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,KUENTZ FRANCOIS,04/07/2013,Repas,€41,,
DAIICHI SANKYO FRANCE SAS,Médecin,LOMPRE CHANTAL,10/06/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,LOMPRE CHANTAL,27/05/2014,Repas,€55,,
DAIICHI SANKYO FRANCE SAS,Médecin,LOMPRE CHANTAL,23/11/2013,Repas,€18,,
DAIICHI SANKYO FRANCE SAS,Médecin,PAGE ERIC,01/10/2013,Repas,€46,,
DAIICHI SANKYO FRANCE SAS,Médecin,PANTHOU JEROME,04/04/2014,Repas,€32,,
Dentsply Gac Europe,Chirurgien-dentiste,DR MITTLER CAROLE,07/04/2014,INVITATIONS,€450,,
DENTSPLY Implants,Chirurgien-dentiste,GRIGRI RICHARD,26/09/2013,REPAS,€71,,
EDWARDS LIFESCIENCES,Médecin,DREYFUS XAVIER,01/07/2013,TRANSPORT,€301,,
EDWARDS LIFESCIENCES,Médecin,HICTER JEAN FRANCOIS,31/01/2014,REPAS,€39,,
EDWARDS LIFESCIENCES,Médecin,HLAIHEL CHADI,06/11/2013,REPAS,€53,,
EDWARDS LIFESCIENCES,Médecin,MALDONADO PHILIPPE,06/11/2013,REPAS,€53,,
EDWARDS LIFESCIENCES,Médecin,MICHEL FREDERIC,06/11/2013,REPAS,€53,,
EDWARDS LIFESCIENCES,Médecin,POUPOT DENIS,31/01/2014,REPAS,€39,,
EFFIK,Médecin,GAVEND DELESTRAS ISABELLE,15/04/2014,REPAS,€37,,
EISAI SAS,Médecin,BORGEL FLORENT,06/05/2014,REPAS,€34,,
EISAI SAS,Médecin,BORGEL FLORENT,01/10/2013,REPAS,€43,,
EISAI SAS,Médecin,MEAULLE FLORENCE,01/10/2013,REPAS,€43,,
EISAI SAS,Médecin,MEAULLE FLORENCE,06/05/2014,REPAS,€34,,
EISAI SAS,Médecin,MEAULLE FLORENCE,22/01/2014,REPAS,€47,,
Essilor,Opticien-lunetier,Belle Franck,17/07/2013,Invitation à déjeuner / dîner,€54,,
Essilor,Opticien-lunetier,Chiron Elodie,17/07/2013,Invitation à déjeuner / dîner,€54,,
Essilor,Opticien-lunetier,Gillet Jérôme,17/07/2013,Invitation à déjeuner / dîner,€54,,
Essilor,Opticien-lunetier,Gomes M,21/11/2013,Bouteille (s) de champagne,€390,,
Essilor,Opticien-lunetier,Martinez Patrick,17/07/2013,Invitation à déjeuner / dîner,€54,,
Essilor,Opticien-lunetier,Sapey Elina,17/07/2013,Invitation à déjeuner / dîner,€54,,
Essilor,Opticien-lunetier,Unternahrer Inès,17/07/2013,Invitation à déjeuner / dîner,€54,,
ETHICON,Médecin,DELCROIX BRIGITTE,20/09/2013,REPAS,€232,,
ETHICON,Médecin,DELCROIX BRIGITTE,20/09/2013,HEBERGEMENT,€370,,
ETHICON,Médecin,DELCROIX BRIGITTE,20/09/2013,TRANSPORT,€124,,
ETHICON,Médecin,DELESTRAS CLAIRE MICHELE,20/09/2013,TRANSPORT,€124,,
ETHICON,Médecin,DELESTRAS CLAIRE MICHELE,20/09/2013,REPAS,€232,,
ETHICON,Médecin,DELESTRAS CLAIRE MICHELE,20/09/2013,HEBERGEMENT,€370,,
ETHICON,Médecin,LOMPRE Chantal,14/11/2013,REPAS,€30,,
ETHICON,Médecin,MICHELI GANDY MURIEL,20/09/2013,HEBERGEMENT,€370,,
ETHICON,Médecin,MICHELI GANDY MURIEL,20/09/2013,REPAS,€232,,
ETHICON,Médecin,MICHELI GANDY MURIEL,20/09/2013,TRANSPORT,€91,,
ETHICON,Médecin,TOUBOUL JEAN,08/07/2013,REPAS,€50,,
ETHICON,Médecin,ZAMBELLI CLAUDINE,08/07/2013,REPAS,€50,,
ETHICON,Opticien-lunetier,LOPEZ GUILLAUME,14/03/2014,REPAS,€17,,
EUROFINS OPTIMED,Médecin,JAMET ALAIN,26/06/2013,AUTRE : [HONORAIRES],€56,,
EUROFINS OPTIMED,Médecin,PAYEN CATHERINE,16/07/2013,AUTRE : [HONORAIRES],€28,,
EUROPHTA,Médecin,DELCROIX BRIGITTE,05/12/2013,REPAS,€53,,
EUROPHTA,Médecin,DELESTRAS CLAIRE MICHELE,05/12/2013,REPAS,€53,,
EUROPHTA,Médecin,MICHELI GANDY MURIEL,05/12/2013,REPAS,€53,,
FERRING SAS,Médecin,BOHN BENOIT,19/09/2013,Repas,€35,,
FERRING SAS,Médecin,FROISSART BRUNO,16/01/2014,Repas,€34,,
FERRING SAS,Médecin,SALON CAROLINE,19/06/2014,Repas,€55,,
galderma international,Médecin,JAMET ALAIN,17/04/2014,Repas,€50,,
GaldermaQMed,Médecin,SADEK HAZEM,03/10/2013,Repas,€24,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,GAVEND DELESTRAS ISABELLE,04/02/2014,REPAS,€39,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,TOURNADRE CALAORA DANIELLE,04/02/2014,REPAS,€39,,
GE Medical Systems SCS,Médecin,BARTHELEMY RENAUD,30/01/2014,REPAS PROFESSIONNEL,€22,,
GE Medical Systems SCS,Médecin,HLAIHEL CHADI,30/01/2014,REPAS PROFESSIONNEL,€22,,
GE Medical Systems SCS,Médecin,LE RUMEUR YVES,30/01/2014,REPAS PROFESSIONNEL,€22,,
GE Medical Systems SCS,Médecin,MALDONADO PHILIPPE,25/11/2013,REPAS PROFESSIONNEL,€23,,
GE Medical Systems SCS,Médecin,ROUFFIANGE PIERRE,30/01/2014,REPAS PROFESSIONNEL,€22,,
Genzyme,Médecin,BORGEL FLORENT,27/02/2014,Repas,€22,,
Genzyme,Médecin,BORGEL FLORENT,20/05/2014,Repas,€23,,
Genzyme,Médecin,BORGEL FLORENT,06/02/2014,Repas,€60,,
Genzyme,Médecin,KUENTZ FRANCOIS,09/09/2013,"Hébergement, restauration, transport",€25,,
Genzyme,Médecin,LOMPRE CHANTAL,23/09/2013,"Hébergement, restauration, transport",€57,,
Genzyme,Médecin,LOMPRE CHANTAL,24/09/2013,"Hébergement, restauration, transport",€48,,
Genzyme,Médecin,MEAULLE FLORENCE,06/02/2014,Repas,€60,,
GIBAUD,Pharmacien,AMBERT EDOUARD,22/04/2014,Repas,€44,,
GIBAUD,Pharmacien,BAUDON NICOLAS,22/01/2014,Repas,€19,,
GIBAUD,Pharmacien,BAUDON NICOLAS,18/12/2013,Repas,€30,,
GIBAUD,Pharmacien,BAUDON NICOLAS,14/11/2013,Repas,€24,,
GIBAUD,Pharmacien,BAUDON NICOLAS,24/02/2014,Repas,€16,,
GIBAUD,Pharmacien,GOULHOT CHRISTINA,22/04/2014,Repas,€44,,
GIBAUD,Pharmacien,MANCEAU SYLVIE,24/03/2014,Repas,€32,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHALABI IMEN,24/03/2014,Repas,€32,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CORNUT PAUL,24/03/2014,Repas,€32,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUPUY CAROLINE,22/04/2014,Repas,€44,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TAATOHO SIEME,24/03/2014,Repas,€32,,
GILEAD SCIENCES,Infirmier,FOUQUET THERESE,31/01/2014,REPAS,€60,,
GILEAD SCIENCES,Médecin,MARION FRANCIS,17/12/2013,REPAS,€18,,
GILEAD SCIENCES,Médecin,MARION FRANCIS,09/10/2013,REPAS,€50,,
GILEAD SCIENCES,Médecin,MARION FRANCIS,31/01/2014,REPAS,€60,,
GILEAD SCIENCES,Médecin,MARION FRANCIS,21/05/2014,REPAS,€60,,
GUERBET France,Manipulateur d’électroradiologie médicale,FOURNIER GUILLAUME,04/04/2014,REPAS,€30,,
GUERBET France,Manipulateur d’électroradiologie médicale,GULLON MARIELLE,04/04/2014,REPAS,€30,,
GUERBET France,Manipulateur d’électroradiologie médicale,HARION EMMANUELLE,18/10/2013,REPAS,€44,,
GUERBET France,Manipulateur d’électroradiologie médicale,HARION EMMANUELLE,30/09/2013,TRANSPORT,€150,,
GUERBET France,Manipulateur d’électroradiologie médicale,JAUN ELISABETH,30/09/2013,TRANSPORT,€158,,
GUERBET France,Manipulateur d’électroradiologie médicale,JAUN ELISABETH,30/09/2013,HEBERGEMENT,€110,,
GUERBET France,Manipulateur d’électroradiologie médicale,ORCEL CHRISTIAN,30/09/2013,HEBERGEMENT,€430,,
GUERBET France,Manipulateur d’électroradiologie médicale,ORMANLI HALINE,04/04/2014,REPAS,€30,,
GUERBET France,Manipulateur d’électroradiologie médicale,PYPER CHRISTINE,04/04/2014,REPAS,€30,,
GUERBET France,Médecin,BARTHELEMY RENAUD,31/07/2013,HOSPITALITE,€855,,
GUERBET France,Médecin,CAKIRDAS MURAT,11/04/2014,REPAS,€20,,
GUERBET France,Médecin,CAKIRDAS MURAT,10/04/2014,REPAS,€19,,
GUERBET France,Médecin,CROISILLE PHILIPPE,30/09/2013,HEBERGEMENT,€645,,
GUERBET France,Médecin,CROISILLE PHILIPPE,30/09/2013,TRANSPORT,€200,,
GUERBET France,Médecin,HLAIHEL CHADI,30/09/2013,TRANSPORT,€215,,
GUERBET France,Médecin,LE RUMEUR YVES,30/09/2013,TRANSPORT,€200,,
GUERBET France,Médecin,LE RUMEUR YVES,30/09/2013,TRANSPORT,€215,,
GUERBET France,Médecin,PAILLASSON FREDERIC,30/09/2013,TRANSPORT,€196,,
GUERBET France,Médecin,PAILLASSON FREDERIC,30/09/2013,HEBERGEMENT,€215,,
GUERBET France,Médecin,RANCHOUP YVES,30/09/2013,TRANSPORT,€215,,
GUERBET France,Médecin,ROBERT FRANCOIS,30/09/2013,HEBERGEMENT,€430,,
GUERBET France,Médecin,ROUFFIANGE PIERRE,29/10/2013,REPAS,€20,,
GUERBET France,Médecin,ROUFFIANGE PIERRE,30/09/2013,TRANSPORT,€200,,
GUERBET France,Médecin,ROUFFIANGE PIERRE,30/09/2013,HEBERGEMENT,€645,,
GUERBET France,Médecin,WAZIZI REDOUANE,30/09/2013,HEBERGEMENT,€430,,
GUERBET France,Médecin,WAZIZI REDOUANE,30/09/2013,TRANSPORT,€175,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,DELACOUR DOMINIQUE,01/04/2014,CADEAU,€95,,
horus pharma,Médecin,LOMBARD MC. Marie claire,27/11/2013,Repas,€50,,
horus pharma,Médecin,LOMBARD MC. Marie claire,27/11/2013,Repas,€50,,
ICOMED,Chirurgien-dentiste,ASTRUC ROBERT,04/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,ASTRUC ROBERT,20/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,GENADA MARIE HELENE,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,GHAFOURI NAZILA,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MORO AMANDINE,08/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,TARRICONE GUY,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,VASSOR JACQUARD BRIGITTE,24/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,VASSOR JACQUARD BRIGITTE,09/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,VINCENT ROGER,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,ALLAMANNO JEAN PIERRE,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ATLANI JEAN LUC,06/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,ATLANI JEAN LUC,11/01/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,AZZOPARDI YVES,16/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,AZZOPARDI YVES,23/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BACONNIER PASCALE CAROLINE,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BATELLIER HELENE,11/09/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BAUDET DENIS,22/10/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BAYON MIR ANA,24/10/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,BOUTI HEDDI,14/04/2014,Autre: [Enquête],€28,,
ICOMED,Médecin,BRAZIER REMY,27/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,CAMPA GERARD,12/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,CAMPA GERARD,03/02/2014,Autre: [Enquête],€15,,
ICOMED,Médecin,CASTELMEZZANO ROGER,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHAN THIERRY,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHAN THIERRY,23/01/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,CHEVALIER DENIS,31/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COGNEE CHRISTIAN,22/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CRANNEY SYLVIANE,12/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DREYFUS XAVIER,11/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DREYFUS XAVIER,03/04/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,FOUILLET PIERRE,14/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FOUILLET PIERRE,06/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GAVEND DELESTRAS ISABELLE,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GENELOT SYLVIE,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GIRARD PHILIPPE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GIRARD PHILIPPE,03/02/2014,Autre: [Enquête],€28,,
ICOMED,Médecin,GIREY RANNAUD JANIE,25/09/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,GRANGIER CATHERINE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GROSCLAUDE GERARD,18/06/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,GROSCLAUDE GERARD,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GUEDDAH NASSAR,23/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GUEDDAH NASSAR,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,HAMAIDI TOUFIK,18/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,HAMAIDI TOUFIK,12/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,JACOB MARIE CHRISTINE,05/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JAMET ALAIN,26/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JEANJEAN CLAUDE,20/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,KAICI MOULAY,11/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,KUENTZ FRANCOIS,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,LAGNEZ JACQUES,10/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,LEMORDANT PAULINE,29/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,LEMORDANT PAULINE,26/02/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,LORRAIN ERIC,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,LORRAIN ERIC,26/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MAUREL RONZINO CATHERINE,28/05/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,MENDES NOBRE MAGALI,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MENDES NOBRE MAGALI,25/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MICHEL FREDERIC,12/06/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,MISTRAL PIERRE,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,ORMIERES RENATE ELISABETH,11/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PAYEN CATHERINE,28/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PIROLA THIERRY,06/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,PIROLA THIERRY,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,RABILLER ISABELLE,06/01/2014,Autre: [Enquête],€10,,
ICOMED,Médecin,RABILLER ISABELLE,19/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROBERT CORINNE,20/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,ROBERT CORINNE,06/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROUACH DAVID,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SEITER MOREAU MARIE,03/02/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,STIVALET SANDIER ANNICK,08/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,STIVALET SANDIER ANNICK,25/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,STIVALET SANDIER ANNICK,27/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,SUSCILLON MARIE PAULE,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SUSCILLON MARIE PAULE,07/01/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,SWISTAK BERTRAND DOMINIQUE,26/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,SWISTAK BERTRAND DOMINIQUE,24/12/2013,Autre: [Enquête],€22,,
ICOMED,Médecin,THIEBAUT NATHALIE,02/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,THIEBAUT NATHALIE,07/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TOUBOUL JEAN,23/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VERCHERY BENEDICTE,06/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,WAGNER JEAN,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,WAGNER JEAN,06/12/2013,Autre: [Enquête],€29,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,13/09/2013,REPAS,€21,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,02/07/2013,REPAS,€19,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,05/09/2013,REPAS,€18,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,15/11/2013,REPAS,€19,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,13/12/2013,REPAS,€18,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,04/07/2013,REPAS,€17,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,12/11/2013,REPAS,€17,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,06/12/2013,REPAS,€16,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,10/09/2013,REPAS,€13,,
INTUITIVE SURGICAL SARL,Médecin,SCHNEIDER MARC,18/07/2013,REPAS,€36,,
IPSEN PHARMA,Médecin,ALLAMANNO JEAN PIERRE,22/05/2014,REPAS,€10,,
IPSEN PHARMA,Médecin,ALLAMANNO JEAN PIERRE,22/05/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,BRUN FRANCOIS,12/06/2014,REPAS,€38,,
IPSEN PHARMA,Médecin,BRUN FRANCOIS,20/03/2014,REPAS,€34,,
IPSEN PHARMA,Médecin,CESAR PIERRE,22/05/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,CESAR PIERRE,22/05/2014,REPAS,€10,,
IPSEN PHARMA,Médecin,GENELOT SYLVIE,25/04/2014,REPAS,€18,,
IPSEN PHARMA,Médecin,GIRARD PHILIPPE,25/04/2014,REPAS,€18,,
IPSEN PHARMA,Médecin,PANTHOU JEROME,25/04/2014,REPAS,€18,,
JANSSEN-CILAG,Etudiant,FONTAINE EMMANUEL,28/05/2013,REPAS,€44,,
JANSSEN-CILAG,Infirmier,CABRERA CHRISTELLE,15/03/2013,REPAS,€27,,
JANSSEN-CILAG,Infirmier,CARRIERE BASTIEN,15/03/2013,REPAS,€27,,
JANSSEN-CILAG,Infirmier,DEROUET ALAIN,15/03/2013,REPAS,€27,,
JANSSEN-CILAG,Infirmier,GOTSZALK JAN,15/03/2013,REPAS,€27,,
JANSSEN-CILAG,Infirmier,HIURTANO MATHILDE,15/03/2013,REPAS,€27,,
