3M France,Chirurgien-dentiste,BOMBOY STEPHANIE,22/04/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,31/01/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,15/01/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,25/04/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BURDEYRON ROZIER DANIELE,04/12/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BURDEYRON ROZIER DANIELE,04/02/2013,Hospitalite,€16,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARGEBOEUF MICHELINE,19/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARGEBOEUF MICHELINE,19/12/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHEMELLE JEAN PIERRE,19/02/2013,Inscription,€390,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,11/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,04/06/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,22/06/2012,Hospitalité,"€1,120",,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,15/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,27/03/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,31/01/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,20/02/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,23/01/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,12/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,24/06/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,12/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,26/07/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,06/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,08/11/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,22/06/2012,Hospitalité,"€1,120",,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROMBET GEORGES,19/01/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GALBOUD VINCENT FABIENNE,07/02/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILLES ERIC,19/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILLES ERIC,19/12/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILLES PATRICK,19/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILLES PATRICK,19/12/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILOTTE GERARD,25/06/2013,Hospitalite,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILOTTE GERARD,13/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILOTTE GERARD,25/06/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,26/05/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,23/06/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,12/11/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,07/06/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,16/04/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,10/02/2014,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,08/04/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,02/12/2013,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD CLAUDON LISBETH,03/06/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GROS CHRISTIAN,11/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUICHARD JEAN MICHEL,12/12/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUICHARD JEAN MICHEL,24/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUICHARD JEAN MICHEL,19/12/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUICHARD JEAN MICHEL,04/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUICHARD JEAN MICHEL,07/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUICHARD JEAN MICHEL,15/01/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUICHARD JEAN MICHEL,25/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUVET MARIE THERESE,19/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LALLEMAND PIERRE,19/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LALLEMAND PIERRE,19/12/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,27/03/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,04/06/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,20/11/2013,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,03/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,24/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,12/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,12/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,24/06/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,27/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,11/03/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,06/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,04/06/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,27/03/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,08/11/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,31/01/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,11/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LETONDEL PASCAL,27/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MESSIKH RASAT,25/01/2013,Hospitalite,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,03/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,24/06/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,19/01/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,31/01/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,07/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,15/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,19/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,20/02/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,23/01/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,08/04/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,26/07/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,31/01/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUHAT CHRISTIAN,23/01/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PARIS DIDIER,19/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PARIS DIDIER,31/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALAZAR LUIS ORLANDO,11/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALAZAR LUIS ORLANDO,21/12/2012,Hospitalité,€507,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALAZAR LUIS ORLANDO,21/12/2012,Transport,€150,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SERVIN CORINNE,04/12/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRIER PIERRE,25/07/2013,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRIER PIERRE,07/02/2013,Hospitalite,€39,,
LABORATOIRE NUXE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRANDPERRET ALINE,17/04/2014,REPAS,€17,,
LABORATOIRE NUXE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JACQUOT AURELIE,17/04/2014,REPAS,€17,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FOURNERET GERARD,16/10/2013,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LETONDEL PASCAL,16/10/2013,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,RENAUD CATHERINE,14/05/2014,Repas,€25,,
Laboratoires Grünenthal SAS,Médecin,BALP LAURENT,30/01/2014,REPAS,€47,,
Laboratoires Grünenthal SAS,Médecin,BALP LAURENT,19/02/2014,REPAS,€35,,
Laboratoires IPRAD PHARMA,Médecin,BURDEYRON-ROZIER DANIELLE,17/10/2013,REPAS,€74,,
Labvoratoire CHAUVIN,Médecin,VUILLEMEY ERIC,12/09/2013,REPAS,€23,,
LEO Pharma,Médecin,TERRIER PIERRE,28/11/2013,REPAS,€57,,
LEO Pharma,Médecin,VOYEMANT DIDIER,23/06/2014,REPAS,€46,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,BARDOUX FLORENCE,13/11/2013,REPAS,€30,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,BUDNA MICHELE,12/11/2013,REPAS,€67,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,BUDNA MICHELE,13/11/2013,REPAS,€30,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,DE ALMEIDA ANNE LUCIE,14/05/2014,INSCRIPTION,€425,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,GRENOT CHRISTELLE,13/11/2013,REPAS,€30,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,HUART SYLVIE,12/11/2013,REPAS,€67,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,HUART SYLVIE,12/11/2013,INSCRIPTION,€50,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,HUART SYLVIE,13/11/2013,REPAS,€30,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,HUART SYLVIE,14/05/2014,INSCRIPTION,€425,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,HUART SYLVIE,12/11/2013,TRANSPORT,€92,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,28/04/2013,REPAS,€53,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,13/11/2013,REPAS,€30,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,23/03/2013,TRANSPORT,"€1,235",,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,23/03/2013,HEBERGEMENT,"€1,554",,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,20/03/2013,REPAS,€32,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,19/03/2013,REPAS,€54,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,18/03/2013,REPAS,€50,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,23/03/2013,INSCRIPTION,€650,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,23/03/2013,INSCRIPTION,€650,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,28/04/2013,REPAS,€53,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,KABBACHE MORHAF,13/11/2013,REPAS,€30,,
LES LABORATOIRES SERVIER,Médecin,BROM HUBERT,10/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BROM HUBERT,15/05/2014,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,CROMBET GEORGES,15/05/2014,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,CROMBET GEORGES,05/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,LETONDEL PASCAL,05/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,LETONDEL PASCAL,04/07/2013,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,MOUHAT CHRISTIAN,15/05/2014,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,MOUHAT CHRISTIAN,04/07/2013,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,MOUHAT CHRISTIAN,05/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,MOUHAT CHRISTIAN,10/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PECON MARION,22/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PECON MARION,22/01/2014,Autre : Inscription,€350,,
LES LABORATOIRES SERVIER,Médecin,PECON MARION,22/01/2014,Hébergement,€480,,
LES LABORATOIRES SERVIER,Médecin,PECON MARION,22/01/2014,Transport,€62,,
LES LABORATOIRES SERVIER,Médecin,VUILLEMIN PHILIPPE,10/12/2013,Repas,€60,,
Lilly France SAS,Médecin,BROM HUBERT,03/04/2014,REPAS,€54,,
Lilly France SAS,Médecin,BROM HUBERT,14/11/2013,REPAS,€55,,
Lilly France SAS,Médecin,BROM HUBERT,14/11/2013,REPAS,€55,,
Lilly France SAS,Médecin,BROM HUBERT,28/01/2014,REPAS,€54,,
Lilly France SAS,Médecin,CROMBET GEORGES,28/01/2014,REPAS,€54,,
Lilly France SAS,Médecin,CROMBET GEORGES,14/11/2013,REPAS,€55,,
Lilly France SAS,Médecin,CROMBET GEORGES,26/09/2013,REPAS,€50,,
Lilly France SAS,Médecin,GIRARD CLAUDON LISBETH,26/09/2013,REPAS,€50,,
Lilly France SAS,Médecin,LETONDEL PASCAL,28/01/2014,REPAS,€54,,
Lilly France SAS,Médecin,LETONDEL PASCAL,26/09/2013,REPAS,€50,,
Lilly France SAS,Médecin,LETONDEL PASCAL,14/11/2013,REPAS,€55,,
Lilly France SAS,Médecin,MOUHAT CHRISTIAN,14/11/2013,REPAS,€55,,
Lilly France SAS,Médecin,MOUHAT CHRISTIAN,28/01/2014,REPAS,€54,,
LUNDBECK SAS,Médecin,BROM HUBERT,11/07/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,CROMBET GEORGES,28/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,GILOTTE GERARD,08/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€24,,
LUNDBECK SAS,Médecin,LETONDEL PASCAL,28/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,MOUHAT CHRISTIAN,28/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,MOUHAT CHRISTIAN,11/07/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,PARIS DIDIER,12/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€56,,
LUNDBECK SAS,Médecin,PECON MARION,03/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,STEULET DANIEL,16/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€38,,
LUNDBECK SAS,Médecin,VUILLEMIN PHILIPPE,12/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€29,,
LUNDBECK SAS,Médecin,VUILLEMIN PHILIPPE,16/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€38,,
LUNDBECK SAS,Médecin,VUILLEMIN PHILIPPE,03/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
MALLINCKRODT FRANCE SARL,Manipulateur d’électroradiologie médicale,DEPIERRE Mireille,24/10/2013,Repas,€50,,
MALLINCKRODT FRANCE SARL,Manipulateur d’électroradiologie médicale,GARCIA Etienne,24/10/2013,Repas,€50,,
MALLINCKRODT FRANCE SARL,Médecin,PELET Olivier,24/10/2013,Repas,€50,,
MEDTRONIC France S.A.S,Infirmier,FOURNEAU SOPHIE,10/07/2013,REPAS,€51,,
MEDTRONIC France S.A.S,Médecin,FOURNERET GÉRARD,29/10/2013,HEBERGEMENT,€269,,
MEDTRONIC France S.A.S,Médecin,FOURNERET GÉRARD,27/10/2013,TRANSPORT,€398,,
MEDTRONIC France S.A.S,Médecin,FOURNERET GÉRARD,27/10/2013,HEBERGEMENT,€269,,
MEDTRONIC France S.A.S,Médecin,FOURNERET GÉRARD,27/10/2013,AUTRE:[FRAIS D'INSCRIPTION],"€1,050",,
MEDTRONIC France S.A.S,Médecin,FOURNERET GÉRARD,28/10/2013,HEBERGEMENT,€269,,
MEDTRONIC France S.A.S,Médecin,FOURNERET GÉRARD,27/10/2013,TRANSPORT,€50,,
MEDTRONIC France S.A.S,Médecin,FOURNERET GÉRARD,28/10/2013,REPAS,€60,,
MEDTRONIC France S.A.S,Médecin,FOURNERET GÉRARD,27/10/2013,REPAS,€60,,
MENARINI FRANCE,Médecin,BROM HUBERT,29/10/2013,AUTRE : RNT,€40,,
MENARINI FRANCE,Médecin,BROM HUBERT,12/12/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,BROM HUBERT,19/12/2013,AUTRE : RNT,€50,,
MENARINI FRANCE,Médecin,CROMBET GEORGES,19/12/2013,AUTRE : RNT,€50,,
MENARINI FRANCE,Médecin,CROMBET GEORGES,28/01/2014,Autre : [Restauration],€43,,
MENARINI FRANCE,Médecin,CROMBET GEORGES,19/12/2013,AUTRE : RNT,€50,,
MENARINI FRANCE,Médecin,LETONDEL PASCAL,19/12/2013,AUTRE : RNT,€50,,
MENARINI FRANCE,Médecin,LETONDEL PASCAL,29/10/2013,AUTRE : RNT,€40,,
MENARINI FRANCE,Médecin,MOUHAT CHRISTIAN,29/10/2013,AUTRE : RNT,€40,,
MSD France,Médecin,BOIS GROSSE MARCELLE,23/03/2012,REPAS,€40,,
MSD France,Médecin,BOIS GROSSE MARCELLE,26/09/2012,HOSPITALITE,€35,,
MSD France,Médecin,BROM HUBERT,17/12/2013,REPAS,€40,,
MSD France,Médecin,BROM HUBERT,15/04/2014,REPAS,€42,,
MSD France,Médecin,BROM HUBERT,14/05/2014,REPAS,€60,,
MSD France,Médecin,BROM HUBERT,18/02/2014,REPAS,€48,,
MSD France,Médecin,BROM HUBERT,19/09/2013,REPAS,€55,,
MSD France,Médecin,BROM HUBERT,10/12/2013,REPAS,€55,,
MSD France,Médecin,BROM HUBERT,13/11/2012,HOSPITALITE,€60,,
MSD France,Médecin,BROM HUBERT,25/09/2012,HOSPITALITE,€60,,
MSD France,Médecin,BROM HUBERT,20/09/2012,HOSPITALITE,€60,,
MSD France,Médecin,BROM HUBERT,14/02/2012,HOSPITALITE,€33,,
MSD France,Médecin,BROM HUBERT,27/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,BROM HUBERT,19/04/2012,HOSPITALITE,€55,,
MSD France,Médecin,BROM HUBERT,03/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,BROM HUBERT,15/03/2012,REPAS,€60,,
MSD France,Médecin,BROM HUBERT,15/03/2012,REPAS,€60,,
MSD France,Médecin,CHANELIERE DEVAUX MURIEL,27/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,CHANELIERE DEVAUX MURIEL,19/04/2012,HOSPITALITE,€55,,
MSD France,Médecin,CHAVENT ANNE LISE,16/10/2013,REPAS,€30,,
MSD France,Médecin,CROMBET GEORGES,15/03/2012,REPAS,€60,,
MSD France,Médecin,CROMBET GEORGES,18/02/2014,REPAS,€48,,
MSD France,Médecin,CROMBET GEORGES,15/04/2014,REPAS,€42,,
MSD France,Médecin,CROMBET GEORGES,26/06/2013,HÉBERGEMENT,€168,,
MSD France,Médecin,CROMBET GEORGES,28/06/2013,REPAS,€53,,
MSD France,Médecin,CROMBET GEORGES,27/06/2013,REPAS,€57,,
MSD France,Médecin,CROMBET GEORGES,27/06/2013,TRANSPORT,€135,,
MSD France,Médecin,CROMBET GEORGES,27/06/2013,TRANSPORT,€127,,
MSD France,Médecin,CROMBET GEORGES,27/06/2013,HÉBERGEMENT,€168,,
MSD France,Médecin,CROMBET GEORGES,29/06/2013,REPAS,€50,,
MSD France,Médecin,CROMBET GEORGES,28/06/2013,HÉBERGEMENT,€168,,
MSD France,Médecin,CROMBET GEORGES,27/06/2013,INSCRIPTION,€350,,
MSD France,Médecin,CROMBET GEORGES,27/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,CROMBET GEORGES,29/05/2012,HOSPITALITE,€40,,
MSD France,Médecin,CROMBET GEORGES,14/02/2012,HOSPITALITE,€33,,
MSD France,Médecin,CROMBET GEORGES,13/11/2012,HOSPITALITE,€60,,
MSD France,Médecin,CROMBET GEORGES,10/12/2013,REPAS,€55,,
MSD France,Médecin,CROMBET GEORGES,29/06/2013,REPAS,€50,,
MSD France,Médecin,CROMBET GEORGES,15/04/2014,REPAS,€42,,
MSD France,Médecin,GILLES ERIC,27/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,GIRARD CLAUDON LISBETH,20/03/2014,REPAS,€33,,
MSD France,Médecin,LACROIX MICHEL,14/05/2014,REPAS,€60,,
MSD France,Médecin,LALLEMAND PIERRE,16/10/2013,REPAS,€30,,
MSD France,Médecin,LETONDEL PASCAL,10/12/2013,REPAS,€55,,
MSD France,Médecin,LETONDEL PASCAL,15/04/2014,REPAS,€42,,
MSD France,Médecin,LETONDEL PASCAL,25/09/2012,HOSPITALITE,€60,,
MSD France,Médecin,LETONDEL PASCAL,29/05/2012,HOSPITALITE,€40,,
MSD France,Médecin,LETONDEL PASCAL,14/02/2012,HOSPITALITE,€33,,
MSD France,Médecin,LETONDEL PASCAL,17/12/2013,REPAS,€40,,
MSD France,Médecin,LETONDEL PASCAL,18/02/2014,REPAS,€48,,
MSD France,Médecin,LETONDEL PASCAL,13/11/2012,HOSPITALITE,€60,,
MSD France,Médecin,LETONDEL PASCAL,15/03/2012,REPAS,€60,,
MSD France,Médecin,MOUHAT CHRISTIAN,29/05/2012,HOSPITALITE,€40,,
MSD France,Médecin,MOUHAT CHRISTIAN,14/02/2012,HOSPITALITE,€33,,
MSD France,Médecin,MOUHAT CHRISTIAN,13/11/2012,HOSPITALITE,€60,,
MSD France,Médecin,MOUHAT CHRISTIAN,25/09/2012,HOSPITALITE,€60,,
MSD France,Médecin,MOUHAT CHRISTIAN,25/09/2012,HOSPITALITE,€60,,
MSD France,Médecin,MOUHAT CHRISTIAN,15/04/2014,REPAS,€42,,
MSD France,Médecin,MOUHAT CHRISTIAN,13/11/2012,HOSPITALITE,€60,,
MSD France,Médecin,MOUHAT CHRISTIAN,10/12/2013,REPAS,€55,,
MSD France,Médecin,MOUHAT CHRISTIAN,18/02/2014,REPAS,€48,,
MSD France,Médecin,PARIS DIDIER,23/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,PARIS DIDIER,23/11/2013,TRANSPORT,€279,,
MSD France,Médecin,PARIS DIDIER,23/11/2013,REPAS,€135,,
MSD France,Médecin,RENAUD CATHERINE,10/12/2013,REPAS,€55,,
MSD France,Médecin,RENAUD CATHERINE,14/05/2014,REPAS,€60,,
MSD France,Médecin,RENAUD CATHERINE,31/01/2014,REPAS,€16,,
MSD France,Médecin,SALAZAR LUIS ORLANDO,30/01/2014,REPAS,€55,,
MSD France,Médecin,SALAZAR LUIS ORLANDO,30/01/2014,HÉBERGEMENT,€243,,
MSD France,Médecin,SALAZAR LUIS ORLANDO,30/01/2014,TRANSPORT,€399,,
MSD France,Médecin,SALAZAR LUIS ORLANDO,30/01/2014,INSCRIPTION,€410,,
MSD France,Pharmacien,PROST DAME LAURENCE,26/05/2014,REPAS,€35,,
MSD France,Pharmacien,PROST DAME LAURENCE,14/05/2014,REPAS,€60,,
MSD France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAILLAT VALERIE,16/05/2013,REPAS,€25,,
MUNDIPHARMA,Médecin,BROM HUBERT,14/02/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,BROM HUBERT,21/03/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,CROMBET GEORGES,14/02/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,CROMBET GEORGES,21/03/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,GIRARD CLAUDON LISBETH,14/01/2013,AUTRE : REPAS PROFESSIONNEL,€30,,
MUNDIPHARMA,Médecin,LETONDEL PASCAL,14/02/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,LETONDEL PASCAL,21/03/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
