3M France,Chirurgien-dentiste,GARONNAIRE FRAN‚OISE,10/04/2014,REPAS,€68,,
MERCK SERONO,Infirmier,CHAVOT ELISABETH,13/05/2014,REPAS,€31,,
MERCK SERONO,Infirmier,CHAVOT ELISABETH,13/05/2014,HÉBERGEMENT,€139,,
MERCK SERONO,Infirmier,CHAVOT ELISABETH,13/05/2014,TRANSPORT,€32,,
MERCK SERONO,Infirmier,CHAVOT ELISABETH,13/05/2014,REPAS,€51,,
MERCK SERONO,Infirmier,CHAVOT ELISABETH,13/05/2014,REPAS,€31,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,13/05/2014,REPAS,€31,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,TRANSPORT,€675,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,13/05/2014,REPAS,€31,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,HÉBERGEMENT,€165,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,REPAS,€24,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,REPAS,€24,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,REPAS,€42,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,HÉBERGEMENT,€165,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,REPAS,€24,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,TRANSPORT,€675,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,13/05/2014,HÉBERGEMENT,€139,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,REPAS,€24,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,13/05/2014,REPAS,€51,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,REPAS,€42,,
MERCK SERONO,Infirmier,VALLENTIN FREDERIC,22/01/2014,REPAS,€42,,
MSD France,Médecin,BRUYAS JEAN MICHEL,20/03/2014,REPAS,€60,,
MSD France,Médecin,BRUYAS JEAN MICHEL,20/02/2014,REPAS,€60,,
MSD France,Médecin,BRUYAS JEAN MICHEL,24/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,BRUYAS JEAN MICHEL,16/05/2013,HOSPITALITE,€46,,
MSD France,Médecin,BRUYAS JEAN MICHEL,27/03/2014,REPAS,€60,,
MSD France,Médecin,ORIOL PHILIPPE,21/02/2012,HOSPITALITE,€40,,
MSD France,Médecin,ORIOL PHILIPPE,10/10/2013,REPAS,€52,,
MSD France,Médecin,ORIOL PHILIPPE,30/01/2014,REPAS,€52,,
NORGINE PHARMA,Médecin,GIRARD LAURE,12/06/2014,TRAITEUR,€17,,
NOVARTIS PHARMA SAS,Médecin,FRERY COSTE MICHELLE,06/05/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,FRERY COSTE MICHELLE,09/07/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,FRERY COSTE MICHELLE,08/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,FRERY COSTE MICHELLE,10/12/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,JACQUIN LAURENCE,08/11/2013,Autre : [Hospitalité Evenement Scientifique],€20,,
NOVARTIS PHARMA SAS,Médecin,JACQUIN LAURENCE,29/01/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,PONCET MICHELE,19/11/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVO NORDISK,Médecin,BRUYAS JEAN MICHEL,04/06/2014,REPAS,€58,,
NOVO NORDISK,Médecin,JACQUIN LAURENCE,05/10/2013,[FORFAIT],€283,,
PECH CERCIAT,Médecin,Berthoux Yves,16/10/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Berthoux Yves,10/07/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Laborey-Brouilleux Chantal,16/10/2013,Autre : [ECHANTILLON],€20,,
PIERRE FABRE MEDICAMENT,Médecin,BRUYAS JEAN MICHEL,05/12/2013,RESTAURATION,€59,,
PIERRE FABRE MEDICAMENT,Médecin,BRUYAS JEAN MICHEL,30/05/2013,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,GIROUD FRANCOIS,30/05/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,GIROUD FRANCOIS,18/06/2014,RESTAURATION,€40,,
PIERRE FABRE MEDICAMENT,Médecin,GIROUD FRANCOIS,14/11/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,GIROUD FRANCOIS,13/05/2013,Restauration,€40,,
Prodition,Audioprothésiste,DECELLE VANINA,21/01/2014,Autre : [CHOCOLATS],€22,,
Prodition,Audioprothésiste,PETIT VALERIE,16/05/2014,Repas,€20,,
RESEARCH NOW SAS,Médecin,chamouret sandrine,23/01/2013,enquête,€14,,
RESEARCH NOW SAS,Médecin,POMPEY David,22/01/2013,enquête,€14,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,BRYSSINE GEORGES,10/06/2014,REPAS,€40,,
SANOFI PASTEUR MSD SNC,Médecin,PONCET MICHELE,14/11/2013,Repas,€12,,
SANOFI PASTEUR MSD SNC,Médecin,REAL RENEE,08/10/2013,Repas,€39,,
SANOFI PASTEUR MSD SNC,Médecin,RIONDET SYLVIE,26/11/2013,Repas,€20,,
SANOFI PASTEUR MSD SNC,Médecin,VIAL RICHARD CELINE,08/10/2013,Repas,€39,,
SEPTODONT SAS,Chirurgien-dentiste,PUGNET Valérie,02/05/2013,Cadeaux,€144,,
SIEMENS AUDIOLOGIE,Audioprothésiste,ANDREO FABIEN,18/12/2013,AUTRE : [BOISSON],€21,,
SIEMENS AUDIOLOGIE,Audioprothésiste,ANDREO FABIEN,18/12/2013,AUTRE : [BOISSON],€21,,
SIEMENS AUDIOLOGIE,Audioprothésiste,DECELLE VANINA,18/12/2013,AUTRE : [BOISSON],€21,,
STARKEY FRANCE,Audioprothésiste,DECELLE VANINA,11/03/2014,REPAS,€11,,
St Jude Medical France SAS,Médecin,POMPEY DAVID,17/10/2013,Repas,€52,,
TEVA SANTE SAS,Médecin,BRUYAS JEAN MICHEL,17/04/2014,REPAS,€60,,
TEVA SANTE SAS,Médecin,FRERY COSTE MICHELLE,17/04/2014,REPAS,€60,,
THUASNE,Pharmacien,CONSTANT CATHERINE,18/06/2014,REPAS,€39,,
TOSHIBA MEDICAL FRANCE,Sage-femme,De Leyritz Anne-Laure,13/01/2014,Repas,€22,,
Ultradent Products GmbH,Chirurgien-dentiste,LEHMANN NICOLAS,18/02/2013,Dons de matériel,€19,,
Weleda S.A.,Médecin,BETTINELLI Marie-Odile,11/04/2014,Repas,€35,,
Zimmer Dental SAS,Chirurgien-dentiste,CHAUD ISABELLE,10/07/2013,REPAS,€16,,
Zimmer Dental SAS,Chirurgien-dentiste,FRERY ALEXANDRA,10/07/2013,REPAS,€16,,
Zimmer Dental SAS,Chirurgien-dentiste,GARONNAIRE FRANCOISE,19/12/2013,REPAS,€13,,
Zimmer Dental SAS,Chirurgien-dentiste,GARONNAIRE FRANCOISE,05/06/2014,REPAS,€51,,
Zimmer Dental SAS,Chirurgien-dentiste,GARONNAIRE FRANCOISE,24/03/2014,repas,€10,,
Zimmer Dental SAS,Chirurgien-dentiste,PLAGNEUX MICHELLE,10/07/2013,REPAS,€16,,
