3M France,Chirurgien-dentiste,MOTHERON JEAN MARIE,15/05/2014,REPAS,€22,,
ICOMED,Médecin,VOUKASSOVITCH MICHEL,26/02/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,VOUKASSOVITCH MICHEL,26/02/2013,Autre: [Enquête],€16,,
ICOMED,Pharmacien,ROZAY STEPHANE,18/06/2014,Autre: [Enquête],€16,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,20/02/2012,Invitations,€37,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,11/03/2014,Invitations,€25,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,09/07/2013,Invitations,€39,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,24/04/2012,Invitations,€32,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,03/09/2013,Invitations,€30,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,25/03/2013,Invitations,€58,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,16/01/2012,Invitations,€41,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,31/03/2014,Invitations,€30,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,19/02/2013,Invitations,€37,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,17/12/2013,Invitations,€31,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,10/06/2014,Invitations,€27,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,17/06/2013,Invitations,€29,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,08/01/2013,Invitations,€31,,
ISIS ATLANTIQUE,Médecin,HOURIE SAAD,29/10/2012,Invitations,€27,,
ISIS PARIS NORMANDIE,Médecin,HOURIE SAAD,29/11/2013,RESTAURATION,€36,,
ISIS PARIS NORMANDIE,Médecin,HOURIE SAAD,26/07/2013,RESTAURATION,€38,,
ISIS PARIS NORMANDIE,Médecin,HOURIE SAAD,28/06/2013,RESTAURATION,€19,,
ISIS PARIS NORMANDIE,Médecin,HOURIE SAAD,17/05/2013,RESTAURATION,€39,,
JANSSEN-CILAG,Médecin,BON SAINT COME JEAN,14/03/2013,REPAS,€19,,
JANSSEN-CILAG,Médecin,CROTTAZ PAULE,28/05/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,MICHEAUX JEAN PIERRE,17/05/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,SANTACRUZ CRISTINA,17/05/2013,REPAS,€23,,
KARL STORZ ENDOSCOPIE FRANCE SAS,Médecin,CHAMPION Philippe,19/09/2013,repas,€42,,
KARL STORZ ENDOSCOPIE FRANCE SAS,Médecin,CHAMPION Philippe,19/09/2013,"Transport, repas, hotel",€131,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,BOLLARD MATHILDE,04/06/2014,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AUZARY FABIENNE,03/02/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AUZARY FABIENNE,25/05/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON LAURENT,05/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUCHATELLE PAUL,25/05/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUMITRAS TUDOR,22/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOOLOOMANN MODUN RESHMAH,15/10/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOURIE SAAD,18/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOURIE SAAD,06/10/2012,Transport,€168,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOURIE SAAD,25/09/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOURIE SAAD,18/02/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOURIE SAAD,13/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOURIE SAAD,17/06/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUTTEAU PHILIPPE,25/05/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUTTEAU PHILIPPE,05/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUTTEAU PHILIPPE,25/05/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUTTEAU PHILIPPE,04/06/2014,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHEAUX JEAN PIERRE,04/06/2014,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHEAUX JEAN PIERRE,25/05/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHEAUX JEAN PIERRE,09/10/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NINAT SANDRINE,25/05/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NINAT SANDRINE,09/10/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NINAT SANDRINE,03/02/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SONNET MARIE LAURE,10/04/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SONNET MARIE LAURE,02/06/2014,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STOERI MATHILDE,13/11/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TOURAIN CHRISTINE,27/03/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VARDI ADAM,04/04/2013,Hospitalite,€55,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DE COURTIRAS,03/04/2014,CADEAUX,€12,,
LABORATOIRES COLOPLAST,Infirmier,LUQUE MAGALI,19/11/2013,Autre : Inscription,€90,,
LABORATOIRES COLOPLAST,Infirmier,LUQUE MAGALI,19/11/2013,Transport,€140,,
LABORATOIRES CONVATEC,Infirmier,MADRE LAURENCE,20/11/2013,HOSPITALITE,€75,,
LABORATOIRES CONVATEC,Infirmier,MADRE LAURENCE,20/11/2013,FRAIS DEPLACEMENT,€122,,
Laboratoires Leurquin Mediolanum,Médecin,BON SAINT COME JEAN,07/11/2013,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,BON SAINT COME JEAN,03/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,BON SAINT COME JEAN,07/11/2013,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,DUBOC BERNARD,20/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,DUBOC BERNARD,03/10/2013,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,MICHEAUX JEAN PIERRE,20/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,MICHEAUX JEAN PIERRE,03/10/2013,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,BRUNEAU HELENE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,DUBOIS MARIE ANGE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,GAULT ELISABETH,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,MARIOT ANNE,01/12/2013,CADEAUX,€15,,
Labvoratoire CHAUVIN,Médecin,DE CHAZELLES MARIE JACQUES,14/05/2014,REPAS,€41,,
Labvoratoire CHAUVIN,Médecin,LALLEMAND BERTRAND,14/05/2014,REPAS,€41,,
LEO Pharma,Médecin,GIRONET PATTI NATHALIE,15/05/2014,REPAS,€35,,
LEO Pharma,Médecin,RIVOLLIER CONSTANCE,30/01/2014,REPAS,€56,,
LEO Pharma,Médecin,RIVOLLIER CONSTANCE,15/05/2014,REPAS,€42,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,LECHE PHILIPPE,14/11/2013,REPAS,€121,,
LES LABORATOIRES SERVIER,Médecin,BERRAGUAS LEONARD ANNE,28/11/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,BERRAGUAS LEONARD ANNE,10/10/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,BON SAINT COME JEAN,10/10/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,CARON LAURENT,28/11/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,CROTTAZ PAULE,07/10/2013,Repas,€19,,
LES LABORATOIRES SERVIER,Médecin,DUBOC BERNARD,28/11/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,HUTTEAU PHILIPPE,10/10/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,MICHEAUX JEAN-PIERRE,28/11/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,MICHEAUX JEAN-PIERRE,10/10/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,NOURRAIN GERARD,28/11/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,NOURRAIN GERARD,10/10/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,PIECHACZYK PHILIPPE,24/04/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,PIECHACZYK PHILIPPE,15/01/2014,Autre : Inscription,€311,,
LES LABORATOIRES SERVIER,Médecin,PIECHACZYK PHILIPPE,15/01/2014,Transport,€100,,
LES LABORATOIRES SERVIER,Médecin,ROUESNEL PHILIPPE,04/10/2013,Repas,€130,,
LES LABORATOIRES SERVIER,Médecin,ROUESNEL PHILIPPE,04/10/2013,Hébergement,€506,,
LES LABORATOIRES SERVIER,Médecin,ROUESNEL PHILIPPE,17/10/2013,Transport,€281,,
LES LABORATOIRES SERVIER,Médecin,ROUESNEL PHILIPPE,17/10/2013,Hébergement,€335,,
LES LABORATOIRES SERVIER,Médecin,ROUESNEL PHILIPPE,10/10/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,ROUESNEL PHILIPPE,04/10/2013,Transport,€477,,
LES LABORATOIRES SERVIER,Médecin,VOUKASSOVITCH MICHEL,11/10/2013,Repas,€70,,
LES LABORATOIRES SERVIER,Médecin,VOUKASSOVITCH MICHEL,11/10/2013,Transport,€100,,
Lilly France SAS,Médecin,MAGNARD PAULINE,06/05/2014,REPAS,€60,,
LUNDBECK SAS,Médecin,CROTTAZ PAULE,06/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,HUTTEAU PHILIPPE,06/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,HUTTEAU PHILIPPE,06/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€33,,
LUNDBECK SAS,Médecin,HUTTEAU PHILIPPE,19/07/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,ISHAC JEAN,16/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€50,,
LUNDBECK SAS,Médecin,LECHE JOSETTE,01/04/2014,AUTRE : HOSPITALITE,€836,,
LUNDBECK SAS,Médecin,MICHEAUX JEAN PIERRE,06/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€33,,
LUNDBECK SAS,Médecin,MICHEAUX JEAN PIERRE,06/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,MICHEAUX JEAN PIERRE,19/07/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
MEDEXACT,Médecin,COUTREY LAURENT,28/05/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,LULIN JACQUES,11/03/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,LULIN JACQUES,22/10/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,MICHEAUX JEAN PIERRE,21/05/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,PORTEVIN MABOUANA ANOUSKA,03/06/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,RADAODY KARL,20/12/2013,Autre: [Enquête],€29,,
MEDICONSEIL,Médecin,AUBAULT MATHIEU,02/12/2013,CADEAUX,€36,,
MEDICONSEIL,Médecin,CHAMPION PHILIPPE,02/12/2013,CADEAUX,€36,,
MENARINI FRANCE,Médecin,MICHEAUX JEAN PIERRE,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,MICHEAUX JEAN PIERRE,24/05/2014,Transport,€115,,
MENARINI FRANCE,Médecin,MICHEAUX JEAN PIERRE,24/05/2014,Hébergement,€127,,
MERCK SERONO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,YOLLIN ADELINE,20/05/2014,REPAS,€20,,
Molnlycke Health Care,Infirmier,QUINTIN CORINNE,15/01/2014,CADEAUX,€40,,
MSD France,Médecin,BIOGEAU JULIE,25/06/2013,REPAS,€25,,
MSD France,Médecin,BION ERIC,10/10/2013,REPAS,€50,,
MSD France,Médecin,BION ERIC,10/10/2013,REPAS,€50,,
MSD France,Médecin,BUSSEREAU CLAIRE,18/09/2012,HOSPITALITE,€55,,
MSD France,Médecin,BUSSEREAU CLAIRE,27/03/2014,REPAS,€60,,
MSD France,Médecin,CRESIENZO DOMINIQUE,13/02/2014,REPAS,€24,,
MSD France,Médecin,DUBOC BERNARD,27/03/2014,REPAS,€60,,
MSD France,Médecin,DUBOC BERNARD,18/09/2012,HOSPITALITE,€55,,
MSD France,Médecin,HUTTEAU PHILIPPE,18/09/2012,HOSPITALITE,€55,,
MSD France,Médecin,HUTTEAU PHILIPPE,27/03/2014,REPAS,€60,,
MSD France,Médecin,HUTTEAU PHILIPPE,16/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,MICHEAUX JEAN PIERRE,19/11/2013,REPAS,€30,,
MSD France,Médecin,MICHEAUX JEAN PIERRE,27/03/2014,REPAS,€60,,
MSD France,Médecin,MICHEAUX JEAN PIERRE,18/09/2012,HOSPITALITE,€55,,
MSD France,Médecin,NINAT SANDRINE,11/06/2012,REPAS,€37,,
MSD France,Médecin,NINAT SANDRINE,03/09/2012,REPAS,€31,,
MSD France,Médecin,NOURRAIN GERARD,27/03/2014,REPAS,€60,,
MSD France,Médecin,NOURRAIN GERARD,18/09/2012,HOSPITALITE,€55,,
MSD France,Médecin,SONNET MARIE LAURE,23/02/2012,HOSPITALITE,€55,,
MSD France,Pharmacien,LELIEVRE MARIE CHRISTINE,08/02/2012,HOSPITALITE,€57,,
MSD France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,YOLLIN ADELINE,03/12/2013,REPAS,€34,,
MUNDIPHARMA,Médecin,COUTREY LAURENT,17/12/2013,HOSPITALITE,€36,,
MUNDIPHARMA,Médecin,COUTREY LAURENT,18/06/2014,REPAS,€37,,
MUNDIPHARMA,Médecin,DURIN SEVERINE,18/06/2014,REPAS,€37,,
MUNDIPHARMA,Médecin,DURIN SEVERINE,17/12/2013,HOSPITALITE,€36,,
MUNDIPHARMA,Médecin,HOURIE SAAD,27/06/2014,REPAS,€10,,
MUNDIPHARMA,Médecin,HOURIE SAAD,27/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,HOURIE SAAD,27/06/2014,TRANSPORT,€135,,
MYLAN SAS,Pharmacien,SEPCHAT RATO BÉATRICE,20/05/2014,REPAS,€28,,
NORGINE PHARMA,Médecin,CHAMBON JACQUES,18/12/2013,REMIS / REPROGRAPHIE,€30,,
NOVARTIS PHARMA SAS,Médecin,BON SAINT COME JEAN,18/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BRUN STEPHANE,25/01/2014,Autre : [Participation Evenement Scientifique],€15,,
NOVARTIS PHARMA SAS,Médecin,BRUN STEPHANE,23/01/2014,Transport,€401,,
NOVARTIS PHARMA SAS,Médecin,BRUN STEPHANE,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,BRUN STEPHANE,23/01/2014,Hébergement,€138,,
NOVARTIS PHARMA SAS,Médecin,CARON LAURENT,18/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,COUTREY LAURENT,18/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,DUBOC BERNARD,18/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,HOURIE SAAD,10/12/2013,Repas,€26,,
NOVARTIS PHARMA SAS,Médecin,HOURIE SAAD,15/07/2013,Repas,€19,,
NOVARTIS PHARMA SAS,Médecin,HOURIE SAAD,18/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,HUTTEAU PHILIPPE,18/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,ISHAC JEAN,25/01/2014,Autre : [Participation Evenement Scientifique],€15,,
NOVARTIS PHARMA SAS,Médecin,LECHE JOSETTE,14/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MARY JEAN PIERRE,25/01/2014,Autre : [Participation Evenement Scientifique],€15,,
NOVARTIS PHARMA SAS,Médecin,MICHEAUX JEAN PIERRE,31/01/2014,Repas,€31,,
NOVARTIS PHARMA SAS,Médecin,MICHEAUX JEAN PIERRE,18/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,NINAT SANDRINE,18/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,SANTACRUZ CRISTINA,31/01/2014,Repas,€31,,
NOVARTIS PHARMA SAS,Orthophoniste,BRILLARD LAURENT,19/07/2013,Repas,€25,,
NOVO NORDISK,Médecin,MICHEAUX JEAN PIERRE,11/01/2014,REPAS,€220,,
NOVO NORDISK,Médecin,MICHEAUX JEAN PIERRE,11/01/2014,TRANSPORT,€598,,
NOVO NORDISK,Médecin,MICHEAUX JEAN PIERRE,11/01/2014,HEBERGEMENT,€117,,
NOVO NORDISK,Médecin,MICHEAUX JEAN PIERRE,11/01/2014,REPAS,€220,,
NOVO NORDISK,Médecin,MICHEAUX JEAN PIERRE,11/01/2014,TRANSPORT,€598,,
NOVO NORDISK,Médecin,MICHEAUX JEAN PIERRE,11/01/2014,TRANSPORT,€48,,
NOVO NORDISK,Médecin,MICHEAUX JEAN PIERRE,11/01/2014,TRANSPORT,€48,,
NOVO NORDISK,Médecin,MICHEAUX JEAN PIERRE,11/01/2014,HEBERGEMENT,€117,,
Ophta-France SA,Médecin,DE CHAZELLES MARIE-JACQUES,16/07/2013,Repas,€38,,
Otsuka Pharmaceutical France SAS,Médecin,NOURREDINE KAMEL,03/04/2014,HOSPITALITE,€60,,
Otsuka Pharmaceutical France SAS,Médecin,NOURREDINE KAMEL,03/04/2014,REPAS,€60,,
Otsuka Pharmaceutical France SAS,Médecin,NOURREDINE KAMEL,03/04/2014,HEBERGEMENT,€185,,
Otsuka Pharmaceutical France SAS,Médecin,NOURREDINE KAMEL,03/04/2014,TRANSPORT,€253,,
PFIZER SAS,Médecin,TOURAIN CHRISTINE,14/10/2013,Repas,€20,,
PFIZER SAS,Pharmacien,SAULNIER AUDREY,17/06/2013,Repas,€22,,
PHILIPS FRANCE,Médecin,BELHIBA CHRISTINE,29/04/2014,REPAS,€23,,
PHILIPS FRANCE,Médecin,PROUST FRANCIS,29/04/2014,REPAS,€23,,
Pierre Fabre Dermo-Cosmétique,Médecin,GIRONET PATTI NATHALIE,19/02/2014,RESTAURATION,€81,,
Pierre Fabre Dermo-Cosmétique,Médecin,LULIN JACQUES,30/01/2014,RESTAURATION,€30,,
PIERRE FABRE MEDICAMENT,Médecin,DUMITRAS TUDOR,15/11/2013,RESTAURATION,€49,,
PIERRE FABRE MEDICAMENT,Médecin,HOOLOOMANN MODUN RESHMAH,04/09/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,LEBEAU JEAN PIERRE,19/01/2012,HÃƒÂ©bergement,€10,,
PIERRE FABRE MEDICAMENT,Médecin,LEBEAU JEAN PIERRE,19/01/2012,Restauration,€57,,
PIERRE FABRE MEDICAMENT,Médecin,LEBEAU JEAN PIERRE,17/02/2012,Frais de dÃƒÂ©placement,€71,,
PIERRE FABRE MEDICAMENT,Médecin,LEBEAU JEAN PIERRE,19/01/2012,Frais de dÃƒÂ©placement,€487,,
PIERRE FABRE MEDICAMENT,Médecin,NINAT SANDRINE,17/06/2014,RESTAURATION,€26,,
PIERRE FABRE MEDICAMENT,Médecin,NINAT SANDRINE,21/05/2013,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,RIVOLLIER CONSTANCE,09/07/2013,RESTAURATION,€31,,
PIERRE FABRE MEDICAMENT,Médecin,RIVOLLIER CONSTANCE,04/05/2012,Restauration,€16,,
PIERRE FABRE MEDICAMENT,Médecin,RIVOLLIER CONSTANCE,09/07/2013,RESTAURATION,€31,,
PRECIPHAR,Médecin,COUTREY LAURENT,03/06/2014,Repas,€50,,
Prodition,Audioprothésiste,DAUMAS GILLES,13/02/2014,Repas,€42,,
PROTHEOS OUEST,Médecin,CHAMPION PHILIPPE,11/11/2013,HOSPITALITE,€678,,
RESMED SAS,Médecin,HOURIE SAAD,14/02/2014,Repas,€22,,
RESMED SAS,Médecin,HOURIE SAAD,23/05/2014,Repas,€47,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,IMBAULT DENIS,27/02/2014,REPAS,€23,,
ROCHE SAS,Médecin,CHAMBON JACQUES,22/10/2013,Repas,€55,,
ROTTAPHARM SAS,Médecin,CRESTE LAURENT,13/06/2013,CONGRES/HEBERGEMENT,€627,,
ROTTAPHARM SAS,Médecin,CRESTE LAURENT,13/06/2013,CONGRES/COCKTAIL,€10,,
ROTTAPHARM SAS,Médecin,CRESTE LAURENT,13/06/2013,CONGRES/REPAS 12.06.13,€59,,
ROTTAPHARM SAS,Médecin,CRESTE LAURENT,13/06/2013,CONGRES/REPAS 13.06.13,€50,,
ROTTAPHARM SAS,Médecin,CRESTE LAURENT,13/06/2013,CONGRES/REPAS 14.06.13,€59,,
SANDOZ,Médecin,CRESTE-RAVEY ANNIE,20/06/2014,REPAS,€35,,
SANDOZ,Médecin,CRESTE-RAVEY ANNIE,18/04/2014,REPAS,€16,,
SANDOZ,Médecin,MOTTAZ YANN,20/06/2014,REPAS,€35,,
SANDOZ,Médecin,YAOUANC VIRGINIE,20/06/2014,REPAS,€35,,
SANDOZ,Pharmacien,JAMET DIDIER,02/12/2013,REPAS,€21,,
SANOFI AVENTIS FRANCE,Aide soignant,BERRUET SONIA,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,BREUZIN LAETITIA,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,CHEVALIER LAURA,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,DRIN FLORENCE,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,FRESNAY AMELIE,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,GUILHERMOND VANESSA,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,GUILLIER JEANNE,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,LEROUX SANDRINE,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,MEUNIER EMILIE,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,NORGUET CHRISTINE,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,SADRI AICHA,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,SANDOT RUDDY,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,TODOROVIC SLAVICA,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Aide soignant,VERNEAU LINDA,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Ergothérapeute,GUELLIER VIEILLE AGNES,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Infirmier,BRIVET CHARLINE,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Infirmier,FREULON SEVERINE,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Infirmier,RINUIT BENOIT,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Infirmier,RUBLINE PRISCILA,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Infirmier,SUPPLIGEAU VIRGINIE,21/03/2014,Repas,€25,,
SANOFI AVENTIS FRANCE,Médecin,BENAISSA AMEL,23/01/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Médecin,CHRISTOZOVA PASHEVA VILIANA,27/06/2014,Transport,€97,,
SANOFI AVENTIS FRANCE,Médecin,CHRISTOZOVA PASHEVA VILIANA,27/06/2014,Transport,€97,,
SANOFI AVENTIS FRANCE,Médecin,CHRISTOZOVA PASHEVA VILIANA,27/06/2014,Hébergement,€160,,
SANOFI AVENTIS FRANCE,Médecin,CRESTE LAURENT,16/05/2014,Repas,€247,,
SANOFI AVENTIS FRANCE,Médecin,CRESTE LAURENT,16/05/2014,Transport,€371,,
SANOFI AVENTIS FRANCE,Médecin,CRESTE LAURENT,16/05/2014,Hébergement,€378,,
SANOFI AVENTIS FRANCE,Médecin,DESIRE SEBASTIEN,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,DURAND NICOLAS,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,GUIFFARD CLAIRE,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,JACQUIN GERARD,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,SECHAUD KARINE,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,FAVIERE MANGEOL JOSIANE,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,JAMET DIDIER,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,JAMET STUDER ESTELLE,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,LARBA NADIA,19/09/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,OUBOUAZIZ MUSTAPHA,11/03/2014,Repas,€24,,
SANOFI PASTEUR MSD SNC,Médecin,ANDROLOV HRISTO,27/11/2013,Repas,€29,,
SANOFI PASTEUR MSD SNC,Médecin,AUZARY FABIENNE,12/05/2014,Repas,€33,,
SANOFI PASTEUR MSD SNC,Médecin,BONVALET ALAIN,11/04/2014,Repas,€35,,
SANOFI PASTEUR MSD SNC,Médecin,CASPAR DIDIER,11/04/2014,Repas,€35,,
SANOFI PASTEUR MSD SNC,Médecin,GRILLAULT LAROCHE FRANCOIS,17/10/2013,Repas,€50,,
SANOFI PASTEUR MSD SNC,Médecin,GRILLAULT LAROCHE FRANCOIS,11/04/2014,Repas,€35,,
SANOFI PASTEUR MSD SNC,Médecin,GRILLAULT LAROCHE FRANCOIS,27/11/2013,Repas,€29,,
SANOFI PASTEUR MSD SNC,Médecin,GRILLAULT LAROCHE FRANCOIS,17/10/2013,Repas,€50,,
SANOFI PASTEUR MSD SNC,Médecin,NINAT SANDRINE,12/05/2014,Repas,€33,,
